Acidaminococcaceae	Actinomycetaceae	Aeromonadaceae	Alcaligenaceae	Anaeroplasmataceae	Bacteroidaceae	Bacteroidales_S24-7_group	Bifidobacteriaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae_1	Clostridiales_vadinBB60_group	Coriobacteriaceae	Corynebacteriaceae	Defluviitaleaceae	Desulfovibrionaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Family_XI	Family_XIII	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Rhodospirillaceae	Rikenellaceae	Ruminococcaceae	Staphylococcaceae	Streptococcaceae	Succinivibrionaceae	Thermoanaerobacteraceae	Veillonellaceae	Verrucomicrobiaceae	others	Alias	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center.Name	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	ENA_CHECKLIST	ENA.FIRST.PUBLIC..run.	ENA.LAST.UPDATE..run.	Experiment	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library.Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	sample_description	Sample.Name	sample_name	SRA_accession	SRA.Study	title	time	ID	prepost
ERR1624539	1.67113190408699	1.30009242108335	0	0	0	2.69624435016541	0	3.03283963128808	0	0.476463519521937	0	2.77060217606402	3.10791691989086	0	3.23378389391602	1.20319475773324	0	1.3414806153698	1.83787643405315	0	2.85027276368122	0	0.84425219736564	1.86234941878883	0	3.71535050103804	0	0	0	0	0	0	2.96280192464049	2.02432821012965	1.6424881559783	0	0	2.28005156378603	3.59030054156283	0	2.34926545274388	0	0	1.2295200642397	0	2.43198596025668	02cdfbb0-1cde-11e6-9a08-68b599768938	WGS	500	10593500	PRJEB14082	SAMEA4008096	6687848	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	ena,ncbi,s3,gs	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694904	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:16Z	public	Illumina MiSeq	16634274	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008096	ERS1179206	ERS1179206	ERP015690	P10_Pre	Pre	P10	0
ERR1624542	1.14786740536666	0	0	0.444105499600556	0	2.93675920647712	0	2.63712375777658	0	0	0.528125959393582	2.37293278891727	0.995720422613938	0	2.88083588223929	0	0.598496611822127	0.876684891578309	2.46947461734402	0	3.07587276056391	0	0	1.90592547099378	0	3.58781995807991	0.841023211141404	0	0	0	0	0	1.55647508872443	1.74040312398314	1.08904960905565	0	0	1.63483849722301	3.33469593106688	0	3.83746518397975	0	0	0	0	1.10955348572593	02e99a00-1cde-11e6-9a08-68b599768938	WGS	500	16692000	PRJEB14082	SAMEA4008099	10042895	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,contigs,sra	s3,ena,gs,ncbi	gs.US,ncbi.public,s3.us-east-1,ena	ERC000011	9/12/16	11/16/18	ERX1694907	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:17Z	public	Illumina MiSeq	16634277	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008099	ERS1179209	ERS1179209	ERP015690	P18_Pre	Pre	P18	0
ERR1624545	0	0	0	0	0	1.5187489109539	0	1.10918917311769	0.759168046443042	0	1.10918917311769	0	0	0	1.06716833721215	0	0	0	4.17173147155055	2.80144230573008	0.840685176395001	0	0	0	0	0.909292795794048	1.6956542400127	1.93041467400079	0	0	0	0	0	0.759168046443042	0	0	0	0	1.50286409728191	0	3.08764226588917	0	0	0	0	0	02ffe120-1cde-11e6-9a08-68b599768938	WGS	500	8592500	PRJEB14082	SAMEA4008102	5385151	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,cram,contigs	ncbi,gs,ena,s3	ena,gs.US,s3.us-east-1,ncbi.public	ERC000011	9/12/16	11/16/18	ERX1694910	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:19Z	public	Illumina MiSeq	16634280	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008102	ERS1179212	ERS1179212	ERP015690	P24_Pre	Pre	P24	0
ERR1624547	2.35826342283772	1.6586309244121	0	1.0744324494722	0	2.74285911700935	0	2.8940966711623	0	0	0	1.97030388980871	2.01356734838035	0	2.78355924846708	0	0	0.629496266093907	1.17984899955404	0	3.291704016289	0	0	1.37705025188769	0	3.61150368994388	0	0.501593257793353	0	0	1.37705025188769	0	2.89829324912173	1.92785856815881	0	0	0	1.31313085130317	3.49589151561021	0	3.64085893230667	0	0	1.46628473752418	0	0.629496266093907	030fbfa0-1cde-11e6-9a08-68b599768938	WGS	500	9181500	PRJEB14082	SAMEA4008104	5634834	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	ena,s3,gs,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694912	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:20Z	public	Illumina MiSeq	16634282	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008104	ERS1179214	ERS1179214	ERP015690	P26_Pre	Pre	P26	0
ERR1624549	1.47349823569257	0.946507263743086	0	0.794307671823372	0	3.13938261700336	1.69331857847644	2.36362358689825	0	0	0.557952879369523	2.73611827049896	0	0	2.97341766885121	0	0	0.557952879369523	2.94473539954128	0	2.9835559282424	0	0	1.98992630678958	0	3.86159561919694	0	0	0	0	0	0	0	2.81931622869215	1.38957995029936	0	0	2.36850979714391	3.50958530085761	0	2.57976924808137	0	0	0	0	1.57509417609097	03208880-1cde-11e6-9a08-68b599768938	WGS	500	7965000	PRJEB14082	SAMEA4008106	5048509	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	s3,gs,ncbi,ena	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694914	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:21Z	public	Illumina MiSeq	16634284	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008106	ERS1179216	ERS1179216	ERP015690	P33_Pre	Pre	P33	0
ERR1624550	2.56169250038287	0	0	1.35978495582669	0	3.40111052461939	0	2.42552722918275	0	0	0	1.94738148444094	2.07001505043281	0	2.38042636031801	0.439614794835247	0	1.99607393924063	3.88575489870454	0	2.59483464251016	0	0.989402397461188	1.26759100150681	2.37883926676141	3.41008034364328	1.06110253683772	0	0	0	1.02673046258322	0	2.63454142987435	2.30632955929916	0	0	0	1.93430481080014	3.18775209381081	0	1.59702909980796	0	0	1.26759100150681	0	0	03289ed0-1cde-11e6-9a08-68b599768938	WGS	500	11658000	PRJEB14082	SAMEA4008107	7418991	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	gs,ena,s3,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694915	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:21Z	public	Illumina MiSeq	16634285	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008107	ERS1179217	ERS1179217	ERP015690	P34_Pre	Pre	P34	0
ERR1624552	0	1.54562709296007	0	1.09255538799351	0	2.5086784636854	0	2.40544665437192	0	0	0.915865065472502	1.60526685962007	1.8951948191044	0	2.89650596316435	0	0	0.967217367571827	3.40655705748359	0.790326437912403	3.36481141733568	0	0.71066468177507	1.35634070977011	0	3.57923195564378	3.60840580611846	0	1.05465796791974	0	0.967217367571827	0	0	1.61627143628681	0	0	0	1.69551242796663	3.25933340207302	1.77019320806279	2.82879541507273	0	0	1.18970479520246	0	0	0338cb70-1cde-11e6-9a08-68b599768938	WGS	500	9990000	PRJEB14082	SAMEA4008109	6321273	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	ena,s3,gs,ncbi	ena,ncbi.public,s3.us-east-1,gs.US	ERC000011	9/12/16	11/16/18	ERX1694917	SC	2016-09-12T16:42:13Z	2016-05-25T12:31:22Z	public	Illumina MiSeq	16634287	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008109	ERS1179219	ERS1179219	ERP015690	P37_Pre	Pre	P37	0
ERR1624553	2.52026491886169	0.60939268341697	0	1.82251467354923	0	3.25648891332248	3.14962176606229	2.90955802586605	0	0	0	2.80491880499837	1.48654943363574	0	2.34816193236475	0	0	2.34616496878617	0.483645290428828	0	2.16804520122624	0	0	1.6005669963905	0	3.71697719341909	0	0	0	0	0.60939268341697	0	2.0139755733989	2.19720777812823	0.853468225571518	0	0	3.27925742681084	3.55356671495558	0	1.69079000183091	0	0	0	1.05026500708485	2.34616496878617	033fd050-1cde-11e6-9a08-68b599768938	WGS	500	10139500	PRJEB14082	SAMEA4008110	6373530	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	s3,gs,ncbi,ena	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694918	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:22Z	public	Illumina MiSeq	16634288	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008110	ERS1179220	ERS1179220	ERP015690	P38_Pre	Pre	P38	0
ERR1624554	1.89384738333878	0	0	0.981845971183745	0	3.27038284645001	0	1.5305921753416	0	0	0	2.4246807123928	0	0.981845971183745	3.14206106213121	0	1.29254349487018	0.981845971183745	2.01138215413422	0	3.10609046854492	0.911628250766171	0	2.10378843224447	0	3.83681487868005	0	0	0	0	0	0	0.911628250766171	1.37854829781679	1.0422750501114	0	0	2.43164076691456	3.47574820476581	0	3.00938720886002	2.04065897940006	0	2.40310517203357	1.45030424133697	2.31029168061759	03477170-1cde-11e6-9a08-68b599768938	WGS	500	7270000	PRJEB14082	SAMEA4008111	4668433	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,ncbi,s3,gs	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694919	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:23Z	public	Illumina MiSeq	16634289	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008111	ERS1179221	ERS1179221	ERP015690	P40_Pre	Pre	P40	0
ERR1624555	2.53655023259431	1.38087803509191	0	0.998206372637373	0	2.99520772787101	0	3.40354890188947	0	0	0	1.24644304119153	0.938467631163753	0	3.35186880588662	0	0	1.17834636858037	1.73840563717899	0	2.37145254348691	1.27686536663954	0	2.36189574367945	0	3.83263649494503	0	0	0	0	0	0	2.21700408550947	1.94462182513806	0.998206372637373	0	0	2.28549873654623	3.34988660663804	0	2.74840835414593	0	0	2.27085307741275	0	0.869180799075598	034e9d60-1cde-11e6-9a08-68b599768938	WGS	500	8144000	PRJEB14082	SAMEA4008112	5206797	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694920	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:23Z	public	Illumina MiSeq	16634290	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008112	ERS1179222	ERS1179222	ERP015690	P2_Post	Post	P2	1
