Actinomycetales	Aeromonadales	Anaeroplasmatales	Bacillales	Bacteroidales	Bifidobacteriales	Burkholderiales	Campylobacterales	Clostridiales	Coriobacteriales	Corynebacteriales	Desulfovibrionales	Enterobacteriales	Erysipelotrichales	Fusobacteriales	Gastranaerophilales	Lactobacillales	Micrococcales	Mollicutes_RF9	NB1-n	Pasteurellales	Pseudomonadales	Rhodospirillales	Selenomonadales	Thermoanaerobacterales	Verrucomicrobiales	others	Alias	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center.Name	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	ENA_CHECKLIST	ENA.FIRST.PUBLIC..run.	ENA.LAST.UPDATE..run.	Experiment	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library.Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	sample_description	Sample.Name	sample_name	SRA_accession	SRA.Study	title	time	ID	prepost
ERR1624539	1.30009242108335	0	0	0.84425219736564	2.92122048264963	3.03283963128808	0	0.476463519521937	4.07710725622989	3.23378389391602	1.20319475773324	1.3414806153698	1.83787643405315	2.85027276368122	0	0	2.34926545274388	0	2.37008509020383	0	0	0	0	1.79836925655822	0	0	1.56724145190189	02cdfbb0-1cde-11e6-9a08-68b599768938	WGS	500	10593500	PRJEB14082	SAMEA4008096	6687848	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	ena,ncbi,s3,gs	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694904	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:16Z	public	Illumina MiSeq	16634274	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008096	ERS1179206	ERS1179206	ERP015690	P10_Pre	Pre	P10	0
ERR1624542	0	0	0	0	2.98762392869845	2.63712375777658	0.444105499600556	0	3.80587874048109	2.88083588223929	0	0.876684891578309	2.46947461734402	3.07587276056391	0	0	3.83798948238673	0	0	0	0	0	0	1.14786740536666	0	0	0.995720422613938	02e99a00-1cde-11e6-9a08-68b599768938	WGS	500	16692000	PRJEB14082	SAMEA4008099	10042895	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,contigs,sra	s3,ena,gs,ncbi	gs.US,ncbi.public,s3.us-east-1,ena	ERC000011	9/12/16	11/16/18	ERX1694907	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:17Z	public	Illumina MiSeq	16634277	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008099	ERS1179209	ERS1179209	ERP015690	P18_Pre	Pre	P18	0
ERR1624545	0	0	0	0	1.57704631303247	1.10918917311769	0.759168046443042	0	1.59047504048675	1.06716833721215	0	0	4.17173147155055	0.840685176395001	0	0	3.30110326122156	0	0	0	0	0	0	0	0	0	0	02ffe120-1cde-11e6-9a08-68b599768938	WGS	500	8592500	PRJEB14082	SAMEA4008102	5385151	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,cram,contigs	ncbi,gs,ena,s3	ena,gs.US,s3.us-east-1,ncbi.public	ERC000011	9/12/16	11/16/18	ERX1694910	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:19Z	public	Illumina MiSeq	16634280	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008102	ERS1179212	ERS1179212	ERP015690	P24_Pre	Pre	P24	0
ERR1624547	1.6586309244121	0	0	0	2.8171890101321	2.8940966711623	1.0744324494722	0	3.91524350912236	2.78355924846708	0	0.629496266093907	1.17984899955404	3.291704016289	0	0	3.64107473510039	0	0	0	1.37705025188769	0	0	2.40897436344033	0	0	0.629496266093907	030fbfa0-1cde-11e6-9a08-68b599768938	WGS	500	9181500	PRJEB14082	SAMEA4008104	5634834	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	ena,s3,gs,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694912	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:20Z	public	Illumina MiSeq	16634282	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008104	ERS1179214	ERS1179214	ERP015690	P26_Pre	Pre	P26	0
ERR1624549	0.946507263743086	0	0	0	3.36950792229871	2.36362358689825	0.794307671823372	0	4.04721481415293	2.97341766885121	0	0.557952879369523	2.94473539954128	2.9835559282424	0	0	2.58274627335497	0	1.05898849972678	0	0	0	0	1.47349823569257	0	0	1.34063548281041	03208880-1cde-11e6-9a08-68b599768938	WGS	500	7965000	PRJEB14082	SAMEA4008106	5048509	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	s3,gs,ncbi,ena	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694914	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:21Z	public	Illumina MiSeq	16634284	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008106	ERS1179216	ERS1179216	ERP015690	P33_Pre	Pre	P33	0
ERR1624550	0	0	0	0	3.44789181744934	2.42552722918275	1.35978495582669	0	3.67861994468345	2.38042636031801	0.439614794835247	1.99607393924063	3.88575489870454	2.59483464251016	2.37883926676141	0	1.69940436372598	0	0	0	1.02673046258322	0	0	2.58207887584292	0	0	0	03289ed0-1cde-11e6-9a08-68b599768938	WGS	500	11658000	PRJEB14082	SAMEA4008107	7418991	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	gs,ena,s3,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694915	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:21Z	public	Illumina MiSeq	16634285	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008107	ERS1179217	ERS1179217	ERP015690	P34_Pre	Pre	P34	0
ERR1624552	1.54562709296007	0	0	1.79966467993638	2.61441686583019	2.40544665437192	1.09255538799351	0	3.75964201010267	2.89650596316435	0	0.967217367571827	3.40655705748359	3.36481141733568	0	0	3.67619008179109	1.05465796791974	0	0	0.967217367571827	0	0	1.18970479520246	0	0	0	0338cb70-1cde-11e6-9a08-68b599768938	WGS	500	9990000	PRJEB14082	SAMEA4008109	6321273	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	ena,s3,gs,ncbi	ena,ncbi.public,s3.us-east-1,gs.US	ERC000011	9/12/16	11/16/18	ERX1694917	SC	2016-09-12T16:42:13Z	2016-05-25T12:31:22Z	public	Illumina MiSeq	16634287	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008109	ERS1179219	ERS1179219	ERP015690	P37_Pre	Pre	P37	0
ERR1624553	0.60939268341697	0	0	0	3.72725189308959	2.90955802586605	1.82251467354923	0	3.98379954530673	2.34816193236475	0	2.34616496878617	0.483645290428828	2.16804520122624	0	0.60939268341697	1.69079000183091	0	1.82251467354923	0	0.60939268341697	0	0	2.52026491886169	0	1.05026500708485	1.76545534760044	033fd050-1cde-11e6-9a08-68b599768938	WGS	500	10139500	PRJEB14082	SAMEA4008110	6373530	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	s3,gs,ncbi,ena	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694918	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:22Z	public	Illumina MiSeq	16634288	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008110	ERS1179220	ERS1179220	ERP015690	P38_Pre	Pre	P38	0
ERR1624554	0	2.04065897940006	0	0	3.33562482121447	1.5305921753416	0.981845971183745	0	4.01240188463449	3.14206106213121	0	0.981845971183745	2.01138215413422	3.10609046854492	0	0	3.00938720886002	0	0	0	0	0	0	2.51891711597141	0	1.45030424133697	2.31029168061759	03477170-1cde-11e6-9a08-68b599768938	WGS	500	7270000	PRJEB14082	SAMEA4008111	4668433	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,ncbi,s3,gs	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694919	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:23Z	public	Illumina MiSeq	16634289	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008111	ERS1179221	ERS1179221	ERP015690	P40_Pre	Pre	P40	0
ERR1624555	1.38087803509191	0	0	0	3.10618647675503	3.40354890188947	0.998206372637373	0	3.97654601461289	3.35186880588662	0	1.17834636858037	1.73840563717899	2.37145254348691	0	0	2.74840835414593	0	0.551407659868765	0	0	0	0	2.72392201051661	0	0	0.68479864953399	034e9d60-1cde-11e6-9a08-68b599768938	WGS	500	8144000	PRJEB14082	SAMEA4008112	5206797	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694920	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:23Z	public	Illumina MiSeq	16634290	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008112	ERS1179222	ERS1179222	ERP015690	P2_Post	Post	P2	1
