Actinobacteria	Bacteroidetes	Cyanobacteria	Firmicutes	Fusobacteria	Proteobacteria	Saccharibacteria	Tenericutes	Verrucomicrobia	others	Alias	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center.Name	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	ENA_CHECKLIST	ENA.FIRST.PUBLIC..run.	ENA.LAST.UPDATE..run.	Experiment	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library.Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	sample_description	Sample.Name	sample_name	SRA_accession	SRA.Study	title	time	ID	prepost
ERR1624539	3.45095324166878	2.92122048264963	0	4.11195307554303	0	1.96281159069562	0	2.37008509020383	0	1.56724145190189	02cdfbb0-1cde-11e6-9a08-68b599768938	WGS	500	10593500	PRJEB14082	SAMEA4008096	6687848	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	ena,ncbi,s3,gs	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694904	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:16Z	public	Illumina MiSeq	16634274	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008096	ERS1179206	ERS1179206	ERP015690	P10_Pre	Pre	P10	0
ERR1624542	3.0765215472402	2.98762392869845	0	4.16092014095915	0	2.48154667414343	0	0	0	0.940268252489498	02e99a00-1cde-11e6-9a08-68b599768938	WGS	500	16692000	PRJEB14082	SAMEA4008099	10042895	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,contigs,sra	s3,ena,gs,ncbi	gs.US,ncbi.public,s3.us-east-1,ena	ERC000011	9/12/16	11/16/18	ERX1694907	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:17Z	public	Illumina MiSeq	16634277	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008099	ERS1179209	ERS1179209	ERP015690	P18_Pre	Pre	P18	0
ERR1624545	1.37164197273406	1.57704631303247	0	3.31052630608502	0	4.17187017012774	0	0	0	0	02ffe120-1cde-11e6-9a08-68b599768938	WGS	500	8592500	PRJEB14082	SAMEA4008102	5385151	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,cram,contigs	ncbi,gs,ena,s3	ena,gs.US,s3.us-east-1,ncbi.public	ERC000011	9/12/16	11/16/18	ERX1694910	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:19Z	public	Illumina MiSeq	16634280	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008102	ERS1179212	ERS1179212	ERP015690	P24_Pre	Pre	P24	0
ERR1624547	3.15675720516814	2.8171890101321	0	4.1707666227528	0	1.71672645273134	0	0	0	0	030fbfa0-1cde-11e6-9a08-68b599768938	WGS	500	9181500	PRJEB14082	SAMEA4008104	5634834	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	ena,s3,gs,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694912	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:20Z	public	Illumina MiSeq	16634282	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008104	ERS1179214	ERS1179214	ERP015690	P26_Pre	Pre	P26	0
ERR1624549	3.07132029560333	3.36950792229871	0	4.09776299059404	0	2.9485857511428	0	1.05898849972678	0	1.25500925214469	03208880-1cde-11e6-9a08-68b599768938	WGS	500	7965000	PRJEB14082	SAMEA4008106	5048509	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	s3,gs,ncbi,ena	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694914	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:21Z	public	Illumina MiSeq	16634284	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008106	ERS1179216	ERS1179216	ERP015690	P33_Pre	Pre	P33	0
ERR1624550	2.70523610252466	3.44789181744934	0	3.74768982251052	2.37883926676141	3.89301772946397	0	0	0	0	03289ed0-1cde-11e6-9a08-68b599768938	WGS	500	11658000	PRJEB14082	SAMEA4008107	7418991	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	gs,ena,s3,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694915	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:21Z	public	Illumina MiSeq	16634285	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008107	ERS1179217	ERS1179217	ERP015690	P34_Pre	Pre	P34	0
ERR1624552	3.03574544856251	2.61441686583019	0	4.11008668791958	0	3.41128632665553	0	0	0	0	0338cb70-1cde-11e6-9a08-68b599768938	WGS	500	9990000	PRJEB14082	SAMEA4008109	6321273	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	ena,s3,gs,ncbi	ena,ncbi.public,s3.us-east-1,gs.US	ERC000011	9/12/16	11/16/18	ERX1694917	SC	2016-09-12T16:42:13Z	2016-05-25T12:31:22Z	public	Illumina MiSeq	16634287	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008109	ERS1179219	ERS1179219	ERP015690	P37_Pre	Pre	P37	0
ERR1624553	3.01577811294155	3.72725189308959	0.60939268341697	4.00682913084362	0	2.46608198786017	0	1.82251467354923	1.05026500708485	1.76545534760044	033fd050-1cde-11e6-9a08-68b599768938	WGS	500	10139500	PRJEB14082	SAMEA4008110	6373530	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	s3,gs,ncbi,ena	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694918	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:22Z	public	Illumina MiSeq	16634288	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008110	ERS1179220	ERS1179220	ERP015690	P38_Pre	Pre	P38	0
ERR1624554	3.15225209187463	3.33562482121447	0	4.11111262748562	0	2.35917312985556	0	0	1.45030424133697	2.31029168061759	03477170-1cde-11e6-9a08-68b599768938	WGS	500	7270000	PRJEB14082	SAMEA4008111	4668433	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,ncbi,s3,gs	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694919	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:23Z	public	Illumina MiSeq	16634289	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008111	ERS1179221	ERS1179221	ERP015690	P40_Pre	Pre	P40	0
ERR1624555	3.68150435444007	3.10618647675503	0	4.03327640698667	0	1.89092147627401	0	0.551407659868765	0	0.68479864953399	034e9d60-1cde-11e6-9a08-68b599768938	WGS	500	8144000	PRJEB14082	SAMEA4008112	5206797	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694920	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:23Z	public	Illumina MiSeq	16634290	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008112	ERS1179222	ERS1179222	ERP015690	P2_Post	Post	P2	1
ERR1624556	2.74068317517751	3.31726698020307	0	4.12389833579494	0	2.99315022341159	0	0	0.978816184965569	1.60766984503511	0355f060-1cde-11e6-9a08-68b599768938	WGS	500	13225000	PRJEB14082	SAMEA4008113	8204220	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,cram,contigs	s3,ena,gs,ncbi	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694921	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:24Z	public	Illumina MiSeq	16634291	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008113	ERS1179223	ERS1179223	ERP015690	P3_Post	Post	P3	1
ERR1624559	2.59977319959902	3.59216086962557	0	3.95309914660133	0	3.56053245583756	0	0	0	1.62421103145557	036bc250-1cde-11e6-9a08-68b599768938	WGS	500	10149000	PRJEB14082	SAMEA4008116	6407488	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	ena,s3,gs,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694924	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:25Z	public	Illumina MiSeq	16634294	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008116	ERS1179226	ERS1179226	ERP015690	P16_Post	Post	P16	1
ERR1624560	3.35613642443362	3.04092494374036	0	4.0220913104265	0.744334635734711	3.47444918583998	0	0	1.88773776287185	0.893528660203496	03731550-1cde-11e6-9a08-68b599768938	WGS	500	8820000	PRJEB14082	SAMEA4008117	5515838	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	gs,ncbi,s3,ena	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694925	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:25Z	public	Illumina MiSeq	16634295	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008117	ERS1179227	ERS1179227	ERP015690	P17_Post	Post	P17	1
ERR1624562	3.06430563351306	2.99363806144678	0	4.12348274906675	0	3.18374299379722	0	0	0	0	03831ae0-1cde-11e6-9a08-68b599768938	WGS	500	10102500	PRJEB14082	SAMEA4008119	6134509	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US,ena	ERC000011	9/12/16	11/16/18	ERX1694927	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:26Z	public	Illumina MiSeq	16634297	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008119	ERS1179229	ERS1179229	ERP015690	P19_Post	Post	P19	1
