SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Gracilibacteria	Candidatus Korarchaeota	Candidatus Micrarchaeota	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Chrysiogenetes	Coprothermobacterota	Crenarchaeota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	candidate division Zixibacteria
SAMPLE-1	2.9422021346720886	5.459623001100566	2.4694910038010125	2.2553665639816827	6.861133421205431	1.7269290297664537	1.567424951067256	1.6029924657288375	1.8511146163779175	0.9327287707007709	1.091580495062019	0.46108668513185713	2.431667505649923	2.431667505649923	2.9487209289024814	3.179403513914678	1.8313860319164392	1.153473342188109	2.554425625713567	3.7132622882254074	2.5127721147822495	3.229314750538559	1.8625354367425	1.9971475870197575	3.644142873431795	2.056313946889067	6.736070910097877	3.7377278231216406	2.4505060083852324	2.355432347862908	1.988800127943177	4.089944110902169	2.4947485207151594	3.6145149378944823	5.684354187295122	3.5286795003156795	3.2428275044170904	3.345132614640182	2.3924567052944177	2.4012398070890697	2.8709906440808592	5.83975100962381	1.8107184157888758
SAMPLE-10	3.125600723490822	5.826643994102541	2.5302230698709955	2.4323435038515626	6.652623990579395	1.733334937969084	1.7644838366324254	1.7135135305182974	1.6855941000322112	1.0592781912982365	0.8714820242402382	1.116344701623638	2.7968058150878585	2.620223906972426	3.0193810813841404	3.677663406942731	2.3454064021036953	1.615321469685208	2.6235630927633706	3.7729368647666597	2.6382796264580533	3.540997881766054	1.6709311310892123	2.141831263075784	3.7118194212869398	2.4412919533404085	6.762874168044309	3.531439696116333	2.5629786509749173	2.302313013011751	2.254467799022308	2.6185446366403546	2.64703357310318	3.8005739253525452	6.299682468579161	3.6011061990888393	3.0969301261458186	3.254042945368146	2.1238127034958487	2.465887550338806	2.9249079258621355	6.087953742493668	1.733334937969084
SAMPLE-100	3.2747703444780094	6.228900214965802	3.0654357346786685	2.532426882468914	5.665346264377259	1.830504916993489	2.145447959478976	1.5124325355183927	1.8419179087597304	2.1224503057214332	1.8419179087597304	0.279022081286777	3.120679239275689	3.053144620664792	3.2023183042350394	3.498766660253556	2.5088251459581685	1.5358442089127957	3.23654897190778	4.26179373814402	2.899839070568574	3.7232333124368693	2.6032761287899704	2.420355029608665	4.336990279115807	2.4477226063793616	6.9898242104083455	3.939746203480398	2.821751625208614	3.4392669239838702	2.4614624807703827	2.763768920893697	3.0586503266906866	4.067853195943573	6.306279205081243	4.025663405816908	3.196133817013176	3.9788064179114406	2.8755112781971848	2.576099310876868	3.444501820976143	5.202171255748388	2.245087884310126
SAMPLE-101	2.6997093496525943	5.739795663556393	2.55860712261146	2.006932920695068	6.694559196398965	1.5946941792801195	1.755066357947808	1.3971500077135859	1.2687342795977836	1.2687342795977836	1.0245606197313382	0.41446710246897034	2.885104462097791	2.3126264241073096	2.7092960219470754	2.9968263342253123	1.6286059861639788	1.0856043953316563	2.711996647089115	3.669515868228828	2.315989774856124	2.9797266519485195	1.8811428324263992	1.83297350375594	3.5126346320572273	1.8901672357664314	6.7053301910664835	6.384321726849755	1.9859572773640377	2.174694363316126	1.742701684358242	2.064390268015452	2.2774775991826948	3.3996462899244713	6.075518373653382	3.367241039590791	2.681323840033444	3.3452564310645947	2.25106311780143	2.0397868932640733	2.841412922014097	4.101727441367696	1.0856043953316563
SAMPLE-102	3.0441548774489515	6.142423005780474	2.63644575784669	2.231089673673598	6.009517961314919	1.640289461940817	2.1348169196657145	1.235256325882966	1.270934307826695	1.3767975412234632	0.2395181774944851	0.2395181774944851	2.868692354182287	2.500634227005736	2.9391852774583405	3.3419454135974993	2.0140434535059097	1.7553138549194922	2.7297447132531	3.8065402005793043	2.5678175349131442	3.293373049217691	1.9096108844739494	2.0046603037021056	3.688012820638429	2.609810331195262	7.063798655766688	3.4928725331468367	2.459378655760664	2.4924850888886754	2.0553351645736653	2.486271291667802	2.5125782068869826	3.6689857449792935	5.267511213573061	3.6376082298053363	2.84514780787589	3.478033627981662	2.3710824719257015	2.100710147254166	3.0064806998815463	3.5031266769029634	1.1536847241708075
SAMPLE-103	3.3055039556427923	5.740306549779312	2.8684120084535945	2.4146150502672	6.26799694910516	1.7595635547688586	1.9743638389504732	1.3296277285585776	1.5294407541688018	1.2571316767114584	0.9794851239286635	0.0	3.239791126335588	2.827541253020595	3.3875806265001587	3.526673316281884	2.2791261746892264	1.9773793138865807	2.821559861678704	3.998301238190339	2.7666007964090666	3.471478101581976	2.3260038726347783	2.5027578063321254	3.8815843429864514	2.6171444466342537	6.8569808547312565	4.492116942286789	2.551060363387072	2.209300416702791	2.4730840344386626	2.71864190653892	2.7180963258031485	3.900714310760223	6.655570825935515	3.809091728068917	3.0596180444911396	3.4274139796239944	2.500060442037571	2.4759536900125556	3.221682578934378	4.020382109422724	1.5294407541688018
SAMPLE-104	2.3515182454133026	5.2149226311419845	2.213939874989458	1.5664278985782114	6.890719690315116	1.3705616429733944	1.0876505429689558	0.9554923056407676	1.283123046205633	0.8379472931418497	0.49696421179965705	0.6762762434192123	2.4263909618622073	2.1753591999595367	2.425519529892401	2.601648895273171	1.2451902029308144	1.2036243156135709	2.296452359477594	3.307372332362439	2.156326856204411	2.484179483490238	1.5336942087712901	1.677154499198912	3.1597471788504348	1.810719211753926	6.532403927280982	4.948663956299298	1.4084583123926848	1.8351695631994822	1.5128002393378217	1.7732143938489155	2.0565167949054732	3.058994577615876	6.443084054731231	3.1634312341010324	2.36375646743111	2.9920095453769773	1.9375680204959609	1.8452410829157548	2.558266985093729	2.8301065373390126	0.7645917122955216
SAMPLE-105	2.787501130821572	6.316235931382199	2.3347501075324337	2.3347501075324337	6.848860230696906	1.232341240358516	1.3428203269587378	1.199693616888406	1.5039538778864947	0.0	0.0	0.0	2.0781015481131075	2.317001542336181	2.8486775660365895	2.971746560147918	1.6697792387613142	0.9252541869819194	2.136760992655933	3.4466428253424635	2.140662729150435	3.0549391386096585	1.646176079015169	1.7716943138236037	3.357902817037967	2.0503146324736314	6.691435441996361	3.0085402042499507	2.0869823409971278	2.0913555524385483	1.9887613723588435	2.3272322182299168	2.3817954004827873	3.4190978145499917	5.188912114281787	3.320794840547789	2.870923193253127	2.73347138073685	1.8466021616137205	2.0406426919822303	2.688573712616494	3.1734653761287306	1.4502883870480647
SAMPLE-106	3.006804074938734	6.067081938200294	2.3815152640867976	2.355085391076384	6.739273593733209	1.2999501489477012	1.6205859044685555	1.320101600171886	1.0201609345552802	1.154278872470801	0.6803415516715156	0.289481179223708	2.3327186668506057	2.417583081947809	2.907054678395182	3.110143446156694	1.7763090691829948	1.439813565641382	2.495173680082111	3.7361077945981607	2.399923490979926	3.2123816979714324	1.9854227985861146	2.2172743278446867	3.579845509476991	2.0559685145209072	6.867028999313202	3.3014977316393814	2.3171407946773166	1.8745183379225387	2.1440677986149237	2.5119510978709725	2.4763500518484687	3.581034897353532	5.232789811782966	3.523999130162849	2.9464942763045867	3.482828708315185	2.129044568175003	2.328876269515751	2.8254256231148784	3.399349879229008	1.8745183379225387
SAMPLE-107	2.9903386655652064	6.423764587348118	2.8929552314365807	2.6216552151001684	5.793425739404015	1.5572758531707391	2.0607451101642673	1.268118802647516	0.9899031722410699	1.1770257192190863	0.7967211219186562	0.0	2.3697484719878448	2.6324425630536963	2.940893465162094	3.162892276339205	1.830290088540552	1.4363309390853718	2.860588325514581	4.077668792110395	2.5054688631060005	3.166022076615347	1.9479331018134922	2.191326377097748	3.954374069838093	2.171256089180807	7.0197353541644905	3.795680677386713	2.1962023004572253	2.339453036970618	2.0607451101642673	2.707290121173032	2.5172028188037707	3.6764584609622406	5.482698810828478	3.8405890069624453	2.933854076367721	3.67869910188197	2.3697484719878448	2.6874118810839227	3.037529303098317	5.082872975588433	1.7568584422971056
