Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environment_(biome),environment_(feature),environment_(material),Experiment,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_name,Sequencing_method,SRA_accession,SRA Study,Title
ERR1305877,9463,WGS,194,9428728539,PRJEB12947,SAMEA3888900,7654430000,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ncbi,s3,ena,gs","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377500,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,E02-1Y,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888900,ERS1076034,Illumina,ERS1076034,ERP014480,E02_1Y
ERR1305878,9461,WGS,195,6488169866,PRJEB12947,SAMEA3888907,5162355342,BEIJING GENOME INSTITUTE,2011,public,"fastq,sra","ncbi,s3,gs,ena","s3.us-east-1,ena,ncbi.public,gs.US",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377501,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,E02-3MDR,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888907,ERS1076041,Illumina,ERS1076041,ERP014480,E02_3MO
ERR1305879,9456,WGS,194,9012076831,PRJEB12947,SAMEA3888902,7450005117,BEIJING GENOME INSTITUTE,2011,public,"fastq,sra","ena,ncbi,s3,gs","gs.US,ena,ncbi.public,s3.us-east-1",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377502,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,E02-PRE,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888902,ERS1076036,Illumina,ERS1076036,ERP014480,E02_Baseline
ERR1305880,9466,WGS,194,6382417657,PRJEB12947,SAMEA3888897,5232220298,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","s3,ena,ncbi,gs","ena,s3.us-east-1,gs.US,ncbi.public",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377503,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,E06-1Y,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888897,ERS1076031,Illumina,ERS1076031,ERP014480,E06_1Y
ERR1305881,9465,WGS,195,7071779518,PRJEB12947,SAMEA3888906,5751713091,BEIJING GENOME INSTITUTE,2012,public,"sra,fastq","ncbi,ena,gs,s3","ena,s3.us-east-1,gs.US,ncbi.public",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377504,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,E06-3MDR,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888906,ERS1076040,Illumina,ERS1076040,ERP014480,E06_3MO
ERR1305882,9464,WGS,194,6258722873,PRJEB12947,SAMEA3888898,5129264019,BEIJING GENOME INSTITUTE,2011,public,"sra,fastq","s3,ena,ncbi,gs","s3.us-east-1,gs.US,ena,ncbi.public",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377505,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,E06-PRE,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888898,ERS1076032,Illumina,ERS1076032,ERP014480,E06_Baseline
ERR1305883,9453,WGS,192,6737201097,PRJEB12947,SAMEA3888899,5668343302,BEIJING GENOME INSTITUTE,2010,public,"fastq,sra","ncbi,gs,s3,ena","s3.us-east-1,ncbi.public,gs.US,ena",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377506,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,F05-3MDR,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888899,ERS1076033,Illumina,ERS1076033,ERP014480,F05_3MO
ERR1305884,9468,WGS,192,7620517020,PRJEB12947,SAMEA3888894,6516583852,BEIJING GENOME INSTITUTE,2010,public,"sra,fastq","ncbi,ena,s3,gs","s3.us-east-1,ena,gs.US,ncbi.public",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377507,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,F05-PRE,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888894,ERS1076028,Illumina,ERS1076028,ERP014480,F05_Baseline
ERR1305885,9462,WGS,195,7014284721,PRJEB12947,SAMEA3888893,5712816713,BEIJING GENOME INSTITUTE,2010,public,"sra,fastq","ena,s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public,ena",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377508,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,F06-3MDR,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888893,ERS1076027,Illumina,ERS1076027,ERP014480,F06_3MO
ERR1305886,9460,WGS,195,5781995359,PRJEB12947,SAMEA3888901,4566808657,BEIJING GENOME INSTITUTE,2010,public,"sra,fastq","s3,ncbi,ena,gs","gs.US,s3.us-east-1,ncbi.public,ena",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377509,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,F06-PRE,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888901,ERS1076035,Illumina,ERS1076035,ERP014480,F06_Baseline
