bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Bacilli	0.00570003466301894	0.00570003466301901	0.608655420226227	0.0855005199452841	0.0855005199452852
Gammaproteobacteria	0.016364044201748	0.016364044201748	0.599131778410798	0.12273033151311	0.12273033151311
Verrucomicrobiae	0.04080890809047	0.04080890809047	0.455440817491111	0.20404454045235	0.20404454045235
Fusobacteriia	0.168315811578771	0.168315811578771	0.313970569943964	0.631184293420392	0.631184293420392
Negativicutes	0.302159822027464	0.302159822027464	0.202839299700316	0.802385083954599	0.802385083954599
Mollicutes	0.337624724407392	0.337624724407392	-0.230304129452831	0.802385083954599	0.802385083954599
Betaproteobacteria	0.414249235297716	0.414249235297716	0.112862607439775	0.802385083954599	0.802385083954599
Erysipelotrichia	0.437711130981819	0.437711130981819	-0.130502587282742	0.802385083954599	0.802385083954599
Coriobacteriia	0.481431050372759	0.481431050372759	0.0943270617906647	0.802385083954599	0.802385083954599
Bacteroidia	0.639403489318857	0.639403489318857	0.0637075986682206	0.891475884867696	0.891475884867696
Chloroplast	0.667483916404882	0.667483916404882	0.0408791867923247	0.891475884867696	0.891475884867696
Deltaproteobacteria	0.713180707894157	0.713180707894157	0.0759149051255525	0.891475884867696	0.891475884867696
Clostridia	0.780269723936464	0.780269723936464	-0.0380547848589694	0.900311219926689	0.900311219926689
others	0.918078580557503	0.918078580557503	-0.0203153277246899	0.965438893265816	0.965438893265816
Actinobacteria	0.965438893265816	0.965438893265816	-0.00847941774831258	0.965438893265816	0.965438893265816
