bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Streptococcaceae	0.000303439545114914	0.000303439545114931	0.757919748329643	0.0112272631692518	0.0112272631692525
Actinomycetaceae	0.00149986453944329	0.00149986453944329	0.595114131180215	0.0198202593696689	0.019820259369669
Micrococcaceae	0.00160704805700018	0.00160704805700019	0.556545876224492	0.0198202593696689	0.019820259369669
Carnobacteriaceae	0.00278374854068941	0.00278374854068946	0.47418746852802	0.0257496740013771	0.0257496740013775
Enterococcaceae	0.00491104607423309	0.00491104607423307	0.976198104767487	0.0363417409493249	0.0363417409493247
Enterobacteriaceae	0.0105034153752926	0.0105034153752926	0.680435283822921	0.0647710614809713	0.0647710614809712
Family_XI	0.0268498252145669	0.0268498252145669	0.388916376228484	0.141920504705568	0.141920504705568
Verrucomicrobiaceae	0.04080890809047	0.04080890809047	0.455440817491111	0.188741199918424	0.188741199918424
Oxalobacteraceae	0.0866415981119787	0.0866415981119787	0.224818656083563	0.337411294722787	0.337411294722787
Acidaminococcaceae	0.0911922418169694	0.0911922418169694	0.3639488736576	0.337411294722787	0.337411294722787
Family_XIII	0.124920551041954	0.124920551041954	0.241670158088043	0.420187308050207	0.420187308050207
Bacteroidales_S24-7_group	0.163064672318183	0.163064672318183	0.124071413355441	0.479052694493426	0.479052694493426
Fusobacteriaceae	0.168315811578771	0.168315811578771	0.313970569943964	0.479052694493426	0.479052694493426
Veillonellaceae	0.189440579693625	0.189440579693625	0.302769672211207	0.500664389190294	0.500664389190294
Lactobacillaceae	0.215202385253638	0.215202385253638	-0.43915186632013	0.514685582370155	0.514685582370155
Eubacteriaceae	0.222566738322229	0.222566738322229	0.142889616179827	0.514685582370155	0.514685582370155
Prevotellaceae	0.241895195188933	0.241895195188933	0.307162523525592	0.526477777764149	0.526477777764149
Defluviitaleaceae	0.336249520714625	0.336249520714625	-0.0913151122123624	0.6138814840203	0.6138814840203
Leuconostocaceae	0.339893169195063	0.339893169195063	-0.112253399684648	0.6138814840203	0.6138814840203
Alcaligenaceae	0.341055825931367	0.341055825931367	0.157510829062091	0.6138814840203	0.6138814840203
Rikenellaceae	0.363803500140293	0.363803500140293	0.185383152499988	0.6138814840203	0.6138814840203
Pasteurellaceae	0.365010612120178	0.365010612120178	-0.136335472866363	0.6138814840203	0.6138814840203
Peptostreptococcaceae	0.433960221885521	0.433960221885521	-0.16896833456763	0.670887344191119	0.670887344191119
Erysipelotrichaceae	0.437711130981819	0.437711130981819	-0.130502587282742	0.670887344191119	0.670887344191119
others	0.453302259588594	0.453302259588594	0.168006745193074	0.670887344191119	0.670887344191119
Coriobacteriaceae	0.481431050372759	0.481431050372759	0.0943270617906647	0.675926523119968	0.675926523119968
Bifidobacteriaceae	0.49324367903349	0.49324367903349	-0.14932574739756	0.675926523119968	0.675926523119968
Clostridiales_vadinBB60_group	0.584470815965592	0.584470815965592	0.0551306091199113	0.772336435383103	0.772336435383103
Bacteroidaceae	0.672786480139935	0.672786480139935	-0.0593147885704416	0.845010220637093	0.845010220637093
Desulfovibrionaceae	0.713180707894157	0.713180707894157	0.0759149051255525	0.845010220637093	0.845010220637093
Ruminococcaceae	0.720989312007956	0.720989312007956	-0.0454194003516713	0.845010220637093	0.845010220637093
Lachnospiraceae	0.74967728392593	0.74967728392593	-0.0509875968161807	0.845010220637093	0.845010220637093
Burkholderiaceae	0.753657764352002	0.753657764352002	-0.0200449010214885	0.845010220637093	0.845010220637093
Porphyromonadaceae	0.784664448428617	0.784664448428617	-0.0463936915145654	0.853899546819378	0.853899546819378
Staphylococcaceae	0.814524579780919	0.814524579780919	0.0278140044035246	0.861068841482686	0.861068841482686
Christensenellaceae	0.868210673489208	0.868210673489208	-0.03323556411656	0.892327636641686	0.892327636641686
Clostridiaceae_1	0.952531091530806	0.952531091530806	0.0159236660434592	0.952531091530806	0.952531091530806
