bugName	pval	p3M	p1Y	p2Y	s3M	s1Y	s2Y	Adjustedpval	Adjustedp3M	Adjustedp1Y	Adjustedp2Y
Family_XI	1.03538797664449e-05	7.62805661195832e-07	0.0759042492277405	0.00809685742060292	0.953105361383338	0.332015060547438	0.624967254083193	0.000621232785986692	4.57683396717499e-05	0.175163652064016	0.0539790494706861
Neisseriaceae	3.84289936172788e-05	1.68261065473475e-05	0.0117943361147638	0.000205992126179013	0.804538920285518	0.488204892100194	0.933226441464552	0.00115286980851836	0.00033652213094695	0.0884575208607288	0.0061797637853704
Streptococcaceae	8.71681846130734e-05	1.360057380744e-05	0.00278176180012246	0.0038074517487178	0.818624692280054	0.592730109152797	0.705110659585786	0.00174336369226147	0.00033652213094695	0.0797679210213857	0.0456894209846136
Pasteurellaceae	0.000165179383569969	0.00022620810683651	0.0109174449198193	0.000148506043505764	0.756022449531746	0.56603920776974	1.10444981960018	0.00247769075354953	0.00271449728203812	0.0884575208607288	0.0061797637853704
Enterobacteriaceae	0.000521018534320294	6.67962533551987e-05	0.0442073640405454	0.00760986437850581	0.730162460552474	0.37925057695664	0.626513794482074	0.00625222241184353	0.00100194380032798	0.139602202233301	0.0539790494706861
Fusobacteriaceae	0.00116335566274239	0.000403591900048566	0.005868008629072	0.00529152702948999	1.01650626507046	0.863860308058926	1.08090622920552	0.0106759792462117	0.00403591900048566	0.0851851850175749	0.0503441987572885
Carnobacteriaceae	0.00124553091205803	0.00286788029362706	0.905681125023282	0.00178722675145591	0.687768832415392	0.0287228241446786	0.984583546872064	0.0106759792462117	0.0191192019575137	0.921031652566049	0.030000638943201
Elusimicrobiaceae	0.00254394952841852	0.917646245019609	0.00049092266283858	0.269613200406885	0.021088841436527	0.866953718192732	0.314439597243895	0.0190796214631389	0.983550198344685	0.0294553597703148	0.557820414634935
Leptotrichiaceae	0.0056461286495213	0.00244049856377827	0.0361766718986617	0.005873489855017	0.552638841401151	0.417292311552469	0.691855568678729	0.0370911228315742	0.018303739228337	0.139602202233301	0.0503441987572885
Succinivibrionaceae	0.00618185380526237	0.0161502970110777	0.507399340841132	0.0020000425962134	-0.631928821521542	-0.192386312378207	-1.18354660902689	0.0370911228315742	0.0692155586189046	0.730534482301245	0.030000638943201
Verrucomicrobiaceae	0.0109750049094042	0.00229213164312425	0.0175265475427886	0.0564436384157496	0.86909975454107	0.747249359704658	0.732428418372026	0.0543678958784196	0.018303739228337	0.105159285256732	0.234762041096821
Prevotellaceae	0.0117038457804686	0.61264183092571	0.0374899515724543	0.0147218145428014	-0.0914570232870087	0.439346164227883	0.646141046507954	0.0543678958784196	0.782095954373247	0.139602202233301	0.0803008065970983
Peptostreptococcaceae	0.0117797107736576	0.759299412754888	0.00398839605106929	0.041538581274592	-0.0648190517013633	-0.729781166197909	-0.622931736094245	0.0543678958784196	0.887601025698405	0.0797679210213857	0.20769290637296
Actinomycetaceae	0.0255273565591878	0.00439341096890375	0.688929417726937	0.153906739665875	0.58397878601068	0.0866536174645261	0.380197482821011	0.109402956682233	0.0260280980545671	0.794918558915697	0.384766849164686
Micrococcaceae	0.0290138698350558	0.00477181797667063	0.155776529823184	0.0586905102742052	0.497860153367448	0.267876254885495	0.438616011746188	0.116055479340223	0.0260280980545671	0.322296268599692	0.234762041096821
vadinBE97	0.0337188839288249	0.0214545515219215	0.00851851850175749	0.302837249226299	0.480376477882212	0.633015156629859	0.296123138952286	0.126445814733094	0.0858182060876859	0.0851851850175749	0.588972933451339
Clostridiaceae_1	0.0369163368106515	0.599929165386645	0.00729711341813715	0.947635239379635	-0.123936085505161	-0.753652802519058	0.0218151252314681	0.130292953449358	0.782095954373247	0.0851851850175749	0.983347461542082
Family_XIII	0.0495913526339671	0.0241900115647295	0.0250207910842927	0.774366813810323	0.317055834936351	0.361103688620818	0.0555622600636976	0.158787865661119	0.0907125433677355	0.13647704227796	0.929727533570669
Mitochondria	0.0503059637832011	0.763502702579287	0.0983589713070846	0.0138156769780758	0.0296492318318435	0.184376130351233	0.341624035681685	0.158787865661119	0.887601025698405	0.218575491793521	0.0803008065970983
Victivallaceae	0.0529292885537063	0.0132665163577155	0.0528747897573752	0.083262444197146	0.687048414155911	0.598803522160077	0.659955900917802	0.158787865661119	0.0663325817885773	0.154323575976623	0.277541480657153
Porphyromonadaceae	0.0837525692931994	0.2134564010828	0.0161940738747191	0.105783707813185	0.139029289714546	0.311121298946868	0.25266196638159	0.239293055123427	0.411014449009405	0.105159285256732	0.323450655145426
Campylobacteraceae	0.103261695260487	0.0152600654007684	0.179990856220063	0.311631851716755	0.434164922792139	0.260295057814212	0.238322350325783	0.275421912851769	0.0692155586189046	0.348429315151956	0.588972933451339
Bacteroidales_S24-7_group	0.108285985046345	0.177659722224714	0.0316698094828893	0.850332941450862	0.392452890849977	0.723538019681914	-0.0764471497424891	0.275421912851769	0.380699404767245	0.139602202233301	0.949127311591856
Synergistaceae	0.117225795293951	0.394196349470885	0.0400517655530131	0.0680218681285719	0.183166811225927	0.505932580843573	0.548478207395987	0.275421912851769	0.6064559222629	0.139602202233301	0.253288606011607
Eubacteriaceae	0.124189352103226	0.170896355057582	0.042597886528173	0.071765105036622	-0.149347598091009	-0.251186133237583	-0.271842801161888	0.275421912851769	0.379769677905737	0.139602202233301	0.253288606011607
Burkholderiaceae	0.124784943717195	0.0400831218917514	0.800986030860749	0.902551487901769	0.155199627450299	-0.020636623378273	0.0121938723813632	0.275421912851769	0.120249365675254	0.843143190379736	0.967019451323324
Bifidobacteriaceae	0.128223872646037	0.063299311558561	0.0591573707910388	0.107816885048475	-0.642918262693679	-0.727442230534964	-0.749539588339358	0.275421912851769	0.16512863884842	0.154323575976623	0.323450655145426
Corynebacteriaceae	0.128530225997492	0.0268354019869891	0.672657817572516	0.969432121093795	0.177793264400189	0.0367189412132223	0.00406430538955549	0.275421912851769	0.094713183483491	0.791362138320607	0.98586317399369
Defluviitaleaceae	0.151371964053118	0.0345743009208989	0.180254334780715	0.132804877486597	-0.25570631951724	-0.182192339349378	-0.254688932141506	0.299697121261082	0.11524766973633	0.348429315151956	0.362195120417992
Methanobacteriaceae	0.157972129820422	0.605324139183217	0.0277465381141618	0.40280844653652	0.146092224304366	0.731837860288177	0.336260607305521	0.299697121261082	0.782095954373247	0.138732690570809	0.628758837024561
Aeromonadaceae	0.159815177164969	0.0485555026597894	0.069023479219936	0.394216917299014	0.337643214436028	0.349778800747766	0.198959140804568	0.299697121261082	0.138730007599398	0.17255869804984	0.628758837024561
Rikenellaceae	0.159838464672577	0.0396718962569065	0.392348936469052	0.85421458043267	0.355143057929163	0.163421269019722	-0.0432531898289506	0.299697121261082	0.120249365675254	0.636241518598462	0.949127311591856
others	0.201947792892809	0.962237350800856	0.0551871273265708	0.539338050600642	-0.011742508528917	0.554766098037589	0.215729614978022	0.363887259148669	0.999201855746342	0.154323575976623	0.748603463739736
Microbacteriaceae	0.206202780184246	0.141305289072016	0.0580644284848674	0.198951468345704	-0.108009441912017	-0.156302920762921	-0.127285048717156	0.363887259148669	0.339132693772838	0.154323575976623	0.459118773105471
Anaeroplasmataceae	0.221986336565632	0.440982336123234	0.0416441519548036	0.338034178775112	-0.0739838501323544	-0.223455893847567	-0.125713032206408	0.380548005541083	0.645340004082781	0.139602202233301	0.596530903720785
Staphylococcaceae	0.234027291624923	0.997696833043294	0.560076436430954	0.0543716777396309	-0.000529254268960173	-0.120205595070689	-0.498720860394482	0.390045486041538	0.999201855746342	0.730534482301245	0.234762041096821
Leuconostocaceae	0.255977989182411	0.815289787839068	0.12597289927089	0.269367502726756	0.0568358756076729	-0.420457778757642	-0.366621955712799	0.413000597011164	0.922969571138568	0.26994192700905	0.557820414634935
Ruminococcaceae	0.261567044773737	0.0512737539263203	0.529298165175914	0.39724278954223	-0.180944827769078	-0.0651020281235436	-0.108995822911553	0.413000597011164	0.139837510708146	0.730534482301245	0.628758837024561
Acidaminococcaceae	0.288150744740634	0.568066714063244	0.242871914151003	0.26930172029899	-0.105439275876051	0.24641936401006	0.288581548112415	0.443308838062513	0.782095954373247	0.428597495560594	0.557820414634935
Desulfovibrionaceae	0.306310003268182	0.199683001463032	0.0758063364928432	0.577404835137999	0.291946713707534	0.459844180540481	0.174675770651797	0.459465004902273	0.399366002926065	0.175163652064016	0.769873113517333
Veillonellaceae	0.401116732360362	0.158005235943634	0.290935333442819	0.192327943492397	0.240873916782514	0.201993008446042	0.30889395019383	0.587000096137115	0.364627467562231	0.498746285901975	0.459118773105471
Cardiobacteriaceae	0.448403250048867	0.128753720484082	0.524342095852377	0.314118897840714	0.127936260069362	0.0592205663413835	0.115092295500556	0.640576071498382	0.321884301210205	0.730534482301245	0.588972933451339
Enterococcaceae	0.460220905250162	0.999201855746342	0.968441144876363	0.142296291446596	-0.000254584362575592	0.0112236065241138	-0.514862148823754	0.642168705000226	0.999201855746342	0.968441144876363	0.371207716817207
Moraxellaceae	0.472438244040916	0.360132146683111	0.55243680200677	0.13214868047103	0.132803478494607	0.0969065275701308	0.306874146110222	0.644233969146704	0.58306483218469	0.730534482301245	0.362195120417992
Pseudomonadaceae	0.486589944829055	0.36107763980914	0.653924373321704	0.394913312197694	0.168391088916481	0.0921080599368074	-0.214882932865573	0.645363682916495	0.58306483218469	0.784709247986044	0.628758837024561
Lachnospiraceae	0.494778823569313	0.226057946955173	0.185828968081043	0.408693244065965	-0.0720237186203366	-0.0892892562613431	-0.0685319418309084	0.645363682916495	0.411014449009405	0.348429315151956	0.628758837024561
Alcaligenaceae	0.570254109651319	0.527162105100933	0.206939911006184	0.335605260129353	0.173170478097056	0.387557376719167	0.358264218300806	0.726080982193935	0.753088721572761	0.376254383647607	0.596530903720785
Rhodospirillaceae	0.580864785755148	0.264400013102746	0.466028990254206	0.774772944642224	0.30037404934064	0.220343644298908	-0.106483166673824	0.726080982193935	0.466588258416611	0.699043485381309	0.929727533570669
Clostridiales_vadinBB60_group	0.627278849316418	0.645458171462286	0.428002781402549	0.635237534732177	-0.104634386922226	0.2052353275928	-0.151861619582863	0.739258306519413	0.806822714327857	0.675793865372445	0.810941533700652
Xanthomonadaceae	0.62790196626218	0.197200762677185	0.552156013158847	0.54897587340914	-0.212899059331204	-0.108288322113624	-0.132833229100606	0.739258306519413	0.399366002926065	0.730534482301245	0.748603463739736
Helicobacteraceae	0.628369560541501	0.219463643624886	0.759257284184129	0.995169795155588	-0.215773851177903	-0.0596941325457136	-0.00144371000191858	0.739258306519413	0.411014449009405	0.843143190379736	0.995169795155588
Erysipelotrichaceae	0.767776246590649	0.314700104021482	0.65234850347674	0.528078849231322	-0.165473587694885	-0.0827421585035515	-0.142547564682306	0.864711260828038	0.539485892608254	0.784709247986044	0.748603463739736
Oxalobacteraceae	0.768847938704089	0.975717086605856	0.444852849075679	0.44041078921862	0.00705795631492816	0.197868754032846	0.243154311134325	0.864711260828038	0.999201855746342	0.684388998577968	0.660616183827931
Deferribacteraceae	0.778240134745234	0.412769419558432	0.373324489603515	0.81321689342932	-0.148799298740016	-0.18112306280846	-0.0586183016141936	0.864711260828038	0.619154129337649	0.622207482672525	0.949127311591856
Christensenellaceae	0.810243104534796	0.36927439371697	0.601200639296097	0.519276629059254	0.19410660987218	0.128908523312802	0.197669190204527	0.883901568583414	0.58306483218469	0.767490177824805	0.748603463739736
Aerococcaceae	0.902678811201935	0.917980185121706	0.63502032536466	0.605461858463838	0.0210618979938802	-0.108436143519134	-0.144087902577471	0.96715586914493	0.983550198344685	0.784709247986044	0.789732858865875
Bacteroidaceae	0.9347574359773	0.603777342404334	0.894040894570184	0.874392151135955	0.0616666050856241	-0.0178820957317341	0.0262611883873157	0.983955195765578	0.782095954373247	0.921031652566049	0.953882346693769
Coriobacteriaceae	0.969397147683428	0.675432276936877	0.734624863177454	0.735833076493152	0.155087198723524	0.139652746464616	0.169134039350878	0.989803558058455	0.827059930943115	0.831650788502778	0.919791345616439
Lactobacillaceae	0.988831829570803	0.769254222271951	0.785091061140412	0.841443651812716	-0.0803144330389179	-0.0835270008079444	-0.0750574357184634	0.989803558058455	0.887601025698405	0.843143190379736	0.949127311591856
Peptococcaceae	0.989803558058455	0.837373704328312	0.795913538774298	0.950569212824012	0.04219343492652	0.0605179785780046	-0.0179913842407515	0.989803558058455	0.930415227031457	0.843143190379736	0.983347461542082
