bugName	pval	p1M	p6M	s1M	s6M	Adjustedpval	Adjustedp1M	Adjustedp6M
Streptococcaceae	3.38982153458289e-09	2.29310923479566e-09	2.34012858893825e-06	1.00078084590304	0.920198638414687	1.2881321831415e-07	8.7138150922235e-08	8.89248863796535e-05
Micrococcaceae	3.2168701147306e-08	2.91005505163388e-08	6.52618617681512e-06	0.992974400966683	0.96227479078002	6.11205321798813e-07	5.52910459810438e-07	9.08366045574514e-05
Carnobacteriaceae	5.70731832461036e-07	1.05586230652471e-07	0.0543483663181919	1.05583870876673	0.396086786724639	7.22926987783978e-06	1.33742558826463e-06	0.197450124308422
Fusobacteriaceae	2.04016334737211e-06	3.80996185579912e-07	0.0353280322769517	1.12911702564715	0.50054202654394	1.93815518000351e-05	3.61946376300917e-06	0.149162802947129
Enterobacteriaceae	3.48008564421409e-06	2.24016353626276e-06	0.000281612142665779	1.48430133856047	1.36533478544655	2.58608891267054e-05	1.41877023963308e-05	0.00214025228425992
Actinomycetaceae	4.08329828316401e-06	1.23897127324015e-06	0.00166348133460237	0.752203624244934	0.573492876187211	2.58608891267054e-05	9.4161816766251e-06	0.010535381785815
Enterococcaceae	2.10422837145785e-05	0.00351535535446139	7.17131088611458e-06	0.454134130772387	1.01959074431433	0.000114229540164855	0.0148426114966147	9.08366045574514e-05
Lachnospiraceae	5.45585960531891e-05	0.00715682986194641	1.70952667931058e-05	-0.131623940433707	-0.307448834557811	0.000259153331252648	0.0226632945628303	0.000162405034534505
Family_XI	0.000136161501646304	3.80417544512812e-05	0.503871675521485	0.726773505669216	0.13469699571366	0.000574904118062171	0.000206512381306955	0.598448808146227
Ruminococcaceae	0.00311600542384394	0.000753998496826573	0.201985518413064	-0.454249463476748	-0.210282208364413	0.011840820610607	0.00358149285992622	0.383772484984822
Clostridiaceae_1	0.00825537598692783	0.0139520580838354	0.00748272660059386	0.71895622694017	1.04593891331932	0.0285185715912052	0.0378698719418389	0.0355429513528208
Corynebacteriaceae	0.0144080907137878	0.00454571874013298	0.116849490801993	0.310860358812158	0.216912486494422	0.0427450109206489	0.0172737312125053	0.29304278510497
Erysipelotrichaceae	0.0146232932096957	0.00520501321439018	0.0890580562302297	-0.418810593283458	-0.31758880007223	0.0427450109206489	0.0179809547406206	0.241729009767766
Verrucomicrobiaceae	0.0210594593448055	0.195884551561009	0.00615892110239752	0.375506893041709	1.11823311670098	0.0571613896501863	0.33834604360538	0.0334341431273008
Pasteurellaceae	0.0337878919713008	0.0100697855560648	0.272101956583199	0.403842367088893	0.216419440617512	0.0855959929939621	0.0294347577792664	0.438342916435272
Christensenellaceae	0.0825515870064906	0.0560702080452895	0.638944310047967	-0.398895379121887	0.126642822160038	0.196060019140415	0.139613909298012	0.693710965194935
Desulfovibrionaceae	0.128001920734395	0.118448901503182	0.0798553203773713	0.354594855152228	0.53267098148709	0.268647565174489	0.236834935374433	0.236092900897679
Methanobacteriaceae	0.131362638982812	0.2249102409071	0.267268832155363	-0.201221447276081	0.247186378182677	0.268647565174489	0.371590832803035	0.438342916435272
others	0.145155518207381	0.286518837256413	0.0571566149313854	0.180940306898052	0.437348849178091	0.268647565174489	0.435508632629748	0.197450124308422
Acidaminococcaceae	0.152347523004501	0.352183368710039	0.18461043282419	-0.294858764731038	0.557253924347472	0.268647565174489	0.495665481888202	0.371488642764148
Coriobacteriaceae	0.155661763723469	0.174538417684854	0.0807686239913111	-0.173532574376607	-0.299735965893739	0.268647565174489	0.315831422477354	0.236092900897679
Eubacteriaceae	0.162050374689079	0.110783073894232	0.123386435833672	0.268590040072696	0.347902265826051	0.268647565174489	0.233875378221156	0.29304278510497
Veillonellaceae	0.162602473658243	0.0587848039149526	0.51970554391646	0.485369146382825	0.214112080634014	0.268647565174489	0.139613909298012	0.598448808146227
Bifidobacteriaceae	0.18591103388465	0.0705001645504769	0.661406737893866	-0.47778379973401	-0.150126140093274	0.29435913698403	0.157588603112831	0.698151556665747
Rhodospirillaceae	0.214286284851311	0.666155704495171	0.147221323909203	-0.0415712983093392	0.190673325144836	0.325715152973993	0.791059899088016	0.329082959326453
Bacteroidaceae	0.274469004045714	0.124649965986543	0.349334259034866	0.338882840395179	0.269818474095385	0.401147005912966	0.236834935374433	0.507571657044771
Bacteroidales_S24-7_group	0.36066017570304	0.977345246425743	0.185744321382074	0.00350551013878676	-0.22206893142813	0.507595802841316	0.993899850142196	0.371488642764148
Prevotellaceae	0.445101132293612	0.514921312052184	0.423127633129629	0.147666792240143	-0.244140840768448	0.604065822398473	0.652233661932767	0.552750233799883
Lactobacillaceae	0.506906022643396	0.26541813338356	0.507863206354232	0.224836346666725	0.173132036296217	0.664221684843071	0.420245377857304	0.598448808146227
Alcaligenaceae	0.53897550493292	0.850667604941906	0.277974879607829	-0.0382523824328062	-0.29802770910966	0.665885968740597	0.923581971079784	0.438342916435272
