bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Streptococcus	0.000216105266297673	0.000216105266297656	0.79047726764327	0.0261487372220184	0.0261487372220164
Actinomyces	0.00120049555950574	0.00120049555950573	0.642855723571448	0.064817604965674	0.0648176049656742
Rothia	0.00160704805700018	0.00160704805700019	0.556545876224492	0.064817604965674	0.0648176049656742
Granulicatella	0.00278374854068941	0.00278374854068946	0.47418746852802	0.0842083933558547	0.084208393355856
Enterococcus	0.00491104607423309	0.00491104607423307	0.976198104767487	0.118847314996441	0.11884731499644
Ruminococcaceae_UCG-002	0.0149765156802932	0.0149765156802932	0.483342264755414	0.200106518814536	0.200106518814536
Gemella	0.0157962637962056	0.0157962637962056	0.385760643317172	0.200106518814536	0.200106518814536
others	0.0166200207113227	0.0166200207113228	-0.151192555644752	0.200106518814536	0.200106518814536
Tyzzerella_3	0.0173444436322912	0.0173444436322912	-0.280074005676544	0.200106518814536	0.200106518814536
Ruminococcaceae_UCG-004	0.0180799406445288	0.0180799406445288	0.360312808060158	0.200106518814536	0.200106518814536
Terrisporobacter	0.021285550408519	0.0212855504085189	-0.330035319370523	0.200106518814536	0.200106518814536
Veillonella	0.0217625511331215	0.0217625511331215	0.465572809316677	0.200106518814536	0.200106518814536
Senegalimassilia	0.0217705179419412	0.0217705179419412	-0.286053897714258	0.200106518814536	0.200106518814536
Faecalibacterium	0.0231528203587067	0.0231528203587067	-0.359985288714525	0.200106518814536	0.200106518814536
Alloscardovia	0.0264303913424079	0.0264303913424079	0.225565798334634	0.213205156828757	0.213205156828757
Ruminococcaceae_NK4A214_group	0.0310159475016495	0.0310159475016495	0.45306480088669	0.234558102981224	0.234558102981224
Lachnospiraceae_FCS020_group	0.0348648826359452	0.0348648826359452	0.398746510550991	0.235274075360971	0.235274075360972
Escherichia/Shigella	0.034999449227252	0.034999449227252	0.691278777941691	0.235274075360971	0.235274075360972
Ruminococcaceae_UCG-010	0.0379333654756793	0.0379333654756792	-0.342444467885166	0.241575643292484	0.241575643292484
Akkermansia	0.04080890809047	0.04080890809047	0.455440817491111	0.246893893947343	0.246893893947343
Atopobium	0.0490842026874283	0.0490842026874282	0.181626580581816	0.280137843914118	0.280137843914117
Raoultella	0.0509341534389305	0.0509341534389304	0.689066217317089	0.280137843914118	0.280137843914117
Family_XIII_AD3011_group	0.0751130222660732	0.0751130222660732	0.284452849517672	0.370446286421585	0.370446286421585
Odoribacter	0.0775749223008549	0.0775749223008549	-0.315040029819106	0.370446286421585	0.370446286421585
Ruminococcus_2	0.0794528399419649	0.0794528399419649	-0.575710695350212	0.370446286421585	0.370446286421585
Ruminococcaceae_UCG-014	0.0796000284872826	0.0796000284872826	-0.489069286328355	0.370446286421585	0.370446286421585
Oxalobacter	0.0866415981119787	0.0866415981119787	0.224818656083563	0.371616553326552	0.371616553326553
Anaerostipes	0.0868823050170144	0.0868823050170144	-0.410890602882448	0.371616553326552	0.371616553326553
Erysipelotrichaceae_UCG-003	0.0890651243509919	0.0890651243509919	-0.261436686805994	0.371616553326552	0.371616553326553
Ruminococcaceae_UCG-005	0.0973680529177564	0.0973680529177564	0.329207935023788	0.392717813434951	0.392717813434951
Catabacter	0.110302306209489	0.110302306209489	0.136990672454016	0.430534808108006	0.430534808108006
Barnesiella	0.116639821411659	0.116639821411659	-0.311226890381139	0.441044324712835	0.441044324712836
Turicibacter	0.153761632636535	0.153761632636535	-0.408950166165333	0.547002429549572	0.547002429549573
Enterorhabdus	0.158619380581781	0.158619380581781	-0.122330835276194	0.547002429549572	0.547002429549573
Succiniclasticum	0.167182274044725	0.167182274044725	0.164077212339416	0.547002429549572	0.547002429549573
Fusobacterium	0.168315811578771	0.168315811578771	0.313970569943964	0.547002429549572	0.547002429549573
Prevotella_7	0.172611846249564	0.172611846249564	0.339470637644924	0.547002429549572	0.547002429549573
Eisenbergiella	0.177338904342957	0.177338904342957	0.227932064719684	0.547002429549572	0.547002429549573
Solobacterium	0.179407187140984	0.179407187140984	0.132273114497929	0.547002429549572	0.547002429549573
Collinsella	0.180827249437875	0.180827249437875	0.246294304287854	0.547002429549572	0.547002429549573
Oscillospira	0.19004549550806	0.19004549550806	-0.159291853098653	0.556533953374826	0.556533953374826
Flavonifractor	0.198426958747029	0.198426958747029	-0.233905186282083	0.556533953374826	0.556533953374826
Family_XIII_UCG-001	0.202039148445152	0.202039148445152	-0.177239173499281	0.556533953374826	0.556533953374826
Ruminococcus_1	0.212536600384729	0.212536600384729	0.330045773757757	0.556533953374826	0.556533953374826
Lachnospiraceae_UCG-001	0.213410875323732	0.213410875323732	0.218542420605355	0.556533953374826	0.556533953374826
Lactobacillus	0.215212036697822	0.215212036697822	-0.439134388712665	0.556533953374826	0.556533953374826
Anaerotruncus	0.216174345525759	0.216174345525759	0.269286952587301	0.556533953374826	0.556533953374826
Allisonella	0.221929164825971	0.221929164825971	0.197773662753848	0.559446436332136	0.559446436332136
Alistipes	0.24230754187912	0.24230754187912	0.218264319537918	0.5897750937067	0.5897750937067
Dielma	0.248331527056114	0.248331527056114	-0.153556719753698	0.5897750937067	0.5897750937067
Holdemania	0.251886840963227	0.251886840963227	-0.144699463326639	0.5897750937067	0.5897750937067
Ruminococcaceae_UCG-011	0.253457065064036	0.253457065064036	-0.0298238059017032	0.5897750937067	0.5897750937067
Ruminiclostridium_9	0.260538836036018	0.260538836036018	0.198521314999676	0.594815078497325	0.594815078497325
Acidaminococcus	0.269673868279684	0.269673868279684	0.190323336813233	0.60426922336744	0.60426922336744
Coprococcus_2	0.28108841393068	0.28108841393068	0.360977350713257	0.6124667871597	0.6124667871597
Citrobacter	0.283455703148291	0.283455703148291	-0.275641808836804	0.6124667871597	0.6124667871597
Alloprevotella	0.306980109142676	0.306980109142676	0.090297749766111	0.635068260163558	0.635068260163558
Sutterella	0.314551156767272	0.314551156767272	0.192852408133813	0.635068260163558	0.635068260163558
Lachnospiraceae_UCG-004	0.315124139186387	0.315124139186387	0.104032605063549	0.635068260163558	0.635068260163558
Tyzzerella	0.319518693873133	0.319518693873133	0.242149938107671	0.635068260163558	0.635068260163558
Romboutsia	0.330764710842775	0.330764710842775	-0.239163045603426	0.635068260163558	0.635068260163558
Defluviitaleaceae_UCG-011	0.336249520714625	0.336249520714625	-0.0913151122123624	0.635068260163558	0.635068260163558
Leuconostoc	0.339893169195063	0.339893169195063	-0.112253399684648	0.635068260163558	0.635068260163558
Parasutterella	0.342626178401696	0.342626178401696	0.121302560101482	0.635068260163558	0.635068260163558
Lachnospira	0.346499707174565	0.346499707174565	-0.212479924370832	0.635068260163558	0.635068260163558
Catenibacterium	0.348624053766433	0.348624053766433	-0.238579390546646	0.635068260163558	0.635068260163558
Prevotella_9	0.351649367198003	0.351649367198003	0.284631633505965	0.635068260163558	0.635068260163558
Haemophilus	0.365010612120178	0.365010612120178	-0.136335472866363	0.649504177449141	0.649504177449141
Gordonibacter	0.374571244784952	0.374571244784952	0.0594882176713512	0.656856820564915	0.656856820564915
Tyzzerella_4	0.445027960027072	0.445027960027072	0.143208872998241	0.769262616618225	0.769262616618225
Holdemanella	0.456723665452343	0.456723665452343	0.270938609010986	0.778360049573711	0.778360049573711
Paraprevotella	0.463337174414919	0.463337174414919	-0.124420904141701	0.778663862558406	0.778663862558406
Bifidobacterium	0.478313102729219	0.478313102729219	-0.154792069410826	0.785802349251211	0.785802349251211
Lactonifactor	0.485137132257937	0.485137132257937	-0.153373481351487	0.785802349251211	0.785802349251211
Fusicatenibacter	0.487067571849924	0.487067571849924	-0.15092661493714	0.785802349251211	0.785802349251211
Lachnoclostridium	0.497357238604551	0.497357238604551	0.165591584841916	0.786083313510571	0.786083313510571
Intestinibacter	0.500234835870363	0.500234835870363	-0.142694678304613	0.786083313510571	0.786083313510571
Subdoligranulum	0.514937705512641	0.514937705512641	-0.116087898583815	0.798813620090122	0.798813620090122
Phascolarctobacterium	0.524158254901709	0.524158254901709	0.119022736137008	0.802824668900086	0.802824668900086
Anaerofilum	0.53216433858838	0.53216433858838	-0.0482891311731215	0.804898562114925	0.804898562114925
Eggerthella	0.539307443956661	0.539307443956661	0.120297826699333	0.805632107638963	0.805632107638963
Christensenellaceae_R-7_group	0.574354022533624	0.574354022533624	-0.126635150839869	0.847522399104495	0.847522399104495
Anaerofustis	0.58867148460259	0.58867148460259	0.0341949781489834	0.849484361101697	0.849484361101697
Howardella	0.589724680434236	0.589724680434236	-0.0584564992318018	0.849484361101697	0.849484361101697
Dorea	0.597794528263573	0.597794528263573	-0.0856718056716947	0.850978093175204	0.850978093175204
Faecalitalea	0.604921750310179	0.604921750310179	-0.0720056762451304	0.851110834738741	0.851110834738741
Dialister	0.626875099530643	0.626875099530643	-0.137702687696451	0.871860770611584	0.871860770611584
Desulfovibrio	0.642795813956852	0.642795813956852	0.103828269897156	0.883844244190672	0.883844244190672
Bilophila	0.655164194718868	0.655164194718868	0.07046813427315	0.888754487686969	0.888754487686969
Lachnospiraceae_ND3007_group	0.66105705695725	0.66105705695725	0.0902590424219531	0.888754487686969	0.888754487686969
Bacteroides	0.672786480139935	0.672786480139935	-0.0593147885704416	0.894584220845408	0.894584220845408
Parabacteroides	0.683664731116241	0.683664731116241	-0.0698872552323193	0.899167744185491	0.899167744185491
Intestinimonas	0.692075798434812	0.692075798434812	-0.0325619781847438	0.900442705490455	0.900442705490455
Ruminiclostridium_6	0.713256256557561	0.713256256557561	0.0892463025439621	0.907370424054819	0.907370424054819
Roseburia	0.716150867592416	0.716150867592416	0.0742285220828419	0.907370424054819	0.907370424054819
Adlercreutzia	0.728989957661624	0.728989957661624	0.0624036407487502	0.907370424054819	0.907370424054819
Blautia	0.734636760304549	0.734636760304549	-0.0448874227425562	0.907370424054819	0.907370424054819
Lachnospiraceae_NK4A136_group	0.735951235626675	0.735951235626675	-0.0889228028906209	0.907370424054819	0.907370424054819
