bugName	pval	p1M	p6M	s1M	s6M	Adjustedpval	Adjustedp1M	Adjustedp6M
Streptococcus	7.8443374018633e-10	5.72080519125212e-10	6.57803104028218e-07	1.06125444407994	0.988670194721873	1.05114121184968e-07	7.66587895627784e-08	8.81456159397812e-05
Rothia	3.2168701147306e-08	2.91005505163388e-08	6.52618617681512e-06	0.992974400966683	0.96227479078002	2.1553029768695e-06	1.9497368845947e-06	0.000320318552913118
Granulicatella	5.70731832461036e-07	1.05586230652471e-07	0.0543483663181919	1.05583870876673	0.396086786724639	2.54926885165929e-05	4.71618496914369e-06	0.38329900455988
Actinomyces	1.32819561915465e-06	4.28611917873815e-07	0.000703484736021584	0.79517902389281	0.623871421228783	4.44945532416807e-05	1.14867993990182e-05	0.0181587199563826
Veillonella	1.96681951569744e-06	9.85795242356324e-07	0.00033964757098928	1.20448018691581	1.04101531402201	4.55636480913106e-05	2.20160937459579e-05	0.0113781936281409
Fusobacterium	2.04016334737211e-06	3.80996185579912e-07	0.0353280322769517	1.12911702564715	0.50054202654394	4.55636480913106e-05	1.14867993990182e-05	0.315597088340768
Atopobium	1.37122178167637e-05	2.97861731685623e-06	0.231283145400705	0.790996860454313	0.216248591798457	0.000262491026778048	5.70192457798193e-05	0.700763423905963
Enterococcus	2.10422837145785e-05	0.00351535535446139	7.17131088611458e-06	0.454134130772387	1.01959074431433	0.00035245825221919	0.0249356830989822	0.000320318552913118
Gemella	2.74613032145155e-05	5.46533367481896e-06	0.0869823255326738	0.884853890702425	0.370908555391397	0.000400131699111483	9.15443390532176e-05	0.458074945355625
Solobacterium	2.98605745605585e-05	7.21982005937933e-06	0.295290739782277	0.787820622271507	0.206578520243665	0.000400131699111483	0.00010749509866187	0.748749708000537
Mogibacterium	4.49803133437676e-05	9.08974682729021e-06	0.0972480925406321	0.896080136561701	0.378165108318946	0.000547941998914987	0.000121802607485689	0.458074945355625
Blautia	0.000618473205678649	0.000469360574831158	0.00422344432756163	-0.335549844171888	-0.343405962493951	0.00690628413007825	0.00483802438672116	0.0707426924866573
Peptostreptococcus	0.000784188080977577	0.000329208593876051	0.97244866492034	0.574191119865197	0.00646767614448433	0.00808316945007656	0.00401035923449007	0.97244866492034
Oribacterium	0.00169799311590901	0.000397432096895923	0.189546816354712	0.483341303113931	0.2084542028942	0.0162522198237006	0.00443799174867113	0.671595363998968
Peptoclostridium	0.00250428833659644	0.872228834183904	0.000948589848467746	0.0299477146318901	0.902914601652682	0.0223716424735949	0.950233038867017	0.0181587199563826
Parvimonas	0.00346334546059124	0.000917044503646171	0.431959439112608	0.461933569095032	0.133051042195076	0.0249235135758391	0.00806432227515631	0.826893783444135
Klebsiella	0.0034932428797243	0.13546654995747	0.000893221209314914	0.290792667015867	0.899620751646836	0.0249235135758391	0.318465222707036	0.0181587199563826
Anaerostipes	0.00351285274970714	0.000858026259768992	0.266839331170189	-0.801058869630003	-0.318693498021229	0.0249235135758391	0.00806432227515631	0.746125489767054
Ruminococcus_2	0.00353393102941002	0.00096290415225747	0.490022283350379	-1.18191892252597	-0.298061199731062	0.0249235135758391	0.00806432227515631	0.840537566914957
Ruminococcaceae_UCG-013	0.00600797224295346	0.00155220111982722	0.349877246314996	-0.7213124694307	-0.262043674528577	0.0402534140277882	0.0122349970621675	0.770851599426232
Subdoligranulum	0.010603298182575	0.0035356565588109	0.692744161493383	-0.671909573482582	-0.113710997698156	0.06765914078405	0.0249356830989822	0.919086313268449
Clostridium_sensu_stricto_1	0.011725993365858	0.0298406928554712	0.00690900258455058	0.633138445455305	1.06782669396284	0.0714219595920442	0.124584799383121	0.0841642133027071
Holdemanella	0.0142552664826123	0.350160910849242	0.0200463532110894	-0.169975118246397	0.593650133492733	0.0830524221160892	0.586519525672481	0.223850944190499
Romboutsia	0.0153733868850168	0.00586371397242307	0.0783423795454519	-0.741236485107095	-0.590686886588575	0.0858347434413436	0.0392868836152346	0.454513830527945
Slackia	0.0177682234341487	0.263580114303159	0.00488219993737179	0.204147603545878	0.734511388160867	0.0952376776070373	0.474473271709276	0.0726905324008689
Eisenbergiella	0.0190450350211043	0.00650334446783811	0.73516815753607	0.519657491416492	0.0811394098380145	0.0981551804933839	0.0401723473580175	0.933159196235308
Akkermansia	0.0210594593448055	0.195884551561009	0.00615892110239752	0.375506893041709	1.11823311670098	0.104517316748294	0.410133279830863	0.0825295427721268
Corynebacterium	0.0234422030269179	0.00659546001400288	0.35793123750299	0.309482064094657	0.1304517133263	0.112187685914536	0.0401723473580175	0.770851599426232
Christensenellaceae_R-7_group	0.0264040113107833	0.0506598031572468	0.240560578355778	-0.410555910168422	0.323406224255453	0.122004741918792	0.174061887771053	0.700763423905963
Faecalitalea	0.028113639986693	0.40028202362572	0.0322240670776788	-0.148026528410895	0.52366640747967	0.124167289570881	0.631032837245252	0.308430356314925
Lachnoclostridium	0.0287252684828159	0.00823773263306786	0.341594346076324	0.43884870441728	0.19942473952539	0.124167289570881	0.0479937466448301	0.770851599426232
Haemophilus	0.0325895199691939	0.00959484348927772	0.293449307838856	0.398334355196258	0.200783161908511	0.134972373800105	0.0535712094818006	0.748749708000537
Ruminiclostridium_5	0.0332394651895782	0.0306813311913656	0.0322166153699264	-0.385885714322397	-0.505959690099019	0.134972373800105	0.124584799383121	0.308430356314925
Caproiciproducens	0.0386193249940806	0.0114192796971129	0.386053359890407	0.32013494133004	0.13660687741406	0.152205574976671	0.0612073391765252	0.782922433165308
Erysipelotrichaceae_UCG-003	0.0426163059760254	0.0291729876565081	0.0498015138041537	-0.619733920867466	-0.741597628117661	0.160758701620518	0.124584799383121	0.38329900455988
Scardovia	0.0431889049129751	0.0252395584946581	0.706765329413705	0.140859788644234	-0.029278240889779	0.160758701620518	0.112736694609473	0.919481108169286
