bugName	pval	p3M	p1Y	p2Y	s3M	s1Y	s2Y	Adjustedpval	Adjustedp3M	Adjustedp1Y	Adjustedp2Y
Fusobacteriia	0.00180618037559077	0.000624712029105735	0.00750713179872626	0.00669032715248093	0.816797807729912	0.699449774587384	0.878080747735752	0.137269708544899	0.0474781142120359	0.157098371786053	0.216304971965867
Verrucomicrobiae	0.00628830106612666	0.00201977458782947	0.00693891874035252	0.0370252449304095	0.820667883394778	0.798190179205586	0.74696474369474	0.238955440512813	0.0595692561729252	0.157098371786053	0.35173982683889
Alphaproteobacteria	0.0101522010588642	0.002351418006826	0.0168257501777002	0.574790293120484	0.349197610532874	0.304186025776572	0.0853923667485441	0.255117763019947	0.0595692561729252	0.182679573357888	0.837790937739392
Synergistia	0.0147803906171617	0.0192781299721516	0.0657511343581454	0.00406208673695349	0.33968513295965	0.297684607416409	0.593416330504258	0.255117763019947	0.221471926981281	0.302734228472819	0.216304971965867
Elusimicrobia	0.0167840633565755	0.898918752056818	0.00325025127292014	0.300424256385849	0.0228954408178918	0.631487831745693	0.260183767508203	0.255117763019947	0.948858682726641	0.157098371786053	0.837790937739392
Sphingobacteriia	0.0225709841581997	0.0251188078220067	0.00826833535716067	0.0329494998275165	0.29494048775108	0.399033967886038	0.392503624945767	0.285899132670529	0.221471926981281	0.157098371786053	0.35173982683889
Chlorobia	0.0319938896558611	0.0473335005173577	0.0110687255538832	0.0369182198018544	-0.238344907000403	-0.345435498418985	-0.34048285730122	0.34736223054935	0.245701856085405	0.168244628419024	0.35173982683889
Unclassified Candidatus Saccharibacteria Phylum	0.0508084533863994	0.0184578272367242	0.674551491858702	0.509964301988244	0.136313628339487	-0.0264565436938525	0.05133913730798	0.45257954901766	0.221471926981281	0.859470882422311	0.837790937739392
Blastocatellia	0.0664631648158991	0.246316007293954	0.437552568912789	0.00853835415654738	0.0469467738338981	0.0348352723235275	0.149838099235737	0.45257954901766	0.550588722186484	0.784644390706205	0.216304971965867
Deltaproteobacteria	0.0688301033204776	0.0589505675687808	0.0144458702681438	0.164248449406885	0.26137210640039	0.390351316384729	0.267843432625895	0.45257954901766	0.249223362121976	0.182679573357888	0.778711689899128
Phycisphaerae	0.0705426491089205	0.0119475407875868	0.535980356112572	0.87140648593248	0.279212149017018	0.0738322927286124	0.0235521244812141	0.45257954901766	0.221471926981281	0.850513314819534	0.90721771138176
Zetaproteobacteria	0.0726884324791935	0.911797363880773	0.0493296788209679	0.271937661776033	0.00579668192326017	0.11807807200747	-0.0794937583338959	0.45257954901766	0.949268488423819	0.302734228472819	0.837790937739392
Dehalococcoidia	0.077446999492581	0.0283444677674853	0.70209798132724	0.813057596038853	-0.225515312151871	0.0434950401277568	-0.0333669819343225	0.45257954901766	0.221471926981281	0.859470882422311	0.894408677419758
Gammaproteobacteria	0.0833699169243058	0.0291410430238527	0.751952009889518	0.343251243531627	0.330684306757384	-0.0519109004362243	0.191352947005402	0.45257954901766	0.221471926981281	0.878264595387512	0.837790937739392
Deinococci	0.0923019144975142	0.827541862303179	0.0820465521768009	0.070460670328075	-0.0217460479444871	0.201945055030662	0.261316971155111	0.453694454600443	0.926923655869527	0.346418775857604	0.53550109449337
Lentisphaeria	0.0992107741475275	0.0238841660386775	0.0591533259738353	0.246305016745261	0.485860078811115	0.4565410864469	0.342812609749741	0.453694454600443	0.221471926981281	0.302734228472819	0.837790937739392
Saprospiria	0.101484285897467	0.0434807521201111	0.830673519528108	0.488456186140057	0.131039277854503	0.0152365254095427	-0.061071676872675	0.453694454600443	0.245701856085405	0.901874106916231	0.837790937739392
Unclassified Actinobacteria Phylum	0.115272108671119	0.53087309565393	0.132109157162253	0.278868733934431	-0.0924180048342316	0.255390673518074	-0.226093203100097	0.486704458833612	0.791105005288209	0.371862812753008	0.837790937739392
Unclassified Cyanobacteria Phylum	0.136896178475767	0.389647892413623	0.167984787717046	0.0255519441295477	0.148631676222989	0.272802215103605	0.559173405093412	0.489730837456681	0.751021784549168	0.411833673112758	0.35173982683889
