bugName	pval	p1M	p6M	p1Y	s1M	s6M	s1Y	Adjustedpval	Adjustedp1M	Adjustedp6M	Adjustedp1Y
Gammaproteobacteria	1.37551525725144e-10	3.95628776377745e-10	9.82292296456766e-08	3.21253541652497e-06	0.738498143490427	0.681975590409456	0.678468398851357	1.43053586754149e-08	4.11453927432854e-08	9.76044258140295e-06	0.000167051841659298
Erysipelotrichia	2.63702715219694e-09	1.20994613568697e-07	7.844887884244e-07	2.53272393137459e-07	-0.394694071100291	-0.407646270700732	-0.497631581636766	1.02931750826466e-07	1.79763425873493e-06	1.63173667992275e-05	2.63403288862957e-05
Clostridia	2.96918511999422e-09	1.36958259867244e-08	3.38418448526705e-07	1.39463467493544e-05	-0.294934740047924	-0.289623971498486	-0.278899255937675	1.02931750826466e-07	7.12182951309671e-07	9.76044258140295e-06	0.000290084012386572
Unclassified Candidatus Gracilibacteria Phylum	6.0450481287333e-09	2.55501790805437e-08	3.75401637746267e-07	3.05690964858464e-05	-0.480291429295027	-0.482680198874444	-0.44763783747903	1.57171251347066e-07	7.33900789669998e-07	9.76044258140295e-06	0.000529864339088005
Unclassified Firmicutes Phylum	3.55454008449385e-08	5.44683344143993e-08	3.35662550724325e-05	8.94060614703642e-06	-0.265887519117096	-0.217854201884952	-0.272786350952873	7.39344337574721e-07	1.1329413558195e-06	0.000581815087922162	0.00026205560957197
Thermotogae	2.01560825474623e-07	6.64502417313622e-08	0.00133486568668176	3.85187144035959e-05	-0.273867591045047	-0.172666381684665	-0.26431991916508	3.49372097489346e-06	1.15180419001028e-06	0.0106789254934541	0.000532997513745196
Methanococci	2.38643839800545e-07	2.82269534488461e-08	0.00352873237950924	0.000244277676212585	-0.311276064541692	-0.171501026316366	-0.255725881055816	3.54556561989382e-06	7.33900789669998e-07	0.0244658778312641	0.00230953439328263
Mollicutes	4.70816917896855e-07	4.88517696469546e-07	0.0040449055983848	1.00790619066142e-05	-0.307290576976211	-0.187086016466378	-0.347495745913425	6.12061993265911e-06	4.61871276662116e-06	0.0262918863895012	0.00026205560957197
Thermoprotei	9.07000072380981e-07	7.70995590012153e-07	0.000433115365225301	4.09998087496305e-05	-0.25567267439714	-0.197575994877805	-0.272847719366166	1.04808897252913e-05	6.68196178010532e-06	0.00450439979834313	0.000532997513745196
Aquificae	1.46753387619825e-06	2.9870074982259e-07	0.0110701062366732	0.000186695377162223	-0.283484919498241	-0.148629940540766	-0.261364970354938	1.52623523124618e-05	3.45165310906104e-06	0.0533048287904729	0.00194163192248711
Coprothermobacteria	1.74653763440613e-06	4.0346598485355e-07	0.000115072045235267	0.00351618799861417	-0.429688330660778	-0.356427518255369	-0.308715531239282	1.65127194525671e-05	4.19604624247692e-06	0.00170964181492397	0.0146273420742349
Verrucomicrobiae	3.23717611427909e-06	0.0951023713526666	2.69126362103122e-07	0.00496969483377711	0.318388163401575	1.20055366899579	0.722164807009487	2.70880527946105e-05	0.109925757411086	9.76044258140295e-06	0.0178294328180686
Ignavibacteria	3.38600659932631e-06	1.57005471937365e-07	0.0365195196696238	0.0131891989492115	-0.350674626657816	-0.146762334864873	-0.20455452751392	2.70880527946105e-05	2.04107113518574e-06	0.102649460692997	0.0415659603247879
Spirochaetia	4.63238805115118e-06	9.34273209620454e-07	0.00648276991710469	0.000376173129642414	-0.236051958675077	-0.139948651387482	-0.216968142989321	3.44120255228374e-05	7.47418567696363e-06	0.0374560039654938	0.00326016712356759
Unclassified Tenericutes Phylum	8.48563020516835e-06	5.28196047791314e-06	0.0131096711740727	9.01705892273523e-05	-0.323585579298662	-0.189211094173926	-0.358411792183486	5.88337027558339e-05	2.74661944851483e-05	0.0592785131349376	0.00104197125329385
Ktedonobacteria	1.0437963842147e-05	1.98834190596929e-06	0.00117562779100224	0.00151785545258659	-0.285374604367483	-0.21218329267495	-0.242280904943262	6.78467649739556e-05	1.47705398729147e-05	0.0106789254934541	0.00960087729510941
Actinobacteria	1.15427104330212e-05	6.24940787286148e-06	0.000169792257397945	0.00186763559090565	-0.40951173262457	-0.377195110138989	-0.359319215799173	7.06142285314241e-05	3.09494485132187e-05	0.00220729934617329	0.0102228474449573
Methanomicrobia	2.23872773177369e-05	2.57269522577151e-06	0.00630708675279022	0.00287306562080641	-0.221309690933165	-0.1385714305156	-0.177558940876708	0.000129348713391369	1.67225189675148e-05	0.0374560039654938	0.0124499510234944
Dictyoglomia	3.42550524037311e-05	1.01317449502217e-05	0.00127931289010603	0.00171783162217223	-0.278116581212281	-0.222809467264968	-0.253126825435165	0.000187501339473054	4.78955215828661e-05	0.0106789254934541	0.00992524937255065
Deferribacteres	3.74614752794988e-05	3.20098562588799e-06	0.0222258236653304	0.00497166876657683	-0.232892766636769	-0.1227453219976	-0.177872764405435	0.000194799671453394	1.958250029955e-05	0.0797064021101505	0.0178294328180686
Fibrobacteria	5.053308997649e-05	2.38802922722672e-06	0.0567956705526273	0.0765879732138974	-0.248690922142772	-0.107225277215801	-0.116481476220456	0.000250259112264522	1.65570026421052e-05	0.140636898511268	0.16947125987756
Unclassified Actinobacteria Phylum	6.71734736201746e-05	4.35262716750598e-06	0.0206939951554683	0.270761076898412	-0.387469795891422	-0.209227908120588	-0.114761894140746	0.000317547329840825	2.51485125233679e-05	0.0768634105774536	0.420285850707982
Unclassified Candidatus Saccharibacteria Phylum	7.25399746233091e-05	0.076299835539961	0.143139092710616	0.00067713591636373	0.127740002385117	-0.11911329264194	-0.333260718288556	0.000328006841774963	0.0912089988063902	0.286278185421231	0.00500616993158654
Chloroflexia	9.14701229985937e-05	4.6604369039094e-06	0.0665954002903802	0.165752384473403	-0.265804694851633	-0.113706166036439	-0.0999454611936838	0.000396370532993906	2.5509759895083e-05	0.150959441078762	0.307825856879176
Bacilli	0.000121422759545187	4.77574922165392e-05	0.000387511795848228	0.078489781280981	0.342003190606435	0.330889768237477	0.185234344254221	0.000505118679707977	0.000177384971090003	0.0044779140853573	0.170061192775459
Chlamydiia	0.000130942460906613	5.80886629213094e-05	0.013832656340524	0.000722043740132674	-0.214189005569733	-0.142580117548861	-0.231878183911888	0.000523769843626454	0.000199193161049405	0.0599415108089374	0.00500616993158654
Unclassified Elusimicrobia Phylum	0.000136389476679488	4.72840347097963e-05	0.00332155093941166	0.00227472760295585	-0.318752323900134	-0.25162577361623	-0.304849905844605	0.000525352058320992	0.000177384971090003	0.0244658778312641	0.0107118118714367
