bugName	pval	p1M	p6M	s1M	s6M	Adjustedpval	Adjustedp1M	Adjustedp6M
Bacilli	1.01301900201634e-09	6.48522565679299e-10	1.26554114030933e-06	0.751320483123728	0.672565905413211	4.05207600806534e-08	2.59409026271719e-08	5.0621645612373e-05
Fusobacteriia	7.37018136298673e-07	1.34957546302774e-07	0.0242138974016541	1.10729484941055	0.502370901184192	1.47403627259735e-05	2.69915092605549e-06	0.1929379289281
Gammaproteobacteria	2.74773527597638e-06	1.49650687130433e-06	0.000356814807026751	1.2567075119006	1.10018423102849	3.66364703463518e-05	1.99534249507244e-05	0.00475753076035668
Clostridia	2.05606807155423e-05	5.14329413678837e-05	0.000103381646253786	-0.1495565661799	-0.187907129792751	0.000205606807155423	0.00041146353094307	0.00206763292507571
Mollicutes	0.000107885191443113	3.21762054086e-05	0.578974444364225	0.62514638704752	0.0945676506216015	0.000863081531544907	0.000321762054086	0.82710634909175
Unclassified Firmicutes Phylum	0.00385683823501293	0.00094535525606829	0.207037197108254	-0.398415594149199	-0.187325189561398	0.0229261353002779	0.00587074733093014	0.52068579492781
Erysipelotrichia	0.00401207367754863	0.00102738078291277	0.137025925958441	-0.562592631022904	-0.311903990455284	0.0229261353002779	0.00587074733093014	0.49827609439433
Verrucomicrobiae	0.0122762361523943	0.186702541780617	0.00337137317255491	0.355322809324932	1.12037390156606	0.0613811807619713	0.413301096564214	0.0337137317255491
Chitinophagia	0.0242533698170284	0.026745668347803	0.403109428916396	0.0964263126085042	-0.0467627198504774	0.107792754742349	0.131185081385369	0.644975086266233
Unclassified Actinobacteria Phylum	0.0377517479572158	0.0694631619868245	0.24732575259071	-0.216411237548073	0.18163484655368	0.151006991828863	0.252593316315725	0.52068579492781
Alphaproteobacteria	0.056993204874789	0.0869379611465255	0.286613533851952	-0.186927934943858	0.152548963652919	0.207248017726505	0.289793203821752	0.545930540670385
Unclassified Candidatus Saccharibacteria Phylum	0.0647734284474585	0.0327962703463424	0.823911402398443	0.22630065535581	-0.0292509511054165	0.211619940201862	0.131185081385369	0.915922335981618
Deinococci	0.068776480565605	0.924267328142741	0.028940689339215	0.00733201993670138	0.236804179601741	0.211619940201862	0.970419182938012	0.1929379289281
Unclassified Tenericutes Phylum	0.0834459954294295	0.0325147611496785	0.861339207966653	-0.451376147062008	-0.0470832371323342	0.23841712979837	0.131185081385369	0.915922335981618
Deltaproteobacteria	0.0917930117943401	0.196318020868002	0.0362575273353837	0.231081159785142	0.513121170699849	0.244781364784907	0.413301096564214	0.207185870487907
Unclassified Cyanobacteria Phylum	0.120938838249359	0.228908738502635	0.229383074870073	-0.187191665865448	0.248859443419498	0.302347095623398	0.436016644766924	0.52068579492781
Methanobacteria	0.132150571371537	0.222375111990525	0.271139183782389	-0.207171928984926	0.2508977601301	0.310942520874205	0.436016644766924	0.542278367564778
Unclassified Chloroflexi Phylum	0.146407329635476	0.107762884726133	0.112901772461239	-0.104479730208261	-0.13207934136591	0.325349621412169	0.307893956360379	0.471743303153239
Coriobacteriia	0.177929294929987	0.173386504878448	0.0993759058828057	-0.171402855404881	-0.277648379452688	0.374587989326288	0.407968246772818	0.471743303153239
Ignavibacteria	0.229554011603269	0.10396710742084	0.305552849259825	-0.0731762193672748	-0.0589377358622214	0.459108023206539	0.307893956360379	0.555550635017864
Sphingobacteriia	0.278930330124563	0.440733282189448	0.11793582578831	0.024583089041947	0.0663908038004496	0.531295866903929	0.678051203368382	0.471743303153239
Chlamydiia	0.313570623361095	0.138105333668254	0.821423647660697	0.0531955850712041	0.0105444310933491	0.552728404433774	0.368280889782011	0.915922335981618
Flavobacteriia	0.323771928407033	0.161651368991278	0.342449094101689	0.120577328772017	0.104276654891837	0.552728404433774	0.404128422478195	0.595563641915982
Anaerolineae	0.336645940328522	0.922843452355491	0.175410646078248	-0.00466920127640779	0.0858035287990024	0.552728404433774	0.970419182938012	0.516862539102527
Synergistia	0.345455252771109	0.946158703364562	0.16425979571831	0.00423840918067555	0.113950074974981	0.552728404433774	0.970419182938012	0.516862539102527
Thermotogae	0.399135770590518	0.570035624481526	0.180901888685885	0.0435444211938228	0.137026739784606	0.61405503167772	0.729903148112454	0.516862539102527
Bacteroidia	0.443040099059921	0.244354937174461	0.38767510930727	0.248881542363853	0.242717866458911	0.634440952945811	0.444281703953566	0.644975086266233
Unclassified Bacteroidetes Phylum	0.4612877459802	0.990445817372314	0.24370059605169	-0.00152617241547146	-0.200703975228066	0.634440952945811	0.990445817372314	0.52068579492781
Tissierellia	0.465144427114713	0.318455123966472	0.713121740185325	0.169617748987481	-0.079621469203729	0.634440952945811	0.530758539944121	0.915922335981618
Planctomycetia	0.475830714709359	0.602170097192775	0.229161712250879	-0.0225748065118255	-0.0699092299553737	0.634440952945811	0.729903148112454	0.52068579492781
Unclassified Planctomycetes Phylum	0.550009541787455	0.347671421045518	0.829144867255673	-0.0317931905985341	0.00940778780804845	0.687831403397899	0.556274273672829	0.915922335981618
Cytophagia	0.55026512271832	0.290963770288854	0.893024277582078	0.141298916425808	0.0238868056498215	0.687831403397899	0.506023948328443	0.915922335981618
Epsilonproteobacteria	0.750146028980756	0.499012738793012	0.923155691117072	0.0493679738342981	-0.00900465163810894	0.886485652444986	0.712875341132875	0.923155691117072
Negativicutes	0.764099295886288	0.589861583001124	0.523583435587749	0.120916618001621	0.185906516541932	0.886485652444986	0.729903148112454	0.775679163833702
Actinobacteria	0.778307753950575	0.48707686093237	0.891413821852812	-0.129274911463425	-0.0333718808516166	0.886485652444986	0.712875341132875	0.915922335981618
Nitriliruptoria	0.797837087200487	0.708548105797498	0.52011699377793	0.0149490339427355	0.0333474059816112	0.886485652444986	0.833586006820586	0.775679163833702
Rubrobacteria	0.841258297504694	0.573449560749133	0.745275246942338	-0.0189050976156844	-0.0139750996483023	0.895612288324778	0.729903148112454	0.915922335981618
Unclassified Proteobacteria Phylum	0.850831673908539	0.585405339254325	0.75128534921755	0.0732393693553013	0.0564524538564733	0.895612288324778	0.729903148112454	0.915922335981618
