bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Streptococcaceae	0.000347760009470122	0.00034776000947019	0.742514657946198	0.0239091702932994	0.0239091702932978
Micrococcaceae	0.000362260155959082	0.000362260155959058	0.52368918868706	0.0239091702932994	0.0239091702932978
Rickettsiaceae	0.0030123655341503	0.00301236553415027	0.549241944736728	0.132544083502613	0.132544083502612
Enterococcaceae	0.00792289894778042	0.00792289894778036	0.810591462331991	0.261455665276754	0.261455665276752
Enterobacteriaceae	0.0111613590893549	0.0111613590893549	0.653210355388425	0.27193529844819	0.27193529844819
Carnobacteriaceae	0.0136841576884374	0.0136841576884375	0.363147630099378	0.27193529844819	0.27193529844819
Bdellovibrionaceae	0.0144208112813434	0.0144208112813434	0.11070115415693	0.27193529844819	0.27193529844819
Unclassified Bacillales Order	0.0246118583151593	0.0246118583151593	0.31176146826612	0.367772172724904	0.367772172724905
Unclassified Actinobacteria Phylum	0.0266788126530673	0.0266788126530672	-0.0999929668893411	0.367772172724904	0.367772172724905
Chroococcaceae	0.0278615282367352	0.0278615282367352	-0.0976421828457117	0.367772172724904	0.367772172724905
Akkermansiaceae	0.0340228059699325	0.0340228059699325	0.529635491178069	0.387768418174299	0.387768418174299
Oxalobacteraceae	0.0381266141833507	0.0381266141833507	0.22113047316794	0.387768418174299	0.387768418174299
Unclassified Alteromonadales Order	0.0388972662705579	0.0388972662705579	0.19593631257733	0.387768418174299	0.387768418174299
Sphingobacteriaceae	0.0436073285882872	0.0436073285882873	0.193906972617336	0.387768418174299	0.387768418174299
Orbaceae	0.0440645929743522	0.0440645929743521	0.0619587592688066	0.387768418174299	0.387768418174299
Synergistaceae	0.0672222617946401	0.0672222617946401	0.148632252541739	0.508228041639594	0.508228041639594
Deferribacteraceae	0.0687459869825255	0.0687459869825255	0.119184242660533	0.508228041639594	0.508228041639594
Synechococcaceae	0.0693038238599446	0.0693038238599446	0.0699358619588843	0.508228041639594	0.508228041639594
Bacillaceae	0.090786562564279	0.090786562564279	0.319082790120222	0.611232346349198	0.611232346349199
Sphaerobacteraceae	0.0934552789757348	0.0934552789757347	0.0692745489651336	0.611232346349198	0.611232346349199
Aeromonadaceae	0.0972415096464634	0.0972415096464634	0.117044548689864	0.611232346349198	0.611232346349199
Unclassified Enterobacterales Order	0.119649954521126	0.119649954521126	0.30306870870326	0.6164572560245	0.6164572560245
Leuconostocaceae	0.1234152825046	0.1234152825046	-0.210636012623037	0.6164572560245	0.6164572560245
Unclassified Actinobacteria Class	0.125374402236096	0.125374402236096	0.0990704620149164	0.6164572560245	0.6164572560245
Unclassified Negativicutes Class	0.135103158343368	0.135103158343368	0.178147641715697	0.6164572560245	0.6164572560245
Unclassified Gammaproteobacteria Class	0.147765638058923	0.147765638058923	0.230810713205559	0.6164572560245	0.6164572560245
Fusobacteriaceae	0.157517569424141	0.157517569424141	0.353452656193219	0.6164572560245	0.6164572560245
Unclassified Bacteroidales Order	0.159783469280733	0.159783469280733	-0.213889025701978	0.6164572560245	0.6164572560245
