bugName	pval	p3M	p1Y	p2Y	s3M	s1Y	s2Y	Adjustedpval	Adjustedp3M	Adjustedp1Y	Adjustedp2Y
Streptococcaceae	0.000162048201610698	2.22469326238943e-05	0.0051570637595442	0.00584558844439362	0.748458170024982	0.51947589234687	0.631010948367332	0.0357481200792731	0.00586088733595837	0.277448586429169	0.176514173626096
Cardiobacteriaceae	0.000236742517081279	3.88138234169429e-05	0.452101109755876	0.0182260805128461	0.398578556131038	0.0731755279032706	0.291603190686864	0.0357481200792731	0.00586088733595837	0.853669246510155	0.289698753414712
Ferrimonadaceae	0.000416270319960166	0.000119315326490281	0.0571282311956848	0.00163745012944138	0.743983014605896	0.38191341077593	0.808265346799193	0.0419045455426567	0.00870061795218365	0.406006919184052	0.110921281415253
Enterobacteriaceae	0.000750247489354483	9.04627579591009e-05	0.0582522069097657	0.0108055720947172	0.721932209339396	0.359971400348725	0.603094757631653	0.0445607070487545	0.00870061795218365	0.406006919184052	0.217552184840306
Gottschalkiaceae	0.000857656815783869	0.982204477304905	0.746745055926975	0.000136626839993623	-0.000612567450898808	0.0098748480645496	0.156306466206775	0.0445607070487545	0.988752507153605	0.937506382874455	0.0412613056780743
Unclassified Bacillales Order	0.000960375576903649	0.000144049966095756	0.740281894634305	0.252917519487035	0.429919246480731	0.0384388235425951	0.164975786852119	0.0445607070487545	0.00870061795218365	0.937506382874455	0.848445245385404
Pasteurellaceae	0.00103286407066649	0.00169607687686908	0.0749450191245215	0.00043349036543181	0.591703857654732	0.363017162096808	0.943349415934341	0.0445607070487545	0.0497167470320165	0.419136958807509	0.0654570451802034
Campylobacteraceae	0.00217532624680117	0.000645487301769281	0.00245601492923482	0.228585919732035	0.397611837198015	0.395453372170351	0.185403725440601	0.0821185658167441	0.0278481664477604	0.277448586429169	0.839332058426138
Fusobacteriaceae	0.00299497233006563	0.00085702563240726	0.0119125455475557	0.010326037847183	0.822125860959256	0.679135926968349	0.8580509319387	0.0892482793258583	0.0323527176233741	0.303098202185819	0.217552184840306
Leptotrichiaceae	0.00314615972175702	0.00244748598357447	0.00684884307000858	0.00486834066962683	0.42712811229132	0.422519161357331	0.542950666159715	0.0892482793258583	0.0563523224639699	0.277448586429169	0.176514173626096
Trueperaceae	0.00325076514100808	0.618093946220951	0.0264335237923855	0.000818175077290566	0.0438366697277811	0.225165326664008	0.433727878747042	0.0892482793258583	0.841261925232463	0.333913747781184	0.0823629577805837
Francisellaceae	0.00413866301723542	0.000381227075376203	0.174481192292208	0.080005129577636	0.446900424095927	0.179794281999592	0.288995695483588	0.104156352600425	0.0191884294606022	0.612713024095894	0.613047287471906
Akkermansiaceae	0.00580441163100787	0.00181087489189464	0.00735132275179364	0.0319852155193243	0.849895942956585	0.810615695541292	0.787582994967629	0.134840947120337	0.0497167470320165	0.277448586429169	0.428819322313847
Succinivibrionaceae	0.0088533331531937	0.016254697071464	0.126081031039521	0.00183644505654393	-0.529048372236534	-0.376877745763138	-1.00152099302459	0.190979043733178	0.18880455829162	0.569451924600582	0.110921281415253
Unclassified Alphaproteobacteria Class	0.00975845124057861	0.00118569813161631	0.0357379598803699	0.333654435179357	0.530698100315441	0.37352801788567	0.208019575455058	0.195611624051809	0.0397867595275696	0.348156899479732	0.86797152741978
Vallitaleaceae	0.0103635297510892	0.81533393112498	0.0138016193013858	0.00801927554989632	0.0430905478915719	0.536494499928543	0.72058569432198	0.195611624051809	0.947041719999015	0.320622233001424	0.198352535021331
Paenibacillaceae	0.012549476141521	0.00519362799065519	0.0291468274203703	0.898174088771024	0.250944497970821	0.219549456276211	-0.0155121151280868	0.222937752631726	0.0871375362876593	0.333913747781184	0.9898110293099
Synergistaceae	0.0147803906171617	0.0192781299721516	0.0657511343581454	0.00406208673695349	0.33968513295965	0.297684607416409	0.593416330504258	0.245444481555428	0.200758456951372	0.413684220336665	0.176514173626096
Prevotellaceae	0.0163775316224508	0.760684077656725	0.0461861182015389	0.0126369652825983	-0.0529677644228613	0.404207538165109	0.636439925356419	0.245444481555428	0.918906365809324	0.398520219910421	0.238522719709044
Elusimicrobiaceae	0.0167840633565755	0.898918752056818	0.00325025127292014	0.300424256385849	0.0228954408178918	0.631487831745693	0.260183767508203	0.245444481555428	0.969879535776005	0.277448586429169	0.86797152741978
Odoribacteraceae	0.0170673314988874	0.00478580140338627	0.0120436371729465	0.343633312424153	0.465057127185824	0.465775957827814	0.210346256892825	0.245444481555428	0.0871375362876593	0.303098202185819	0.86797152741978
Clostridiales Family XIII. Incertae Sedis	0.0194160728827718	0.0718964558409645	0.00211048162830551	0.217195777161845	0.165538397704323	0.336778285554207	0.159338703474962	0.262170662145243	0.349757716519659	0.277448586429169	0.830292717757939
Acidiferrobacteraceae	0.0218575315351565	0.0202553424282319	0.242124120140361	0.00642932420492401	0.232865603827765	0.128250813919781	0.382239275891406	0.262170662145243	0.200902380790281	0.670411762410817	0.176514173626096
Budviciaceae	0.0220291210161204	0.00228473189510319	0.163514300502327	0.177078430672638	0.364721290202777	0.177684858108664	0.210956242826402	0.262170662145243	0.0563523224639699	0.599793585958797	0.753206845959671
Ruminococcaceae	0.0221733869066564	0.00261235931952178	0.0628334055760375	0.230677353805859	-0.283523904139919	-0.192564593611808	-0.1520340933501	0.262170662145243	0.0563523224639699	0.413684220336665	0.839332058426138
Sphingobacteriaceae	0.0225709841581997	0.0251188078220067	0.00826833535716067	0.0329494998275165	0.29494048775108	0.399033967886038	0.392503624945767	0.262170662145243	0.210718887840168	0.277448586429169	0.428819322313847
Peptoniphilaceae	0.023992358491711	0.00430858435821789	0.0484974352257592	0.633298612930859	0.296928473618796	0.223606553824005	0.0647989179029868	0.268358972759138	0.0867461650787869	0.398633295440874	0.91846290486758
Rhodobiaceae	0.0267279705084695	0.00646194868396885	0.536189652862438	0.733372620270814	0.109370318495977	0.0265005556481406	-0.017820843751244	0.28828025334135	0.102710973818873	0.859803870241338	0.959402910836175
Yersiniaceae	0.0305733686655998	0.0102234498609751	0.77761371713453	0.0545067670225747	0.248075087284813	0.0291259207197152	0.247536626514397	0.311682408905486	0.134238341652804	0.937506382874455	0.498819504267199
Thiotrichaceae	0.0318418168595972	0.113347169877853	0.176520741170341	0.00422881606543667	0.106382157388356	0.100594525973959	0.270213767293257	0.311682408905486	0.4263528793551	0.61275015900509	0.176514173626096
Chlorobiaceae	0.0319938896558611	0.0473335005173577	0.0110687255538832	0.0369182198018544	-0.238344907000403	-0.345435498418985	-0.34048285730122	0.311682408905486	0.273221083273113	0.303098202185819	0.428819322313847
Unclassified Enterobacterales Order	0.0384943829774618	0.00513629660084581	0.270142959536695	0.123909535860294	0.382080983704883	0.161031656750723	0.27689728121747	0.363290739349795	0.0871375362876593	0.703303222242085	0.656503154908926
Desulfohalobiaceae	0.0401419504550224	0.12154876584085	0.417683619267564	0.00577270339155285	0.0782384783605686	0.0461424238197731	0.204273670018085	0.367359667800508	0.431855615105137	0.844334035467363	0.176514173626096
Unclassified Verrucomicrobiales Order	0.0431385004487055	0.0144363687797196	0.0194472140831692	0.3007717287435	0.380973631213669	0.406172877966142	0.214310527452052	0.383171386338502	0.174391334859013	0.333913747781184	0.86797152741978
Unclassified Chromatiales Order	0.0484247506130109	0.0213548508587051	0.0298532158612317	0.0630929993867044	0.154169397066866	0.161884765442996	0.167979644310464	0.403793497965595	0.200902380790281	0.333913747781184	0.531603960135245
Heliobacteriaceae	0.0495625948524788	0.312034091282892	0.0510102744672958	0.461278688130755	-0.14719564077993	0.330672874295763	0.15181666176413	0.403793497965595	0.641049629710431	0.398633295440874	0.897543533187451
Idiomarinaceae	0.0495969610570187	0.0228665047814565	0.59152702764175	0.976717417588683	0.124031544565451	-0.0315174181293551	-0.00208193998538671	0.403793497965595	0.203108365999996	0.884362189840636	0.996515743620885
Unclassified Candidatus Saccharibacteria Phylum	0.0508084533863994	0.0184578272367242	0.674551491858702	0.509964301988244	0.136313628339487	-0.0264565436938525	0.05133913730798	0.403793497965595	0.200758456951372	0.921402836309236	0.914496699522792
Unclassified Desulfovibrionales Order	0.0546248968118195	0.0118405876439223	0.158891984916822	0.0592223711869133	0.264526591239014	0.162398846136302	0.271366459668073	0.412093235596138	0.148994061186023	0.599793585958797	0.526034002895524
Granulosicoccaceae	0.0566750082368328	0.0416003351881502	0.803687438165422	0.065130286506636	0.177427433746689	-0.0234505097434376	0.216395088328589	0.412093235596138	0.271162473522295	0.952399748566101	0.531603960135245
Rikenellaceae	0.057868834865466	0.0284249958570662	0.492467503717727	0.394481988121197	0.334576373122819	0.115996301021287	-0.178893366670063	0.412093235596138	0.220111506380359	0.859683156778923	0.86797152741978
Thioalkalibacteraceae	0.0578705553419072	0.273685500261873	0.00703749902952738	0.291324178296549	0.119600566803632	0.344219627861472	0.159171180352993	0.412093235596138	0.594626050928673	0.277448586429169	0.86797152741978
Orbaceae	0.0586755269226289	0.00795724930857119	0.179638715518874	0.173003778561006	-0.354398846257354	-0.193023597206355	-0.239282304192293	0.412093235596138	0.114432823389929	0.613448228619241	0.746387730363199
Sedimentisphaeraceae	0.0606659991641939	0.00860453079290787	0.398078175163628	0.719707496718905	0.293666382604465	0.101309398237791	0.0524186185653778	0.415594698394207	0.118116740884463	0.823421978763121	0.959402910836175
Unclassified Deltaproteobacteria Class	0.0620529674853434	0.239327513873627	0.00754974686154328	0.405244984656255	0.19146592179051	0.51406059393721	0.190486316412208	0.415594698394207	0.569674310665742	0.277448586429169	0.86797152741978
Rhodospirillaceae	0.0646319576077967	0.00794581948806977	0.220331321715685	0.385348169628374	0.356134059658771	0.179521114596593	0.156608513535025	0.415594698394207	0.114432823389929	0.647220983851992	0.86797152741978
Unclassified Cyanobacteria Phylum	0.0646786451143302	0.931183877389812	0.0514791341794506	0.0526154786945089	-0.0137730567520236	0.364015171602112	0.449949821451509	0.415594698394207	0.983067807770322	0.398633295440874	0.496558580179428
Unclassified Blastocatellia Class	0.0664631648158991	0.246316007293954	0.437552568912789	0.00853835415654738	0.0469467738338981	0.0348352723235275	0.149838099235737	0.418164078633365	0.569674310665742	0.852521779430079	0.198352535021331
Unclassified Micrococcales Order	0.0702135424985263	0.039730174607782	0.0208977695684513	0.146985174071058	0.27475175941699	0.349951327476525	0.265107850377572	0.422152050167624	0.268718956665687	0.333913747781184	0.706071836088793
Eubacteriaceae	0.0710015194192546	0.416149902654739	0.163432051716905	0.0847188039927176	-0.115523806912146	0.223987669045589	0.342715961176629	0.422152050167624	0.727988358085795	0.599793585958797	0.613047287471906
Barnesiellaceae	0.0722986264300544	0.0457045722370929	0.431368026910294	0.98453688647143	-0.546450285099773	0.237487965864144	-0.00719341096053431	0.422152050167624	0.273221083273113	0.851602776150602	0.996805627956423
Mariprofundaceae	0.0726884324791935	0.911797363880773	0.0493296788209679	0.271937661776033	0.00579668192326017	0.11807807200747	-0.0794937583338959	0.422152050167624	0.976463843588629	0.398633295440874	0.86797152741978
Acholeplasmataceae	0.0760519106379156	0.21313427503541	0.26975429946989	0.114516958662788	0.126355698540247	-0.124362114243523	0.218214599733191	0.430895826255223	0.542326713583288	0.703303222242085	0.656503154908926
Peptostreptococcaceae	0.077047598072126	0.556845717238482	0.0178633175221211	0.105856295639902	-0.0667723162221472	-0.316190573773662	-0.262301208935665	0.430895826255223	0.818525445129958	0.333913747781184	0.639664626845346
Unclassified Desulfuromonadales Order	0.0837606480651202	0.278821857038466	0.943275238322107	0.0164712872446872	0.0982559743704671	0.00719630362855163	0.309807733651201	0.459922103921205	0.599101803315594	0.980462370874505	0.276351597105307
Halothiobacillaceae	0.088209396390031	0.0328418898817173	0.434261018301963	0.526029036130169	0.108820445036016	0.0437818976589602	-0.04373082498132	0.463772986986802	0.233717796596468	0.851602776150602	0.914496699522792
Atopobiaceae	0.0895906307842393	0.0190709146394756	0.0794102131166568	0.170659602580188	0.455599251184765	0.37749712606204	0.360371601191943	0.463772986986802	0.200758456951372	0.43062209727946	0.746387730363199
Unclassified Dehalococcoidia Class	0.0917399824978669	0.0301162704431133	0.772009358541811	0.737444063803204	-0.202101326637257	0.0299216009090466	-0.0430104382648375	0.463772986986802	0.221832040824883	0.937506382874455	0.959402910836175
Colwelliaceae	0.0949284087157634	0.189558351710981	0.0151950702791885	0.713545503023133	-0.142690368686979	-0.302984561399864	-0.0539087469496365	0.463772986986802	0.511130555506396	0.327779373165351	0.959402910836175
Actinomycetaceae	0.0962108861391577	0.0279091282864322	0.816324147757838	0.530986578738871	0.330593913604115	-0.0376657648903908	0.123897461339278	0.463772986986802	0.220111506380359	0.955678236618742	0.914496699522792
Haliscomenobacteraceae	0.0968050402178281	0.0433737077012503	0.91123308632256	0.48504458570867	0.131131321448939	0.0079415355732501	-0.0615433993918626	0.463772986986802	0.2728929109537	0.965587340594432	0.900659427169536
Neisseriaceae	0.0986752253379483	0.0422007823031387	0.528177452351604	0.0479154095971875	0.35426200390954	0.119739242934748	0.469051806350892	0.463772986986802	0.271162473522295	0.859803870241338	0.491546168490535
Oxalobacteraceae	0.0991187403663986	0.929708813514675	0.0268630671005005	0.390516196177645	-0.00864923655059081	0.253392732796088	0.118280537859513	0.463772986986802	0.983067807770322	0.333913747781184	0.86797152741978
Unclassified Victivallales Order	0.0992107741475275	0.0238841660386775	0.0591533259738353	0.246305016745261	0.485860078811115	0.4565410864469	0.342812609749741	0.463772986986802	0.206086232676589	0.406006919184052	0.848445245385404
Halobacteriovoraceae	0.101239774090421	0.0297385688704109	0.36070496933795	0.68223149890578	0.182986174566864	0.084641870397399	-0.0466120746434331	0.463772986986802	0.221832040824883	0.818130128480589	0.957771862606503
Unclassified Aquificales Order	0.104617576411276	0.128937344283159	0.38903737874724	0.360564799655299	-0.0492647628973097	0.0307831928065284	0.039785007172306	0.463772986986802	0.432656421927935	0.818130128480589	0.86797152741978
Desulfuromonadaceae	0.10489443208051	0.59456718344402	0.381053880375679	0.0153239213511379	0.0696344198590545	0.131272880138066	0.466744743002773	0.463772986986802	0.823666465138045	0.818130128480589	0.272224955767274
Unclassified Oceanospirillales Order	0.105826370733542	0.0986771772848619	0.0330510419703916	0.0927296430540241	-0.234588235473889	-0.340976980147245	-0.323590792624382	0.463772986986802	0.387019578441926	0.348156899479732	0.622318937829228
Bifidobacteriaceae	0.106141829775018	0.0469622782705016	0.0545177965258327	0.100174762845225	-0.610128066023599	-0.655957001786111	-0.678072414063332	0.463772986986802	0.273221083273113	0.406006919184052	0.630266216234542
Rhizobiaceae	0.108141333455226	0.370979618724401	0.130106565554438	0.249254773969796	0.0605563890284089	-0.116713289027865	-0.108986726724059	0.463772986986802	0.692500842060851	0.569451924600582	0.848445245385404
Verrucomicrobiaceae	0.110311938170905	0.0217314276129757	0.193802317638619	0.865975645314893	0.330817137669739	0.206830015269373	0.0328591316513103	0.463772986986802	0.200902380790281	0.616087367651189	0.981189176190034
Chromatiaceae	0.110568394248509	0.0283376222712897	0.0853552134135159	0.721211781940464	0.22149953909691	0.194953846979902	0.0492061540729507	0.463772986986802	0.220111506380359	0.444435766394514	0.959402910836175
Tannerellaceae	0.114136115150854	0.712988221279957	0.0355147634071841	0.121367310384961	0.0579103779980238	0.379948508074152	0.337514631824352	0.470434821874024	0.886100587763568	0.348156899479732	0.656503154908926
Unclassified Actinobacteria Phylum	0.115272108671119	0.53087309565393	0.132109157162253	0.278868733934431	-0.0924180048342316	0.255390673518074	-0.226093203100097	0.470434821874024	0.817977933099423	0.569956649471434	0.86797152741978
Sphingomonadaceae	0.117047259607518	0.0475492517318947	0.836298444886068	0.206279604513566	0.119211008736295	-0.0136243760085361	0.103615139511272	0.471310298686273	0.273221083273113	0.955678236618742	0.805025569510068
Piscirickettsiaceae	0.121644016463086	0.0594608341963974	0.52589612178045	0.625677219854455	0.187954703196587	-0.0689471587277757	0.0644575297370893	0.483374907524369	0.31503810398793	0.859803870241338	0.91846290486758
Morganellaceae	0.125201101517271	0.231379896372312	0.14772548438587	0.0259633148250749	0.191622926595658	0.259018715069711	0.494052397672606	0.486171321911167	0.568103485401937	0.598636824265817	0.392046053858631
Syntrophaceae	0.12556742751348	0.256618375610564	0.0257701931904851	0.119889851427019	-0.100841240741459	-0.231879629224996	-0.19755560081802	0.486171321911167	0.574064810625114	0.333913747781184	0.656503154908926
Desulfovibrionaceae	0.127690472513723	0.127430716691036	0.0242191470158016	0.2405118001114	0.316958902051283	0.538865868428664	0.338401218371564	0.488133198723347	0.432405353266214	0.333913747781184	0.848445245385404
Muribaculaceae	0.133062360754914	0.261205658635185	0.023026094148846	0.188612685655441	0.153680319026125	0.363154251830191	0.254845600198684	0.493379643114967	0.577498937078343	0.333913747781184	0.780288096821141
Methanobacteriaceae	0.137282233163892	0.686028507442538	0.0249709042769001	0.410961575746169	0.100629549790984	0.657551736201078	0.291087962603833	0.493379643114967	0.874015111633945	0.333913747781184	0.87401687236157
