bugName	pval	p1M	p6M	p1Y	s1M	s6M	s1Y	Adjustedpval	Adjustedp1M	Adjustedp6M	Adjustedp1Y
Enterobacteriaceae	9.2192919964873e-13	7.77151785117351e-12	2.25740569271061e-09	1.20614827129435e-07	1.12631335591004	1.06070702525937	1.06222272163024	4.83090900615935e-10	4.07227535401492e-09	1.18288058298036e-06	6.32021694158239e-05
Candidatus Nanopelagicaceae	4.00237176734208e-10	9.0377876921618e-11	8.34386444316054e-06	1.927098595798e-05	-0.359535776239803	-0.258928454742219	-0.28836500628449	1.04862140304363e-07	2.36790037534639e-08	0.000485798329801792	0.000719178724904087
Unclassified Enterobacterales Order	2.40801278916791e-09	1.06396690334117e-08	1.18079568650951e-06	2.14929880194117e-06	0.540594875899179	0.501519145353964	0.568099500052995	2.86088176615351e-07	7.96455224786821e-07	0.000103122823288497	0.000261640247788745
Erysipelotrichaceae	2.63702715219694e-09	1.20994613568697e-07	7.844887884244e-07	2.53272393137459e-07	-0.394694071100291	-0.407646270700732	-0.497631581636766	2.86088176615351e-07	3.56178125188478e-06	8.22144250268771e-05	6.63573670020141e-05
Petrotogaceae	2.72984901350526e-09	1.09015908545835e-09	5.4644077403396e-05	7.16235321867526e-06	-0.377605026650434	-0.262309116624567	-0.344306817594549	2.86088176615351e-07	1.90414453593391e-07	0.00220257665841381	0.000536153298083691
Unclassified Candidatus Gracilibacteria Phylum	6.0450481287333e-09	2.55501790805437e-08	3.75401637746267e-07	3.05690964858464e-05	-0.480291429295027	-0.482680198874444	-0.44763783747903	4.58498010098245e-07	1.33045446238764e-06	4.9177614544761e-05	0.00076277174088493
Acholeplasmataceae	6.12497341734297e-09	3.1205072418233e-09	0.00101746155616958	2.4623381171164e-06	-0.354966501595283	-0.205441011868386	-0.357321814471138	4.58498010098245e-07	3.56330717441343e-07	0.0123988338472758	0.000261640247788745
Hungateiclostridiaceae	3.55250554529007e-08	1.23455319279775e-08	0.00214984839352357	1.14364047445625e-05	-0.297843020925642	-0.168187228223575	-0.290125562990797	1.91779186704544e-06	8.08632341282527e-07	0.0190935687831585	0.000665852898461193
Unclassified Firmicutes Phylum	3.55454008449385e-08	5.44683344143993e-08	3.35662550724325e-05	8.94060614703642e-06	-0.265887519117096	-0.217854201884952	-0.272786350952873	1.91779186704544e-06	2.19549286408809e-06	0.00146572647149622	0.000585609702630885
Bifidobacteriaceae	3.65990814321648e-08	1.5916134337988e-08	4.2132154440226e-06	0.00106549155708547	-0.782739701123372	-0.695720059720334	-0.559405165729209	1.91779186704544e-06	9.26672710345081e-07	0.00027596561158348	0.00845935721079982
Fervidobacteriaceae	4.09383382748985e-08	6.367578315103e-09	0.00168040422080216	5.70845618420001e-05	-0.309342392524618	-0.174902193602918	-0.267248908441276	1.95015356873153e-06	5.56101839518995e-07	0.0163061446611173	0.00119649241620832
Thiotrichaceae	4.78921796664977e-08	2.79293875692063e-08	7.1478792468613e-05	2.68420234254038e-05	-0.356759753957366	-0.273025653423137	-0.338357166841491	2.00661880704718e-06	1.33045446238764e-06	0.00267534908953952	0.000740274751311137
Desulfurobacteriaceae	4.97825276557506e-08	3.40010226566167e-09	0.0120691299037099	0.000480711577038247	-0.390583065919615	-0.170368609937701	-0.281913286626222	2.00661880704718e-06	3.56330717441343e-07	0.0585576302735554	0.00449808689942931
Lachnospiraceae	1.11816553793886e-07	1.16383709570387e-06	3.52545824258089e-07	0.000555828998618195	-0.3023168292038	-0.357579990487902	-0.268990056213615	4.18513387057118e-06	1.577409716897e-05	4.9177614544761e-05	0.00510972623291113
Sporolactobacillaceae	1.3574358870283e-07	3.43093715180657e-08	0.000122567199670385	0.000199298159440216	-0.292069253359223	-0.217614690019314	-0.245172964455716	4.74197603201887e-06	1.4981758896222e-06	0.00389398968460807	0.00282249285261278
