bugName	pval	p3M	p1Y	s3M	s1Y	Adjustedpval	Adjustedp3M	Adjustedp1Y
Enterobacteriaceae	2.26760721311337e-10	2.01389005771421e-10	3.50725263357553e-09	1.65764992759522	1.55601831122964	1.19956421573697e-07	1.06534784053082e-07	1.85533664316145e-06
Unclassified Enterobacterales Order	2.48875338010324e-05	1.79698379758529e-05	0.000120207750814954	0.677592245701106	0.642979348790879	0.00658275269037306	0.00475302214461308	0.0317949500905554
Streptococcaceae	0.00315384907356342	0.00102104764686998	0.0225331776175521	0.765329950513361	0.547900497618402	0.556128719971683	0.180044735064739	0.981192919187751
Unclassified Chlamydiia Class	0.00817604149301876	0.00394276887325377	0.0203972800405651	-0.350425982639854	-0.312739322769874	0.999814542879428	0.521431183487811	0.981192919187751
Unclassified Parachlamydiales Order	0.0135152678358379	0.614242079112759	0.0125818778071642	-0.0341625020587543	0.210037972092284	0.999814542879428	0.996984005012762	0.981192919187751
Ruminococcaceae	0.0166368062475475	0.00718441598575117	0.0384421253177027	-0.421144567519269	-0.356032095488324	0.999814542879428	0.760111211292474	0.981192919187751
Pasteurellaceae	0.0182029998233573	0.18201581023725	0.0052311190530883	0.240563175146853	0.626319094813885	0.999814542879428	0.990805303278817	0.922420659694569
Silvanigrellaceae	0.0250360033987731	0.0125511658620839	0.997514031720055	-0.310381653009447	-0.00041096835019739	0.999814542879428	0.990805303278817	0.999307003333253
Veillonellaceae	0.0368063332699309	0.028176827250117	0.0305136818253687	0.529268652900037	0.59963580936049	0.999814542879428	0.990805303278817	0.981192919187751
Akkermansiaceae	0.0400246956490503	0.0638856744232317	0.0181579400995737	0.621285417876698	0.935043258436207	0.999814542879428	0.990805303278817	0.981192919187751
Microcystaceae	0.0414112196501958	0.0178506608789782	0.0782275750305079	-0.202807545612874	-0.169709896277752	0.999814542879428	0.990805303278817	0.981192919187751
Desulfovibrionaceae	0.0423314325250154	0.762704817249168	0.027577310574942	-0.0442573520671711	0.404364891686999	0.999814542879428	0.996984005012762	0.981192919187751
Unclassified Methanomicrobia Class	0.0481656854579278	0.0163740291252607	0.1654292272303	-0.253641500740596	-0.162254703191271	0.999814542879428	0.990805303278817	0.981192919187751
Methanocaldococcaceae	0.0533684696784904	0.0327624576156429	0.0532204975588142	-0.215388289491746	-0.224138409340508	0.999814542879428	0.990805303278817	0.981192919187751
Oleiphilaceae	0.0587578590258364	0.020997102921444	0.159508044466721	-0.28186610656515	-0.190881673187936	0.999814542879428	0.990805303278817	0.981192919187751
Desulfurellaceae	0.0610750801111428	0.022797509306554	0.136648279817587	-0.276552166522984	-0.199184190384357	0.999814542879428	0.990805303278817	0.981192919187751
Chelatococcaceae	0.0727342381837863	0.0599971191724389	0.0493444912402289	0.163988896328051	0.200848884704024	0.999814542879428	0.990805303278817	0.981192919187751
Mesoaciditogaceae	0.0845197960026359	0.206861449523309	0.030555180688556	-0.156689262776937	-0.327640763466592	0.999814542879428	0.990805303278817	0.981192919187751
Actinomycetaceae	0.0899526728130891	0.0311280170186333	0.249712921930673	0.290896191716055	0.168337075161896	0.999814542879428	0.990805303278817	0.984944015394336
Hapalosiphonaceae	0.0905079390473091	0.0322677367530541	0.2267091847257	-0.211300670845014	-0.131844146261526	0.999814542879428	0.990805303278817	0.983025891146683
Unclassified Bacteroidales Order	0.091910643046932	0.0578697138187538	0.0738820065259536	-0.170600561230761	-0.182763504283553	0.999814542879428	0.990805303278817	0.981192919187751
Unclassified Aeromonadales Order	0.0954359894634842	0.967681380858549	0.0523107778190251	-0.00724575601284026	0.411854289951642	0.999814542879428	0.996984005012762	0.981192919187751
Halobacteroidaceae	0.0987191903393435	0.0457658220960632	0.126485503031469	-0.192512663566582	-0.167414494457489	0.999814542879428	0.990805303278817	0.981192919187751
Spiroplasmataceae	0.0987504560322469	0.0495760079450745	0.109722886646861	-0.210250326036016	-0.195030029256972	0.999814542879428	0.990805303278817	0.981192919187751
Selenomonadaceae	0.101009406813386	0.0678593346949421	0.733869741834187	-0.301865163919975	0.0626488056918694	0.999814542879428	0.990805303278817	0.984944015394336
Unclassified Thermotogae Class	0.101865940655974	0.109863744414552	0.0521889160936031	0.203259467950843	0.292509980225358	0.999814542879428	0.990805303278817	0.981192919187751
Borreliaceae	0.106988508483116	0.0624811211545136	0.0950745036791347	-0.154682997323988	-0.159654092663916	0.999814542879428	0.990805303278817	0.981192919187751
Methanosarcinaceae	0.109294875672336	0.0557441178939868	0.11652468851206	-0.152242302433506	-0.142828630508544	0.999814542879428	0.990805303278817	0.981192919187751
Beutenbergiaceae	0.11339198285374	0.063135203566776	0.106245581459965	0.193694535468826	0.193834722020712	0.999814542879428	0.990805303278817	0.981192919187751
Prolixibacteraceae	0.114495527203234	0.100790823779217	0.0664243687703158	-0.180357777891219	-0.236861557929106	0.999814542879428	0.990805303278817	0.981192919187751
Chroococcaceae	0.115928200753688	0.469979664258398	0.124353254144462	-0.0837862235027894	0.212094059719844	0.999814542879428	0.990805303278817	0.981192919187751
Candidatus Brocadiaceae	0.122454954933682	0.0446231241098483	0.524414219067137	-0.2647756396993	-0.0909384569858778	0.999814542879428	0.990805303278817	0.984944015394336
Blattabacteriaceae	0.127553689622164	0.0671375290453397	0.118105131900392	-0.215678983047794	-0.206514431384925	0.999814542879428	0.990805303278817	0.981192919187751
Baekduiaceae	0.141181444110476	0.0631326156661084	0.179386136884972	0.249512763402622	0.20518212219935	0.999814542879428	0.990805303278817	0.981192919187751
Crocinitomicaceae	0.141593765623903	0.0860205311569115	0.113420179768517	-0.161487270847291	-0.172579139100084	0.999814542879428	0.990805303278817	0.981192919187751
Trueperaceae	0.142090880889769	0.179225326586031	0.063874545148103	0.16498518824524	0.272165875571824	0.999814542879428	0.990805303278817	0.981192919187751
Symbiobacteriaceae	0.145363896442211	0.151570324998263	0.0724539897748127	0.148155364041013	0.220141244648303	0.999814542879428	0.990805303278817	0.981192919187751
Ferrimonadaceae	0.145808708043394	0.810253909643539	0.0623177723694374	0.0170132386217831	0.161706894760852	0.999814542879428	0.996984005012762	0.981192919187751
Halanaerobiaceae	0.149194438745509	0.0554989048487581	0.328762564660097	-0.150582317796653	-0.0859530364699186	0.999814542879428	0.990805303278817	0.984944015394336
Elusimicrobiaceae	0.152827076714861	0.0582585206220944	0.606990862543924	-0.177312563178932	-0.0535106977857633	0.999814542879428	0.990805303278817	0.984944015394336
Phycisphaeraceae	0.15426808208214	0.114520322341801	0.0989400757115287	0.180299469059191	0.220892623031842	0.999814542879428	0.990805303278817	0.981192919187751
Hafniaceae	0.15729076348706	0.0982967325495264	0.114316103909262	0.319036250986354	0.347107400984767	0.999814542879428	0.990805303278817	0.981192919187751
Dysgonamonadaceae	0.157905723186201	0.0982324187981068	0.119357268966261	-0.203019512906178	-0.221207765207814	0.999814542879428	0.990805303278817	0.981192919187751
Simkaniaceae	0.159412574108756	0.0895601848638284	0.138044677362691	-0.200327241631782	-0.20255330575311	0.999814542879428	0.990805303278817	0.981192919187751
Sulfolobaceae	0.162161753022564	0.0698094986872965	0.216156569984316	-0.171444673666369	-0.132362927312514	0.999814542879428	0.990805303278817	0.981192919187751
Unclassified Selenomonadales Order	0.165402466225043	0.0639494611957676	0.626027773274148	-0.364756952439971	-0.107277503639896	0.999814542879428	0.990805303278817	0.984944015394336
Paludibacteraceae	0.165493405013896	0.147652654697222	0.0892689954138514	-0.175206335298446	-0.241320039174818	0.999814542879428	0.990805303278817	0.981192919187751
Enterococcaceae	0.169609547427534	0.101949106528759	0.88617541780722	0.261351137834872	-0.024714650038435	0.999814542879428	0.990805303278817	0.984944015394336
Dermacoccaceae	0.169902839856232	0.12042024486399	0.111364063779355	0.198476178439445	0.237517963420401	0.999814542879428	0.990805303278817	0.981192919187751
Campylobacteraceae	0.17164206465261	0.085918426257914	0.167302087272566	-0.124450879392814	-0.113575012486896	0.999814542879428	0.990805303278817	0.981192919187751
Unclassified Phycisphaerae Class	0.173639688424904	0.159822848234452	0.0921379119144127	0.160053879623304	0.226925680163436	0.999814542879428	0.990805303278817	0.981192919187751
Ilumatobacteraceae	0.176664700629988	0.165131697413181	0.0915491740215844	0.150300503481435	0.214886683144344	0.999814542879428	0.990805303278817	0.981192919187751
Prochloraceae	0.17779988841947	0.0999016830309202	0.147625507772111	-0.183963528560096	-0.185832324436716	0.999814542879428	0.990805303278817	0.981192919187751
Pelagibacteraceae	0.178396738081601	0.111992184773571	0.129113183794081	-0.192865594802738	-0.212148306132382	0.999814542879428	0.990805303278817	0.981192919187751
Unclassified Negativicutes Class	0.17947915521552	0.456709023358711	0.193389837723585	-0.0821597908171021	0.170634630900645	0.999814542879428	0.990805303278817	0.981192919187751
Unclassified Halanaerobiales Order	0.180438166815285	0.287357298418168	0.0728522770113739	-0.0862203568041343	-0.174694492783575	0.999814542879428	0.990805303278817	0.981192919187751
Methanomassiliicoccaceae	0.181536931353749	0.559940077345547	0.0693295775234266	0.0549654091655795	0.209959041329875	0.999814542879428	0.991257356416617	0.981192919187751
Chlamydiaceae	0.182779497336724	0.0953382755978975	0.166490476300807	-0.160153890631473	-0.151551130097597	0.999814542879428	0.990805303278817	0.981192919187751
Sandaracinaceae	0.18390831881336	0.0829200238941045	0.218844214589889	0.225184540266026	0.181724035690106	0.999814542879428	0.990805303278817	0.981192919187751
Unclassified Armatimonadetes Phylum	0.183951293987105	0.150684700968357	0.105543720489407	0.127981104465165	0.169767057150192	0.999814542879428	0.990805303278817	0.981192919187751
Unclassified Desulfovibrionales Order	0.193733213990606	0.88459821589433	0.110582031059896	-0.0197665899103362	0.2618366093841	0.999814542879428	0.996984005012762	0.981192919187751
Unclassified Deltaproteobacteria Class	0.197294666360058	0.560275897105044	0.0764819602610557	0.0606364944058676	0.22392512990354	0.999814542879428	0.991257356416617	0.981192919187751
Roseiflexaceae	0.199508903564504	0.766205332994034	0.0848940155219369	0.036428684725147	0.256362980757236	0.999814542879428	0.996984005012762	0.981192919187751
Merismopediaceae	0.199523778833643	0.141143951184781	0.128251519241758	-0.110611966801071	-0.133826426231642	0.999814542879428	0.990805303278817	0.981192919187751
Unclassified Epsilonproteobacteria Class	0.200283142242718	0.106566578025147	0.174926973204517	-0.178535069379735	-0.171566071357908	0.999814542879428	0.990805303278817	0.981192919187751
Bacteroidaceae	0.203460637848502	0.173785482836996	0.110557904942998	-0.11634742990743	-0.160121267696832	0.999814542879428	0.990805303278817	0.981192919187751
