bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Actinomyces	4.50876230750907e-05	4.5087623075148e-05	0.486483189349144	0.0108210295380218	0.0108210295380355
Streptococcus	0.00026604711493361	0.000266047114933689	0.76771464214025	0.0319256537920332	0.0319256537920427
Rothia	0.000710976025761201	0.00071097602576118	0.518623924596806	0.0568780820608961	0.0568780820608944
Rickettsia	0.00250225537999094	0.00250225537999101	0.573464826841039	0.150135322799456	0.150135322799461
Veillonella	0.0042867335760306	0.00428673357603061	0.479344359946351	0.205763211649469	0.205763211649469
Aminipila	0.00617951802114591	0.00617951802114586	0.389786368458659	0.231042520836855	0.231042520836856
Enterococcus	0.00708552537534546	0.00708552537534548	0.835479580068154	0.231042520836855	0.231042520836856
Escherichia	0.00844281519038537	0.00844281519038539	0.697448327314662	0.231042520836855	0.231042520836856
Unclassified Carnobacteriaceae Family	0.00866409453138206	0.00866409453138208	0.350928078414211	0.231042520836855	0.231042520836856
Schaalia	0.0115401509953829	0.0115401509953828	0.382229413337569	0.276963623889189	0.276963623889188
Bdellovibrio	0.0144208112813434	0.0144208112813434	0.11070115415693	0.314635882502038	0.314635882502038
Gemella	0.0190227403262653	0.0190227403262653	0.322486838083541	0.380454806525306	0.380454806525306
Anaerococcus	0.026243145800099	0.026243145800099	0.185357427270179	0.417922923551027	0.417922923551028
Unclassified Actinobacteria Phylum	0.0266788126530673	0.0266788126530672	-0.0999929668893411	0.417922923551027	0.417922923551028
Faecalibacterium	0.0269137249785043	0.0269137249785043	-0.324370645436634	0.417922923551027	0.417922923551028
Chondrocystis	0.0278615282367352	0.0278615282367352	-0.0976421828457117	0.417922923551027	0.417922923551028
Enterocloster	0.0301901638713225	0.0301901638713225	0.355413412583858	0.426214078183376	0.426214078183377
Akkermansia	0.0340228059699325	0.0340228059699325	0.529635491178069	0.453637412932433	0.453637412932433
Anaerostipes	0.0371304396152844	0.0371304396152844	-0.34962650119312	0.466767195246695	0.466767195246694
Unclassified Alteromonadales Order	0.0388972662705579	0.0388972662705579	0.19593631257733	0.466767195246695	0.466767195246694
Orbus	0.0440645929743522	0.0440645929743521	0.0619587592688066	0.479588093715598	0.479588093715599
Flintibacter	0.051999656305757	0.051999656305757	-0.191882031550491	0.479588093715598	0.479588093715599
Aminomonas	0.0524717191510409	0.0524717191510409	0.152983370022047	0.479588093715598	0.479588093715599
Cellulosilyticum	0.0528706779236393	0.0528706779236393	-0.220264083338044	0.479588093715598	0.479588093715599
Synechococcus	0.0538539384332006	0.0538539384332006	0.0736785127785258	0.479588093715598	0.479588093715599
