bugName	pval	p3M	p1Y	p2Y	s3M	s1Y	s2Y	Adjustedpval	Adjustedp3M	Adjustedp1Y	Adjustedp2Y
Veillonella	7.62415242050452e-10	2.04063677308552e-10	4.58395497197557e-07	4.08954446569654e-06	1.16255496945591	0.9409413766416	1.03565791525815	5.10055796931752e-07	1.36518600119421e-07	0.000306666587625165	0.00273590524755098
Leptotrichia	2.46494395497177e-05	3.50526319517194e-05	0.00510061387580276	4.41998236516594e-05	0.679110135075836	0.48249888408216	0.915198107003659	0.00824523752938056	0.00469004215514005	0.265830560545919	0.0147848410114801
Gemella	6.54364056392742e-05	6.84824654346708e-06	0.122346354413153	0.00703290928044443	0.788462246149701	0.269138786407276	0.595787959567644	0.0145923184575582	0.00229073846878974	0.618746396408832	0.180962165716051
Atopobium	0.000198086981986867	1.49849413490977e-05	0.235271305396252	0.0998471387168863	0.653346006473808	0.177771648651128	0.303547950417139	0.0263083254650875	0.00334164192084878	0.729343630511152	0.583961697472838
Streptococcus	0.000205002855306669	2.70230727826723e-05	0.0115269367599645	0.00506897840026588	0.757173457647207	0.475978647118814	0.658030091830003	0.0263083254650875	0.00451960892290195	0.327091045552548	0.167910372562994
Haemophilus	0.000269156455412034	0.000455689602295421	0.0204847967641556	0.000168646365981164	0.689825461985372	0.492943522752374	1.05098452205276	0.0263083254650875	0.0249759772851918	0.33136681709924	0.0282061047103496
Escherichia	0.000310071371184328	5.84315800560855e-05	0.0247431899128906	0.00274554821839506	0.945104000832755	0.546315048336598	0.913240154478365	0.0263083254650875	0.00651512117625353	0.33136681709924	0.1305598864324
Zobellella	0.000314598809746935	7.98482272010341e-05	0.34863716059331	0.00491378027212266	0.515672184064289	0.124503870775574	0.480654776735883	0.0263083254650875	0.00763120914249883	0.801506049611423	0.167910372562994
Ferrimonas	0.000416270319960166	0.000119315326490281	0.0571282311956848	0.00163745012944138	0.743983014605896	0.38191341077593	0.808265346799193	0.0309427604503723	0.00997774417774972	0.41095469537541	0.107812327089834
Gottschalkia	0.000857656815783869	0.982204477304905	0.746745055926975	0.000136626839993623	-0.000612567450898808	0.0098748480645496	0.156306466206775	0.0532230154691535	0.994303834282534	0.942440941035515	0.0282061047103496
Mogibacterium	0.000875116846279056	0.0134531801250335	8.2384673481292e-05	0.0312368218757166	0.237964722567371	0.46247325246922	0.292110272567165	0.0532230154691535	0.140627773494491	0.0275576732794922	0.454364321015569
Glaesserella	0.00116834680538969	0.00387230151763398	0.0885904016168738	0.000284504842574197	0.420610808075543	0.267730943676491	0.749203907284042	0.0612114676529878	0.083566765009585	0.529169452515077	0.0380667479364276
Aminomonas	0.00118946050745716	0.000413064438330898	0.388209756997078	0.00568634798556529	0.52314720879551	0.13340130565374	0.552521053400066	0.0612114676529878	0.0249759772851918	0.816269261633734	0.167910372562994
Aggregatibacter	0.00204143534037793	0.000543860322870563	0.113036248730814	0.00501720204822488	0.500742299466956	0.242448609180622	0.548079061552292	0.0975514459080596	0.025988754000029	0.604970003207317	0.167910372562994
