bugName	pval	p1M	p6M	p1Y	s1M	s6M	s1Y	Adjustedpval	Adjustedp1M	Adjustedp6M	Adjustedp1Y
Klebsiella	0	6.34451940298542e-20	9.8281931053063e-17	2.483546795696e-13	1.58590154339787	1.54820365980166	1.51085690401849	0	1.11917322268663e-16	1.73369326377603e-13	4.38097654760774e-10
Raoultella	3.6027847372111e-12	1.10788279638399e-11	1.29582567266637e-08	4.16891183231995e-07	0.748683901702255	0.673020816905679	0.682589579953549	2.53920684478715e-09	7.79984190194542e-09	4.23474015076927e-06	0.00012886422430189
Veillonella	5.60151924844376e-12	1.45498268213154e-11	6.29477505323767e-08	1.48494074020727e-07	0.956053216203286	0.817317872949234	0.921288480690498	2.53920684478715e-09	7.79984190194542e-09	1.27614504044933e-05	7.79644158803206e-05
Longibaculum	5.75783865031099e-12	1.14359059952458e-10	4.14396646888829e-09	5.6781887671805e-08	-0.543853717286485	-0.548926884112217	-0.5832067252165	2.53920684478715e-09	4.03458763512273e-08	3.65497842555947e-06	5.00816249265321e-05
Candidatus Planktophila	6.92188528716997e-11	1.7686716330942e-11	3.16655147127769e-06	7.24210680404222e-06	-0.374298307002021	-0.270316179339505	-0.302198391823887	2.44204112931357e-08	7.79984190194542e-09	0.000175760153161416	0.000473150977864092
Unclassified Enterobacteriaceae Family	9.03238595029165e-11	3.45788544168599e-09	1.08099522611073e-08	5.84418250802221e-07	1.15022231960936	1.23336081186568	1.2162501502908	2.65552146938575e-08	3.38872773285227e-07	4.23474015076927e-06	0.00012886422430189
Metakosakonia	1.3128453879574e-10	6.21836124867167e-10	1.78087670866276e-07	8.42167195743358e-07	0.940155260358892	0.851528877328158	0.918512274778228	3.30837037765264e-08	1.3711486553321e-07	2.85587864916464e-05	0.000164295714071734
Blautia	4.48109993556045e-10	1.46857484025501e-08	4.20899819820797e-08	9.31381599046112e-07	-0.449825576985735	-0.484124055602593	-0.493154894293143	9.88082535791079e-08	9.59468895633271e-07	1.06066754594841e-05	0.000164295714071734
Sporolactobacillus	7.03414437808192e-10	2.10943612973984e-09	1.37164780685565e-07	1.35200630398388e-05	-0.334989775557017	-0.322713307203681	-0.301700512905405	1.37869229810406e-07	2.86234256373929e-07	2.41958673129337e-05	0.000722708824311385
Intestinibaculum	1.01396446794411e-09	1.58824242038801e-09	8.02507636623897e-07	7.04277223303064e-06	-0.410416181304201	-0.363168709505354	-0.380407947038527	1.7886333214534e-07	2.54696329960404e-07	8.32719688826208e-05	0.000473150977864092
Marinitoga	1.36721878263302e-09	1.75426617727554e-10	0.00032749722312551	1.97194946617331e-05	-0.413036958765991	-0.239609482617981	-0.338427849429664	2.19252175687695e-07	5.15754256119008e-08	0.00498021639304656	0.00085226056062438
Candidatus Moranella	1.60729585196862e-09	2.31361008776569e-08	1.44038780638411e-08	9.34531442306725e-05	0.510531806021533	0.58726330260729	0.447451311203442	2.32929050201737e-07	1.29486336623864e-06	4.23474015076927e-06	0.00193942760497537
Yokenella	1.71659730874296e-09	6.36095770905011e-08	6.51094408392514e-08	2.72515188253651e-06	0.744654864538478	0.831530007351155	0.816894503535857	2.32929050201737e-07	2.28994477525804e-06	1.27614504044933e-05	0.000300447995049651
Unclassified Erysipelotrichaceae Family	1.85858817225437e-09	6.14347000571341e-06	7.69550496353863e-09	5.55030277991576e-07	-0.422474208874145	-0.636072254763368	-0.626582269085572	2.34182109704051e-07	5.23530487443404e-05	4.23474015076927e-06	0.00012886422430189
Butyrivibrio	2.22577278830016e-09	4.12509302141507e-09	9.01695509770999e-07	1.21596526854518e-05	-0.334424943601874	-0.303125926073171	-0.309134672229647	2.61750879904099e-07	3.82982320514536e-07	8.83661599575579e-05	0.000691923462488287
