bugName	pval	p1M	p6M	s1M	s6M	Adjustedpval	Adjustedp1M	Adjustedp6M
Streptococcus	5.96069082980932e-10	4.53548619171723e-10	4.9067920768825e-07	1.05595565069387	0.989579144769935	1.25174507425996e-07	9.52452100260618e-08	0.000103042633614532
Salmonella	1.46918714971633e-08	2.35109029042698e-08	1.2788194778163e-06	1.13692724116082	1.2108335680089	1.54264650720215e-06	9.8745792197933e-07	0.000134276045170711
Unclassified Micrococcales Order	3.74076742915008e-08	1.72805707407644e-08	3.3053629207346e-05	0.891269325482568	0.755449750059585	2.34042233726584e-06	9.8745792197933e-07	0.00231375404451422
Unclassified Enterobacteriaceae Family	5.14777480642437e-08	1.74090505571545e-08	0.000113875778300069	1.76673079348126	1.35635264893829	2.34042233726584e-06	9.8745792197933e-07	0.0047827826886029
Actinomyces	5.57243413634723e-08	1.88607803145253e-08	9.61291786036485e-05	0.748484761188717	0.591389471753127	2.34042233726584e-06	9.8745792197933e-07	0.0047827826886029
Atopobium	1.69522088855345e-06	3.41688086508995e-07	0.0101107195081364	0.743170790847934	0.409536250675974	5.10326342059719e-05	1.02506425952699e-05	0.132703193544291
Fusobacterium	1.7639261260527e-06	3.40092668719934e-07	0.0165037922744907	1.10509932172164	0.561454098675741	5.10326342059719e-05	1.02506425952699e-05	0.192544243202392
Rothia	1.94410035070369e-06	1.35516795446022e-06	0.000158613580079472	0.625363291366151	0.591474674039021	5.10326342059719e-05	3.16205856040717e-05	0.00555147530278152
Unclassified Acholeplasmataceae Family	2.70863700968516e-06	5.39259816049119e-07	0.100989531739097	0.78215813349813	0.277194985357065	6.3201530225987e-05	1.41555701712894e-05	0.445514512199005
Veillonella	4.21832220609542e-06	1.93289713765635e-06	0.00065705304173532	1.13877600126295	0.962577450665053	8.85847663280037e-05	4.05908398907835e-05	0.0197115912520596
Schaalia	1.67365879610859e-05	5.02016078670309e-06	0.00385686340897286	0.749221797986079	0.563111867541744	0.000297171299464272	8.7852813767304e-05	0.0674951096570251
Enterobacter	1.69812171122441e-05	5.63999736297352e-06	0.00308136282250983	0.770871534942712	0.595669600166906	0.000297171299464272	9.11076497095723e-05	0.0645010210622182
Unclassified Bacilli Class	2.0383988795003e-05	4.36500697528756e-06	0.0240590808753054	0.606296063966429	0.334388464576189	0.000329279818996203	8.33319513463988e-05	0.210516957658922
Gemella	3.59352877471464e-05	7.61879237602109e-06	0.18872824703086	0.788509044434269	0.257326253203769	0.000539029316207196	0.000114281885640316	0.566184741092579
Slackia	0.000219045215670954	5.44971989912547e-05	0.41550395114397	0.331218475028685	0.0743220310179712	0.00306663301939336	0.000762960785877565	0.727131914501948
Faecalibacterium	0.000328213844243086	0.000123751349103549	0.00994596867781347	-0.591337514078115	-0.490198910714052	0.0043078067056905	0.00152869313598501	0.132703193544291
Unclassified Bacillales Order	0.000529498217009428	0.000120057862174113	0.251526602817866	0.599153734200095	0.205990765936162	0.00654086032776352	0.00152869313598501	0.62299596261646
Trueperella	0.000650223529425009	0.000170685815376257	0.0445748142269153	0.374146648416189	0.240273893453652	0.00758594117662511	0.001991334512723	0.277436865704171
Blautia	0.00076036415863745	0.000989754078863154	0.00219153404841634	-0.297316045168179	-0.361048694177633	0.00840402491125603	0.00769808728004675	0.0556093831656381
Unclassified Enterobacterales Order	0.000841197629418144	0.000244502300116391	0.0376752857438304	0.296067490493907	0.197962708050114	0.00883257510889052	0.00270239384339169	0.272821034696703
Unclassified Ruminococcaceae Family	0.00113014646030241	0.000278130771134655	0.0779234553696562	-0.874932037787212	-0.514176079001932	0.0113014646030241	0.00292037309691388	0.406705229662612
Unclassified Corynebacteriaceae Family	0.00148303069090061	0.000349247232824344	0.242026159295818	0.275531688061061	0.108796008034149	0.0141562020495058	0.00349247232824344	0.619823090879535
Faecalitalea	0.00164733602242451	0.0253381172070864	0.0355485752107036	-0.447016536706156	0.562842311458198	0.015040894117789	0.104333423793885	0.266614314080277
Unclassified Clostridiales Order	0.00198002415119158	0.000689349563160567	0.032429287377031	-0.276890702544144	-0.215373099998787	0.0173252113229264	0.00629406122885735	0.258860304480238
Anaerostipes	0.00217177163388715	0.000530184503934	0.132768625463725	-0.697570805505526	-0.361833091823219	0.0182428817246521	0.00506085208300637	0.471437884036802
Phoenicibacter	0.00292542368508852	0.285779661287168	0.00545536781147531	-0.183153049968264	0.681771250430272	0.0236284220718688	0.504317049330297	0.0881251723392165
Parvimonas	0.00358705826703654	0.000908142242430768	0.354472304691888	0.449476577499008	0.15229889898755	0.0278993420769508	0.00769808728004675	0.699610111955424
