bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Micrococcales	0.00521905082738938	0.00521905082738937	0.300213458897598	0.217261906170198	0.2172619061702
Lactobacillales	0.00681882803486711	0.00681882803486704	0.558574348381387	0.217261906170198	0.2172619061702
Enterobacterales	0.0108574741521437	0.0108574741521437	0.651760753975082	0.217261906170198	0.2172619061702
Rickettsiales	0.0111416362138563	0.0111416362138564	0.429974172904174	0.217261906170198	0.2172619061702
Bdellovibrionales	0.0144208112813434	0.0144208112813434	0.11070115415693	0.224964655988957	0.224964655988957
Unclassified Actinobacteria Phylum	0.0266788126530673	0.0266788126530672	-0.0999929668893411	0.346824564489874	0.346824564489873
Verrucomicrobiales	0.0340228059699325	0.0340228059699325	0.529635491178069	0.379111266522105	0.379111266522105
Sphingobacteriales	0.0436073285882872	0.0436073285882873	0.193906972617336	0.381893139111052	0.381893139111052
Orbales	0.0440645929743522	0.0440645929743521	0.0619587592688066	0.381893139111052	0.381893139111052
Synergistales	0.0672222617946401	0.0672222617946401	0.148632252541739	0.404574129567969	0.404574129567968
Selenomonadales	0.0683689689916858	0.0683689689916857	-0.341875751385511	0.404574129567969	0.404574129567968
Deferribacterales	0.0687459869825255	0.0687459869825255	0.119184242660533	0.404574129567969	0.404574129567968
Alteromonadales	0.0711574598868567	0.0711574598868568	0.178875531736814	0.404574129567969	0.404574129567968
Cytophagales	0.0726158694096354	0.0726158694096354	0.163296163104827	0.404574129567969	0.404574129567968
Sphaerobacterales	0.0934552789757348	0.0934552789757347	0.0692745489651336	0.485967450673821	0.485967450673821
Corynebacteriales	0.111514768112088	0.111514768112088	0.25949529380485	0.543634494546428	0.543634494546428
Unclassified Actinobacteria Class	0.125374402236096	0.125374402236096	0.0990704620149164	0.566975734625845	0.566975734625845
Unclassified Negativicutes Class	0.135103158343368	0.135103158343368	0.178147641715697	0.566975734625845	0.566975734625845
Legionellales	0.142101342519984	0.142101342519984	0.0841982844074719	0.566975734625845	0.566975734625845
Unclassified Gammaproteobacteria Class	0.147765638058923	0.147765638058923	0.230810713205559	0.566975734625845	0.566975734625845
Fusobacteriales	0.15800705390227	0.15800705390227	0.351622440808232	0.566975734625845	0.566975734625845
Coriobacteriales	0.167213917518327	0.167213917518327	0.255550197560559	0.566975734625845	0.566975734625845
Thermoanaerobacterales	0.172756439484103	0.172756439484103	-0.159273775096847	0.566975734625845	0.566975734625845
Actinomycetales	0.174454072192568	0.174454072192568	0.252869797029046	0.566975734625845	0.566975734625845
Veillonellales	0.191770692734458	0.191770692734458	0.249258105591872	0.598324561331508	0.598324561331508
Burkholderiales	0.227912627517805	0.227912627517805	0.126015398348056	0.683737882553414	0.683737882553414
Desulfuromonadales	0.240029585853076	0.240029585853076	0.0681773843773724	0.690200331222449	0.690200331222449
Campylobacterales	0.247764221464469	0.247764221464469	-0.1185227264705	0.690200331222449	0.690200331222449
Unclassified Bacteroidetes Phylum	0.262240746228335	0.262240746228335	0.240769589800431	0.70002343045731	0.70002343045731
Myxococcales	0.284222349396642	0.284222349396642	-0.0841043928952239	0.70002343045731	0.70002343045731
Chlamydiales	0.287406137810571	0.287406137810571	0.0816698684535401	0.70002343045731	0.70002343045731
Synechococcales	0.290980814453285	0.290980814453285	0.0774817069741509	0.70002343045731	0.70002343045731
Bacillales	0.296163759039631	0.296163759039631	0.128872114813915	0.70002343045731	0.70002343045731
Thermales	0.315827362601953	0.315827362601953	-0.122020495957588	0.712446997020575	0.712446997020575
Unclassified Bacilli Class	0.319687755073335	0.319687755073335	0.138015938123173	0.712446997020575	0.712446997020575
Unclassified Cyanobacteria Phylum	0.328946000693503	0.328946000693503	0.10468272533086	0.712716334835923	0.712716334835923
Tissierellales	0.352036600671004	0.352036600671004	0.11993183546474	0.720150184449559	0.720150184449559
Dehalococcoidales	0.360475723965164	0.360475723965164	-0.0376242572238048	0.720150184449559	0.720150184449559
Desulfobacterales	0.360537391304379	0.360537391304379	0.0591810434740149	0.720150184449559	0.720150184449559
Sphingomonadales	0.36930778689721	0.36930778689721	0.0509117474116053	0.720150184449559	0.720150184449559
Vibrionales	0.403019143267637	0.403019143267637	0.0218568217104802	0.766719345728674	0.766719345728674
Desulfovibrionales	0.421433880931714	0.421433880931714	0.108982518325273	0.782662921730325	0.782662921730325
Unclassified Clostridia Class	0.436389420771641	0.436389420771641	-0.0512694826832534	0.791590112097394	0.791590112097394
Clostridiales	0.451241391648332	0.451241391648332	-0.0871800640724118	0.799927921558406	0.799927921558406
Nostocales	0.512142923422333	0.512142923422333	-0.04194905780367	0.846411811427391	0.846411811427391
Rhodobacterales	0.516139896272455	0.516139896272455	-0.0320483743557491	0.846411811427391	0.846411811427391
Unclassified Firmicutes Phylum	0.526258188144832	0.526258188144832	0.0858353557391363	0.846411811427391	0.846411811427391
Unclassified Candidatus Saccharibacteria Phylum	0.5313462844051	0.5313462844051	-0.094563444159936	0.846411811427391	0.846411811427391
Entomoplasmatales	0.533659265779663	0.533659265779663	0.0305681807977114	0.846411811427391	0.846411811427391
Chroococcales	0.542571673991918	0.542571673991918	-0.180630587446276	0.846411811427391	0.846411811427391
