bugName	pval	p1M	p6M	p1Y	s1M	s6M	s1Y	Adjustedpval	Adjustedp1M	Adjustedp6M	Adjustedp1Y
Enterobacterales	2.21667129096659e-12	1.21753196919727e-11	5.49868927138843e-09	2.5193056767081e-07	1.00541752862571	0.931126610684179	0.933466954265754	5.27567767250048e-10	2.89772608668949e-09	1.30868804659045e-06	3.01394147833576e-05
Candidatus Nanopelagicales	4.00237176734208e-10	9.0377876921618e-11	8.34386444316054e-06	1.927098595798e-05	-0.359535776239803	-0.258928454742219	-0.28836500628449	4.76282240313708e-08	1.07549673536725e-08	0.000283691391067458	0.000458649465799924
Erysipelotrichales	2.63702715219694e-09	1.20994613568697e-07	7.844887884244e-07	2.53272393137459e-07	-0.394694071100291	-0.407646270700732	-0.497631581636766	1.4237304286624e-07	2.39972650244583e-06	3.73416663290014e-05	3.01394147833576e-05
Petrotogales	2.72984901350526e-09	1.09015908545835e-09	5.4644077403396e-05	7.16235321867526e-06	-0.377605026650434	-0.262309116624567	-0.344306817594549	1.4237304286624e-07	8.64859541130287e-08	0.00130052904220083	0.000424120489200216
Clostridiales	2.99103031231596e-09	1.38560902870944e-08	3.36554695099159e-07	1.4075399512173e-05	-0.294940144129003	-0.289820016529023	-0.278872925163367	1.4237304286624e-07	5.41148567491593e-07	2.23363974459029e-05	0.000424120489200216
Unclassified Candidatus Gracilibacteria Phylum	6.0450481287333e-09	2.55501790805437e-08	3.75401637746267e-07	3.05690964858464e-05	-0.480291429295027	-0.482680198874444	-0.44763783747903	2.08249096189661e-07	7.46446102313929e-07	2.23363974459029e-05	0.000559649612587034
Acholeplasmatales	6.12497341734297e-09	3.1205072418233e-09	0.00101746155616958	2.4623381171164e-06	-0.354966501595283	-0.205441011868386	-0.357321814471138	2.08249096189661e-07	1.61844867845496e-07	0.0134531027982422	0.000195345490624568
Unclassified Firmicutes Phylum	3.55454008449385e-08	5.44683344143993e-08	3.35662550724325e-05	8.94060614703642e-06	-0.265887519117096	-0.217854201884952	-0.272786350952873	9.67842375650581e-07	1.2963463590627e-06	0.000998596088404865	0.000424120489200216
Bifidobacteriales	3.65990814321648e-08	1.5916134337988e-08	4.2132154440226e-06	0.00106549155708547	-0.782739701123372	-0.695720059720334	-0.559405165729209	9.67842375650581e-07	5.41148567491593e-07	0.000167124212612897	0.00724534258818122
Desulfurobacteriales	4.97825276557506e-08	3.40010226566167e-09	0.0120691299037099	0.000480711577038247	-0.390583065919615	-0.170368609937701	-0.281913286626222	1.18482415820687e-06	1.61844867845496e-07	0.0624446286322381	0.00430000664931718
Brachyspirales	2.12454898784742e-07	6.83336249041096e-08	0.000484194781300668	6.94967259741708e-05	-0.317940396496696	-0.218888240760051	-0.294288909977935	4.59675144643351e-06	1.47849115701619e-06	0.00823131128211135	0.00108247582116282
