bugName	pval	p1M	p6M	s1M	s6M	Adjustedpval	Adjustedp1M	Adjustedp6M
Lactobacillales	2.72363032127743e-09	1.9439348217612e-09	1.75039913887537e-06	0.878628737971002	0.816291898277727	2.28784946987304e-07	1.63290525027941e-07	0.000147033527665531
Micrococcales	2.19246183430499e-08	1.1994446434353e-08	1.62987349900187e-05	0.910110553812718	0.791311475454385	9.20833970408097e-07	5.03766750242828e-07	0.000684546869580786
Actinomycetales	2.59656657064511e-07	7.41417541111705e-08	0.000438726856416968	0.757203583431943	0.564026561454759	7.27038639780631e-06	2.07596911511277e-06	0.00737061118780507
Fusobacteriales	7.37018136298673e-07	1.34957546302774e-07	0.0242138974016541	1.10729484941055	0.502370901184192	1.54773808622721e-05	2.83410847235826e-06	0.226476095997322
Enterobacterales	2.11610225930858e-06	1.19843340475111e-06	0.000283120381865859	1.42014577725888	1.25036352884535	3.55505179563842e-05	2.01336811998186e-05	0.00594552801918303
Acholeplasmatales	1.02543103568387e-05	2.28138162606548e-06	0.212926777807763	0.735568818065827	0.213283308774298	0.000143560344995741	3.19393427649167e-05	0.664905817935604
Clostridiales	1.40280130380699e-05	3.3389766311943e-05	8.52244998562599e-05	-0.155328883517118	-0.191772769819405	0.000168336156456839	0.000350592546275402	0.00238628599597528
Unclassified Bacilli Class	2.0383988795003e-05	4.36500697528756e-06	0.0240590808753054	0.606296063966429	0.334388464576189	0.000214031882347532	5.23800837034507e-05	0.226476095997322
Unclassified Firmicutes Phylum	0.00385683823501293	0.00094535525606829	0.207037197108254	-0.398415594149199	-0.187325189561398	0.0337014188914085	0.0086299985764673	0.664905817935604
Erysipelotrichales	0.00401207367754863	0.00102738078291277	0.137025925958441	-0.562592631022904	-0.311903990455284	0.0337014188914085	0.0086299985764673	0.63945432113939
Pasteurellales	0.00848172382755186	0.00219804219350887	0.308036748435111	0.461461231634283	0.188562990641394	0.064769527410396	0.0167850494777041	0.664905817935604
Aeromonadales	0.0109293903040472	0.00551156786808556	0.0390618443836231	0.334427454520035	0.309307888989969	0.0765057321283301	0.0356132077630144	0.325642535411941
Verrucomicrobiales	0.0122762361523943	0.186702541780617	0.00337137317255491	0.355322809324932	1.12037390156606	0.0793233720616244	0.392075337739295	0.0471992244157688
Bacillales	0.019522304650189	0.00545324981182681	0.405677655700545	0.305811723539868	0.113332654698907	0.117133827901134	0.0356132077630144	0.709935897475954
Chitinophagales	0.0242533698170284	0.026745668347803	0.403109428916396	0.0964263126085042	-0.0467627198504774	0.129129006153568	0.132155067130321	0.709935897475954
Pseudomonadales	0.0245960011721083	0.00927957845147923	0.105299385495628	0.30225467713603	0.232677783278886	0.129129006153568	0.0519656393282837	0.619163085388626
Neisseriales	0.0308745147188002	0.00892159208957256	0.391033937806935	0.158226250863969	0.0630708914811513	0.152556425669366	0.0519656393282837	0.709935897475954
Unclassified Actinobacteria Phylum	0.0377517479572158	0.0694631619868245	0.24732575259071	-0.216411237548073	0.18163484655368	0.17617482380034	0.216107615070121	0.664905817935604
Deinococcales	0.0519930438232754	0.965511251697143	0.0242652959997131	-0.0032830496818132	0.241141480847954	0.229863983218691	0.965511251697143	0.226476095997322
Unclassified Candidatus Saccharibacteria Phylum	0.0647734284474585	0.0327962703463424	0.823911402398443	0.22630065535581	-0.0292509511054165	0.272048399479326	0.144994037320672	0.937675491461182
Corynebacteriales	0.0681362368347157	0.0215934034589377	0.449506336761792	0.223912388387274	0.0945771082533737	0.272544947338863	0.113365368159423	0.717109951788706
Desulfobacterales	0.0786016685979575	0.0673407574951488	0.482081294620944	0.0654576647317797	-0.0314763706629362	0.292060984003003	0.216107615070121	0.736269613602896
Acidothermales	0.080208135069737	0.154190883508421	0.232437734853401	0.0782517715304239	-0.0874206912308335	0.292060984003003	0.350054978775875	0.664905817935604
Unclassified Tenericutes Phylum	0.0834459954294295	0.0325147611496785	0.861339207966653	-0.451376147062008	-0.0470832371323342	0.292060984003003	0.144994037320672	0.937675491461182
Desulfovibrionales	0.090881050080778	0.142549635165402	0.0426436653515637	0.320876598212767	0.598819445263853	0.305360328271414	0.332615815385937	0.325642535411941
Thermoanaerobacterales	0.10153233215249	0.0349620961801901	0.316742211619591	-0.26111876226947	-0.162056448624671	0.328027534646507	0.146840803956798	0.664905817935604
Pelagibacterales	0.106926761902965	0.550644017485522	0.0859767538806665	-0.0528605560368808	0.208461377319103	0.332661037031445	0.722720272949747	0.555542101998153
Veillonellales	0.117303332943141	0.0401863293470428	0.439569170434834	0.474512075405593	0.2303091775802	0.351909998829422	0.160745317388171	0.717109951788706
Nitrosomonadales	0.1226810444076	0.04292719891315	0.613936730217566	0.0577070580837084	0.0178373627016885	0.355351990697875	0.163903850395664	0.805791958410555
Oceanospirillales	0.130764971738132	0.208231738999539	0.0581535753762174	-0.0599211403647698	-0.117851506508985	0.358085419200295	0.416463477999078	0.407075027633522
