bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Verrucomicrobia	0.0250224142719941	0.0250224142719941	0.546043547383478	0.228724417485176	0.228724417485176
Spirochaetes	0.0468022974428282	0.0468022974428282	-0.0621733546903382	0.228724417485176	0.228724417485176
Thermotogae	0.0513654181111025	0.0513654181111026	-0.0633961924197866	0.228724417485176	0.228724417485176
Synergistetes	0.0672222617946401	0.0672222617946401	0.148632252541739	0.228724417485176	0.228724417485176
Deferribacteres	0.0687459869825255	0.0687459869825255	0.119184242660533	0.228724417485176	0.228724417485176
Proteobacteria	0.0762414724950586	0.0762414724950586	0.255181286808974	0.228724417485176	0.228724417485176
Fusobacteria	0.15800705390227	0.15800705390227	0.351622440808232	0.406303852891551	0.406303852891551
Deinococcus-Thermus	0.322417759816973	0.322417759816973	-0.121009998428238	0.665443896391513	0.665443896391513
Firmicutes	0.332721948195757	0.332721948195757	0.0393945565279272	0.665443896391513	0.665443896391513
Chloroflexi	0.522306364552211	0.522306364552211	0.0316502917413288	0.83394411652082	0.83394411652082
Candidatus Saccharibacteria	0.5313462844051	0.5313462844051	-0.094563444159936	0.83394411652082	0.83394411652082
Chrysiogenetes	0.632328721666318	0.632328721666318	-0.0364699824370354	0.83394411652082	0.83394411652082
Cyanobacteria	0.650287811773048	0.650287811773048	-0.109808375958165	0.83394411652082	0.83394411652082
Actinobacteria	0.702061801573675	0.702061801573675	0.0470420187859165	0.83394411652082	0.83394411652082
Planctomycetes	0.740011922143703	0.740011922143703	0.0116975796212021	0.83394411652082	0.83394411652082
Bacteroidetes	0.741283659129618	0.741283659129618	0.0428435760572182	0.83394411652082	0.83394411652082
Chlamydiae	0.823242685045383	0.823242685045383	0.0319701498022078	0.87166872534217	0.87166872534217
Tenericutes	0.902684778838096	0.902684778838096	-0.0122379497443855	0.902684778838096	0.902684778838096
