bugName	pval	p3M	p1Y	p2Y	s3M	s1Y	s2Y	Adjustedpval	Adjustedp3M	Adjustedp1Y	Adjustedp2Y
Fusobacteria	0.00180618037559077	0.000624712029105735	0.00750713179872626	0.00669032715248093	0.816797807729912	0.699449774587384	0.878080747735752	0.0614101327700862	0.021240208989595	0.085080827052231	0.113735561592176
Verrucomicrobia	0.00668932292993274	0.00219680931432905	0.00733548684435189	0.0357242316152081	0.772815210325973	0.752630862760588	0.71474930300727	0.113718489808857	0.0373457583435938	0.085080827052231	0.25104389465261
Synergistetes	0.0147803906171617	0.0192781299721516	0.0657511343581454	0.00406208673695349	0.33968513295965	0.297684607416409	0.593416330504258	0.167511093661166	0.162412329063007	0.319362652596706	0.113735561592176
Elusimicrobia	0.0312525687840357	0.771046691425715	0.00613479933459137	0.183480613410668	0.0533778628427926	0.598144421146888	0.346093956341308	0.217558449659856	0.845664113176591	0.085080827052231	0.623834085596272
Chlorobi	0.0319938896558611	0.0473335005173577	0.0110687255538832	0.0369182198018544	-0.238344907000403	-0.345435498418985	-0.34048285730122	0.217558449659856	0.232897063414451	0.0940841672080071	0.25104389465261
Candidatus Saccharibacteria	0.0508084533863994	0.0184578272367242	0.674551491858702	0.509964301988244	0.136313628339487	-0.0264565436938525	0.05133913730798	0.287914569189597	0.162412329063007	0.882105797045995	0.825656488933347
Deinococcus-Thermus	0.0923019144975142	0.827541862303179	0.0820465521768009	0.070460670328075	-0.0217460479444871	0.201945055030662	0.261316971155111	0.421645790126992	0.879156194528318	0.348697846751404	0.399277131859092
Lentisphaerae	0.0992107741475275	0.0238841660386775	0.0591533259738353	0.246305016745261	0.485860078811115	0.4565410864469	0.342812609749741	0.421645790126992	0.162412329063007	0.319362652596706	0.746041265013726
Cyanobacteria	0.13729362175392	0.390620904689839	0.16844741011065	0.0256334512606272	0.148356010387175	0.272556446534497	0.558962216291883	0.518664793292587	0.664055537972726	0.440554764904776	0.25104389465261
Euryarchaeota	0.156731636220045	0.7594141828492	0.0309665212733509	0.452255522642821	0.0752444052564622	0.62345106009022	0.262642507545345	0.521412512316028	0.845664113176591	0.210572344658786	0.809299356308207
Ignavibacteriae	0.168692283396362	0.0620929048621819	0.99696728476842	0.681757079088698	0.136604949761984	-0.000305053445492821	-0.0404565189106595	0.521412512316028	0.234573196146021	0.99696728476842	0.945088232715288
Nitrospirae	0.188684907191406	0.0479493954088576	0.982232814645021	0.777632131321772	0.127308481864068	0.00158690513836954	0.0249605906914827	0.534607237042317	0.232897063414451	0.99696728476842	0.945088232715288
Proteobacteria	0.204537551270813	0.0607753620492334	0.912576198199304	0.415682831354565	0.22169911194764	-0.0141168532373289	0.127891627914859	0.534944364862125	0.234573196146021	0.98387260738923	0.785178681447512
Candidatus Cloacimonetes	0.26372115640472	0.853298659395132	0.124544077081529	0.569495970134528	-0.0134452848723671	0.127453108700024	-0.0573276650203742	0.629762714551002	0.879156194528318	0.38495442007018	0.841863608024955
Fibrobacteres	0.283396128508501	0.182745451302318	0.121204842221346	0.856190964883502	-0.134587807489527	-0.175466800451084	0.0246881756775384	0.629762714551002	0.540159142643622	0.38495442007018	0.970349760201303
Firmicutes	0.296358924494589	0.120757859670041	0.191750794232972	0.149605642696484	-0.073481542171298	-0.069489912960502	-0.0949919535868552	0.629762714551002	0.410576722878139	0.465680500280075	0.607285617271897
Gemmatimonadetes	0.341231928110957	0.20653143689315	0.0978863721668478	0.327183238810111	-0.0874042500281968	-0.128394763675651	-0.0914187870267957	0.676138704326881	0.540159142643622	0.369792961519203	0.746041265013726
Thermodesulfobacteria	0.373591742745729	0.192673301346439	0.154316914885666	0.996805627956423	-0.108686178875584	-0.132522992955368	-0.000447302171016853	0.676138704326881	0.540159142643622	0.43723125884272	0.996805627956423
