bugName	pval	p1M	p6M	p1Y	s1M	s6M	s1Y	Adjustedpval	Adjustedp1M	Adjustedp6M	Adjustedp1Y
Proteobacteria	4.02369715324369e-09	8.74422809366398e-09	1.02144022740935e-06	1.46130295424116e-05	0.539225896025897	0.499398431938219	0.507265250710451	1.29968534767766e-07	3.76001808027551e-07	1.4640643259534e-05	0.000314180135161849
Candidatus Gracilibacteria	6.0450481287333e-09	2.55501790805437e-08	3.75401637746267e-07	3.05690964858464e-05	-0.480291429295027	-0.482680198874444	-0.44763783747903	1.29968534767766e-07	5.4932885023169e-07	8.07113521154474e-06	0.000352598355246822
Thermotogae	2.01560825474623e-07	6.64502417313622e-08	0.00133486568668176	3.85187144035959e-05	-0.273867591045047	-0.172666381684665	-0.26431991916508	2.88903849846959e-06	9.52453464816191e-07	0.00637769161414617	0.000352598355246822
Tenericutes	5.1972299952574e-07	5.34235925287395e-07	0.00425442866877077	1.07465468940556e-05	-0.308269475190689	-0.187318391539736	-0.348720356751398	5.58702224490171e-06	3.28173496962257e-06	0.0182940432757143	0.000314180135161849
Crenarchaeota	9.07000072380981e-07	7.70995590012153e-07	0.000433115365225301	4.09998087496305e-05	-0.25567267439714	-0.197575994877805	-0.272847719366166	7.80020062247644e-06	4.14410129631532e-06	0.00310399345078133	0.000352598355246822
Aquificae	1.46753387619825e-06	2.9870074982259e-07	0.0110701062366732	0.000186695377162223	-0.283484919498241	-0.148629940540766	-0.261364970354938	1.05173261127541e-05	2.56882644847427e-06	0.0366165052443806	0.0012698469966696
Coprothermobacterota	1.74653763440613e-06	4.0346598485355e-07	0.000115072045235267	0.00351618799861417	-0.429688330660778	-0.356427518255369	-0.308715531239282	1.07287311827805e-05	2.89150622478377e-06	0.000989619589023298	0.0100797389293606
Verrucomicrobia	3.19160581985223e-06	0.0999203089024186	2.4448781582132e-07	0.00653952768019695	0.29540042159771	1.13482142527528	0.657082492802456	1.61775870856701e-05	0.110168545712923	8.07113521154474e-06	0.0156222050138038
Ignavibacteriae	3.38600659932631e-06	1.57005471937365e-07	0.0365195196696238	0.0131891989492115	-0.350674626657816	-0.146762334864873	-0.20455452751392	1.61775870856701e-05	1.68780882332667e-06	0.0747780640854201	0.029849239727163
Firmicutes	4.47447122264855e-06	9.33761113756709e-06	9.82602536358679e-05	0.000206719278527609	-0.209823784224055	-0.202040562404147	-0.220967175845451	1.81084260181364e-05	3.34597732429487e-05	0.000989619589023298	0.0012698469966696
Spirochaetes	4.63238805115118e-06	9.34273209620454e-07	0.00648276991710469	0.000376173129642414	-0.236051958675077	-0.139948651387482	-0.216968142989321	1.81084260181364e-05	4.46374977929772e-06	0.0247586959963627	0.00200503750886885
Dictyoglomi	3.42550524037311e-05	1.01317449502217e-05	0.00127931289010603	0.00171783162217223	-0.278116581212281	-0.222809467264968	-0.253126825435165	0.00012274727111337	3.35126948353486e-05	0.00637769161414617	0.00615556331278381
Deferribacteres	3.74614752794988e-05	3.20098562588799e-06	0.0222258236653304	0.00497166876657683	-0.232892766636769	-0.1227453219976	-0.177872764405435	0.000123911033616804	1.25129438102894e-05	0.0562182598593652	0.0125753974684002
Fibrobacteres	5.053308997649e-05	2.38802922722672e-06	0.0567956705526273	0.0765879732138974	-0.248690922142772	-0.107225277215801	-0.116481476220456	0.000155208776356362	1.02685256770749e-05	0.106183210163608	0.121973438822133
Actinobacteria	7.16527230124608e-05	1.51137657624676e-05	0.000786769326290844	0.023947691721333	-0.389686907611528	-0.332127228224172	-0.255244386764078	0.000194951181800143	4.64208519847218e-05	0.00483301157578662	0.0490357497151104
Candidatus Saccharibacteria	7.25399746233091e-05	0.076299835539961	0.143139092710616	0.00067713591636373	0.127740002385117	-0.11911329264194	-0.333260718288556	0.000194951181800143	0.0886727818437385	0.227962258761351	0.00282253462051863
Chlamydiae	0.000130942460906613	5.80886629213094e-05	0.013832656340524	0.000722043740132674	-0.214189005569733	-0.142580117548861	-0.231878183911888	0.000331207401116728	0.000138767361423128	0.042486015903038	0.00282253462051863
Elusimicrobia	0.000158887007024044	1.98682426313707e-05	0.0264417201952512	0.00484595615211646	-0.261671793650046	-0.147197945469288	-0.220225310056459	0.000379563405668551	5.69556288765959e-05	0.0586318208119092	0.0125753974684002
Cyanobacteria	0.000305828577719547	7.65099370029928e-05	0.0272706143311205	0.00214155687173086	-0.189761110746209	-0.11539831852156	-0.19003827542656	0.000692138360102132	0.000167232986918578	0.0586318208119092	0.00708361119110976
Chloroflexi	0.000361267908317697	2.51167254689149e-05	0.171973218022711	0.0462476801306373	-0.211933025668324	-0.0739281246898985	-0.127030914572883	0.000776726002883049	6.75011996977089e-05	0.264101727677735	0.0828604269007252
Thaumarchaeota	0.000450625755925138	0.000115988617535692	0.0163966347453857	0.00319219064635034	-0.222107616422638	-0.151208098758762	-0.218617693503991	0.000922709881180045	0.000237500502573084	0.0448110577547468	0.00980458555664746
Chlorobi	0.000511648489752048	3.84018067360067e-05	0.339115300635395	0.210588099142141	-0.219282319155669	-0.0547456815012136	-0.0840248258656119	0.00100004022996991	9.71339817440169e-05	0.463010168569579	0.274402674639759
Armatimonadetes	0.000586784900823423	7.7782784613292e-05	0.538538089262975	0.0488547478181279	-0.233828467444777	-0.0392133536073968	-0.148467900510594	0.00109703264066988	0.000167232986918578	0.593772765084819	0.0840301662471799
Bacteroidetes	0.0016088006163284	0.0389203875813775	0.00690940353386867	0.000419659013484178	0.234612011884903	0.347978311129922	0.53763537839666	0.00288243443758838	0.0478164761714066	0.0247586959963627	0.00200503750886885
Acidobacteria	0.00181245348454873	0.000158745629750261	0.425300827940372	0.198802316474534	-0.195123763522957	-0.0446655132583135	-0.0844870792116265	0.00311741999342381	0.000296785307793967	0.537262851231804	0.272801287533953
Calditrichaeota	0.00218392505019538	0.000154271653912607	0.0846039196005882	0.105052485536447	-0.244720839527447	-0.121128938584436	-0.132610400019818	0.00352446610066467	0.000296785307793967	0.139921867031742	0.155767478554042
Deinococcus-Thermus	0.00221303685390573	0.000219687611388171	0.491100262756212	0.365583936986034	-0.202571688726937	-0.0410751681971079	-0.063255463970084	0.00352446610066467	0.000393606970403807	0.555718718382029	0.432390791284118
Fusobacteria	0.00301975227877005	0.00040288928152344	0.0166738819552546	0.0580962185782842	0.325712079868304	0.243388863973557	0.223476344056166	0.00463747671382543	0.000666316888673382	0.0448110577547468	0.0960822076487007
Nitrospirae	0.00338915331436218	0.000371222277980851	0.0618633313127746	0.0339681248723852	-0.170761085068411	-0.0983162033010286	-0.130898446474361	0.00502529629370944	0.000638502318127063	0.110838468602054	0.0663922440687528
