bugName	pval	p1M	p6M	s1M	s6M	Adjustedpval	Adjustedp1M	Adjustedp6M
Fusobacteria	7.37018136298673e-07	1.34957546302774e-07	0.0242138974016541	1.10729484941055	0.502370901184192	1.40033445896748e-05	2.56419337975271e-06	0.109974619489017
Proteobacteria	1.11467740260274e-05	5.65947721515733e-06	0.000963277004172906	0.881508047733567	0.75468045613979	0.00010589435324726	5.37650335439947e-05	0.0183022630792852
Firmicutes	0.00229289860832682	0.00640373338419373	0.00215947173443355	-0.0838573342606536	-0.126363236443702	0.0145216911860699	0.0405569780998936	0.0205149814771187
Verrucomicrobia	0.011838236752331	0.17685614176483	0.00326387213982377	0.362044750513749	1.11983368557302	0.0562316245735721	0.330409468787903	0.0206711902188838
Candidatus Saccharibacteria	0.0647734284474585	0.0327962703463424	0.823911402398443	0.22630065535581	-0.0292509511054165	0.217792188457749	0.155782284145126	0.869684258087245
Deinococcus-Thermus	0.068776480565605	0.924267328142741	0.028940689339215	0.00733201993670138	0.236804179601741	0.217792188457749	0.981603359089845	0.109974619489017
Cyanobacteria	0.120938838249359	0.228908738502635	0.229383074870073	-0.187191665865448	0.248859443419498	0.328262560962547	0.362438835962506	0.484253158059043
Euryarchaeota	0.150623067414163	0.260042750308098	0.264064979497097	-0.19194765389705	0.256156050379078	0.357729785108638	0.380062481219528	0.501723461044483
Ignavibacteriae	0.229554011603269	0.10396710742084	0.305552849259825	-0.0731762193672748	-0.0589377358622214	0.412462968388532	0.329229173499326	0.527773103266971
Actinobacteria	0.235379386648166	0.0917136926064805	0.573509260448724	-0.19086732118033	-0.0822407925021098	0.412462968388532	0.329229173499326	0.766407657419135
Acidobacteria	0.252255184796199	0.981603359089845	0.120405471420535	-0.0012777051931104	0.114533965135074	0.412462968388532	0.981603359089845	0.381283992831694
Chloroflexi	0.260502927403284	0.165036103071066	0.702986280708304	-0.114678461276128	0.0397917308514165	0.412462968388532	0.330409468787903	0.834796208341112
Chlamydiae	0.313570623361095	0.138105333668254	0.821423647660697	0.0531955850712041	0.0105444310933491	0.437506882491058	0.330409468787903	0.869684258087245
Synergistetes	0.345455252771109	0.946158703364562	0.16425979571831	0.00423840918067555	0.113950074974981	0.437506882491058	0.981603359089845	0.429641985628976
Tenericutes	0.347433133074566	0.149504539756676	0.605058676909844	0.283131695480443	0.131988467077816	0.437506882491058	0.330409468787903	0.766407657419135
Bacteroidetes	0.368426848413522	0.191289692456155	0.355843554293243	0.277647129440947	0.256742475313841	0.437506882491058	0.330409468787903	0.563418960964302
Thermotogae	0.399135770590518	0.570035624481526	0.180901888685885	0.0435444211938228	0.137026739784606	0.446092920071755	0.722045124343266	0.429641985628976
Planctomycetes	0.716416600561733	0.448778981663239	0.601747989183475	-0.0419523078966814	-0.0379040583311657	0.756217522815163	0.60905718940011	0.766407657419135
Candidatus Cloacimonetes	0.968343971198286	0.890067335261068	0.87778738059392	-0.00453613024728722	0.0065898718630941	0.968343971198286	0.981603359089845	0.87778738059392
