bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Unclassified Streptococcus Genus	3.38864023429197e-05	3.38864023429379e-05	0.950545415407465	0.00566238136334413	0.0056623813633438
Streptococcus gordonii	3.65107104680629e-05	3.65107104680635e-05	0.522284100458314	0.00566238136334413	0.0056623813633438
Streptococcus mutans	5.12867238458004e-05	5.12867238457687e-05	0.771216726186628	0.00566238136334413	0.0056623813633438
Streptococcus sp. LPB0220	5.47089986796534e-05	5.47089986796502e-05	0.994371819608788	0.00566238136334413	0.0056623813633438
Actinomyces sp. oral taxon 171	0.000109830121561183	0.000109830121561129	0.378128160596614	0.00909393406526595	0.00909393406526144
Bifidobacterium dentium	0.000415633847164587	0.000415633847164658	0.407611868727044	0.0286787354543565	0.0286787354543614
Streptococcus sanguinis	0.000684355957170979	0.000684355957171029	0.544763659044563	0.0392905545349715	0.0392905545349742
Streptococcus suis	0.000759237768791721	0.000759237768791772	0.603283384778083	0.0392905545349715	0.0392905545349742
Veillonella parvula	0.000939069306795437	0.000939069306795402	0.425446529358428	0.0426267285863753	0.0426267285863749
Rothia mucilaginosa	0.00102963112527477	0.00102963112527476	0.47887360387865	0.0426267285863753	0.0426267285863749
Actinomyces oris	0.00164389240470442	0.0016438924047044	0.282905710733959	0.0618701323225117	0.0618701323225109
Actinomyces naeslundii	0.00192978406356858	0.00192978406356863	0.205050513305354	0.0665775501931162	0.0665775501931177
Streptococcus parasanguinis	0.00345169569656445	0.00345169569656448	0.671329575002394	0.109923232182899	0.1099232321829
Rickettsia africae	0.00564484186181868	0.00564484186181862	0.553572263744847	0.163230544931648	0.163230544931645
Unclassified Aminipila Genus	0.0061497247785367	0.00614972477853677	0.351711158512128	0.163230544931648	0.163230544931645
Unclassified Gemella Genus	0.00630842685726174	0.00630842685726166	0.222539586404249	0.163230544931648	0.163230544931645
Veillonella rodentium	0.00824810878857474	0.00824810878857475	0.328215679896963	0.199274174221787	0.199274174221788
Unclassified Carnobacteriaceae Family	0.00866409453138206	0.00866409453138208	0.350928078414211	0.199274174221787	0.199274174221788
Escherichia coli	0.00937794464084352	0.0093779446408435	0.682654237760866	0.204340477963643	0.204340477963643
Actinomyces pacaensis	0.0100038587932804	0.0100038587932804	0.212617371739725	0.206706788967946	0.206706788967946
Unclassified Rothia Genus	0.010485126976635	0.0104851269766349	0.256655813679737	0.206706788967946	0.206706788967946
Streptococcus porcinus	0.0126087252589022	0.0126087252589023	0.184146893240325	0.237273284417524	0.237273284417524
Streptococcus sp. group B	0.0140299313911332	0.0140299313911332	0.213841238879568	0.252538765040397	0.252538765040398
Actinomyces sp. oral taxon 848	0.0193496611520636	0.0193496611520636	0.132559356705642	0.333781654873097	0.333781654873097
[Eubacterium] sulci	0.0214948778401145	0.0214948778401145	-0.161971974691076	0.350900375460107	0.350900375460106
Streptococcus salivarius	0.0220372216472531	0.022037221647253	0.555333118163002	0.350900375460107	0.350900375460106
Schaalia odontolytica	0.0231995352727838	0.0231995352727838	0.338152285867455	0.352397362696014	0.352397362696014
Romboutsia sp. CE17	0.0238336380567352	0.0238336380567352	-0.363252911753226	0.352397362696014	0.352397362696014
Veillonella atypica	0.0266551334711742	0.0266551334711742	0.326138089947578	0.359428456164541	0.359428456164541
Unclassified Actinobacteria Phylum	0.0266788126530673	0.0266788126530672	-0.0999929668893411	0.359428456164541	0.359428456164541
Faecalibacterium prausnitzii	0.0269137249785043	0.0269137249785043	-0.324370645436634	0.359428456164541	0.359428456164541
Chondrocystis sp. NIES-4102	0.0278615282367352	0.0278615282367352	-0.0976421828457117	0.360458521562761	0.360458521562762
Enterocloster bolteae	0.0301901638713225	0.0301901638713225	0.355413412583858	0.362037474271566	0.362037474271566
Lactobacillus delbrueckii	0.0303896071958917	0.0303896071958917	-0.18141988945534	0.362037474271566	0.362037474271566
Akkermansia muciniphila	0.0306070328490454	0.0306070328490454	0.568686126537063	0.362037474271566	0.362037474271566
