bugName	pval	p3M	p1Y	p2Y	s3M	s1Y	s2Y	Adjustedpval	Adjustedp3M	Adjustedp1Y	Adjustedp2Y
Unclassified Veillonella Genus	6.37457198138236e-10	3.30509341132473e-10	2.29120385174761e-07	1.00196562720203e-06	1.12585512841171	0.962970860856562	1.10769236952898	6.62318028865627e-07	3.43399205436639e-07	0.000238056080196577	0.00104104228666291
Veillonella parvula	5.96793969798171e-09	1.49919489045511e-09	2.0673647047352e-06	1.60129193055801e-05	1.16630943911674	0.941876492507545	1.03358360209693	3.1003446731015e-06	7.78831745591431e-07	0.00107399596410994	0.00831871157924884
Fusobacterium nucleatum	1.22981151824408e-05	8.56125411583503e-07	0.00355733364299939	0.00820958797061077	0.978657830853482	0.586995630170317	0.651106988520952	0.00425924722485201	0.000296504767545087	0.284568242736975	0.181047958543933
Unclassified Gemella Genus	6.54364056392742e-05	6.84824654346708e-06	0.122346354413153	0.00703290928044443	0.788462246149701	0.269138786407276	0.595787959567644	0.0169971063648015	0.00177883203966558	0.637174586369622	0.181047958543933
Unclassified Streptococcus Genus	8.65332858999146e-05	1.13327645580425e-05	0.00580948368388446	0.00359722104264819	0.825891252499426	0.540823039636151	0.709219118031004	0.0179816168100023	0.00235494847516124	0.284568242736975	0.149500506532459
Clostridium perfringens	0.00014087600039181	5.40583400451838e-05	0.556653931927318	0.00452738743073249	0.470919801811272	0.0700544291974933	0.44158202626532	0.0221544117249021	0.00607328922506069	0.891749720629463	0.174220575575225
Unclassified Butyrivibrio Genus	0.000149259751755837	1.89952524385994e-05	0.00766882656076544	0.547806504700219	0.711877274401131	0.466232144584228	0.124522027568749	0.0221544117249021	0.00249432645583505	0.284568242736975	0.888273951738236
Atopobium parvulum	0.000198086981986867	1.49849413490977e-05	0.235271305396252	0.0998471387168863	0.653346006473808	0.177771648651128	0.303547950417139	0.0257265467855443	0.00249432645583505	0.73126437879187	0.573155674733949
Blautia sp. SC05B48	0.0002276405194378	1.92055935001736e-05	0.00833047690873189	0.0288070994777148	-0.527727478388354	-0.340462764542811	-0.343447956706908	0.0262798332995415	0.00249432645583505	0.298460879592153	0.421557413483741
Escherichia coli	0.000310165537146911	5.84532167955793e-05	0.0247444491864429	0.00274573932501436	0.945082903340131	0.546311969579497	0.913235649801655	0.0263312314249356	0.00607328922506069	0.394710061648804	0.135848721842377
Zobellella denitrificans	0.000314598809746935	7.98482272010341e-05	0.34863716059331	0.00491378027212266	0.515672184064289	0.124503870775574	0.480654776735883	0.0263312314249356	0.00691352567182287	0.794602111769798	0.181047958543933
Unclassified Neisseria Genus	0.0003195066535433	9.77525015309095e-05	0.0113904987676127	0.00150432286859669	0.669921793074364	0.462008985675575	0.732600543400705	0.0263312314249356	0.00732173529486462	0.335489863290819	0.0919406741454095
Ferrimonas sp. S7	0.000346072156381827	9.86566834726706e-05	0.0502443318097179	0.00146680907096373	0.760336053395885	0.396697419651574	0.824423546008075	0.0263312314249356	0.00732173529486462	0.445528488807352	0.0919406741454095
Haemophilus parainfluenzae	0.000354800038449565	0.00042023006679601	0.0147527946015777	0.000295657362384286	0.70794342680816	0.53175345290424	1.02646299430334	0.0263312314249356	0.0242566133000586	0.373857404659494	0.0528665224984376
Unclassified Fusobacterium Genus	0.000434816774869118	7.85515453659751e-05	0.00657882622127317	0.00619936638171886	1.04407652343731	0.767410945527526	0.955691351567384	0.0301183086059342	0.00691352567182287	0.284568242736975	0.181047958543933
Ruminococcus sp. JE7A12	0.000680611926349162	0.00166387555057752	0.000149160407999138	0.046117447385953	-0.278533798296387	-0.39171307963275	-0.23750582739619	0.0441972369672987	0.0557666676467757	0.0387444159777761	0.461212946172485
Gottschalkia acidurici	0.000857656815783869	0.982204477304905	0.746745055926975	0.000136626839993623	-0.000612567450898808	0.0098748480645496	0.156306466206775	0.0505136890713299	0.992474311880927	0.92918336899177	0.0473184289177916
