bugName	pval	p1M	p6M	p1Y	s1M	s6M	s1Y	Adjustedpval	Adjustedp1M	Adjustedp6M	Adjustedp1Y
Klebsiella pneumoniae	0	2.8580640556589e-14	2.04923319252634e-13	3.71872812165012e-11	1.4636792923583	1.57727883446886	1.60286590051956	0	3.71205359548978e-11	4.43590678408868e-10	4.82988408439917e-08
Klebsiella variicola	0	6.1749913450014e-15	4.9585655796832e-14	2.19456444138116e-12	1.34544751887494	1.45134159646	1.54238316307274	0	1.33667979314797e-11	1.61004624372313e-10	7.12575074116463e-09
Unclassified Klebsiella Genus	0	9.14587646816783e-19	3.16385631668889e-16	4.1038442379453e-13	1.54394780229415	1.54816810982058	1.52991819043215	0	5.93933217842819e-15	2.05460829205776e-12	2.66503644812168e-09
Klebsiella oxytoca	1.11022302462516e-16	2.06988996569635e-15	8.76357188995175e-13	5.93323224547918e-09	1.34684199754556	1.31105891020044	1.17366334981059	1.80244708047894e-13	6.72093271861603e-12	1.23469868551213e-09	4.28115668912686e-06
Klebsiella quasivariicola	4.44089209850063e-16	6.4547155904611e-13	9.50645738768196e-13	1.44309284957003e-11	1.38647256075922	1.55224457531622	1.68561538198894	5.76783065753261e-13	3.4930769203712e-10	1.23469868551213e-09	3.12381498836925e-08
Klebsiella quasipneumoniae	3.99680288865056e-15	5.72750911603322e-12	7.34299055232959e-12	3.19726280159648e-11	1.18468348629093	1.329067680486	1.4894964398141	4.32587299314946e-12	1.95760232629051e-09	7.94756344113806e-09	4.82988408439917e-08
Klebsiella sp. LY	6.55031584528842e-15	7.5129329366295e-13	2.2901625743667e-11	4.79236933917706e-10	1.29654709104868	1.33071463518215	1.4160262465229	6.07682158561472e-12	3.75299896080554e-10	2.1246165368482e-08	4.51730987344404e-07
Klebsiella sp. PO552	1.37667655053519e-14	1.27754877736248e-12	5.9184931065984e-11	4.86928997753438e-10	1.28929207352674	1.30855868285669	1.43295471106907	1.11751718989694e-11	5.92600125727998e-10	4.27052158158333e-08	4.51730987344404e-07
Klebsiella huaxiensis	5.48450174164827e-14	6.06741057578597e-13	1.13267206317137e-10	6.45325033505602e-08	0.912403922864245	0.888776687524947	0.833643724009969	3.7058311974647e-11	3.4930769203712e-10	7.3555723782349e-08	2.99338626256099e-05
Klebsiella michiganensis	5.7065463465733e-14	4.73249425416242e-14	1.41957989110822e-09	1.78473095259291e-06	1.02470100917448	0.86236751864833	0.756548331751703	3.7058311974647e-11	5.12213628108846e-11	6.14583454190454e-07	0.000231387203903693
Citrobacter sp. CRE-46	9.52571355128384e-14	9.7050419177548e-12	5.03371429022002e-10	1.11162074427744e-09	1.22770017146935	1.21342808334375	1.36361821000998	5.39532492756696e-11	2.86475191881362e-09	2.72407838339073e-07	9.02358139167214e-07
Klebsiella sp. M5al	9.96980276113391e-14	3.33301300003619e-12	5.45826195668298e-11	4.05272885218729e-08	1.04987279092031	1.09648314739044	1.02666106591813	5.39532492756696e-11	1.34981598704261e-09	4.27052158158333e-08	2.19320176384202e-05
Streptococcus oralis	2.05280237253191e-13	1.7499491745133e-14	1.82917560860446e-07	8.73945516995982e-05	0.990804577081283	0.680649133382026	0.573943723998817	1.0254537390171e-10	2.84104248482234e-11	1.9797777337129e-05	0.00201971608091527
Klebsiella sp. LTGPAF-6F	3.90354415458205e-13	2.42148228453673e-11	3.25361780253904e-10	1.40318178809793e-08	0.946926845059966	0.984117129303145	1.00855183633765	1.81068683856113e-10	6.04811767530059e-09	1.92081763724441e-07	8.28387502900721e-06
Streptococcus sp. oral taxon 064	7.80042697101635e-13	9.24319434122555e-14	1.87667647641105e-07	5.5734903255011e-05	1.05398022705147	0.753288040145344	0.655271543173683	3.37706484998535e-10	8.57504343598839e-11	1.99789131767432e-05	0.00152718338286093
Leclercia sp. 1106151	9.63673585374636e-13	6.41817492949867e-12	2.59704884767259e-09	1.40798241704541e-07	1.15798261281074	1.08354787032558	1.08649886080546	3.9113101646393e-10	2.08398139960822e-09	1.05407720104911e-06	4.81233569278574e-05
Streptococcus sp. 1643	1.90025772894842e-12	1.28248945677653e-13	1.27782427974935e-06	0.000192387137143901	0.92033501568726	0.608515443024661	0.529260036132997	7.25898452458296e-10	1.04106081653835e-10	7.61301914925897e-05	0.0032877949174013
