bugName	pval	p1M	p6M	s1M	s6M	Adjustedpval	Adjustedp1M	Adjustedp6M
Unclassified Streptococcus Genus	5.87434101362305e-10	4.16506541531217e-10	5.65758741456855e-07	1.05898767831742	0.981218191444969	1.81517137320952e-07	1.28700521333146e-07	0.000174819451110168
Salmonella enterica	1.46918714971633e-08	2.35109029042698e-08	1.2788194778163e-06	1.13692724116082	1.2108335680089	2.26989414631174e-06	1.81621724935484e-06	0.000197577609322618
Unclassified Micrococcales Order	3.74076742915008e-08	1.72805707407644e-08	3.3053629207346e-05	0.891269325482568	0.755449750059585	3.85299045202459e-06	1.79313220738691e-06	0.00255339285626747
Unclassified Enterobacteriaceae Family	5.14777480642437e-08	1.74090505571545e-08	0.000113875778300069	1.76673079348126	1.35635264893829	3.97665603796282e-06	1.79313220738691e-06	0.00703752309894427
Actinomyces pacaensis	5.4298746599013e-07	1.28748611684083e-07	0.00169965282572878	0.855993711067092	0.569664866116554	3.355662539819e-05	7.95666420207633e-06	0.043766060262516
Streptococcus parauberis	6.90832549277154e-07	2.45336148926161e-07	0.000494559932493934	0.556249616303533	0.4263430597784	3.55778762877734e-05	1.26348116696973e-05	0.0204394513118403
Clostridium perfringens	1.33586731432267e-06	3.32722788130687e-06	1.5273926043676e-05	1.15203767723362	1.39005505405849	5.89690000179578e-05	9.34648559385293e-05	0.00157321438249863
Atopobium parvulum	1.69522088855345e-06	3.41688086508995e-07	0.0101107195081364	0.743170790847934	0.409536250675974	6.5477906820377e-05	1.50830883901828e-05	0.120162012615929
Unclassified Acholeplasmataceae Family	2.70863700968516e-06	5.39259816049119e-07	0.100989531739097	0.78215813349813	0.277194985357065	9.29965373325237e-05	2.08289103948972e-05	0.4464246251171
Unclassified Veillonella Genus	5.53147920523411e-06	2.58740251326609e-06	0.000749943790110502	1.0091929242107	0.853046193348086	0.000170922707441734	7.99507376599222e-05	0.0231732631144145
Fusobacterium nucleatum	6.82399920037824e-06	1.3080287078239e-06	0.0565232833873938	0.918411277693171	0.393802683538596	0.000191692341174261	4.49089856352872e-05	0.342464599347151
Rothia dentocariosa	1.34074017672514e-05	9.44064887526426e-06	0.000529176732992628	0.531659042065236	0.50529104198067	0.000345240595506724	0.000182322531403541	0.0204394513118403
