bugName	pval	p3M	p1Y	s3M	s1Y	Adjustedpval	Adjustedp3M	Adjustedp1Y
Unclassified Enterobacteriaceae Family	1.76009651298159e-10	1.88778025720771e-10	2.00479252929901e-09	1.93140562771049	1.87122668971526	1.14828696506919e-06	1.23158783980231e-06	1.30792664611467e-05
Unclassified Kluyvera Genus	1.09992726038399e-09	9.51693661829264e-10	1.57811060754954e-08	1.70155339115066	1.59544680158501	2.73799131811359e-06	2.06961648325804e-06	3.83648691093457e-05
Citrobacter sp. CRE-46	1.25903953929196e-09	6.63476850155172e-10	5.12313789954592e-08	1.72386337223244	1.46125538498868	2.73799131811359e-06	2.06961648325804e-06	6.68467033132751e-05
Klebsiella sp. P1CD1	3.45268036383573e-09	2.06207282571562e-09	1.01510813042886e-07	1.88924953823863	1.65155849070352	5.10393642532136e-06	3.36324077874218e-06	8.41049178208169e-05
Unclassified Lelliottia Genus	3.9116618832935e-09	5.10988232980777e-09	2.61777548643482e-08	1.65946934920591	1.67420346101105	5.10393642532136e-06	6.42537786570627e-06	4.2695918183752e-05
Enterobacter cloacae complex sp. FDA-CDC-AR_0164	4.99185781599465e-09	1.13147762707191e-08	1.76417239926482e-08	1.32342759103362	1.45243390178558	5.42781339859151e-06	7.38176003901712e-06	3.83648691093457e-05
Citrobacter pasteurii	6.95222968083442e-09	7.25556989445348e-09	6.17072507820285e-08	1.51785133203385	1.47886662360965	6.15460704000981e-06	6.42537786570627e-06	6.7096350683659e-05
Enterobacter sp. SA187	7.54703499694642e-09	5.94019474503248e-09	1.07546955386181e-07	1.14878089799798	1.0638422246987	6.15460704000981e-06	6.42537786570627e-06	8.41049178208169e-05
Klebsiella sp. LY	1.05979658382438e-08	9.1873061326846e-09	1.64928378954356e-07	2.13302364879909	2.02220399037832	7.68234768096695e-06	6.65977613440382e-06	9.78175222089291e-05
Klebsiella huaxiensis	1.19708467583024e-08	7.87906543924742e-09	3.21990568025096e-07	1.21664697904445	1.09114219182652	7.80978042511649e-06	6.42537786570627e-06	0.000139626399935922
Klebsiella sp. LTGPAF-6F	1.5854388468739e-08	1.55814224748714e-08	1.42612600732212e-07	1.43727503882055	1.38992032591258	9.40309367000483e-06	9.241200020551e-06	9.30404607176949e-05
Kosakonia sp. CCTCC M2018092	2.38168758048829e-08	2.67840622770835e-08	2.18577606529743e-07	1.06952617077823	1.06645562941913	1.29484414792547e-05	1.45616018579744e-05	0.000114217689557994
Metakosakonia sp. MRY16-398	3.37727642518715e-08	3.80209929004946e-08	2.27595028242478e-07	1.28452934503404	1.27570092316675	1.69487318445546e-05	1.90806890525251e-05	0.000114217689557994
Shigella boydii	3.69817219070256e-08	7.55504747530755e-08	1.16024564743616e-07	1.94633199571652	2.1215683844273	1.7233482408674e-05	2.73828498493925e-05	8.41049178208169e-05
Citrobacter sp. SNU WT2	5.77415105729173e-08	6.42875657808132e-08	3.72697142960636e-07	1.42888213389209	1.41986670243984	2.51137076651808e-05	2.589705106087e-05	0.000139626399935922
Citrobacter rodentium	7.29525326814695e-08	6.46020266431262e-08	6.54002852200956e-07	1.20668494716353	1.15204615294955	2.97463952008692e-05	2.589705106087e-05	0.000168156448201854
Unclassified Klebsiella Genus	9.10023794098436e-08	6.74815861488029e-08	1.27791701187338e-06	1.83877310562456	1.70148084379663	3.42257396113541e-05	2.589705106087e-05	0.000237465650649829
Shigella dysenteriae	1.0833668562249e-07	2.21615611299456e-07	3.05082188355207e-07	1.94748817783076	2.13745006994126	3.42257396113541e-05	4.68439711724785e-05	0.000139626399935922
Enterobacter hormaechei	1.10387867513495e-07	1.59006791923594e-07	5.81531221682556e-07	1.11048462388196	1.16316992160121	3.42257396113541e-05	4.46586960099322e-05	0.000164952595228565
Klebsiella aerogenes	1.12557163256533e-07	5.47952209315787e-08	3.64780684635376e-06	1.36594794750101	1.14667972264032	3.42257396113541e-05	2.55345729541157e-05	0.000506346635438552
Escherichia marmotae	1.12651012296183e-07	1.92907905609437e-07	3.85235315580409e-07	1.75552647597714	1.87686824794805	3.42257396113541e-05	4.68439711724785e-05	0.000139626399935922
Shigella sonnei	1.19093184425267e-07	2.26455345919352e-07	3.59529620697949e-07	2.02216809720217	2.19706555396646	3.42257396113541e-05	4.68439711724785e-05	0.000139626399935922
Citrobacter sp. NMI7904_11	1.20660945901463e-07	1.69654701848191e-07	5.20562726985207e-07	1.14721732561114	1.18970520297865	3.42257396113541e-05	4.46586960099322e-05	0.00015437051049325
Klebsiella michiganensis	1.46112374643792e-07	9.93953797655722e-08	2.34991146689452e-06	1.41914729194551	1.29219472139992	3.73896193030846e-05	3.24227728795296e-05	0.000356530753721391
Lelliottia sp. WB101	1.48975560998466e-07	9.73275816287644e-08	2.10634846954888e-06	1.02392364510329	0.922006214974226	3.73896193030846e-05	3.24227728795296e-05	0.000335166278422851
Yokenella regensburgei	1.49534797877493e-07	1.23280357091803e-07	1.37845499524072e-06	1.12238389782188	1.0603522498317	3.73896193030846e-05	3.82990976031867e-05	0.00024305514564731
Cronobacter malonaticus	1.56083155733455e-07	2.11932100564959e-07	9.01043014506214e-07	0.794396345166571	0.826692588752434	3.73896193030846e-05	4.68439711724785e-05	0.000209943022379948
Kosakonia arachidis	1.63934252173092e-07	1.71132342159458e-07	1.08983455953179e-06	1.0778207835142	1.06632053352877	3.73896193030846e-05	4.46586960099322e-05	0.000229634155702035
Unclassified Pluralibacter Genus	1.66201557294521e-07	2.07785216394202e-07	8.77382941032209e-07	1.142468317957	1.16741287707541	3.73896193030846e-05	4.68439711724785e-05	0.000209943022379948
Shigella flexneri	1.77486560115625e-07	3.78312203828327e-07	4.54213144783862e-07	1.95007263090062	2.16058564990228	3.85974106064779e-05	5.7965246632832e-05	0.00015437051049325
Unclassified Shigella Genus	1.91927522097401e-07	3.99821596946266e-07	4.9883680575545e-07	2.02832649837455	2.24105480683514	3.93320612895909e-05	5.7965246632832e-05	0.00015437051049325
Unclassified Salmonella Genus	1.98753064006851e-07	2.05805841625819e-07	1.22882130916369e-06	1.12594321574799	1.1116430779886	3.93320612895909e-05	4.68439711724785e-05	0.000237465650649829
Enterobacter sp. R4-368	1.98951260355074e-07	1.59004153627191e-07	1.86054206727817e-06	1.06848000429353	1.0045758515243	3.93320612895909e-05	4.46586960099322e-05	0.000303454411173069
Escherichia fergusonii	2.30691677760575e-07	4.29567176529821e-07	6.62704053057383e-07	1.63073994777644	1.7743130665222	4.31136659770459e-05	5.96275799932033e-05	0.000168156448201854
Citrobacter farmeri	2.31296491293165e-07	5.64199722226503e-07	5.02252874514873e-07	1.2802032239263	1.44909198119237	4.31136659770459e-05	7.07853651501097e-05	0.00015437051049325
