bugName	pval	p3M	p1Y	p2Y	s3M	s1Y	s2Y	Adjustedpval	Adjustedp3M	Adjustedp1Y	Adjustedp2Y
Neisseriales	3.84289936172788e-05	1.68261065473475e-05	0.0117943361147638	0.000205992126179013	0.804538920285518	0.488204892100194	0.933226441464552	0.00142187276383932	0.000622565942251857	0.0969109003528996	0.00381085433431175
Pasteurellales	0.000165179383569969	0.00022620810683651	0.0109174449198193	0.000148506043505764	0.756022449531746	0.56603920776974	1.10444981960018	0.00305581859604442	0.00209242498823771	0.0969109003528996	0.00381085433431175
Enterobacteriales	0.000521018534320294	6.67962533551987e-05	0.0442073640405454	0.00760986437850581	0.730162460552474	0.37925057695664	0.626513794482074	0.00642589525661696	0.000832208727208196	0.136306039125015	0.0637860423910919
Fusobacteriales	0.000720456017785032	0.000304289761192776	0.00384479151773784	0.00346628640997073	1.0438173795212	0.911329551767646	1.13747935706803	0.00666421816451154	0.00225174423282654	0.0711286430781501	0.0427508657229723
Bacillales	0.000913031243184759	6.7476383287151e-05	0.150030388793105	0.095438663660221	0.647888539437913	0.242116150670074	0.349243569622121	0.00675643119956721	0.000832208727208196	0.308395799185826	0.336375154593271
Elusimicrobiales	0.00254394952841852	0.917646245019609	0.00049092266283858	0.269613200406885	0.021088841436527	0.866953718192732	0.314439597243895	0.0156876887585809	0.917646245019609	0.0181641385250274	0.498784420752737
Lactobacillales	0.00419677943225805	0.000685437455932765	0.0372630198311561	0.0195952087442398	0.569276166924239	0.375238629751643	0.522715966399131	0.0221829769990782	0.00422686431158539	0.136306039125015	0.103574674790982
Verrucomicrobiales	0.0109750049094042	0.00229213164312425	0.0175265475427886	0.0564436384157496	0.86909975454107	0.747249359704658	0.732428418372026	0.0507593977059943	0.0121155529707996	0.108080376513863	0.261051827672842
Actinomycetales	0.0255273565591878	0.00439341096890375	0.688929417726937	0.153906739665875	0.58397878601068	0.0866536174645261	0.380197482821011	0.104945799187772	0.0203195257311798	0.728296813025619	0.388602756765712
Victivallales	0.0358337914321563	0.0082211946599892	0.0314652701055869	0.109094644732953	0.738726824650616	0.672376454807582	0.612560546516347	0.132585028298978	0.0337982447132889	0.136306039125015	0.336375154593271
Aeromonadales	0.0423719687492741	0.0978070198798521	0.628536840451758	0.00861973545825566	-0.491216694930717	-0.16116484876229	-1.13550190769019	0.142523894883922	0.278373825811887	0.710656379626574	0.0637860423910919
Rickettsiales	0.0503059637832011	0.763502702579287	0.0983589713070846	0.0138156769780758	0.0296492318318435	0.184376130351233	0.341624035681685	0.155110054998203	0.807131428440961	0.231904506829164	0.0851966746981338
NB1-n	0.0864658358868424	0.161226584190916	0.0130960676152567	0.186048046164738	0.213826879946793	0.444309942059223	0.285679145938157	0.246095071370244	0.372836475941493	0.0969109003528996	0.388602756765712
Corynebacteriales	0.1025805138703	0.0184283403990836	0.376096332271118	0.924049696284329	0.176264069608032	0.0724531385874418	0.00959385875755421	0.27110564380008	0.0681848594766092	0.574067484094799	0.972685406684216
Synergistales	0.117225795293951	0.394196349470885	0.0400517655530131	0.0680218681285719	0.183166811225927	0.505932580843573	0.548478207395987	0.289156961725079	0.595113448969087	0.136306039125015	0.279645457861907
Bifidobacteriales	0.128223872646037	0.063299311558561	0.0591573707910388	0.107816885048475	-0.642918262693679	-0.727442230534964	-0.749539588339358	0.296517705493959	0.195172877305563	0.168370978405264	0.336375154593271
Micrococcales	0.147454260807788	0.0294893743638473	0.434095380390592	0.1682231522551	0.390227235143258	0.151856655054551	0.32826717834781	0.320929861758128	0.0991915319511226	0.61775111824815	0.388602756765712
Methanobacteriales	0.157972129820422	0.605324139183217	0.0277465381141618	0.40280844653652	0.146092224304366	0.731837860288177	0.336260607305521	0.324720489075312	0.722483649992872	0.136306039125015	0.573227404686586
Mollicutes_RF9	0.172952160668333	0.761873332591547	0.100923181670401	0.18689098507155	-0.0905301920783576	0.568122350999334	0.56397885165052	0.336801576038333	0.807131428440961	0.231904506829164	0.388602756765712
Anaeroplasmatales	0.221986336565632	0.440982336123234	0.0416441519548036	0.338034178775112	-0.0739838501323544	-0.223455893847567	-0.125713032206408	0.410674722646418	0.604309127279987	0.136306039125015	0.556717910589333
Clostridiales	0.241819161302399	0.107197436299543	0.10655071935394	0.162204017191382	-0.0899918069083753	-0.102427772856397	-0.109518288878436	0.426062331818512	0.283307510220221	0.231904506829164	0.388602756765712
others	0.270410252247031	0.241538622859783	0.380937361680344	0.617442859195869	-0.255494248947521	0.215219270485051	0.151177172233271	0.454780878779097	0.470364686621683	0.574067484094799	0.761512859674906
Desulfovibrionales	0.303609647648471	0.19808696287624	0.074963206157332	0.575996025409221	0.292893086475678	0.461070302080049	0.175271861953054	0.488415520130148	0.407178757023381	0.198117044844378	0.734891480694524
Bacteroidales	0.439141496109107	0.56534462827462	0.387883435199189	0.346067890366342	-0.0476995104567948	0.0806660352154294	0.1083517167757	0.648641365816406	0.721301767108998	0.574067484094799	0.556717910589333
Cardiobacteriales	0.448403250048867	0.128753720484082	0.524342095852377	0.314118897840714	0.127936260069362	0.0592205663413835	0.115092295500556	0.648641365816406	0.317592510527402	0.692880626662069	0.553447581909829
