bugName	pval	p1M	p6M	s1M	s6M	Adjustedpval	Adjustedp1M	Adjustedp6M
Lactobacillales	3.5575830059642e-09	2.41959511644256e-09	2.42275435840068e-06	0.980703533069496	0.901486985983189	7.11516601192841e-08	4.83919023288511e-08	4.84550871680137e-05
Micrococcales	3.2168701147306e-08	2.91005505163388e-08	6.52618617681512e-06	0.992974400966683	0.96227479078002	3.2168701147306e-07	2.91005505163388e-07	6.52618617681512e-05
Fusobacteriales	2.95887755197288e-06	5.63944521515452e-07	0.069801966620242	1.06817689781155	0.417454940656405	1.6333193132656e-05	3.75963014343635e-06	0.161537247982622
Enterobacteriales	3.48008564421409e-06	2.24016353626276e-06	0.000281612142665779	1.48430133856047	1.36533478544655	1.6333193132656e-05	8.96065414505103e-06	0.00140806071332889
Actinomycetales	4.08329828316401e-06	1.23897127324015e-06	0.00166348133460237	0.752203624244934	0.573492876187211	1.6333193132656e-05	6.19485636620073e-06	0.00665392533840946
Clostridiales	9.93665965498547e-06	1.78162144135018e-05	9.65997565062521e-05	-0.160997694359734	-0.187910710124851	3.31221988499516e-05	5.09034697528624e-05	0.000643998376708347
Bacillales	3.43475978052954e-05	6.9474203717984e-06	0.0547927311043423	0.847309785728192	0.410055827770709	9.81359937294154e-05	2.31580679059947e-05	0.156550660298121
Corynebacteriales	0.0144080907137878	0.00454571874013298	0.116849490801993	0.310860358812158	0.216912486494422	0.0324962071326571	0.0113642968503324	0.182957353525066
Erysipelotrichales	0.0146232932096957	0.00520501321439018	0.0890580562302297	-0.418810593283458	-0.31758880007223	0.0324962071326571	0.0115666960319782	0.161923738600418
Verrucomicrobiales	0.0210594593448055	0.195884551561009	0.00615892110239752	0.375506893041709	1.11823311670098	0.0421189186896109	0.265922040005991	0.0205297370079917
Pasteurellales	0.0337878919713008	0.0100697855560648	0.272101956583199	0.403842367088893	0.216419440617512	0.0614325308569106	0.0201395711121296	0.340127445728999
Desulfovibrionales	0.128001920734395	0.118448901503182	0.0798553203773713	0.354594855152228	0.53267098148709	0.202096367665864	0.197414835838637	0.161537247982622
Methanobacteriales	0.131362638982812	0.2249102409071	0.267268832155363	-0.201221447276081	0.247186378182677	0.202096367665864	0.281137801133875	0.340127445728999
Coriobacteriales	0.155661763723469	0.174538417684854	0.0807686239913111	-0.173532574376607	-0.299735965893739	0.222373948176384	0.265922040005991	0.161537247982622
Bifidobacteriales	0.18591103388465	0.0705001645504769	0.661406737893866	-0.47778379973401	-0.150126140093274	0.247881378512867	0.128182117364504	0.661406737893866
Rhodospirillales	0.214286284851311	0.666155704495171	0.147221323909203	-0.0415712983093392	0.190673325144836	0.267857856064139	0.768116016004372	0.210316177013147
others	0.281497236270361	0.777790144494274	0.118922279791293	0.0493528532711094	0.367100390173631	0.331173219141601	0.782420922555451	0.182957353525066
Bacteroidales	0.414940080603232	0.199441530004493	0.479029124864739	0.288042267599695	0.207922314979051	0.461044534003591	0.265922040005991	0.532254583183044
Burkholderiales	0.585490911390823	0.782420922555451	0.306409093463346	-0.054762665809174	-0.273474639132913	0.616306222516656	0.782420922555451	0.360481286427466
Selenomonadales	0.799966287887176	0.691304414403934	0.527970542348183	0.092740970198553	0.192847381166693	0.799966287887176	0.768116016004372	0.555758465629666
