bugName	pval	p3M	p1Y	p2Y	s3M	s1Y	s2Y	Adjustedpval	Adjustedp3M	Adjustedp1Y	Adjustedp2Y
Fusobacteria	0.000720456017785032	0.000304289761192776	0.00384479151773784	0.00346628640997073	1.0438173795212	0.911329551767646	1.13747935706803	0.0100863842489904	0.00426005665669886	0.0269135406241649	0.0485280097395902
Elusimicrobia	0.00254394952841852	0.917646245019609	0.00049092266283858	0.269613200406885	0.021088841436527	0.866953718192732	0.314439597243895	0.0178076466989296	0.917646245019609	0.00687291727974012	0.545061230884512
Verrucomicrobia	0.00883738861310657	0.00151252321531268	0.0195104221555609	0.0623189066516486	0.883983708588957	0.713569033529632	0.695062773808956	0.041241146861164	0.0105876625071888	0.0806797538487167	0.317435384600002
Lentisphaerae	0.0341231905954115	0.00825872083901759	0.0278036288236372	0.107293205620747	0.738705069231105	0.689059587066019	0.616189936216828	0.11943116708394	0.0385406972487487	0.0806797538487167	0.375526219672614
Synergistetes	0.117225795293951	0.394196349470885	0.0400517655530131	0.0680218681285719	0.183166811225927	0.505932580843573	0.548478207395987	0.328232226823062	0.710533960366684	0.0934541196236972	0.317435384600002
Euryarchaeota	0.160836760350713	0.628214772973245	0.0288141978031131	0.410469854633646	0.136748418916947	0.72600882467738	0.330507023949944	0.375285774151664	0.732917235135452	0.0806797538487167	0.574657796487105
Proteobacteria	0.280952433278239	0.0851149618838593	0.982891938355083	0.350396505568615	0.222684328339481	0.00302689970312114	0.161312501795412	0.558557274548908	0.297902366593507	0.982891938355083	0.545061230884512
Cyanobacteria	0.331154099277211	0.456771831664297	0.213559709542221	0.82994195071327	-0.194808782956722	0.370089973108408	0.0781864612586197	0.558557274548908	0.710533960366684	0.332203992621233	0.864555455510477
Firmicutes	0.387800984965242	0.160141137266878	0.203357920721143	0.220197143341866	-0.0663281331259069	-0.0677346247597148	-0.0806439615891705	0.558557274548908	0.448395184347258	0.332203992621233	0.545061230884512
Tenericutes	0.418549539653354	0.604589042697463	0.249170886853115	0.509360857342984	-0.153900057265761	0.39315219442192	0.277880981090787	0.558557274548908	0.732917235135452	0.348839241594362	0.648277454800162
Bacteroidetes	0.438866430002713	0.565729729063661	0.387079217109778	0.346061482422103	-0.047651014031686	0.0808028347256016	0.108352011572717	0.558557274548908	0.732917235135452	0.451592419961408	0.545061230884512
Actinobacteria	0.538097108351496	0.350126144137072	0.1951882777414	0.341682190208185	-0.293132804211788	-0.454579553675934	-0.40399540300973	0.627779959743413	0.710533960366684	0.332203992621233	0.545061230884512
Deferribacteres	0.778240134745234	0.412769419558432	0.373324489603515	0.81321689342932	-0.148799298740016	-0.18112306280846	-0.0586183016141936	0.838104760494867	0.710533960366684	0.451592419961408	0.864555455510477
others	0.986157102840254	0.753707604855922	0.975398379250106	0.864555455510477	-0.0605007925922292	0.00667838361530038	-0.0454667158271622	0.986157102840254	0.811685112921762	0.982891938355083	0.864555455510477
