bugName	pval	p1M	p6M	p1Y	s1M	s6M	s1Y	Adjustedpval	Adjustedp1M	Adjustedp6M	Adjustedp1Y
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0	8.3899802605164e-17	4.5009170062034e-13	1.83856665088898e-08	-225.833660393807	-208.389408987906	-175.97918870077	0	3.19658247925675e-14	3.42969875872699e-11	1.75123473497175e-06
PWY66-422: D-galactose degradation V (Leloir pathway)	3.33066907387547e-16	1.42864721937479e-13	1.70049545917795e-13	6.64355634772619e-10	-158.673975519377	-177.713642757439	-164.056146938395	5.6399329650958e-14	6.80393238227246e-12	1.619721924867e-11	1.0221392981074e-07
PWY-6317: galactose degradation I (Leloir pathway)	4.44089209850063e-16	2.21743512513895e-13	1.66357373528841e-13	7.75002593682533e-10	-155.413388940481	-176.141941523017	-161.74944804937	5.6399329650958e-14	7.44138433431755e-12	1.619721924867e-11	1.0221392981074e-07
PWY-5667: CDP-diacylglycerol biosynthesis I	1.11022302462516e-15	1.25123054618959e-12	2.38720376978193e-14	8.22950793862345e-08	-148.746430747436	-185.218917975242	-137.408037778187	9.30588939240806e-14	3.40513455784453e-11	4.69390359028037e-12	3.96352008893738e-06
PWY0-1319: CDP-diacylglycerol biosynthesis II	1.22124532708767e-15	1.36543985038636e-12	2.46399138597395e-14	8.32235189278189e-08	-148.334065153577	-184.98877869554	-137.278198528063	9.30588939240806e-14	3.447470394794e-11	4.69390359028037e-12	3.96352008893738e-06
PWY-6737: starch degradation V	1.66533453693773e-15	2.35648445981253e-15	9.31216866998992e-11	1.65499731797682e-07	-290.698462673045	-248.106483506551	-221.990298006299	1.05748743095546e-13	4.48910289594286e-13	3.94215140362906e-09	4.4994328712332e-06
ARO-PWY: chorismate biosynthesis I	5.21804821573824e-15	4.63762000400493e-15	7.74309945219256e-10	1.24255091324927e-07	-231.231191986663	-187.877384543368	-181.890322475901	2.53796983429311e-13	5.88977740508626e-13	2.10722920806097e-08	4.36959258360794e-06
PWY-6151: S-adenosyl-L-methionine cycle I	5.32907051820075e-15	2.83647632753176e-13	1.21246615121481e-12	1.40657002615719e-07	-195.437735631454	-212.474439288255	-170.191300047106	2.53796983429311e-13	8.31305754453538e-12	7.69916006021404e-11	4.36959258360794e-06
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	1.83186799063151e-14	1.25073100833693e-14	1.43028744152289e-09	5.87739229515221e-07	-229.563554074057	-187.378124870833	-173.35079053731	7.75490782700672e-13	1.19132128544092e-12	2.94107626705085e-08	9.16152042782394e-06
PWY-7111: pyruvate fermentation to isobutanol (engineered)	4.48530101948563e-14	1.19710876821424e-13	5.44951963140945e-10	1.49093710201846e-07	-209.948366205595	-186.65596224406	-177.499605969663	1.70889968842403e-12	6.80393238227246e-12	1.59712844582077e-08	4.36959258360794e-06
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	1.11466391672366e-13	2.22801869012387e-13	1.3636859320886e-09	2.69416897031907e-07	-213.335404135494	-187.124782094116	-178.926148910315	3.53905793559761e-12	7.44138433431755e-12	2.94107626705085e-08	6.03810810406802e-06
VALSYN-PWY: L-valine biosynthesis	1.11466391672366e-13	2.22801869012387e-13	1.3636859320886e-09	2.69416897031907e-07	-213.335404135494	-187.124782094116	-178.926148910315	3.53905793559761e-12	7.44138433431755e-12	2.94107626705085e-08	6.03810810406802e-06
PWY66-399: gluconeogenesis III	1.33448807559944e-13	1.72134139164805e-10	4.89904286922314e-11	8.04834092997955e-10	48.9845959310532	57.1482715178517	61.0319173698078	3.76163386154157e-12	3.12300509627575e-09	2.33316916646752e-09	1.0221392981074e-07
NONMEVIPP-PWY: methylerythritol phosphate pathway I	1.38222766565832e-13	5.35348430939466e-14	6.76107969809589e-09	8.53537385553899e-06	-199.490487401207	-159.500229788569	-136.157904037752	3.76163386154157e-12	4.07935504375873e-12	1.17089607498842e-07	7.19349824358701e-05
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	2.07278638697517e-13	1.33332990247893e-13	1.39421172777462e-08	6.18552926629755e-07	-201.742861163514	-160.927473572309	-160.733294997726	5.26487742291692e-12	6.80393238227246e-12	1.98741920214723e-07	9.16152042782394e-06
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	3.574918139293e-13	1.83165763001566e-12	1.61248083911072e-10	1.05693829876651e-05	-198.338348084418	-196.227484152876	-146.500123503199	8.51277381919147e-12	4.10506798256452e-11	5.58504727001078e-09	8.21823452714367e-05
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	4.78506123613442e-13	1.44775659623895e-12	3.9257000942046e-10	1.3049029886094e-05	-211.508168866816	-202.221716155591	-153.346800556288	1.07241666527483e-11	3.447470394794e-11	1.24640977990996e-08	9.38052903132417e-05
PWY-5686: UMP biosynthesis	5.18474152499948e-13	2.34374309742285e-13	1.40840730860827e-08	9.53131273503711e-06	-224.348835568518	-180.434479391636	-156.675389302416	1.09743695612489e-11	7.44138433431755e-12	1.98741920214723e-07	7.5654794834357e-05
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	6.19060358530987e-13	5.24549540425191e-12	1.45038520977145e-10	5.14575047266278e-06	-164.916340501152	-169.06787230691	-131.143940545899	1.2413789294753e-11	1.11029652723332e-10	5.52596764922923e-09	5.0270023848321e-05
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	1.26525456778381e-11	3.24281405505815e-10	8.68610592200322e-10	1.71046850062199e-06	-133.421669807576	-145.921940474467	-126.598908845916	2.34975721420077e-10	5.14796731240482e-09	2.20627090418882e-08	2.10222096366767e-05
CALVIN-PWY: Calvin-Benson-Bassham cycle	1.29514177160672e-11	1.63575600113468e-11	5.36820578207889e-08	2.56860244270882e-06	-168.188230580067	-144.612201993554	-141.991895895367	2.34975721420077e-10	3.28012124438059e-10	6.81762134324019e-07	2.87834567844724e-05
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	1.43303147126517e-11	1.17862706184384e-06	3.09874183763167e-11	1.14758315242262e-07	40.3536207786364	66.1023245631587	57.9869666223636	2.48174995705468e-10	5.28302247720594e-06	1.68660091448238e-09	4.36959258360794e-06
PWY-6527: stachyose degradation	2.32291963442322e-11	4.01817907959431e-10	4.91056488694036e-09	6.98190160398234e-07	-102.95633403835	-106.505757234563	-101.892180072567	3.84796687267498e-10	6.12370491730173e-09	9.35462610962138e-08	9.49122452617758e-06
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	5.66204860774633e-11	4.58587603835833e-11	8.92279272743821e-08	3.7526131995075e-05	-115.507726006013	-99.54466838169	-85.4445975939629	8.9885021647973e-10	8.73609385307262e-10	9.86725936098655e-07	0.000191296139852864
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	1.2434508978032e-10	3.13319075490667e-10	1.3857481079198e-08	0.000186742706610994	-135.51677596938	-133.837687654224	-96.5376352242549	1.89501916825208e-09	5.14796731240482e-09	1.98741920214723e-07	0.000697538933517535
PWY-621: sucrose degradation III (sucrose invertase)	1.3654144481734e-10	1.51507814536175e-09	1.02118814970994e-08	5.65913578010223e-06	-175.544941453144	-185.120192518942	-164.341805119637	2.00085732597717e-09	1.80388991682133e-08	1.62113618766453e-07	5.39032683054737e-05
PWY0-1296: purine ribonucleosides degradation	1.60736202126088e-10	1.08878855321914e-07	1.46667845338494e-09	6.88302010852391e-07	-158.835111533255	-208.103276600617	-190.43833376485	2.26816640777925e-09	6.91380731294156e-07	2.94107626705085e-08	9.49122452617758e-06
PWY-5897: superpathway of menaquinol-11 biosynthesis	2.35062191933366e-10	2.40846372696555e-09	2.23115402621517e-07	3.42984989274561e-07	42.6512212153236	40.2603849564882	45.9011194651413	2.96818846920365e-09	2.54895744437187e-08	2.02397543806662e-06	6.22272766255275e-06
PWY-5898: superpathway of menaquinol-12 biosynthesis	2.35062191933366e-10	2.40846372696555e-09	2.23115402621517e-07	3.42984989274561e-07	42.6512212153236	40.2603849564882	45.9011194651413	2.96818846920365e-09	2.54895744437187e-08	2.02397543806662e-06	6.22272766255275e-06
PWY-5899: superpathway of menaquinol-13 biosynthesis	2.35062191933366e-10	2.40846372696555e-09	2.23115402621517e-07	3.42984989274561e-07	42.6512212153236	40.2603849564882	45.9011194651413	2.96818846920365e-09	2.54895744437187e-08	2.02397543806662e-06	6.22272766255275e-06
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	2.41506148412896e-10	5.09241424495371e-10	2.97801670733318e-08	0.000173705399022569	-164.187042913108	-159.773152559028	-119.068363551084	2.96818846920365e-09	6.75835812102439e-09	4.05222987676408e-07	0.000661817570275987
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	2.56635157569463e-10	4.34630124794725e-10	7.43763598386555e-08	3.39872964059391e-05	-156.168957278552	-146.618086232043	-126.72419980402	3.05556234481141e-09	6.36900298256886e-09	9.14109454791217e-07	0.000183769835551196
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	3.43757911025477e-10	4.71661414710652e-09	9.35881669033394e-09	1.57840133766511e-05	-87.6324286023093	-96.6159354727381	-80.9432653644562	3.96884133638506e-09	4.49257497511896e-08	1.55030833000749e-07	0.000107387662437572
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	3.57947227414002e-10	5.14415709999232e-10	2.50361921543712e-07	1.15796129384535e-05	-178.094770766481	-159.806851819347	-154.620803296417	4.01111451896278e-09	6.75835812102439e-09	2.16790663882169e-06	8.72785533029306e-05
PWY-7219: adenosine ribonucleotides de novo biosynthesis	3.97454957834498e-10	1.90389914488058e-10	1.78618613206481e-06	1.8866110380508e-05	-248.257277633475	-196.322407519654	-201.056789827947	4.32658111242696e-09	3.29720715545228e-09	1.09764018760757e-05	0.000121343680251085
PWY-5971: palmitate biosynthesis II (bacteria and plants)	8.10588263178147e-10	3.83609317489824e-08	1.26521877358137e-07	3.08482036613082e-07	39.8896481446957	42.7961326329377	48.032025437648	8.57872578530205e-09	2.7065768511782e-07	1.30283338576892e-06	6.22272766255275e-06
PWY-6895: superpathway of thiamin diphosphate biosynthesis II	1.11796571999889e-09	9.75982041552841e-06	4.74359115087522e-08	3.22164464877087e-08	46.7187513670234	66.6424344549966	78.3517783323632	1.14906216909881e-08	3.32008176635386e-05	6.23209733959813e-07	2.4548932223634e-06
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	1.14604625789383e-09	7.59813903285588e-10	5.58838310607782e-07	0.000163217484341248	-166.050563888807	-144.63054468815	-121.893822547539	1.14906216909881e-08	9.33835797263901e-09	4.2583479268313e-06	0.000628140015495107
PWY-6113: superpathway of mycolate biosynthesis	1.28376320684964e-09	1.96274965013268e-06	9.06441148647058e-08	4.26723874403003e-08	28.3006200584524	36.4747099886503	43.7856849912395	1.25413790207619e-08	8.1283436597886e-06	9.86725936098655e-07	2.70969660245907e-06
P441-PWY: superpathway of N-acetylneuraminate degradation	1.40837408402206e-09	5.96068400829017e-09	2.43457426746979e-07	8.73762555387966e-06	46.8051062576629	45.4661673006193	44.494375816197	1.31192382538954e-08	5.23781292441753e-08	2.15714603699067e-06	7.19349824358701e-05
PWYG-321: mycolate biosynthesis	1.44183065486914e-09	1.95289125511096e-09	1.64779385668659e-06	6.91486245353511e-06	45.0340512861326	38.6935371258923	41.8919762651463	1.31192382538954e-08	2.25470172180992e-08	1.04634909899599e-05	6.12688975534157e-05
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	1.44784495503814e-09	7.30474978723924e-06	5.37236415233545e-09	6.25195619746516e-07	65.4342113519984	100.081706309154	96.4140589128914	1.31192382538954e-08	2.62557515937561e-05	9.74700353352289e-08	9.16152042782394e-06
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	1.48064893679134e-09	4.66233861274028e-10	2.56287414500206e-06	0.000106930481735679	53.2686502434011	42.9477870270475	40.3801105883022	1.31192382538954e-08	6.57907782020018e-09	1.4794773473421e-05	0.000424380349388477
NAGLIPASYN-PWY: lipid IVA biosynthesis	1.80578241248952e-09	3.37777212893328e-09	6.58943348465019e-07	1.40272978725295e-05	33.640385361445	30.7122282363488	30.6204416087449	1.56364340717843e-08	3.29982354134251e-08	4.82802722625331e-06	9.8970379433958e-05
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	2.1513574255394e-09	2.92193824026326e-09	1.54899474152454e-06	1.19120335216598e-05	46.0100892407034	40.1210721207928	41.977831049135	1.82148262029003e-08	3.00880667443324e-08	1.01752930434629e-05	8.72785533029306e-05
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	3.17411341654861e-09	5.1475505663093e-09	8.6149039844073e-07	2.47182196856113e-05	-189.850104243159	-173.861669219258	-169.878675873542	2.57305789724472e-08	4.66956372800915e-08	6.07829336677626e-06	0.000140561816421163
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	3.17411341654861e-09	5.1475505663093e-09	8.6149039844073e-07	2.47182196856113e-05	-189.850104243159	-173.861669219258	-169.878675873542	2.57305789724472e-08	4.66956372800915e-08	6.07829336677626e-06	0.000140561816421163
FASYN-ELONG-PWY: fatty acid elongation -- saturated	3.61116914149306e-09	3.08255439515115e-09	3.63511103339284e-06	1.93445090370159e-05	50.169727904465	42.0575662658931	44.6773628192003	2.86636550606012e-08	3.09066638040155e-08	2.00721348365605e-05	0.000121343680251085
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	4.78873696252435e-09	5.04872090934427e-07	3.66430265780446e-07	4.03285936473284e-07	19.2225857257343	21.9065214648117	25.3975412583164	3.7234873116771e-08	2.78777198037706e-06	2.84918227066021e-06	6.98417917256006e-06
THISYN-PWY: superpathway of thiamin diphosphate biosynthesis I	5.69878544354196e-09	2.11049919182797e-05	1.42731193117629e-07	1.38835481426277e-07	47.7577948082166	68.0702266653082	78.8995290172347	4.25293071529062e-08	6.75714447131475e-05	1.4310680152057e-06	4.36959258360794e-06
PWY-5838: superpathway of menaquinol-8 biosynthesis I	5.7615814341716e-09	1.50284501046266e-07	2.89175928775006e-07	2.99348629356548e-06	35.7533966997073	38.9094618669902	40.4971821206698	4.25293071529062e-08	9.23522498364956e-07	2.34417082687824e-06	3.10709164160319e-05
PWY0-1061: superpathway of L-alanine biosynthesis	5.8045248607641e-09	5.52912007603936e-10	2.32362286443486e-05	0.0037676662787464	81.1855902843146	58.2792839717372	45.1438223621024	4.25293071529062e-08	7.02198249656998e-09	9.03367664642533e-05	0.00902818146039232
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	6.64836130592761e-09	6.70147284681557e-09	4.25893633612454e-06	2.3743470342056e-05	43.4956603234695	37.050118881209	39.1084342875729	4.77929369350645e-08	5.67391367697052e-08	2.28542921699078e-05	0.000140561816421163
PWY-7664: oleate biosynthesis IV (anaerobic)	9.37676403189869e-09	6.04891781297563e-09	8.06267606303656e-06	3.76567204434772e-05	47.2963019375395	38.9325421634281	41.4383977889335	6.61582795583963e-08	5.23781292441753e-08	3.79244392594683e-05	0.000191296139852864
PWY-7663: gondoate biosynthesis (anaerobic)	1.22234820043587e-08	1.95809682401555e-07	1.1644302430874e-06	3.01738558370914e-06	87.305665992784	89.9075271260688	99.2593100363422	8.43258364088432e-08	1.14774598453834e-06	7.92228433243392e-06	3.10709164160319e-05
PWY0-862: (5Z)-dodec-5-enoate biosynthesis	1.23943486585176e-08	7.84993441631909e-09	7.07999952478539e-06	5.91713143996941e-05	44.4900149182884	37.2370819776278	38.2553260108449	8.43258364088432e-08	6.36345747365441e-08	3.37184977367904e-05	0.000256184895298676
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	1.4697872474656e-08	1.28464596708673e-08	6.43531279807447e-06	4.21217068013118e-05	42.2663200332192	36.1408920988362	37.7056616879563	9.8243673909543e-08	1.01968773637509e-07	3.10361288109667e-05	0.000200604628641247
PWY-6630: superpathway of L-tyrosine biosynthesis	1.78213859225451e-08	8.31559762796783e-07	8.6694782925982e-08	3.02901543331134e-05	59.1292839959076	73.2406657318138	64.0491038802395	1.15907760293642e-07	4.11460090422824e-06	9.86725936098655e-07	0.000167254330448061
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	1.79489707541336e-08	1.44727593452217e-08	8.54985586187136e-06	4.44149158129019e-05	43.5942105652454	36.865607734777	38.9206666158672	1.15907760293642e-07	1.1253308796999e-07	3.92469287153372e-05	0.000206366864935556
PWY-6628: superpathway of L-phenylalanine biosynthesis	2.07427661713666e-08	3.29906357411827e-08	2.10090531012014e-06	6.53378138678566e-05	80.0202992337305	75.3325887617755	72.3683299540219	1.31716565188178e-07	2.37159098441332e-07	1.2506951924309e-05	0.000279704573973633
PWY-6901: superpathway of glucose and xylose degradation	2.26953082993475e-08	2.44431947077208e-08	5.6042323795498e-06	5.1194962872586e-05	46.4790088479728	41.0081055354567	41.9543142044281	1.41752663312318e-07	1.82605042816503e-07	2.80949017974799e-05	0.000232341054821071
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	3.83796086023125e-08	3.97998015711247e-08	6.09567897173669e-05	1.17472352025388e-05	-148.719914176033	-115.602367872674	-147.685907738442	2.35848885120662e-07	2.75704079974519e-07	0.000213069145709328	8.72785533029306e-05
PWY-5840: superpathway of menaquinol-7 biosynthesis	5.20168370599094e-08	1.30616227454358e-07	1.08023499833847e-05	1.64627797009714e-05	33.6803163654999	30.4714459230905	34.4401699833363	3.14578014600405e-07	8.15816109182139e-07	4.73068430306848e-05	0.000108143432173622
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	5.94370415107903e-08	6.28177400527924e-08	8.45229595797339e-06	8.87056881466268e-05	51.2399774495808	45.9008550156616	46.3288924534067	3.53836137743924e-07	4.27384981430606e-07	3.92469287153372e-05	0.000363407174020052
TRNA-CHARGING-PWY: tRNA charging	8.79860618807626e-08	7.10203601415252e-09	0.0318502409447821	0.000572415009200885	-116.073082273701	-44.0582145610174	-84.3253296694295	5.15733685793393e-07	5.88233852476545e-08	0.0501443876031486	0.00177309039435396
GLUCONEO-PWY: gluconeogenesis I	9.03593799783664e-08	1.70255367670388e-06	2.4788122833205e-06	7.93249473605647e-06	36.6832986742688	40.5905852454611	44.5884544274923	5.21620057147842e-07	7.12827418488107e-06	1.45296535376171e-05	6.8688193055398e-05
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	9.21940392917264e-08	0.000297108363709164	1.89166177896879e-06	4.36405887385623e-07	18.7296396258131	28.5461227983729	35.5208893319807	5.2426759656937e-07	0.000673799324840426	1.14400498061446e-05	7.22915839538794e-06
PWY-5177: glutaryl-CoA degradation	9.97174545158686e-08	7.48299816945897e-08	1.00496706570052e-05	0.000280539115024898	-67.3995974133035	-60.0674003639815	-56.2107012265386	5.58711031919793e-07	4.91555569407564e-07	4.50461708272821e-05	0.000980600025912715
REDCITCYC: TCA cycle VIII (helicobacter)	1.22855828621482e-07	2.85355852820873e-05	1.04543182514505e-06	3.93326404851881e-06	15.3535746981781	20.5193072310879	22.3633853917255	6.78377836301227e-07	8.69764639398021e-05	7.24199137055023e-06	3.94361474338333e-05
PWY-5097: L-lysine biosynthesis VI	1.33538513358289e-07	1.79403254821349e-08	8.06496748389233e-05	0.002486842803961	-128.184870746164	-95.7394050564045	-83.8592093734986	7.21891831091846e-07	1.36705280173868e-07	0.000269539702751138	0.0063589738812694
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis	1.34525774297956e-07	6.12210699475382e-07	4.84243862087854e-06	4.16579668448377e-05	30.0729544330305	30.4482233049723	31.2536741711239	7.21891831091846e-07	3.19514060956054e-06	2.56245710354823e-05	0.000200604628641247
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	1.917906795601e-07	1.62791054023123e-07	0.000437884659131622	1.49889596491926e-05	74.223584004395	53.3036393738748	78.0068758462174	9.79466930992601e-07	9.84498279092222e-07	0.00120024500092912	0.000103832611388043
PWY-5845: superpathway of menaquinol-9 biosynthesis	1.92808450982795e-07	1.09891887073547e-06	5.39905406970932e-06	4.01814111600052e-05	30.5525373093376	31.6090478093983	32.7151231069799	9.79466930992601e-07	5.00068909273098e-06	2.74271946741234e-05	0.000196270739127718
PWY-5850: superpathway of menaquinol-6 biosynthesis I	1.92808450982795e-07	1.09891887073547e-06	5.39905406970932e-06	4.01814111600052e-05	30.5525373093376	31.6090478093983	32.7151231069799	9.79466930992601e-07	5.00068909273098e-06	2.74271946741234e-05	0.000196270739127718
PWY-5896: superpathway of menaquinol-10 biosynthesis	1.92808450982795e-07	1.09891887073547e-06	5.39905406970932e-06	4.01814111600052e-05	30.5525373093376	31.6090478093983	32.7151231069799	9.79466930992601e-07	5.00068909273098e-06	2.74271946741234e-05	0.000196270739127718
PWY-5103: L-isoleucine biosynthesis III	2.11210762657288e-07	2.00851587956217e-07	0.000180882861390019	2.47012184847184e-05	-144.59381492272	-111.447667927443	-147.181391829516	1.05883290226877e-06	1.15946143956544e-06	0.000551330961516779	0.000140561816421163
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	2.19894970121537e-07	8.9992515644946e-06	9.61836879029512e-08	0.0179285129877185	57.1373313264904	79.2719165884522	37.9848868705119	1.0880517352767e-06	3.11701349642949e-05	1.01794403030623e-06	0.0343254444639233
PWY-5484: glycolysis II (from fructose 6-phosphate)	2.22962815765726e-07	2.76156415214354e-08	0.000467072179499581	0.000702454752093427	76.8250330631318	50.7758300332087	56.7651181275456	1.08879794127073e-06	2.0233768114744e-07	0.00127110357420958	0.00212408936942536
PWY-3001: superpathway of L-isoleucine biosynthesis I	2.25761252914403e-07	6.18274389664381e-07	1.60130554013946e-05	3.70127707733477e-05	-102.09871393254	-97.1941238410855	-107.585364513491	1.08879794127073e-06	3.19514060956054e-06	6.7043671515729e-05	0.000191296139852864
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	2.6361781835238e-07	0.000224443096223963	1.58358033162135e-06	2.43351576797347e-06	46.4824959294437	70.617578926222	80.8918789491201	1.25547985990321e-06	0.00052785691148969	1.02261712940294e-05	2.80960456847846e-05
PWY-5723: Rubisco shunt	2.83348001284267e-07	6.19829461913752e-07	8.98330271721139e-06	0.000127833890559133	44.8083160339226	44.0577381097862	43.501474361326	1.33278504307785e-06	3.19514060956054e-06	4.07456944673517e-05	0.000496986860234997
