bugName	pval	p3M	p1Y	s3M	s1Y	Adjustedpval	Adjustedp3M	Adjustedp1Y
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	5.09490480915531e-08	3.14214834357897e-08	1.16695224924127e-06	71.1046480108521	63.1074241058207	1.38914577405558e-05	1.20658496393433e-05	9.1920686171524e-05
FASYN-ELONG-PWY: fatty acid elongation -- saturated	1.41255999341894e-07	1.31341563221803e-07	1.12156283683636e-06	70.4328470241661	68.1334051802522	1.38914577405558e-05	1.26490243547474e-05	9.1920686171524e-05
PWY-6895: superpathway of thiamin diphosphate biosynthesis II	1.45762035108632e-07	2.85028524638615e-07	4.17606986722788e-07	126.249380894433	137.92660608994	1.38914577405558e-05	1.26490243547474e-05	9.1920686171524e-05
PWY-6630: superpathway of L-tyrosine biosynthesis	2.21007065315248e-07	1.34642236733173e-07	3.49576131247506e-06	117.699803606557	104.540409011639	1.38914577405558e-05	1.26490243547474e-05	0.000105009047765911
PWYG-321: mycolate biosynthesis	2.29735488188609e-07	2.01137931976919e-07	1.84505855694287e-06	65.5778578020002	62.8386995813512	1.38914577405558e-05	1.26490243547474e-05	0.000100184933001298
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	2.46784625623775e-07	1.67086578531585e-07	3.02437319002509e-06	70.2436053084624	63.8717680084298	1.38914577405558e-05	1.26490243547474e-05	0.000105009047765911
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	2.70256956813597e-07	3.58570484324755e-07	1.19633429318696e-06	60.6792410298508	62.7460315230216	1.38914577405558e-05	1.37691065980706e-05	9.1920686171524e-05
PWY-6901: superpathway of glucose and xylose degradation	3.2129136784409e-07	2.07303913345776e-07	5.19576017591747e-06	80.3485384295392	72.5475834156992	1.38914577405558e-05	1.26490243547474e-05	0.000105009047765911
PWY-7664: oleate biosynthesis IV (anaerobic)	3.25581040794276e-07	2.96461508314392e-07	2.34808436721792e-06	65.7853421667322	63.6347119648458	1.38914577405558e-05	1.26490243547474e-05	0.000100184933001298
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	4.24771660401113e-07	4.52060002251327e-07	2.33678379672207e-06	56.6575587706867	56.5031518504859	1.63112317594027e-05	1.57810037149554e-05	0.000100184933001298
PWY-6628: superpathway of L-phenylalanine biosynthesis	4.94144013152287e-07	2.53392749639545e-07	1.07597978262494e-05	128.722539956479	110.01081863138	1.70229515106257e-05	1.26490243547474e-05	0.000175622476987404
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	5.31967234707054e-07	9.5087242886854e-07	1.48849210096539e-06	34.5104945336908	37.6005962393652	1.70229515106257e-05	2.28209382928449e-05	9.52634944617852e-05
THISYN-PWY: superpathway of thiamin diphosphate biosynthesis I	6.10429690128811e-07	1.47959867729343e-06	1.19688393452505e-06	127.603575873801	145.506346881274	1.80311539238049e-05	3.15647717822598e-05	9.1920686171524e-05
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	6.64146116102771e-07	6.28107489525476e-07	4.07397921021565e-06	57.545453386185	56.2977437035552	1.82165791845331e-05	1.9092724756147e-05	0.000105009047765911
P441-PWY: superpathway of N-acetylneuraminate degradation	7.29405056909549e-07	6.63315909444837e-07	4.94615014913336e-06	72.4150133969258	70.4486981613889	1.86727694568845e-05	1.9092724756147e-05	0.000105009047765911
PWY0-862: (5Z)-dodec-5-enoate biosynthesis	7.86157181575931e-07	6.96088923401192e-07	5.12179218265714e-06	60.6095972744198	58.5806550860677	1.88677723578223e-05	1.9092724756147e-05	0.000105009047765911
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	9.17402042777127e-07	8.65814866708648e-07	5.74901730691054e-06	55.3525584294355	54.334481342164	2.07224932015539e-05	2.21648605877414e-05	0.000110381132292682
PWY-5838: superpathway of menaquinol-8 biosynthesis I	1.21090844218408e-06	1.84528499586267e-06	3.54712105671215e-06	78.9170282794723	84.2860035086677	2.47869364231017e-05	3.71116375443751e-05	0.000105009047765911
PENTOSE-P-PWY: pentose phosphate pathway	1.22643695843472e-06	1.03422596766362e-06	9.88877254455742e-06	68.7955926779917	66.3026434229617	2.47869364231017e-05	2.33613395048723e-05	0.000175622476987404
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	2.13190930520302e-06	1.93289778876954e-06	1.14337550122008e-05	54.2001608133615	52.9730103221165	3.99257963233199e-05	3.71116375443751e-05	0.000175622476987404
PWY-5897: superpathway of menaquinol-11 biosynthesis	2.39138884228218e-06	5.21576175547139e-06	4.48951206327716e-06	84.1960834452085	95.953909714714	3.99257963233199e-05	6.90638797965867e-05	0.000105009047765911
PWY-5898: superpathway of menaquinol-12 biosynthesis	2.39138884228218e-06	5.21576175547139e-06	4.48951206327716e-06	84.1960834452085	95.953909714714	3.99257963233199e-05	6.90638797965867e-05	0.000105009047765911
PWY-5899: superpathway of menaquinol-13 biosynthesis	2.39138884228218e-06	5.21576175547139e-06	4.48951206327716e-06	84.1960834452085	95.953909714714	3.99257963233199e-05	6.90638797965867e-05	0.000105009047765911
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	2.75457381004873e-06	2.37656503273609e-06	1.52022607763749e-05	50.8133135662335	49.254801544799	4.40731809607797e-05	4.14818623895754e-05	0.000222767407647365
