"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-1"	0.98555795390608	0.895741457918127	0.984474958967499	0.998922078542482	0.914507092580241	0.347756170629533	0.986217357627269	0.953598668862361	0.946970490011488	0.965315032401054
"SAMPLE-2"	0.449364811404537	0.156112037741523	0.406844883597324	0.816417796998209	0.222739832875402	0.193178608769307	0.353389288556971	0.483902326467019	0.028478226537121	0.194635423348009
"SAMPLE-3"	0.941357054126758	0.936623650206167	0.870009289255263	0.89750281477175	0.959474785473992	0.907539864594745	0.979885471479495	0.867774938164777	0.961128642293928	0.995504642223025
"SAMPLE-4"	0.907193158935358	0.770268324070495	0.92735839904908	0.926662982020276	0.944651868000763	0.824878771765541	0.923294542197737	0.945840165350678	0.844439499861285	0.819859104482334
"SAMPLE-5"	0.863758970235081	0.638934403176624	0.19984559867076	0.791386173570324	0.152318505866671	0.718071855922227	0.218599680675086	0.718166952632153	0.914459060197106	0.576242346393561
"SAMPLE-6"	0.941654718812952	0.538841534250244	0.677880544777236	0.894988267937001	0.851735626550058	0.791310993163759	0.767569141258738	0.843403611838844	0.993067654901093	0.97212436819291
"SAMPLE-7"	0.976473964717084	0.99296464708104	0.995149649642926	0.996691233236441	0.976901135927355	0.984623951777672	0.997778165981312	0.962082858938767	0.990945169314347	0.981250653152402
"SAMPLE-8"	0.00586092912090219	0.0416403457493588	0.137592986630631	0.0166824186399053	0.0116012113500252	0.0083791555896504	0.0846450565145224	0.00163681023049985	0.0191061296020591	0.00952293910717044
"SAMPLE-9"	0.500967845382106	0.551844422329129	0.602705999059269	0.367839041238603	0.656821798476137	0.41540824553919	0.343749509018798	0.200202028964782	0.494971700175586	0.646755283393944
"SAMPLE-10"	0.573370677212141	0.818933480302145	0.934014830233671	0.266907124654751	0.953634074553874	0.925266657207164	0.940816778868709	0.179483915462876	0.932610060006729	0.897046870862697
"SAMPLE-11"	0.958747449922418	0.993848290633885	0.957307173077391	0.931287876373512	0.946202708125248	0.925824419017998	0.963380766895816	0.851114455458287	0.993818645604562	0.995635425440037
"SAMPLE-12"	0.0397466501950425	0.00644416496774465	0.00584824620491534	0.0110936112008097	0.0712312503242708	0.0152312851652023	0.0357286676910888	0.0214743230651856	0.00284139988875712	0.0272890723940876
"SAMPLE-13"	0.999819048275818	0.998293728578154	0.996771254422387	0.998172199259194	0.991734103405681	0.994077619352501	0.999267674192447	0.999895649123665	0.991299372871812	0.99764286096056
"SAMPLE-14"	0.0368085774202704	0.015168159440404	0.00810636885834508	0.0104133515331958	0.00673444210138502	0.0107421028614878	0.0184730514988111	0.025650310169244	0.00257216760892298	0.0102792434374325
"SAMPLE-15"	0.189324101221835	0.181339012122223	0.0795331715724453	0.117042853659518	0.0518514206727837	0.0794921975894888	0.104363834917108	0.045801732525328	0.142835302643603	0.178652589564651
"SAMPLE-16"	0.99558202665604	0.997638841627209	0.994632179151859	0.99908385598185	0.99741140730471	0.999358177635671	0.999179101550595	0.998566196216022	0.998842456635285	0.9994563003663
