"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SRR5865065"	0.933769444797344	0.931976929034111	0.94220332760105	0.906328976067841	0.940162164242169	0.947318382748164	0.934091200296122	0.943056899977719	0.914141202238796	0.912781236871616
"SRR5865066"	0.776591481789556	0.807129237624563	0.804683310885526	0.817231764326419	0.790559058305759	0.870538582189218	0.861161881580106	0.828901643421251	0.812623767205276	0.80346644452983
"SRR5865067"	0.162406064521657	0.136080914342968	0.123835031761878	0.14600985443063	0.102548079450756	0.116962778224965	0.0745060747937447	0.122740806538577	0.130935991383947	0.12056201512401
"SRR5865068"	0.92290996485775	0.932676402692945	0.924528672050829	0.917815626019288	0.943259024570917	0.928988801731313	0.920913770029312	0.899356439065439	0.884998586959362	0.920166880934132
"SRR5865069"	0.369248670754757	0.228943281241724	0.288700375628593	0.313998498486824	0.390243151481805	0.335814995279321	0.372478880915908	0.338396307524906	0.318193717206431	0.292495287053587
"SRR5865070"	0.223299277661684	0.183875186413075	0.191495958269347	0.208476275542271	0.226748679701641	0.209272575006304	0.182786231927669	0.188036153954807	0.22045588512947	0.256061899146837
"SRR5865071"	0.721253450646724	0.579752552616967	0.515721770589156	0.693433736243971	0.853364694450544	0.462121634631553	0.847123224855088	0.668468607845238	0.709821811947635	0.673114982746553
"SRR5865072"	0.188012122251194	0.201548749021394	0.18742304358205	0.216444348661891	0.210884878640733	0.208459746286566	0.227784537135837	0.171935579046062	0.239203718464937	0.250022873821235
"SRR5865073"	0.641424420813809	0.584984127831538	0.569147655761287	0.533059832180083	0.652168410843374	0.7659629303382	0.54496453531507	0.705310932008805	0.622687533732488	0.462451619988555
"SRR5865074"	0.87642321626226	0.836369444939305	0.806018469249534	0.818755060730071	0.779467697540091	0.883660573863355	0.838572503589425	0.803317120861501	0.817194702530666	0.864971586936318
"SRR5865075"	0.549122874100603	0.71127629132278	0.627092293491365	0.724685778798165	0.786430188249676	0.656511156230978	0.660363283070811	0.662365443759512	0.665298785057063	0.765698159742053
