"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-1"	0.952085972201236	0.973733302661936	0.980044280113794	0.968188234530348	0.961555837040787	0.988592936575596	0.967954964758686	0.976611082791521	0.978555671071618	0.964770034942351
"SAMPLE-2"	0.274308785030443	0.271647547875437	0.254273090337885	0.164167093091858	0.366934317201005	0.388867005176093	0.309731682265835	0.136356941481199	0.0829759482274518	0.0824387955361246
"SAMPLE-3"	0.981064115947295	0.987907768878809	0.987508372429428	0.9765936944868	0.986563108333614	0.97724014772012	0.979005784195665	0.98459490445287	0.989154694128208	0.985443345455342
"SAMPLE-4"	0.943824757085284	0.919172746980267	0.918256565161096	0.957755197012964	0.962285471891542	0.897552133497545	0.91207797956429	0.984399586731437	0.892260543527923	0.81892265637291
"SAMPLE-5"	0.587626588952223	0.585381338552787	0.208772476758989	0.469375318282678	0.649522675351496	0.572329023468536	0.609966785847867	0.497672643436236	0.576802266587452	0.319315519167126
"SAMPLE-6"	0.686494523430893	0.915538949786184	0.648822254618948	0.783472710468335	0.840540594434245	0.85689575686384	0.603376830698069	0.486845479896389	0.839609971237909	0.459777495359109
"SAMPLE-7"	0.982183302886866	0.992770907820567	0.985333572508774	0.941299351356375	0.982503639063316	0.977628400377903	0.971114806752248	0.986643949137581	0.993526134652894	0.980231867323344
"SAMPLE-8"	0.181948690222379	0.489627034907325	0.224088279374655	0.26562477627139	0.331497662762961	0.132772921543398	0.208161577751828	0.217229022405665	0.431403347632878	0.227052251066867
"SAMPLE-9"	0.867391050156024	0.737043315613334	0.88790681521269	0.819795095389759	0.74496742536504	0.795779746272182	0.889743405625525	0.491932956486159	0.668808957846476	0.801611545433678
"SAMPLE-10"	0.984705347269782	0.953182160710885	0.965936960778774	0.97654337828433	0.974093454905335	0.98866092269426	0.974382993199663	0.956153290920689	0.977932919621532	0.983904891930513
"SAMPLE-11"	0.989715514411629	0.983584893338107	0.938671473245833	0.965957077123424	0.99643326303992	0.977130151227281	0.939530388693647	0.966525430228163	0.984854430278536	0.988532416183992
"SAMPLE-12"	0.0332072205359749	0.24834453313669	0.129244080130227	0.0523938263538665	0.0112267378677509	0.0191017185252378	0.0524446224958989	0.058377335683839	0.0338448042407313	0.0303649341194478
"SAMPLE-13"	0.737577996994919	0.896135514209087	0.930010949956362	0.895151052882102	0.873660085127544	0.953196625618892	0.936546046249551	0.764931422964116	0.748865660028047	0.773976240522103
"SAMPLE-14"	0.141041487070663	0.0588096604969336	0.0423229346164695	0.138735095347539	0.216146998208	0.0885651771221766	0.0929629260816549	0.171231045715693	0.0911599160559338	0.20625236906775
"SAMPLE-15"	0.0669479530190081	0.0813786873897814	0.0626188252846486	0.13355853148219	0.0294308387635332	0.0816673690381726	0.0411023064028578	0.0371296308590617	0.0422798590166866	0.0474909811839843
"SAMPLE-16"	0.999569519482122	0.999174531825985	0.999152394340341	0.99828709544488	0.999820419829847	0.99962193294406	0.999793198159402	0.999821239209422	0.998767374686714	0.999652662574628
"SAMPLE-17"	0.838280961270089	0.841616302259713	0.689281164564428	0.552039519071334	0.552593813221661	0.851382453874212	0.745810030025709	0.611176076354901	0.789178153114907	0.764167021565599
"SAMPLE-18"	0.063375293046954	0.137869727010075	0.280630530171112	0.350069993676122	0.378173787368944	0.422397851677425	0.173212090979915	0.0884850558746589	0.505113990260557	0.189043722879044
"SAMPLE-19"	0.889060044794839	0.980811738058988	0.94418444201834	0.937993209653874	0.905005699075634	0.944032061803539	0.928539591493407	0.939294755965081	0.963002088644252	0.917953566603426
"SAMPLE-20"	0.735518801194758	0.885497004892855	0.885023371694116	0.602977781197495	0.792805062628622	0.729946048291391	0.772897395184174	0.644828260854833	0.849220720550949	0.868453682547305
"SAMPLE-21"	0.297783139096076	0.51478992305282	0.353062005202363	0.422628975007513	0.313468440784891	0.125721419390484	0.116124360291466	0.107917530999499	0.133887388505429	0.334829660388725
"SAMPLE-22"	0.818492009887254	0.920252756431651	0.893533840413219	0.800590497297778	0.891569522029099	0.93735364758512	0.921966087313137	0.728914037547204	0.833145531123582	0.859311375772562
"SAMPLE-23"	0.122513487489107	0.101960628034273	0.500113330832252	0.257544226154343	0.373755932529386	0.33930607090211	0.14470047484344	0.174377343118284	0.114842740597974	0.0885310949230089
"SAMPLE-24"	0.0182760252386203	0.0740672405062369	0.00814764644646092	0.0137683506368221	0.0444946167406555	0.0198321688891242	0.0277832926672242	0.0123340004961925	0.0160395674703755	0.0627978207242073
"SAMPLE-25"	0.122076439313228	0.174542836140336	0.036289704139569	0.0679487467443211	0.176873387739635	0.118397670901092	0.0520419079926386	0.01576889374006	0.0528077486226806	0.0362255277182495
"SAMPLE-26"	0.945509693948761	0.955273205384943	0.990632006177607	0.934320022794224	0.989777208937199	0.945669178069514	0.951136643865919	0.958776978186982	0.937156212057662	0.951667392676248
"SAMPLE-27"	0.799796723132622	0.983247485299241	0.837098782707611	0.840743419469541	0.823551065642545	0.840522770340212	0.818146243147668	0.872178852445558	0.811334342273308	0.901693844298782
"SAMPLE-28"	0.719661307790528	0.860491857885213	0.709931419194611	0.725931697826326	0.739345085598218	0.928850798610391	0.978478368914231	0.906200448434007	0.784281722973474	0.923500928247596
"SAMPLE-29"	0.272381809771579	0.726905758803955	0.532394989653098	0.590128041567493	0.881961795671978	0.743740869431099	0.891987431778213	0.449414671129996	0.923483007070701	0.918469501711536
"SAMPLE-30"	0.0183254013852223	0.0232904691691365	0.0263000343282352	0.0211781120356324	0.0204708334422353	0.136823489390531	0.0208699887652079	0.0211053599152184	0.025157957531823	0.0113872210221912
"SAMPLE-31"	0.177670324771745	0.601460282472795	0.707184562928934	0.611859367639258	0.515986654397032	0.365520195067267	0.555616328323256	0.248104749300826	0.227454701117924	0.294231399462904
"SAMPLE-32"	0.9895034550621	0.990509393841816	0.996102847502927	0.98124404422658	0.997552836265528	0.967942984937153	0.997801667448578	0.987272332196139	0.989599134535553	0.98307603824386
"SAMPLE-33"	0.114421254514222	0.106722892633358	0.140574489997884	0.0790327658895884	0.0752071098141846	0.12520318103842	0.0970298079594929	0.0431010038946681	0.100746305206138	0.0468644201831398
"SAMPLE-34"	0.134578756924958	0.0979656392236811	0.0568916639501896	0.0465508133695606	0.0373618501988778	0.152721912714468	0.136841955530695	0.037354284773785	0.0249788294068743	0.049618331120963
"SAMPLE-35"	0.996704265593429	0.992757983598067	0.998454439795905	0.97681971909289	0.977299269408885	0.996265262568751	0.998359072331774	0.997792062966747	0.994764427351014	0.99449485259224
"SAMPLE-36"	0.0909538459932404	0.0581193221206108	0.0865122588750976	0.105492280277462	0.132598399960656	0.166064112510565	0.180836667154723	0.084381207757851	0.075251814705965	0.277000370872887
"SAMPLE-37"	0.079411249817699	0.0803599523060209	0.0500124902485621	0.0523356771439736	0.138101458185379	0.214510265201149	0.153868210772848	0.10254986165225	0.0376065617833244	0.0643532054982137
"SAMPLE-38"	0.729623562257784	0.727445110840332	0.620409413581332	0.629672388236404	0.84742900779468	0.607826638969988	0.634010544851273	0.75607873573689	0.860490551376075	0.461101689899077
"SAMPLE-39"	0.935703232567578	0.990725098989734	0.962394247649647	0.971320345715069	0.927889380804842	0.990230614836623	0.899242702217366	0.85349269267484	0.870221065206456	0.983589758063988
"SAMPLE-40"	0.21923842917536	0.311850919332683	0.07595108507354	0.136417488868429	0.0285666081345319	0.081367067758122	0.355930936916863	0.192488525753671	0.148469752594511	0.172313388214316
"SAMPLE-41"	0.0145833387735234	0.0103841994013401	0.0109876435852185	0.0320400780174745	0.00846102056654446	0.0109659196956597	0.00747658174304746	0.0403836854794085	0.0283218951203321	0.00862848978550601
"SAMPLE-42"	0.236770522096814	0.19680432164519	0.571471992381398	0.238557109434932	0.450447162863529	0.501282640770799	0.613053713279364	0.4420393455563	0.586947974413791	0.431931456871238
"SAMPLE-43"	0.0980425035689154	0.111082432396353	0.0604044455899526	0.0805420816163051	0.0453683662592774	0.0427350687814299	0.100870286622279	0.0496268375252534	0.0531102171712307	0.105003341682448
"SAMPLE-44"	0.926663367336081	0.99701455388606	0.957957517906953	0.987275584157727	0.946345888102086	0.999124099772373	0.976437000728732	0.982605040211708	0.982245356800391	0.967794692299764
"SAMPLE-45"	0.662744002440705	0.523639873059949	0.462920103291183	0.604501811431543	0.362662708688519	0.573824326668579	0.649016960415867	0.793221027498398	0.47716617025339	0.710269573855803
"SAMPLE-46"	0.563302668896026	0.813543756098203	0.617369821554424	0.83040488220827	0.780278984289303	0.850103114783583	0.630492563088773	0.319283400187683	0.69056487308589	0.406027962906417
"SAMPLE-47"	0.167182842594522	0.165882150352972	0.0870711356751316	0.139562155451704	0.249630231275093	0.307593534242774	0.124990438637118	0.106849799028519	0.153936142841722	0.340868906105577
"SAMPLE-48"	0.629612078296942	0.462918701496992	0.361636090197456	0.778752854389579	0.485593157001733	0.560158397755701	0.560524027624919	0.685908617498102	0.630979326865489	0.628049000075575
"SAMPLE-49"	0.0535611608380681	0.132103638919551	0.0706164880640879	0.0805658474326708	0.0544230925909037	0.0538777180420782	0.045596891354091	0.195542878386721	0.0871996167976117	0.176262368713873
"SAMPLE-50"	0.913171163680206	0.944236753762194	0.944687486470268	0.885041102632304	0.968935058274212	0.906977760871092	0.92561509375594	0.950416005832999	0.94470093643531	0.895211007329943
"SAMPLE-51"	0.960554614863014	0.965311093359969	0.952455034452669	0.957236678054048	0.981136665218952	0.96528027801928	0.982417456558825	0.942212546882811	0.943898890551283	0.991888994150942
"SAMPLE-52"	0.114976388588306	0.0506578551005991	0.0174959388215717	0.0986086282835152	0.0214279654209186	0.0488606762996164	0.0299064673032334	0.0524042734190175	0.018749329332176	0.0380746934127096
"SAMPLE-53"	0.814879349525115	0.843584704822309	0.735267775151996	0.943053440477174	0.622108112111528	0.69279379221703	0.849424595526349	0.782950194079998	0.789860348232891	0.486073728697154
"SAMPLE-54"	0.310365206960127	0.154347661932566	0.243103693296366	0.374693133985058	0.193979348761339	0.054852545213847	0.108455593823031	0.142541130494314	0.217507912005313	0.209972455835128
"SAMPLE-55"	0.00375014110781498	0.00334570799036128	0.00224168403364901	0.000617746777111113	0.00269888463143458	0.000776707776212828	0.00435655759264144	0.00260559952397788	0.000822273734286995	0.00393145947650222
"SAMPLE-56"	0.995092983154029	0.997182217880588	0.999114535956454	0.98815910599837	0.991226673412975	0.996114388507524	0.997919741804116	0.999683084433285	0.960566733980908	0.998273379305919
"SAMPLE-57"	0.522314027652242	0.763665501014138	0.385464435175693	0.252603053791066	0.462980528671721	0.375247508577917	0.673835514255817	0.547301315773629	0.570837844859316	0.330129268760698
"SAMPLE-58"	0.982840478807792	0.996211218042113	0.98499472090471	0.992245710814652	0.984497680295549	0.990193802481613	0.991240563438408	0.998831497481224	0.992072426975444	0.987243138086153
"SAMPLE-59"	0.0450963547135066	0.0745682361081924	0.0968866571791695	0.049077151667643	0.288488441335849	0.0891318616335528	0.0328186004668019	0.397537870329578	0.0934990057139641	0.0713591411615802
"SAMPLE-60"	0.0151383070655067	0.0338294111287131	0.015953176469102	0.0279178932435223	0.0781719394176132	0.017946125493868	0.0259479432038001	0.0247870495713134	0.0240722064307414	0.0219114077213546
"SAMPLE-61"	0.368092980495566	0.236407501345524	0.38953871492465	0.224318080970147	0.581588766178209	0.248497530654462	0.12214521249221	0.120383027479824	0.263291287183081	0.7317578898373
"SRR11292125"	0.75362755287841	0.884031646680359	0.849747793965711	0.820962208266066	0.843487152834009	0.919184008445671	0.893001946339487	0.952997852575128	0.910361792769721	0.893096802281176
