"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-1"	0.645192881623428	0.589678867012764	0.740203243700583	0.60074706631338	0.724278468746462	0.640420757555579	0.661830792075074	0.638610956100023	0.606797076922784	0.686915922648042
"SAMPLE-2"	0.0730269533299236	0.112921213801764	0.188661923134278	0.186601070284938	0.077078578972254	0.103819762082911	0.123713525842395	0.0908678339967964	0.092535522750023	0.109692315556252
"SAMPLE-3"	0.832273370093961	0.867437820615761	0.860557550663306	0.801250417417734	0.89351861639124	0.898301548509944	0.826306108812148	0.947155705809465	0.848392933474112	0.897935254843788
"SAMPLE-4"	0.802903652076374	0.779094888834126	0.848362918988165	0.873424135994783	0.854853370958692	0.841861757349476	0.76793243178486	0.866862193255739	0.688243571717607	0.756360974005936
"SAMPLE-5"	0.139692171946836	0.111847361713809	0.174662976977439	0.0953181309953698	0.129942606108385	0.10097126502562	0.129580027503228	0.116342433830563	0.14517844559503	0.177013331745037
"SAMPLE-6"	0.47647103418217	0.32470655402186	0.261446316889762	0.545088101044651	0.421005658647358	0.346178053589058	0.345279520797221	0.339276985423882	0.416804798416845	0.4030860986093
"SAMPLE-7"	0.934602893483966	0.836528806550338	0.829469271288303	0.924584768924686	0.831075316486854	0.847499809802834	0.891347713427973	0.761798811800461	0.919109514643956	0.737871297925596
"SAMPLE-8"	0.211719031610338	0.222116577636267	0.0970557866375612	0.257473175732964	0.243802421853225	0.177270742651854	0.119200843304972	0.070164020133192	0.154264242412111	0.201588391471827
"SAMPLE-9"	0.640801079579248	0.603492263834352	0.629552599964809	0.523545505670089	0.587821845649868	0.538685617664867	0.61115005869965	0.53629349639636	0.757705012430143	0.690626810396717
"SAMPLE-10"	0.884192155012491	0.830567908142495	0.623069075881306	0.654959977921954	0.831866281839867	0.671313144470186	0.7504338754145	0.732087773519827	0.689652005296911	0.802160300933086
"SAMPLE-11"	0.702107022042378	0.809798396096895	0.674013721798443	0.727428131095996	0.715685797269759	0.738638127377942	0.730769485221984	0.728067338294583	0.731018804532109	0.808816113334145
"SAMPLE-12"	0.0996399811409605	0.10343799845572	0.106288352057674	0.120851671319752	0.154312293812476	0.112756734515119	0.184506974085958	0.130770060546559	0.121209112317807	0.165940824953315
"SAMPLE-13"	0.686290848309848	0.72405560432206	0.662814506395841	0.678396880489576	0.827996935965036	0.766642978507552	0.671318850007794	0.823992219190297	0.793743807063914	0.730587249089462
"SAMPLE-14"	0.0833315539671209	0.0504990734478292	0.0461389033087006	0.056967565241005	0.156765258665613	0.0450511300724801	0.0911820468453281	0.0703878521084167	0.135588505129161	0.0361429586371036
"SAMPLE-15"	0.118982912673142	0.0996448726189122	0.0969288375270681	0.093064817973802	0.120866798385738	0.055553792817902	0.124654862092798	0.079315512181784	0.111594309947153	0.0962989615858394
"SAMPLE-16"	0.942195226261081	0.859390378032198	0.93409777253828	0.916133290555414	0.889987031815056	0.939352207418455	0.904100631368914	0.973791293388692	0.913737251143435	0.919504787422001
"SAMPLE-17"	0.767662895124246	0.678238538455635	0.644900169078209	0.714133594688801	0.643255784781751	0.699751575358511	0.662230775895765	0.616621710321802	0.685739233190673	0.588976128408059
"SAMPLE-18"	0.36671008372783	0.327769004588098	0.556157151175439	0.34701656860128	0.351895152770132	0.358925174185005	0.372821694128958	0.409477193148394	0.408912823191184	0.363876280420486
"SAMPLE-19"	0.749012163300303	0.718225923252768	0.805727974817337	0.815739935147018	0.789330138316263	0.763416395181899	0.799070563116533	0.768233603315311	0.668508615949504	0.776275353976147
"SAMPLE-20"	0.642873251324523	0.678991794921667	0.629911228856463	0.691920686359537	0.732889500698248	0.625982293880965	0.650881959860115	0.616298745451064	0.650971584561799	0.64499472288537
"SAMPLE-21"	0.189510113042412	0.18304712906982	0.216271548854701	0.178494423337444	0.185759871174013	0.210286037947474	0.20040838132315	0.15509133559142	0.238957794003534	0.278770837664411
"SAMPLE-22"	0.725716058082991	0.740351274197568	0.513219123958677	0.797429619609525	0.7882142352361	0.748015148040475	0.645793294452857	0.776759775584387	0.775499585372668	0.711541354821191
"SAMPLE-23"	0.625775333503334	0.753426322173793	0.446019550271062	0.529115833637168	0.608953620995718	0.670514743267714	0.66001699039359	0.518564962901678	0.463611481259009	0.518995919530514
"SAMPLE-24"	0.175429772148018	0.125852548118264	0.124829536859135	0.135298521635767	0.161291807549399	0.111130423369305	0.106692678125927	0.162573544190029	0.114450375955922	0.097468252933143
"SAMPLE-25"	0.680074083727572	0.682042700205331	0.720115637596744	0.625176011717386	0.643585197996917	0.652911327691179	0.649413619083448	0.653881524598423	0.661317150444134	0.649644408768342
"SAMPLE-26"	0.842262931521501	0.876162024789905	0.797146039088784	0.809441023565589	0.817652799895649	0.883916550515897	0.802941924552191	0.883883277733797	0.868776045091082	0.805081213696404
"SAMPLE-27"	0.779487718660775	0.796443426869996	0.786833643551363	0.807826556595902	0.749739072451155	0.800448152600965	0.795506998802107	0.743088476514886	0.789690395418581	0.77953374821302
"SAMPLE-28"	0.743589391980046	0.656291113597647	0.649085445620383	0.7192991260311	0.697995202555738	0.729357907248716	0.613590223445587	0.655444339864799	0.675518960246741	0.731918372957262
"SAMPLE-29"	0.672018973137465	0.699749084764015	0.653887298040014	0.698235523327486	0.681246555278496	0.771477901847454	0.748178334544443	0.692296285999957	0.735992301217379	0.586355063062249
"SAMPLE-30"	0.174203606383793	0.138664439217023	0.478947959533677	0.42320921027837	0.395195967159752	0.330109149736458	0.250404401281414	0.355089547413443	0.191891856210181	0.353121768831311
"SAMPLE-31"	0.379411901945768	0.345616452181932	0.50238522451126	0.282964990398649	0.329076460261348	0.191919646833924	0.159048396371777	0.425139073742411	0.294701680796826	0.341124950414094
"SAMPLE-32"	0.767428802038587	0.848759474513221	0.665665991657741	0.703491232418733	0.879595072852235	0.660749905937977	0.813197033862596	0.800968008135536	0.717064842022565	0.735261916138642
