"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SRR5865065"	0.996489247063486	0.988958812644691	0.991956940695335	0.997442818469576	0.996569683049725	0.990952093746227	0.994905200801225	0.982858782687839	0.966650432144846	0.994090424128724
"SRR5865066"	0.813725792406677	0.969860900614125	0.770283680360574	0.882116200974747	0.862724389881362	0.788581705349322	0.591382144240061	0.716729098968616	0.738609993870573	0.899696522531281
"SRR5865067"	0.0956932357464576	0.0580262742542174	0.0741002724131693	0.10104046594278	0.117118168721598	0.0949436174119119	0.101364243354928	0.0921783495936539	0.203908840524577	0.0292092117540106
"SRR5865068"	0.937740780669137	0.947706648815001	0.974541674284297	0.954860748509524	0.985447678301338	0.938242469060917	0.966554789382589	0.942479573778552	0.97195775235348	0.988175126606143
"SRR5865069"	0.293920328117888	0.106987333783147	0.471583073359485	0.240920998036023	0.185477395534077	0.27937847263633	0.24069746063343	0.721736373795237	0.642367398610518	0.395728919264399
"SRR5865070"	0.105323100934214	0.0882581512403438	0.0865976698823634	0.165878989854103	0.0810088904550742	0.0589061230919043	0.174541779248996	0.130540845229388	0.33338119241409	0.0431223604710781
"SRR5865071"	0.879723180813826	0.733931098829433	0.7052808673859	0.965515615243648	0.656085846732466	0.565459639697715	0.675694944537397	0.588490802529274	0.799320001172141	0.749363822414291
"SRR5865072"	0.13737367678165	0.284007046564552	0.389732566170768	0.271771382895356	0.190688251102631	0.20048143535156	0.127285379447832	0.220855971876792	0.349263775279785	0.148507929567116
"SRR5865073"	0.30309631715624	0.129990953340513	0.0803932443064669	0.175132581440882	0.245235962166841	0.135540132346411	0.196015631778221	0.395543903260201	0.214338732931462	0.194233175273635
"SRR5865074"	0.890630567077848	0.935629528762474	0.9421761643472	0.946761022248753	0.906084109589977	0.894423172558047	0.912455078300612	0.925616895821367	0.962062829355742	0.952659893860366
"SRR5865075"	0.529918171675515	0.522309555243485	0.627500845858123	0.384550816885696	0.615186649386529	0.459834118753768	0.52724734339085	0.338214162699293	0.351075987738892	0.365152909572767
"SRR5865077"	0.0815841645805863	0.130545656555847	0.23943855308639	0.113402923095934	0.302411333723937	0.350766985733936	0.331420649033269	0.459906492043091	0.220142807547582	0.121131531691785
"SRR5865085"	0.798048711910737	0.864206483677914	0.80607658894229	0.80807427543586	0.893949760606655	0.83263934671223	0.851928257434084	0.926259799871614	0.776124380130121	0.807413645068109
"SRR5865086"	0.902118512844541	0.965221289677499	0.907268995682837	0.928509278800155	0.886192738837687	0.914397686676124	0.951669260738375	0.926950004452327	0.943771075480568	0.949040554187661
"SRR5865087"	0.231490988823544	0.264234572698415	0.359533213118967	0.500080478404868	0.377057790307406	0.299552631377734	0.300807592877843	0.516669649999939	0.298966993668777	0.462458916352218
"SRR5865096"	0.992370491934484	0.997640609578102	0.995341360391025	0.996519054493314	0.986380120474444	0.995269731137026	0.993714468047037	0.989811164131801	0.987943577962336	0.99096534696101
"SRR5865097"	0.974805852345693	0.896039461257737	0.911187348650971	0.975286894368606	0.918784631347858	0.97297896639406	0.939709994935198	0.91960611336096	0.91187531641477	0.974121402849209
"SRR5865098"	0.959707159065354	0.957278535097919	0.986435560279121	0.954228311431607	0.984055203724901	0.961035287482887	0.987690247339627	0.931982786623998	0.932245346416514	0.948648969131034
"SRR5865110"	0.0506676487781045	0.0872162838932479	0.0223177981584289	0.107897693867019	0.354931121807442	0.0820871356433432	0.186540768805048	0.193955280887639	0.0618018625848921	0.0346770870983726
"SRR5865111"	0.269505053729365	0.118006983805759	0.261132272090771	0.272461231734108	0.508523225027315	0.139714952566885	0.297909611858632	0.619569461508855	0.259422025869653	0.260068611857803
"SRR5865112"	0.969266705130272	0.985670475951257	0.984166172655029	0.956850326644121	0.965439562198252	0.975188622561103	0.957785255034788	0.994060869276157	0.949188659672408	0.991571735905444
"SRR5865114"	0.1158660780225	0.0843857161328375	0.129086397502467	0.296792149742156	0.436127021915504	0.127383920899748	0.213061097608438	0.507615124850141	0.219274432281872	0.131357837463405
"SRR5865115"	0.737259157822625	0.921345012222113	0.667475784693322	0.889814453273633	0.678055822406194	0.815374593227768	0.684222166280414	0.702252889069802	0.830247814672971	0.804765804578011
"SRR5865116"	0.982410720267933	0.972108622559289	0.973604616080725	0.969150908538332	0.994356587199736	0.995575493208337	0.960506777388582	0.996662434997865	0.994444220125866	0.996271670502277
"SRR5865120"	0.0854326133314077	0.191850833444237	0.0620752249187649	0.124267534017615	0.188388496762032	0.0746457775783902	0.125983677529945	0.139106569114496	0.112586635846098	0.0652013841778152
"SRR5865121"	0.557254675466304	0.366333624009737	0.164386262448291	0.395277082478157	0.332863595645509	0.267570231229964	0.482934655660525	0.304689268770348	0.358651115550213	0.365058326585672
"SRR5865122"	0.847554200242396	0.916958406442564	0.8148229511762	0.85097853500197	0.814928623850306	0.902219186094516	0.81323399277927	0.807667853895559	0.954180658167896	0.953010102859468
"SRR5865123"	0.743146142338818	0.914665673320352	0.811554701952524	0.862556953799109	0.785805516508388	0.752918824316466	0.792604137366066	0.801612024305689	0.849452393536428	0.783162710041554
"SRR5865124"	0.17838661814955	0.091875644849995	0.136693390000516	0.163124459182075	0.28361885934127	0.283977841020464	0.199828172119442	0.176592880384083	0.0867708911594069	0.0940867127885361
"SRR5865125"	0.938954034173118	0.866202355732198	0.862801880011978	0.921812184934325	0.850469097345574	0.948345329810196	0.928591013773797	0.933364056062133	0.853398862095164	0.900776952782728
"SRR5865126"	0.705630680561339	0.953682150835555	0.867689854259844	0.831302557208298	0.855378493511759	0.761267411234096	0.892505390202379	0.669606165346314	0.530933211634902	0.884958543682538
"SRR5865127"	0.547558101123544	0.396836495089423	0.351117639262869	0.492952553803445	0.526165521361954	0.578770225714363	0.711841060762683	0.5748599040319	0.336129652066308	0.477026655624431
"SRR5865128"	0.287057759098066	0.0505415336775517	0.300842366333934	0.117495079551699	0.0470557525118386	0.081438697025968	0.326960961068028	0.136132179560186	0.118571711089287	0.0939943132728468
"SRR5865129"	0.0775812956713708	0.124466640428947	0.133544055573282	0.229903925060354	0.228431094750068	0.378596713837125	0.562184582967531	0.215471299366494	0.105418465400842	0.197576220711101
"SRR5865130"	0.320306773514388	0.616848684131915	0.395174604433061	0.455778520697549	0.304060088274446	0.351563707095993	0.469139014613757	0.550952193952998	0.304900142790085	0.39486784450603
"SRR5865078"	0.666761658028456	0.830933305567255	0.824580239195253	0.769159549544816	0.725795059799149	0.893360783748778	0.701439094387662	0.669954984734779	0.87828545916084	0.768855407003163
"SRR5865079"	0.962501087995581	0.904174697557294	0.919971072637853	0.927206222112809	0.902826907142395	0.893947149764074	0.80067848206565	0.807704445016392	0.971089941520631	0.967359411127649
