"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-1"	0.951715380161568	0.860105815259169	0.9132224007058	0.940186190041845	0.893162044138051	0.77025409079713	0.908100253306937	0.944848623475484	0.913826023335222	0.94586221756364
"SAMPLE-2"	0.0764745637653843	0.120271670150059	0.129756574173092	0.0577792702240947	0.0484511179484504	0.117842479186274	0.190601235515842	0.146197485794461	0.119085062052875	0.0747002742425214
"SAMPLE-3"	0.972013810574004	0.962145768474726	0.964447207170777	0.980042451897128	0.959050897390996	0.946262191343366	0.96242482188424	0.985821929199109	0.976291754140243	0.978073811889339
"SAMPLE-4"	0.920224436168097	0.733963507305626	0.923955567926675	0.950834067834035	0.88123406082971	0.945122123017384	0.872528410335099	0.907276361883252	0.947916156792467	0.927952648320096
"SAMPLE-5"	0.0828184411174974	0.105828936839755	0.085385905571403	0.222973464451643	0.267052034519089	0.229552740131674	0.23720696906942	0.0817547235633649	0.147986283799396	0.161735914752506
"SAMPLE-6"	0.432264094479255	0.355726377023186	0.607552173265622	0.304412117553437	0.423660435173197	0.551903618120635	0.410798327815923	0.502935771646335	0.587455115842833	0.363268718358099
"SAMPLE-7"	0.973428458694677	0.978160513447464	0.96864073797498	0.978935388714625	0.968819500842644	0.971611690097408	0.950735120951935	0.972801876026872	0.959442443321983	0.974620768013378
"SAMPLE-8"	0.175910260416965	0.213429443233987	0.200939751511953	0.200143765649871	0.11594746998407	0.154154831683171	0.160111548303887	0.152099847112674	0.133591186578674	0.403400349813801
"SAMPLE-9"	0.868487570531858	0.617384326574015	0.740669129335691	0.830561393896128	0.577371381426078	0.822867536225925	0.597411713354246	0.622430771626003	0.709565916063522	0.843582842058876
"SAMPLE-10"	0.978973619744939	0.931611086741172	0.963890323034006	0.938966368809554	0.882844560552304	0.942086624900425	0.903291420699962	0.92530336717382	0.969267039612317	0.924084798958965
"SAMPLE-11"	0.899931073181121	0.960532164324418	0.928037092384091	0.974684573063663	0.95257075561285	0.949532543476033	0.982478278981625	0.949808359581615	0.9571600615127	0.88478314166104
"SAMPLE-12"	0.0549297633908265	0.0249949814251041	0.0223645222894824	0.0367408830269072	0.0474250263188322	0.0778375457312999	0.0630500490762319	0.065369015970965	0.0711830259585344	0.0496765092529361
"SAMPLE-13"	0.901823845609319	0.9131146937583	0.930376953027228	0.918957581999195	0.973396583760983	0.903177483282486	0.863583973698437	0.797478717170876	0.933520703456887	0.839946987780816
"SAMPLE-14"	0.0324153895950064	0.0301174400481964	0.039948527865923	0.0220442686838994	0.0190485328375803	0.0250219691416689	0.0396587671311666	0.0291015005593451	0.0528154454972193	0.0309853598457941
"SAMPLE-15"	0.0882829703983745	0.0494893215167701	0.0947392535457671	0.036117173860856	0.0453722723259834	0.0927949310874154	0.0582869652989736	0.145218303334784	0.0345528085864858	0.0199761814233305
"SAMPLE-16"	0.995676929530485	0.995868969279252	0.990838317802282	0.997740825580293	0.996799072374281	0.99908427561958	0.993597849355213	0.998060969897122	0.998530525151498	0.996323981995168
"SAMPLE-17"	0.989746113397349	0.968263855644835	0.949910628360423	0.974772533895505	0.984866870968762	0.990520825781944	0.979460415465339	0.973190332321512	0.974627958896991	0.968950683904264
"SAMPLE-18"	0.291796070406287	0.27870845076264	0.241541551447402	0.384863886905743	0.284759592266874	0.386898532183301	0.180736146529721	0.331889090857126	0.186132194833452	0.219711402314351
"SAMPLE-19"	0.935039945603817	0.989082175920371	0.962069995350087	0.91922377012224	0.965102584463557	0.909076085893958	0.86077187934276	0.949670416074381	0.916593225443048	0.975091734972825
"SAMPLE-20"	0.843348087995521	0.947355653948977	0.825591021203535	0.965600304860983	0.778806953403863	0.800323160791045	0.953209381105726	0.704187260803651	0.902916832551227	0.727586822018656
"SAMPLE-21"	0.165998389597329	0.133630274556623	0.143947664876895	0.12034734490272	0.205238162446904	0.26031181918162	0.0617733342865018	0.0475085782610809	0.105125335766516	0.124349736724543
"SAMPLE-22"	0.921259597827149	0.954554347795932	0.929480318967434	0.903249881905788	0.85333615272934	0.909394031922163	0.980843857078453	0.913479439196413	0.913138523755527	0.958483930891245
"SAMPLE-23"	0.361561056980069	0.370065638710896	0.262106587250552	0.257316387966745	0.209929119415216	0.313697362449168	0.499665809568529	0.347651452348188	0.33450030075674	0.157688922892985
"SAMPLE-24"	0.00960262447516544	0.00807802457471024	0.017875532389008	0.0144445762936497	0.00960578905284991	0.00931187761576552	0.00676622210641177	0.0120250180828553	0.0285471366882958	0.00918940817851305
"SAMPLE-25"	0.0984747459570849	0.0827270709626473	0.221313318876257	0.0926396447077707	0.221573859639915	0.0974801925710231	0.0686555848079207	0.142000346263778	0.320567632769415	0.127116265621805
"SAMPLE-26"	0.949588191402535	0.937488151637328	0.88420907949265	0.921487193726472	0.830035946616368	0.920497627524865	0.905181999171696	0.876048330948473	0.956269108754939	0.929295659427147
"SAMPLE-27"	0.68549979189864	0.924434782839867	0.91015092414626	0.692886247635899	0.839323044651595	0.651132636688773	0.886385097589348	0.906398491930972	0.863875936201637	0.872686206455678
"SAMPLE-28"	0.905779002977087	0.860822956935642	0.736447527150629	0.766727792811845	0.803855136934581	0.712119069623209	0.676789210439451	0.81025535082021	0.833260832751198	0.701554516387333
"SAMPLE-29"	0.0585675539690158	0.058113081336956	0.108693863429137	0.477592505820111	0.0971498203212216	0.0679029237723939	0.042395896862619	0.0614674708858976	0.161738558452641	0.12956577290216
"SAMPLE-30"	0.204551730306833	0.104793592319654	0.196745614180511	0.411350480855156	0.185378080055891	0.217284390600679	0.340751545030207	0.274785226508038	0.190922881307044	0.408642268173532
"SAMPLE-31"	0.0727835655979015	0.0531677836946884	0.229002527973059	0.199887893352574	0.36984987108137	0.41919995851492	0.457398038505806	0.25328470308542	0.549952457247551	0.219743782446303
"SAMPLE-32"	0.943259349622743	0.933703788409721	0.942246883410764	0.941181834826931	0.944556796413844	0.975746332266834	0.912468079935353	0.987669914089798	0.934023138680111	0.97690201120764
"SAMPLE-33"	0.0830633669905662	0.0990181816984485	0.118218928684563	0.11750840695712	0.0896701185765938	0.0754563943075756	0.0795881762910009	0.098751643621895	0.0888946492873618	0.110847159171897
"SAMPLE-34"	0.154119569020716	0.16267172604236	0.0675876442135345	0.0496954259546486	0.0363269780016967	0.111258342690589	0.048389813943036	0.0510313767871057	0.0509722148590069	0.154615114951436
"SAMPLE-35"	0.934546796032259	0.894765853693164	0.953444398676286	0.906636011065095	0.982685049257966	0.984302851348212	0.994513130177279	0.946466781908574	0.960801554012298	0.887714146946591
"SAMPLE-36"	0.041573369619383	0.0634752846786982	0.0591449534100172	0.0734911605242181	0.0716279213472657	0.0739797224701908	0.0593656961405156	0.0655590623090981	0.0544018965517955	0.0669470652849686
"SAMPLE-37"	0.163309087109777	0.0922637681100037	0.123522803842345	0.163303345179979	0.0488459639303727	0.0902932924805691	0.0841787320032237	0.0684399503204556	0.0837702804054486	0.53468264879425
"SAMPLE-38"	0.647930707974963	0.448065869272869	0.218807939061476	0.620966425206303	0.318409251234542	0.301818692856466	0.639286799176719	0.282119334398363	0.719012522581133	0.381574334056582
"SAMPLE-39"	0.947855787435067	0.975967797474695	0.901745595383518	0.938570607811116	0.981890980567203	0.95953721050011	0.983457305193745	0.951617508143535	0.970852405189003	0.95912484913941
"SAMPLE-40"	0.0733803637889604	0.075461899406479	0.10720707460999	0.0668142304406533	0.104275108113077	0.11201544145105	0.0394114422832286	0.0345668631574747	0.0831594818197321	0.0631945386087457
"SAMPLE-41"	0.00270688850564096	0.00336738454699153	0.00879256558625309	0.00405454204089213	0.0129656468278814	0.0163981911806247	0.0106989902677169	0.0227062694714797	0.018460693502894	0.00658410215782512
"SAMPLE-42"	0.665062700442057	0.502942016209543	0.554833251848369	0.572189340815561	0.563869479653984	0.426649826235419	0.62480434949375	0.597846897311478	0.468515740518169	0.750890202286138
"SAMPLE-43"	0.122660057785138	0.09158506965829	0.0967423568055671	0.127338252955879	0.0914128499422177	0.105841206879134	0.0867634752443022	0.12397786405385	0.0951521033788349	0.13221901752571
"SAMPLE-44"	0.986103965625941	0.991451402715145	0.977250756008153	0.997550892966259	0.99059788024341	0.980538394863168	0.980742237278671	0.98479582073028	0.989655285345895	0.997958491846805
"SAMPLE-45"	0.622448369995328	0.587098528213643	0.396914891982254	0.533740185716652	0.533829192965453	0.555334800480859	0.392782234359933	0.582808483915638	0.524287915917251	0.565700903652156
"SAMPLE-46"	0.320261066454058	0.230731671355783	0.619877912956723	0.55925065547775	0.262714677142617	0.286572906106533	0.323564336959751	0.190665273986403	0.334553563650612	0.25182956591037
"SAMPLE-47"	0.0776832623733825	0.0511910368165903	0.122566755404195	0.43047160980984	0.0950384557412827	0.549103499849227	0.0912995163365008	0.0494523855050624	0.125245291409465	0.146770889337004
"SAMPLE-48"	0.825922772969112	0.911020812417961	0.779165651509551	0.926532521402766	0.886354585346721	0.868789031072145	0.745308102648554	0.949031434564355	0.800591853990154	0.890240743661686
"SAMPLE-49"	0.0909012358865781	0.158912190832536	0.17118070524824	0.120285728484029	0.167771583098594	0.246135969184843	0.118788505522564	0.143348158673912	0.172164333854439	0.246078746138214
"SAMPLE-50"	0.915046559115241	0.839975906314334	0.893287018961572	0.941320476258067	0.898028739953158	0.829297462451061	0.905357671287242	0.916758181158942	0.899801806672788	0.85193527427864
"SAMPLE-51"	0.959180028651727	0.979615520035043	0.91202695065881	0.999182736433653	0.983292927098372	0.966855636493669	0.931254046838862	0.926399720356508	0.985586924095841	0.990187632275466
"SAMPLE-52"	0.084325356270532	0.185552866274254	0.157590512964871	0.0984432745770866	0.138861986275629	0.125479465897744	0.116691177185854	0.108096150850112	0.141723810425506	0.149419771429369
"SAMPLE-53"	0.748594091903497	0.782189453126964	0.578470712028173	0.807570472642989	0.518566949879223	0.605653165450567	0.846086473750931	0.728720671497519	0.801304179194946	0.774700099984977
"SAMPLE-54"	0.0803730298515646	0.0734557316846799	0.054844778020922	0.0410950314733198	0.0692146368532237	0.0518484266068161	0.0867129425637442	0.0416130492723484	0.102380821205158	0.0794581656921217
"SAMPLE-55"	0.0335974613590191	0.0121894298968323	0.00523590752899843	0.00110319489439674	0.027765777331322	0.025373080454005	0.00895834876318492	0.00377001783479108	0.00144529832256258	0.00946829422657231
"SAMPLE-56"	0.997574659934135	0.998464048338392	0.989999220080638	0.990500659379048	0.997473676542506	0.998236773760728	0.997718462536843	0.999336861792104	0.999421318880411	0.996398940428938
"SAMPLE-57"	0.058361021222222	0.149222513962359	0.238933179738267	0.0761085809385073	0.271823120322755	0.132304474541765	0.19951809080266	0.0942567066543527	0.112094869280379	0.152291669861357
"SAMPLE-58"	0.969063887893872	0.948124600655253	0.97396952677079	0.980359822923349	0.990987886227268	0.963993677752137	0.970660636580234	0.962926473665245	0.96567881470693	0.971931409046879
"SAMPLE-59"	0.0538231771530632	0.0414438350994612	0.201952637063262	0.0533394356495482	0.155496722817751	0.27968702775271	0.0897710996081715	0.0651311539416968	0.096098156574933	0.140442348575122
"SAMPLE-60"	0.0189767754019871	0.02159224651441	0.026178597083401	0.018756489619994	0.0133359368508382	0.0209352063136877	0.0106751390191984	0.0113059483756848	0.0205655202808369	0.0115598405034586
"SAMPLE-61"	0.701566919221455	0.889043827205083	0.882178257983235	0.952217984206261	0.803138364291768	0.937171974490065	0.840259289764261	0.883068956898151	0.766588945085148	0.894472104086362
"SRR5865065"	0.995371785800316	0.99530861353562	0.988897082512237	0.995421544276661	0.994125915103248	0.989710213303646	0.991971882487111	0.996191070442413	0.993827341735451	0.995190570447921
"SRR5865066"	0.933697681155524	0.792499058788256	0.734440525113422	0.974803607678563	0.792834260923277	0.92805311225236	0.834566232404758	0.839560487293913	0.810802976494867	0.861123434676952
"SRR5865067"	0.0247794672068588	0.022453753809302	0.0287121289965884	0.0413439430529518	0.0390962889858277	0.0193016548794969	0.0423999389344936	0.0237039185189411	0.0287930303562413	0.0265422734062965
"SRR5865068"	0.980700744483869	0.977214501975426	0.978314113940403	0.97718631416999	0.975478734464638	0.986253693357291	0.988132125484336	0.993145435333636	0.982592687303118	0.974677805601342
"SRR5865069"	0.35659681907829	0.529314760240905	0.341933431190376	0.363172907788857	0.414175081325416	0.488123267166901	0.430621625666114	0.488168787136388	0.460848731503672	0.585893320873294
"SRR5865070"	0.150420930398285	0.2684294236643	0.15371615185788	0.192706517677971	0.149145550771498	0.195859171016531	0.241149117845364	0.21285926273075	0.215584378358099	0.120505068638145
"SRR5865071"	0.94440743650313	0.783078646010495	0.963089699374478	0.987798913361846	0.939218909540196	0.945938598956856	0.96281080413156	0.947997550283426	0.911783925253257	0.864265409798994
"SRR5865072"	0.142287917016309	0.141752105127926	0.299106684804439	0.355840162144444	0.261067644499272	0.294761656089741	0.22494187256585	0.257933388189011	0.391796448131527	0.39819376483149
"SRR5865073"	0.119845747993284	0.115338997044999	0.175793043714005	0.265813093342074	0.253294620113269	0.112285765448945	0.340941436866543	0.176411283254264	0.187823592516882	0.294714325320252
"SRR5865074"	0.955270160301225	0.915797672347969	0.923760060874594	0.958266195249742	0.948710812853633	0.912083233508445	0.940611930273715	0.945423124920029	0.968480912652161	0.95739611463107
"SRR5865075"	0.839180323867933	0.804787561204777	0.616247406669273	0.560696163698607	0.415200388994047	0.651662601037498	0.709347205384646	0.539842382124513	0.810128499730214	0.583187531129408
"SRR5865077"	0.268519276381788	0.257910856536674	0.18200091757482	0.217506524003661	0.279374496674278	0.176820611318748	0.244790557486749	0.278733136354758	0.206533598142439	0.259237731378436
"SRR5865085"	0.830449852441136	0.859513239085777	0.804720993094054	0.824219492518177	0.798709836623574	0.86398180881339	0.754373067746174	0.845183344845034	0.799355389974818	0.825755471142106
"SRR5865086"	0.945124032491934	0.956201710152467	0.934508581459083	0.893760519960323	0.950913462891747	0.934806510644315	0.955466339461443	0.951007748507939	0.948915119474927	0.947128994139462
"SRR5865087"	0.543005989206342	0.539456236217146	0.709740520124537	0.490621380594481	0.563303844219432	0.448957942557928	0.416837798586414	0.647007761247087	0.522942518936095	0.750235524831429
"SRR5865096"	0.988244734853946	0.984694937769822	0.988122162941578	0.993965426722201	0.992623766969165	0.991955668865912	0.992346815173243	0.98946584946002	0.983408924308146	0.995475723929992
"SRR5865097"	0.954588345253133	0.974389159597167	0.952660989909722	0.934783236875147	0.918941715568009	0.963649306038537	0.919251660797812	0.926689438650062	0.962802181079385	0.968659775253568
"SRR5865098"	0.985608416719825	0.974946995545153	0.971954649178144	0.958158575898223	0.945247514845553	0.892889035546227	0.988750362103054	0.981819883503389	0.988468360316629	0.945599175153498
"SRR5865110"	0.022504741512153	0.0682415291258352	0.0506788745410553	0.0300732799811227	0.0487776966307476	0.0589950909744738	0.0401322830931537	0.0285953542403503	0.0488655306908134	0.0252483053659387
"SRR5865111"	0.262961413946418	0.201731159995397	0.258437451379887	0.16018184214548	0.321270414416716	0.176659326554017	0.336634285381176	0.0922877212744168	0.298203681474091	0.168922055246851
"SRR5865112"	0.986611778286218	0.996646410977474	0.993152253356414	0.990345276790516	0.991506156645514	0.989365719759129	0.988276431607896	0.99752275462857	0.997710538318967	0.983713361500239
"SRR5865114"	0.147804237124445	0.13343189729575	0.187513249831311	0.275940382691516	0.309541170202826	0.0811888918411923	0.169947105405685	0.363085319741798	0.219398513346673	0.239633982205878
"SRR5865115"	0.628708015876977	0.739114392501237	0.789736567049555	0.438438160950333	0.778407252558136	0.856259124711802	0.535414589879541	0.492198406916046	0.746248073675107	0.464658323001272
"SRR5865116"	0.995844161955664	0.997746686206771	0.987419332523996	0.997424404977073	0.992639071035031	0.997283470620444	0.998253791774387	0.998124228113606	0.989745096143415	0.994157440558331
"SRR5865120"	0.107036385140759	0.0287610712215036	0.0223671958888655	0.034982074950858	0.0920673684485207	0.0932920810527285	0.0494264124655539	0.077330127498534	0.0376919780375516	0.0489532588817221
"SRR5865121"	0.0705103496300173	0.0988988053879944	0.0635417429401367	0.0304222358668356	0.0967556207067543	0.0520231802764078	0.0504408051523505	0.0384422272634879	0.0615365467558265	0.050003478653073
"SRR5865122"	0.886630651196329	0.819471505874505	0.944784547696026	0.96623441095221	0.957628599885009	0.84219749824741	0.901211652179608	0.905383515168221	0.937867665578434	0.855013607527487
"SRR5865123"	0.751324323936308	0.672080697882205	0.603055773835279	0.714637356955538	0.55848518738235	0.61777793278519	0.60614421595791	0.746310657310846	0.734892723696806	0.579480571887281
"SRR5865124"	0.400396050686358	0.149942919135898	0.166750878315554	0.0951089852811163	0.199947736839201	0.124560804660242	0.107771537457706	0.270479953695204	0.515162073268603	0.0855737295283265
"SRR5865125"	0.7921187262594	0.752977921760965	0.937910804167323	0.74156525559691	0.842637797967915	0.861857676232067	0.714180861192115	0.751192730610383	0.790060011619651	0.870656067580768
"SRR5865126"	0.675450394928815	0.633152659906624	0.850726390601907	0.633913466256841	0.803825045142667	0.741133773128278	0.642467712969728	0.743545702566686	0.636779814344353	0.7696516245095
"SRR5865127"	0.83033479674615	0.772772291901829	0.939000906524291	0.873092725766229	0.68154975636211	0.84462440397121	0.668198238965911	0.826357513495128	0.892743283022306	0.922072843672969
"SRR5865128"	0.0254114664721081	0.0237937252437223	0.0376511407295116	0.061194506884715	0.0491356135668561	0.0822205043822869	0.0223152564538413	0.0491924003425645	0.0339925451388057	0.0330855595589931
"SRR5865129"	0.166114268457127	0.272778085532267	0.228311604541687	0.319334181843749	0.228621188646877	0.162357310064064	0.19372414944862	0.353434986036723	0.272067064931846	0.373610160832134
"SRR5865130"	0.0895982124757318	0.18707225863622	0.157077198582492	0.207215483390696	0.171111670454431	0.254570501565348	0.19389486761661	0.100404396339563	0.0658707247657543	0.388852772258621
"SRR5865078"	0.825542576024433	0.701043874476483	0.804475302381694	0.761835261514374	0.825437101147303	0.692441883919547	0.755921340408811	0.809320183382878	0.875771470629272	0.846496592897869
"SRR5865079"	0.901291899798791	0.889622196807286	0.815733372522101	0.923876964291638	0.771725153069423	0.818523319649623	0.838582465769949	0.753574433811157	0.779297178384996	0.736345887775939
"SRR5865080"	0.290566096810842	0.148448527757758	0.372194009957701	0.241252747159663	0.146579151576634	0.273540190779704	0.242705050842916	0.248846708104423	0.355549922335582	0.165096015195124
"SRR5865081"	0.0157225253878583	0.00743555836994478	0.0196063367146125	0.0151316907127653	0.0202847932542005	0.0182339577660992	0.0233007302904526	0.0393938142641967	0.0350077035622653	0.0244403128733007
"SRR5865082"	0.992028622462262	0.98317936174138	0.989686249237463	0.99594188602894	0.982636722828817	0.987641732862041	0.98143733128641	0.988574364162232	0.993479261004203	0.994686672989461
"SRR5865083"	0.79112948596142	0.9132558675127	0.73689028432942	0.765481113361284	0.68952915736214	0.894569405357934	0.865110997970071	0.718653106198352	0.709855536710998	0.700839415152183
"SRR5865084"	0.650990713056539	0.616639110993902	0.657897730532298	0.712704916703293	0.627620442878759	0.630896393979918	0.65229887562723	0.540594440912119	0.361205983998748	0.171575391534641
"SRR5865088"	0.579853185509967	0.646823043755353	0.741723750557383	0.624247438014793	0.592607428120644	0.685769030406462	0.647091204583715	0.648276230173897	0.701646649153828	0.633183419899835
"SRR5865090"	0.899299893963112	0.798154487741743	0.909936776787077	0.907369621904973	0.943774516721833	0.868024621385403	0.854921757697939	0.913277122503013	0.880761052963258	0.896704435269841
