"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"ERR1624539"	0.00562190867590271	0.0302705371054504	0.16935487165858	0.0968072978263805	0.142235089848359	0.162671006773054	0.0308053910973226	0.0143734141096311	0.0588454740596713	0.0624668727489817	0.0144108726201786	0.0263733403450166	0.261804425059425	0.124132028701197	0.0436971135236779	0.0080346494055206	0.0862255674369822	0.033997323035408	0.0446198146897831	0.0180205204812343	0.0816692514835188	0.0566000529968389	0.00865364879356147	0.221325471827626	0.018940407967238	0.0328675220809878	0.12997953972741	0.005431374657665	0.0960749707581572	0.00684633021831565	0.0485235370197084	0.025207060092485	0.0298340750554312	0.00639585401151975	0.0953278103291492	0.156014319310563	0.00528116625961879	0.03057874602871	0.00634742249946164	0.0128029363484437	0.0251991643692344	0.0347729473559507	0.00680581381028884	0.0528015101797689	0.083426343995634	0.118717751553027	0.0292983548861867	0.0133798886135048	0.173148800272585	0.00539431439297656	0.055630722250535	0.0428961770865607	0.0238731107531693	0.010354389243002	0.00100891933761886	0.0194329559775353	0.0289690508654154	0.175882600178018	0.0174489256776867	0.0552026164722391	0.0112222842332578	0.0497674067938993	0.00848768522581564	0.015443233822667	0.026383360687133	0.00499356485291205	0.0265068745033062	0.0240209349652238	0.0220163533083805	0.0618308737227015	0.0342326232935044	0.00262570900771425	0.0133988500029223	0.00906693552347214	0.0148352968239394	0.0225806368579999	0.0175097117872839	0.0279563283195449	0.016339719228235	0.107258847306247
"ERR1624542"	0.16642209711221	0.401451282385267	0.739234306130799	0.0584060068402939	0.723738805781325	0.203086089188825	0.0983028743662629	0.0795666612250261	0.132761269798487	0.0673660782709092	0.0539184914236799	0.107302210364667	0.33699926525537	0.176387570879699	0.180008078032997	0.106901054649018	0.31199618577726	0.0840376941763829	0.0387663503300777	0.374739240869917	0.176426013303714	0.165099316480499	0.0444586376405878	0.577654887782547	0.0566165452402489	0.407178120442307	0.11644518833933	0.271640219185396	0.0755420632133953	0.201023599138888	0.183904318443352	0.107878609769392	0.352522664152259	0.316007898724043	0.586049309101892	0.662007368442158	0.0776872136873595	0.214945052983537	0.110215887228266	0.323152911131932	0.355258390685692	0.143946129390266	0.06305096538599	0.325879764645762	0.114739048842442	0.111299694646534	0.264025671688116	0.0207415820306645	0.667597153290424	0.00863687406601056	0.160652674982831	0.0821117186297527	0.148409377396634	0.0451560970549653	0.0779204827518179	0.194798846168797	0.0405151669440878	0.537655462598125	0.19978811267444	0.295086157110688	0.103536456697292	0.605705940268511	0.0975488099856535	0.167004169543822	0.077624756671677	0.0401107936631073	0.470134607575266	0.187110024170817	0.0878254212392344	0.362598274652297	0.364697497932738	0.0715377894231816	0.0973799697005043	0.177195765045848	0.08139051536447	0.260462875876163	0.317223724148656	0.0618327402207033	0.114092043155771	0.0515679449348546
"ERR1624545"	0.983895883254176	0.940859406214158	0.994956151136814	0.996977786535032	0.998895384426071	0.972539711472516	0.991754164144331	0.051690417784576	0.997508899937528	0.993625795892836	0.945763450537047	0.999911365297654	0.99285451059318	0.98602560656367	0.997718722222873	0.996474988666796	0.994649962709648	0.238613011392231	0.980458673466223	0.982939547596494	0.97863521810854	0.972780558740136	0.500444991059	0.999318862817689	0.471608700556573	0.91812758619341	0.983485457962326	0.403012748751845	0.999644479845249	0.82574077391743	0.99942530889157	0.996175976157505	0.753284961821654	0.99030533798271	0.995140777359514	0.981442657343897	0.101929849960202	0.998521775376486	0.073371359212047	0.979552237698552	0.997155500454557	0.977796258558766	0.0120613596846036	0.975477288903977	0.9969591658771	0.989874888131152	0.995279366223634	0.922656543614308	0.978343397170083	0.927923313349814	0.476502777638575	0.067305787481273	0.996004129047562	0.587063131307563	0.033792458720352	0.989069435633601	0.969899333121139	0.98980639485536	0.999140702348618	0.987649341267172	0.878225215519621	0.818803544251125	0.962639098746471	0.0120892600135726	0.984128938067205	0.992068005087937	0.989875324893168	0.987846079958057	0.89009739102147	0.995881745281481	0.994474959871409	0.950362183684405	0.990500147401526	0.99931569171837	0.98988463789895	0.995610440699887	0.932642028795782	0.99985337942834	0.999208973279972	0.992422405762347
"ERR1624547"	0.0359272046741098	0.0259689590842088	0.537824529431651	0.254604021263868	0.0965948491032783	0.310443563669952	0.194940374677407	0.0324269187184572	0.0350218541875205	0.083938113454671	0.212557799745744	0.159697731223375	0.0734925365390601	0.0367569482888266	0.152167093902521	0.0550980991763349	0.246582649486793	0.103041185720412	0.0855208643000556	0.0599443002359694	0.171153597167882	0.213846877819018	0.0671122729728347	0.43492067127462	0.0752939204512208	0.44041345468046	0.0906968087010832	0.0120909843041944	0.0945082023836764	0.104772561185297	0.147938557806695	0.0789413985118855	0.134494053728227	0.122540965835097	0.526726136564811	0.355079506018304	0.0551509315015466	0.160689287525091	0.0631986333153447	0.0904442620478497	0.152428208960531	0.0821587714276684	0.0502083162118797	0.16277894924158	0.222851153679772	0.145497350648902	0.262917034450624	0.119567046639543	0.583557453663801	0.061626209708695	0.315390162210857	0.162438115882584	0.299491240405055	0.04367422472536	0.00881554207074767	0.0723396003432685	0.149794582836494	0.290577956841593	0.0464679075622457	0.270141943627104	0.111920168108124	0.153106040202734	0.0536077624557526	0.107787881622422	0.0296019235199826	0.0342471098690168	0.267295353193039	0.180667660578757	0.0982683812927869	0.224692146807003	0.0667183503081161	0.0281991210522369	0.0393709174768188	0.071948331350576	0.129642142771109	0.141418045240188	0.0228160417824419	0.0877602724755068	0.0984885460783049	0.163207382867186
"ERR1624549"	0.459989440484878	0.378416757478771	0.50982761916344	0.526125852110517	0.938102347575483	0.467143037529756	0.414980373257903	0.085250715741934	0.588164096591937	0.385775074569822	0.602674360958961	0.704128527323561	0.735016621899294	0.631960147303234	0.412239089148375	0.351669616641741	0.919165049247169	0.518427931415432	0.560082412559862	0.453710290390833	0.860997438760721	0.345276699440899	0.0852705179288601	0.951811093561751	0.119369075188786	0.304143661159846	0.715919874617835	0.933280685280118	0.81140464479815	0.330896654826613	0.555192210404159	0.569676462231085	0.609230037735984	0.242332845212105	0.78962540667344	0.721978964112349	0.31543707666181	0.395922538504498	0.309443253398131	0.28091315419788	0.90270958888765	0.415511543700879	0.432046459648815	0.384228146412383	0.65230881479178	0.577034378401022	0.274243082871698	0.0365410081313297	0.371658516415351	0.0179378127773452	0.130746284871111	0.127655843224017	0.231508761391348	0.303454555477312	0.443895755511131	0.236504837775107	0.16701846397541	0.802410312095236	0.632013432652461	0.837343539214884	0.231447268016145	0.34883638663409	0.390486965301838	0.443980280036945	0.443809321435045	0.445659271535033	0.684833393869526	0.632667194209849	0.465058682283403	0.633112726560492	0.447822406524387	0.870290475815589	0.505596539528849	0.375679677103708	0.373010339490659	0.627249587966919	0.402402895025973	0.789529623493072	0.513728190913424	0.683333834158629
"ERR1624550"	0.220203192366522	0.254742190309746	0.143765312504932	0.156873274463451	0.319565537875573	0.113944380108703	0.534779471082142	0.257808201711563	0.434690680634645	0.386751230807777	0.428355389239135	0.193517695698697	0.504320971552609	0.269916283289444	0.529331487956678	0.132748874794359	0.210492108474816	0.084929506883257	0.0983762674114424	0.224285013015719	0.258083194039632	0.183167493261948	0.0972260051698399	0.448010947282415	0.20826281529229	0.107978539619374	0.348484004858688	0.0462593215691466	0.223015362945837	0.204410672186607	0.399942021910488	0.326106744214903	0.573678523053377	0.182500109737982	0.318737575176838	0.460925106780047	0.285256926733124	0.414770400550628	0.0482967334593872	0.101101641068479	0.393555560417742	0.221717954829159	0.030797459705786	0.121653597082503	0.0956963755081614	0.134066128433015	0.181540648029749	0.0399416074876136	0.317691865209875	0.069308969632698	0.115584486807846	0.202292720669008	0.52352768367408	0.684207046547532	0.00921361769365169	0.2989790041125	0.124101233799084	0.476970084082793	0.324259495577275	0.10259634252628	0.3335909530801	0.174983472326352	0.0747513109996	0.160394909185994	0.119342508963254	0.436249025758891	0.237462206945768	0.308555951932014	0.276231271330039	0.274153836442518	0.189364020335785	0.0149060376894686	0.205313358819808	0.313085303194484	0.341119140460249	0.284415665632021	0.0431533106489854	0.587638938566306	0.062488091320175	0.285985397698652
"ERR1624552"	0.335565064242329	0.0622148577274923	0.374845153151554	0.0445571498463898	0.295816246743802	0.273020701671131	0.027118480431851	0.0244342311723375	0.0466974176321506	0.0269436058913821	0.110871159737698	0.22179762047608	0.0309258578040385	0.0196800843704068	0.150638873407659	0.0531082290061601	0.381760628826377	0.0884732074765009	0.0680431889783951	0.381126996877357	0.0484296086400416	0.268479026675191	0.0404043173823977	0.655238379709745	0.0721444162470503	0.32463990268181	0.290904871867942	0.195854919070199	0.00904227047512673	0.00444266269373625	0.154762690730717	0.261636827117025	0.0522286912090367	0.121521750840789	0.438671743988908	0.342583315141528	0.411478957690905	0.045550353370714	0.18436412541892	0.112537596781581	0.243504614895179	0.0990722971462793	0.107003519109569	0.294843137786227	0.113968767232841	0.0340886325664785	0.15425168294056	0.157134931477718	0.373446002649892	0.0262872251094995	0.32353278194864	0.238294254538073	0.57034976185997	0.169880675702744	0.242309572770328	0.0804010048579804	0.0160191321845712	0.377488260008479	0.750935131325873	0.396181073177564	0.35281741480319	0.138933880888728	0.198215788361438	0.468468109632543	0.0401384263068565	0.0932464109367244	0.379243752871038	0.512465000436449	0.135950420833451	0.157804310483919	0.028236952281073	0.474875238718207	0.111901288787084	0.490513495793622	0.283228933683162	0.140404246376331	0.0675411048298268	0.144904606297036	0.171485593835045	0.0925784389923846
"ERR1624553"	0.000577090003294929	8.97548716917801e-05	0.0333963612499168	0.00407123494450052	0.00062464759168419	0.00446071031249367	0.000552311674098434	0.000141110192244457	0.000139806589578354	0.000175414897541133	0.0013934177720285	7.6937931845582e-05	9.6753018164149e-05	6.45861445801645e-05	0.000115278830074534	0.000571798066170048	0.00414421167142255	0.00181873704081312	0.00226164159629972	0.0042423485235958	0.000591913099085824	0.00911860059936813	3.04477614170434e-05	0.00659814982043789	5.62502791905383e-05	0.00526720737884362	0.0010223993610119	0.000117965663792437	0.00015147823616668	7.76300681133084e-06	0.00552795110578784	0.00106018280566954	0.000104557903453824	0.001525333080961	0.0124022521330898	0.0176082197166314	0.0109199673370493	0.000215690319968364	0.000651082116992619	0.00367322595904011	0.000194324638991329	0.000388370699719526	0.00291335872788849	0.00380502866102607	0.000820698095099192	0.000309164337519686	0.00064441632461472	0.000649169734912438	0.00847378825084955	1.78400463463712e-05	0.00996408118062199	0.00136017333697556	0.00460925022834796	8.40742911139962e-05	0.00134053483963548	0.000581425608865449	7.58364770069968e-05	0.00880228129985511	0.000748644396331604	0.00735771812083298	0.00395432949246734	0.000368347689008568	0.000434604233051747	0.00145234202970781	0.000144256709035937	0.000206665617315794	0.00250638785779784	0.00222634638381576	0.00121458004187693	0.000748746712360311	5.85534258815711e-05	0.00108858155872861	0.000135631386836974	0.00383646225772429	0.00520135716840747	0.000518644171383416	0.000150294071566224	7.92704565526322e-05	0.000803274921467525	0.00101374640904833
"ERR1624554"	0.0623275198136725	0.0297244348341996	0.708814671618017	0.346296910396378	0.116349800175959	0.127730779015861	0.0639177599425674	0.0034970323005682	0.02504715867064	0.0414713282395999	0.0476127200919983	0.0223995470438234	0.112718964765518	0.0398429948799319	0.0943032804830531	0.100350103060486	0.0871127035201777	0.041860241989233	0.181263355234835	0.0150752073744811	0.232859069216674	0.170744240349057	0.0341715966208636	0.397877123531791	0.0115865255642877	0.122228676700366	0.0597635687353788	0.141412084108513	0.0421371730580866	0.253115159154029	0.0398555563201335	0.0523877904669231	0.0948995448708459	0.0452807404008464	0.19698364924142	0.517646160965049	0.0216979676167573	0.0378526551941097	0.0772968339299652	0.241275581830548	0.0613626275328976	0.0562804246474352	0.00846811061343998	0.148032494528231	0.149395923436829	0.187340780516674	0.28058260752201	0.0559953438066736	0.392370037951977	0.0217527615868049	0.132484056382379	0.1090304969972	0.0606657565388809	0.00686610691251238	0.0310737769871784	0.0201393570631233	0.0234974071818169	0.547722829538587	0.0129796868108104	0.266077732572597	0.0405942283842818	0.184832668654741	0.0892194776013835	0.066164529888335	0.0331314324132155	0.00243580755476338	0.200964817829385	0.051513027781631	0.0365323593838434	0.366692424020349	0.0806307416534038	0.0220662864976951	0.0270503972436897	0.0626955226817502	0.0564632126971366	0.102359570741972	0.194197769665763	0.0933750760140859	0.11520022483458	0.0357452541248924
"ERR1624555"	0.172355836580691	0.159415453934321	0.463895497554123	0.114964340191108	0.264472247503723	0.253960202029858	0.23186187576391	0.0675915667086444	0.0291256122404336	0.128999669732262	0.0455673835352361	0.062933595776439	0.28650787207799	0.194660440401557	0.255586677167342	0.0861715207104772	0.123659193115484	0.173109849608632	0.0688565917921672	0.195820727894131	0.17340630591663	0.0291871590478669	0.232546217619316	0.0801901033465454	0.160428261249775	0.539709505634233	0.199221107415042	0.0342498550643299	0.117364158358841	0.012094737974088	0.231849255867128	0.117934932258139	0.102565015742145	0.489756566411093	0.198484633584625	0.272077865336578	0.0680029789620264	0.220044347185722	0.116819326037629	0.330888171225407	0.0813956605054977	0.177809074532211	0.10545616247367	0.155106488956631	0.223730752063058	0.133174479784242	0.214971253857879	0.0571354909115751	0.155861112011391	0.0455799017261195	0.0336787928264883	0.110681505550008	0.0964566481433242	0.0849489063844904	0.0126125146645307	0.127893061064845	0.0866798132046147	0.295773359719091	0.0682397321798165	0.0625912507575963	0.123397142604717	0.257816111944271	0.149500611545645	0.0822806162387165	0.0670627351560377	0.0314016590572382	0.238476051454168	0.178264538029016	0.310240209224413	0.321277239933206	0.236520649622339	0.0425921000769807	0.0925979642576774	0.0534671865709033	0.0273376127658091	0.197772080448647	0.542631289609506	0.0578019109386608	0.307536000781005	0.129664506315284
