"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR5865065"	0.603021377679122	0.6531780737766	0.620783333575768	0.394341444078889	0.209043409691815	0.699446955243049	0.734071525283062	0.814631023490104	0.49367844623117	0.973517025315178	0.807733445278293	0.454734643313788	0.593243997757908	0.66834260656049	0.993921633669705	0.705860219567003	0.949230229039581	0.623456237328718	0.667892460815115	0.434316005342566	0.98201162509915	0.567465873245751	0.983955330438967	0.908581210055726	0.425809432662259	0.477163395892696	0.412363922609153	0.968626822348671	0.989516864401811	0.67665438319618	0.38819803561432	0.997768246440177	0.683700161206713	0.983913590187315	0.663222724952064	0.760308052505725	0.770180556088034	0.830226752062379	0.503641404698694	0.894607907443144	0.582443516614593	0.235996577720987	0.423661147673612	0.799652990693452	0.764491580478136	0.686535694258334	0.993484907168116	0.60850795537125	0.524015102757215	0.714347933019171	0.730557557221816	0.731351841582912	0.642654687988497	0.653091228987686	0.629168318829	0.98586914567629	0.639708821050891	0.687074751873802	0.618529643428492	0.980771731630017	0.532751126931919	0.532001816338051	0.991172635675109	0.636958913493825	0.971882809485102	0.943084952329105	0.595549412888073	0.607444837964119	0.602229055026262	0.633088999489103	0.668789162992733	0.44344294444852	0.608942483373461	0.55339476301852	0.972347779386718	0.697315108731299	0.202437089125595	0.706492605070253	0.974992092392219	0.442020636542637
"SRR5865066"	0.938545792465527	0.907805685466595	0.942038784092364	0.808722739211091	0.891672305334849	0.821458398475	0.966318821261072	0.988188878952529	0.873438333139382	0.886190665005636	0.799480744908655	0.908134819981463	0.907717405767098	0.79778124505301	0.992062420319578	0.734223227274534	0.893260900658819	0.844023175386175	0.915766209216251	0.959856216428868	0.958803284424906	0.709574561571201	0.864866115234189	0.954732600471162	0.739998130425711	0.891728040721465	0.78954305447803	0.932571013098969	0.973493712994825	0.9558556136854	0.89574278596542	0.991702068896688	0.739681020147897	0.562792945215688	0.861095592092521	0.886907250920268	0.914872817281721	0.96290160658543	0.811968804680004	0.983157946069497	0.844811928535547	0.875134871733236	0.713184008405185	0.995191604375076	0.853894741586526	0.977042548548665	0.972769783837139	0.771932682494268	0.945216847916016	0.876223474422035	0.795573612972756	0.712268167286622	0.961731426464747	0.653993724072017	0.776848836513302	0.946016328370173	0.827582086041893	0.837265659132433	0.645853789917887	0.896756881877323	0.85969597430915	0.907876046053504	0.884925155402353	0.911934155755645	0.988611835761385	0.899150445493323	0.828932331979651	0.705747792981846	0.850396056106453	0.78159415876458	0.895893280525953	0.899148619692679	0.917205660297316	0.839655573229474	0.87421149599803	0.707797667567462	0.920259349628057	0.731926672269712	0.826449293683721	0.715100383170763
"SRR5865067"	0.124133720448536	0.0963266967290257	0.155649260406295	0.0582772591965443	0.125412107561692	0.054867647743418	0.0710717969896341	0.38254153450076	0.0777442484443959	0.100768560713167	0.0527387767836304	0.133101375347624	0.0556595125594931	0.078167298119371	0.0134966665052159	0.057735187897719	0.0794962010843534	0.0997149269860868	0.0946942723241639	0.0654276319105612	0.0929064156006766	0.0120977650582119	0.0533244695332896	0.135188433236664	0.0820210607548969	0.0701058406579549	0.0859542510477056	0.0523601972025133	0.162895604802118	0.0942583580062566	0.15201077128441	0.127739869831732	0.00795584897152279	0.0254147607335455	0.117506369450988	0.263901277998647	0.137965591819029	0.0940348478101787	0.0441762211988609	0.0952438358920539	0.104029558945056	0.0490852460253444	0.065566711706712	0.406402868963608	0.0707259401862017	0.0425991620735224	0.0797270947127703	0.0318052918895365	0.0539817221990328	0.0794195236630753	0.0613229527790108	0.0219698110208631	0.063000475877084	0.0203837710237287	0.0741207663269954	0.0966271501206686	0.10115079267278	0.0546337574307408	0.0455203556315726	0.0508835157977703	0.0538238342676948	0.107703672684521	0.0889551683061153	0.0852401345995007	0.0731681019831521	0.0737056498800641	0.033848941794855	0.0869145829980306	0.136568020316581	0.100108266531487	0.0598147218630605	0.0426803374536049	0.0779857622295325	0.058231982520955	0.0921713294098423	0.0437394551750301	0.058475540219827	0.0259274104213026	0.0523301654450758	0.0296937021064086
"SRR5865068"	0.946539656004955	0.933687644981785	0.960575340945779	0.872136598610976	0.57617616499478	0.940964522074903	0.951667439582398	0.999777896670502	0.987714404021142	0.842982941271658	0.971357073780311	0.92016168357368	0.908552022750773	0.949314327485297	0.98519839968758	0.992157510687985	0.901590826593568	0.897672208738852	0.867618639980135	0.991299288743951	0.927393346723491	0.923399166837414	0.828842179656764	0.925967687928463	0.791878189129045	0.946199696871251	0.925124458277907	0.870310688791266	0.925569918689132	0.866274543683175	0.993962596847458	0.967615575403062	0.955487231226951	0.888292655900072	0.974220907614971	0.997734241417149	0.998545225935025	0.969959265287574	0.869644594201698	0.955312365048263	0.877094232469016	0.86684616126815	0.772122474270834	0.99831883335471	0.973232947684012	0.987635912271542	0.996012105552148	0.996952132137189	0.926683453067172	0.975010156134597	0.957968818797792	0.960555379209161	0.923165524911331	0.849341111549149	0.786898292378116	0.658884186876786	0.961527838175811	0.848695167612436	0.885829636443163	0.993278669613141	0.930398500640273	0.882357269518057	0.980716598011907	0.962223092688846	0.986587059868291	0.930496453751052	0.957118428508538	0.856328986747532	0.991885495112838	0.904866083363604	0.964018632083206	0.89420503951366	0.923477473296671	0.81785758017872	0.859644155406834	0.91358583931741	0.846902953658186	0.925510608863135	0.987098915538692	0.728376648869821
"SRR5865069"	0.77888168648212	0.791794558629351	0.867349519303756	0.92099403263009	0.868625992645983	0.599928293289439	0.506164337138457	0.631713551606991	0.890119816795808	0.648107478231811	0.319757664524488	0.810015567631659	0.601289747957439	0.467407686355311	0.672165273686724	0.611927318168873	0.676089004842367	0.625128099437767	0.748410804923844	0.854594829470564	0.857443404793081	0.683896220185823	0.806668608146865	0.795976458110824	0.62078296468056	0.793666296010738	0.837553115202162	0.91942843558353	0.859342842861281	0.798071990132129	0.845107421499118	0.769794351786728	0.5649127787813	0.556175664750781	0.853756756718211	0.777989272845261	0.787547711541596	0.757313890507519	0.585922853297948	0.551553155120192	0.799805932865476	0.865124462458465	0.645477346624233	0.517126099259539	0.457438510069364	0.756627539639851	0.620377962710266	0.727833372567291	0.777976286296958	0.703473996862818	0.472625447909262	0.259280942526113	0.851824950947602	0.338105607512362	0.671603595717381	0.906081107068666	0.780966348927338	0.530883713138258	0.412501180030303	0.570386177025941	0.55668736311687	0.689573526340302	0.37858616554473	0.75424354434285	0.161434534612898	0.747009956943996	0.36633218800484	0.589136858880766	0.594426138727786	0.759336905463394	0.866728765198541	0.520571935656098	0.61798868765971	0.791275947973063	0.874068886920844	0.651425780813571	0.806281517370645	0.294496028973653	0.792911203539497	0.544603754323284
"SRR5865070"	0.170625982805048	0.165080765819631	0.215389500582039	0.0549606156044489	0.0973628674438757	0.204242336907174	0.097617563921967	0.403497414953497	0.307324837599412	0.181063090460105	0.458024277587464	0.17933417326102	0.100804974749049	0.202837327708102	0.617475251678122	0.30995016329793	0.288506892468778	0.108637090585127	0.12445650023966	0.537615280192295	0.458202292187039	0.0583294520232033	0.146400709571311	0.306573476437163	0.06751930326537	0.27955016600314	0.0611049197081259	0.123372096810411	0.427945578860351	0.113459718000884	0.0774065540303398	0.547719660789342	0.187542459289941	0.0680351919588352	0.103596172292151	0.132541511384616	0.148532091621014	0.329481635653737	0.227855393636576	0.342332589475485	0.11189900814009	0.095898259092447	0.11348142103606	0.38512698732573	0.108272815355772	0.560708300055229	0.788001384374311	0.66710463435255	0.130641021783409	0.412444380293887	0.244991173584566	0.171037938780913	0.20816158963626	0.0565307650811519	0.123630187269836	0.05110868308845	0.169812639958682	0.149819573463781	0.133455627114302	0.430772221913045	0.138743584838304	0.0990429395610763	0.351305280748148	0.257586464347778	0.271498359895215	0.248196727080797	0.117077928505732	0.117294289540721	0.184822636845369	0.136139129084532	0.172483930941255	0.16354017818495	0.106586028030891	0.253378427329556	0.336813338943998	0.135650458112576	0.276667261181247	0.110887764280945	0.518643194373217	0.0326014104374794
"SRR5865071"	0.989782827327016	0.977486513259582	0.97986085962822	0.978065887510208	0.963836550337205	0.933070717664843	0.97695896102146	0.993781464408236	0.975048460647098	0.963375090909937	0.840368394115218	0.981149300097916	0.952471724168709	0.938849658784012	0.972471170961832	0.910668405836215	0.967789191144174	0.982241313643065	0.98199439808446	0.988352271225861	0.981109532740023	0.99603445589299	0.978943609120761	0.972859491317732	0.958759897402974	0.965249915458556	0.963218349745636	0.988558816976431	0.986609390255919	0.969623903943849	0.993115648190873	0.967808074095285	0.97304818909452	0.953744790051596	0.996032152566079	0.988257895983216	0.996631744683389	0.976126654722336	0.97095520621695	0.94706804107827	0.97416985582089	0.966684210192419	0.931968238717156	0.970706043800712	0.98838276641399	0.987027103101286	0.911723877763393	0.938220227938186	0.962548784020853	0.943285089984693	0.967158260827428	0.891753727501981	0.992408466403002	0.966836844306985	0.976076257394042	0.985210406716153	0.971904145568069	0.962879633575971	0.959445114906319	0.956074033975542	0.93872867696315	0.978154120835669	0.946981076820599	0.955113099608831	0.91244607710858	0.973787286250044	0.913267515952278	0.939553631547596	0.983271132705321	0.981126600178819	0.98616942145903	0.941607832155106	0.987226764641772	0.987208389523394	0.960997583109471	0.993417957029368	0.982125289726569	0.959193514464473	0.960053442085838	0.954245868460401
"SRR5865072"	0.885173436483217	0.852048343383227	0.743272189750419	0.838795011411686	0.788288741406635	0.788989845305704	0.911688342499015	0.931445377690332	0.869989640659172	0.744458018141789	0.49990356863354	0.886136284428567	0.77849979745244	0.534060042263249	0.804356234790768	0.648462367688815	0.769498458523779	0.790931331054038	0.821311700850095	0.899647909853628	0.825945974373812	0.709570227138014	0.830960067748404	0.886820596247486	0.809058993352701	0.803511239830452	0.609571932574097	0.811892569693392	0.86749397753991	0.880187237305944	0.907382338805503	0.687004860809342	0.50651240974982	0.468215806849834	0.839011688048037	0.817992813232369	0.925346045123932	0.81883721616351	0.70717046578993	0.776340628403358	0.805899428999303	0.769326513023082	0.669270236866921	0.793261964344646	0.591049149657351	0.606791117444628	0.466569477522393	0.599303352582784	0.75868107532665	0.616893494379487	0.65450730305791	0.48970059076078	0.824712573556085	0.611885153960707	0.736678423800336	0.768559332594247	0.852041981770178	0.681088747996486	0.42461551992107	0.620794392986895	0.616245467717339	0.518483353023082	0.506661200127395	0.844985615785035	0.373688808665636	0.750522581064041	0.663766973976215	0.674262439411886	0.804864499934839	0.775328237375776	0.755780740833024	0.772419760508068	0.866861010042081	0.756970862116286	0.867690396543807	0.796643377793032	0.842842149585779	0.321416778318942	0.665355913973389	0.682791283805894
"SRR5865073"	0.408803600515938	0.387901660292018	0.466142482663591	0.0418118414956069	0.0876517090830128	0.334244667558645	0.502530698047968	0.621397598793527	0.303445637355311	0.167586305038645	0.499673463751351	0.320067855665354	0.202385327753477	0.240304639178403	0.400638045759809	0.247830811113933	0.336568039319544	0.370109584553591	0.25790700310022	0.467815812588229	0.52171057525347	0.345312712712881	0.309767043437453	0.426367158833019	0.229652522826144	0.382711717527181	0.0665316849655969	0.206482908438557	0.510477618184861	0.218861024762824	0.143502601713321	0.65330177971205	0.307777942584159	0.386854620774313	0.243488982289415	0.388438560365815	0.418754064272188	0.39808324551878	0.371681187998605	0.549148760967233	0.326146559104186	0.0509094152008545	0.100811288061831	0.676017275399443	0.166920743689399	0.568863941174586	0.65844013134412	0.412334805005298	0.152785476161417	0.650028098517392	0.116768715958718	0.312134988058833	0.630528834739203	0.415552611435496	0.187599201060183	0.0986211949959935	0.396127545220011	0.144090659371062	0.439482522237224	0.445820572687816	0.400136517358234	0.453024878416959	0.51464235460874	0.218955099830913	0.798695851953639	0.260942027376718	0.140205462399232	0.284596297954824	0.208879369083169	0.253300140659396	0.36317524660157	0.270073425274246	0.197565677644632	0.374796745936832	0.469477874848846	0.246980218842509	0.239826321525536	0.516022070844593	0.484664002221241	0.0813722174935179
"SRR5865074"	0.936306365143167	0.917627778696491	0.936693804133818	0.913467567733332	0.920575026130357	0.828333261590032	0.890075517127339	0.998562154609183	0.886716820012565	0.858687359307394	0.854340880249674	0.909990398271049	0.924837975838435	0.884704781090604	0.957314995742044	0.857096196939673	0.908945975247255	0.85768405218508	0.90225574861893	0.954559672555622	0.935427804614347	0.889582207370675	0.848080232410177	0.907202123732037	0.836885309463727	0.913025765866782	0.798506359317154	0.864161573883254	0.947911937850618	0.943909580821799	0.993702582033965	0.95504728832056	0.791665942327062	0.89485730184609	0.978385642917458	0.976089669588472	0.997018477386956	0.962030962724932	0.89906296005644	0.92404085272561	0.825822955569853	0.897620015823897	0.803655229146975	0.996385513880698	0.866737249915223	0.971027391898028	0.959501140148822	0.935344725595007	0.898115134460779	0.946094118270632	0.922728923598226	0.782803824642023	0.901115206419729	0.839674443148452	0.875461331058606	0.823197900976062	0.862032906214622	0.880704001500833	0.912307653061652	0.936049463879623	0.846752376961343	0.928191504313495	0.976778673546166	0.872361015949525	0.95656739870453	0.940163452188459	0.919546009258941	0.777907109689066	0.955047711290444	0.877618853656204	0.903255546669251	0.879554625083292	0.902299911630094	0.901507258827793	0.898138635635013	0.85659622941673	0.918395464304327	0.931194136255914	0.904530881225414	0.692460433783938
