"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.973690870120586	0.94604696913083	0.970702910480598	0.976023245509903	0.930609317468075	0.91920646469715	0.970618855242361	0.870389587840443	0.976741469187968	0.982560756461065	0.978909472758746	0.992688280888562	0.890462368266053	0.964628229484776	0.819426005339994	0.93589479101077	0.984666182573198	0.960353070086824	0.998687074824108	0.944216114915949	0.949752904103042	0.98912098023687	0.886788357883202	0.98892137738937	0.899217709226232	0.89659619326726	0.966462067913766	0.98931279743185	0.903228419566227	0.983827269293806	0.985900983588403	0.969749061616976	0.987438106295404	0.96824814040964	0.984162065695409	0.980135568941575	0.970237129776273	0.931680603136112	0.967481985074202	0.980043859442961	0.942839388786587	0.858164542976424	0.935603561328762	0.979696279171999	0.991602096538144	0.985150825430087	0.887148977516257	0.946572354202779	0.926332701448892	0.721486788154926	0.977445733181384	0.991741563261064	0.982961723512696	0.952509345156732	0.989808886001404	0.976429008286434	0.949914628374108	0.981803501253711	0.965184838535077	0.977875335853715	0.965071063903486	0.907194802797367	0.989086666679988	0.968807670724918	0.939482507417682	0.956895699307547	0.979163936839206	0.988995424384754	0.916725966423374	0.996949586782788	0.936807404437406	0.984858367126548	0.969493152895856	0.917000097855428	0.981125981655005	0.987777931663901	0.987999037813684	0.96626286607805	0.986484494549601	0.986479759200894
"SAMPLE-2"	0.333799910043225	0.280606695177083	0.265320753160492	0.557864478874494	0.139193600419142	0.597746214280427	0.448556781709259	0.196009119362452	0.380233599828984	0.547244157484416	0.542224867666083	0.317027481275918	0.487619669057933	0.281445806846296	0.0549871635518474	0.406360312555901	0.252836231759587	0.171078951037087	0.733280901130207	0.260408473465782	0.0447394492114303	0.298089149907624	0.124128945755295	0.599882360733935	0.391310793362001	0.0958657395626201	0.724478920020565	0.450821923818339	0.467961890150801	0.3213331848029	0.726503368113161	0.382117788074522	0.204011987443418	0.634813747492869	0.503898658844268	0.800402805316407	0.111192962115295	0.426200244040098	0.372606975610315	0.235330142634299	0.272876030596666	0.374412862569599	0.265668170155071	0.425989724804363	0.673695792146874	0.226807047830256	0.26119823305972	0.50909800328944	0.108098577314307	0.101582555585636	0.699187580902741	0.647218857969963	0.460954021810018	0.113508062297821	0.784353602688957	0.350882567892751	0.274608069250997	0.655684531773518	0.263300831683892	0.296263100114144	0.373743594585454	0.139849948193102	0.421522844698328	0.660577302761392	0.324790560557027	0.488997337674496	0.383180399403929	0.527910074966836	0.292739558358804	0.700711388507352	0.308063742288197	0.695917976145451	0.559168428160436	0.0372446920273929	0.537363598571387	0.286750757822139	0.696288845676229	0.0842576583809381	0.614269486280661	0.638513863049117
"SAMPLE-3"	0.987857871099725	0.982788317902752	0.976620087795723	0.988209668554497	0.988122990575651	0.985849617845464	0.976343150509661	0.957864263026793	0.987420983734043	0.990630499360909	0.978626443236356	0.967426642117128	0.971664171955456	0.953256261201875	0.962936723498003	0.963974639850408	0.982198375631596	0.966896439078797	0.996026550715675	0.984030568616139	0.954832838428933	0.984838189872248	0.942875835471176	0.995962205538252	0.983767367423477	0.989833032019929	0.988041263013685	0.971333676205314	0.962260962535921	0.979219391282738	0.994096492906034	0.992603555482196	0.992129270678666	0.988338648335839	0.980017138141416	0.984603545670751	0.986042226148376	0.990690565299052	0.99461045283213	0.986608724668995	0.975050915570999	0.974914260261475	0.958181662600556	0.97793638648953	0.995134580461396	0.972127645814878	0.9730235779253	0.978651036293071	0.975435584816327	0.98529067671353	0.99532618422549	0.996398321248961	0.979883670442167	0.96202239982681	0.976544037910924	0.976643271740249	0.986763212261329	0.988411448426469	0.981176972966175	0.992189235806828	0.98041900521156	0.964637546371751	0.990180785948617	0.996013154709954	0.970953589717192	0.987132393736103	0.975059776349432	0.994844817082439	0.968769712615398	0.995200761824426	0.983936797259886	0.995372433973374	0.996528826765077	0.953353306263461	0.991491719170898	0.985816728352388	0.995289914446986	0.966338121851333	0.993822083722115	0.992335415538942
"SAMPLE-4"	0.812410093144789	0.724186729662879	0.86803377791985	0.760559352666858	0.730771097792984	0.961900460316953	0.894146777416861	0.91987757761743	0.707341821161207	0.98144855492714	0.874281316933108	0.976069687762503	0.956444264033596	0.861706513764115	0.596306358701475	0.788962915710949	0.939264643744537	0.449766653869876	0.991836350937112	0.531477478449291	0.359145743872864	0.864355098777436	0.501647951706046	0.938270674829658	0.942831672172403	0.853119772246147	0.951043516994531	0.945214579077786	0.851253216090093	0.721588827201432	0.967312136720583	0.95148986012811	0.878898839355419	0.924006757336019	0.767368940367124	0.889394573943967	0.883825436283746	0.930484657651163	0.958158487062792	0.827334109552534	0.815184977620024	0.911892896097289	0.782613786109706	0.865495683789876	0.963600467833357	0.947966092759559	0.721982131479801	0.462202920124181	0.692594275145805	0.912911186646721	0.918004893434419	0.835652572463433	0.859459811442559	0.514320479018156	0.992054893236889	0.800921024524038	0.470480734448376	0.949119349130761	0.749954970328119	0.453114209667087	0.42288565148356	0.634813365294103	0.971805160406283	0.954180773627752	0.864436838411457	0.884045863020294	0.749065722725101	0.660694031217012	0.927885199352102	0.997630206027255	0.943639144785136	0.896848664099133	0.965074048495354	0.713232201265687	0.528216041334462	0.960333113978041	0.953100236219547	0.804424141658496	0.670226598551166	0.957226030184927
"SAMPLE-5"	0.318756204886281	0.114310503874744	0.47675851967695	0.059055560489268	0.0789909067332456	0.520139941718671	0.436607445677506	0.448219468863836	0.114872662368555	0.704215428037349	0.363570331534249	0.591071486958892	0.524725384264615	0.383527983960391	0.0182911347049294	0.159773379711916	0.316464067445921	0.0701353119574258	0.511925391139481	0.0755784879742893	0.0328551820328849	0.300331504914702	0.0763383830029597	0.316864793037336	0.625127022466593	0.0336851340649541	0.488579320104181	0.420892307235832	0.4491256219801	0.252556508760643	0.533097414281953	0.385424618584703	0.148383809674584	0.524009475671007	0.211310321328206	0.260698250182406	0.129252030908594	0.440203608695389	0.0725175344441121	0.202331688716745	0.268346286260545	0.19244284710828	0.182506851877743	0.346666911460792	0.526193032923891	0.42623734626539	0.222133261845202	0.0459640530384463	0.0657787321781994	0.464833169396308	0.22637722676399	0.330974061386615	0.369084857059107	0.0750005325729866	0.888304527918492	0.169186401086074	0.093636029852311	0.600383703912493	0.314444859174859	0.0261614778306437	0.0847772878470201	0.172455954109264	0.444332074110265	0.362270260977487	0.330924520370076	0.542638237158855	0.283665137850458	0.0653447335527397	0.522778004269824	0.505816412302392	0.279126383372511	0.13587912361076	0.397486637456567	0.0446383555860634	0.0404084083353314	0.635783411620831	0.301739759948422	0.252837054363104	0.0371628240425888	0.354470535023172
"SAMPLE-6"	0.890016362214736	0.493585867444815	0.837857373714828	0.560822700374068	0.441288158438581	0.915623427078551	0.832806732453741	0.972800703796517	0.820546662001136	0.926599304092423	0.902111508131284	0.939591003919232	0.948170849304063	0.898687273838499	0.251759991755468	0.693849488229948	0.670551220132239	0.550545478917137	0.952734169156304	0.522937231624701	0.399301615190674	0.865877915597505	0.454833482656014	0.840116605003378	0.85391031686116	0.244015222364712	0.946556643007518	0.776973534905219	0.87154958039191	0.883187577456274	0.918411072936416	0.889629543306886	0.5700918978997	0.833582004909162	0.833933745191987	0.752402535420329	0.567077312089652	0.796133442775877	0.563856925496414	0.778871361770745	0.551180615026465	0.831373726018133	0.666779275228724	0.779855922998014	0.932169082629801	0.942685284753549	0.633722418763928	0.278177950786857	0.447952728912666	0.991263967205086	0.922077722387125	0.862788464613394	0.829552902631322	0.739013242441693	0.978385270679902	0.75947416815214	0.564298941033369	0.923625576995793	0.88286039533348	0.265036739250835	0.266042398307479	0.761388382010362	0.927355610531478	0.742647576463337	0.958712465195579	0.922858256283781	0.850093481091105	0.380580567598698	0.744699117759074	0.912446898337237	0.722034055438108	0.764897292565864	0.873984597051235	0.602900639007667	0.296437909342277	0.954435240048593	0.859132846695552	0.460992858948099	0.255363192240557	0.906184177770348
"SAMPLE-7"	0.98782629599543	0.994007759520516	0.995495674297604	0.995391928663995	0.996381709519383	0.996482515526271	0.994541890870523	0.991791676212331	0.997207869072491	0.999192109127303	0.993444002667455	0.986521385610784	0.991068409125308	0.971656858831562	0.979122549413306	0.985920013681487	0.993133500487196	0.982076819066413	0.999606321690347	0.994786002981945	0.969428314950749	0.994741249510862	0.980902588759301	0.998401896146779	0.991469928583014	0.992292833466061	0.997055826086472	0.990950922531827	0.966212785609873	0.998004458029282	0.998873279662928	0.998676253469673	0.999433552666939	0.992105130970436	0.997167080111107	0.994601288691923	0.997276443788418	0.997361141356442	0.998964886896296	0.998535784305091	0.984438398282888	0.988559322936983	0.96225561633627	0.994114073765237	0.999367330171479	0.988579722457772	0.992826302945069	0.992050810562995	0.984057349405914	0.98752573447148	0.999197311148867	0.999698150924937	0.994246363575169	0.984124732217727	0.996432429922524	0.994323517901773	0.992403163019841	0.995498384341098	0.991766256110942	0.995936062996047	0.991589441137468	0.977773152378691	0.992486132155416	0.998336895764135	0.982779820365869	0.996681120848355	0.99448136708006	0.995197019280576	0.988137417646162	0.999452697037284	0.996417992319359	0.998566003513678	0.998925878485949	0.997098054158718	0.99473857063751	0.998143941268637	0.998527992337463	0.989848849959738	0.998742081322726	0.996695016895765
"SAMPLE-8"	0.906392514916965	0.804060445622997	0.909239556821303	0.870738235901205	0.835617040202483	0.879917893924744	0.819949290396367	0.929339652434825	0.850293781493259	0.979170141706917	0.97962929854136	0.764231494835039	0.88977253300703	0.700120162855593	0.675631786954982	0.811877546451447	0.917155160697019	0.832254268969879	0.94410294567339	0.884985604758376	0.809068045369123	0.952566028121879	0.690664572917341	0.944371952136394	0.75255453416517	0.649208810396988	0.931804502500409	0.826704980164011	0.834670981881792	0.959912923849676	0.971829699124241	0.930537627386831	0.85055432415269	0.843195962747204	0.972133979538402	0.9640510781034	0.725664265564563	0.922755714916974	0.86944132335429	0.783075540397786	0.660231847261602	0.891910633612939	0.840312807609802	0.918269754433333	0.966083743713783	0.860949187296315	0.83347384386029	0.917317774257387	0.797128373596897	0.696138049607315	0.952722259883233	0.954310893942613	0.905747236432964	0.767758715913313	0.884342393111991	0.867209599758099	0.723920106876238	0.897488705973606	0.752076676003115	0.787184306343157	0.885092490062146	0.912866693056753	0.816797895184526	0.973075926081263	0.755496393310129	0.962487944186445	0.925968464518497	0.994047769914151	0.970133111768399	0.900368976468601	0.680324126936455	0.976069305281511	0.943576223933418	0.861670649500785	0.9291003934894	0.944784517402696	0.990092783861612	0.73876432319326	0.960930022961268	0.956874825054133
"SAMPLE-9"	0.892382598341567	0.852941935620759	0.920589909639508	0.93267813510663	0.915766879865741	0.912035008418241	0.884920649084895	0.926501684188194	0.932432353556468	0.969974233604534	0.948383882101198	0.853002600909152	0.913223524680115	0.892601420805963	0.82367525337538	0.855125164654031	0.917300954537888	0.783742395947844	0.953160231247738	0.836650411100407	0.826297263992048	0.951698782762763	0.616171141018088	0.942136568879156	0.79401605765975	0.921464747211427	0.956823981876614	0.85770255595294	0.808378400008613	0.928059418418802	0.964224434623696	0.97141931737123	0.910251514282749	0.884924029766946	0.947212180126641	0.913707259055934	0.825557378564938	0.983030479853134	0.95316975123194	0.869833991438067	0.779519129846728	0.902925932199662	0.816042078973609	0.922159983401468	0.960267049788966	0.953445714864987	0.818075935965748	0.890043286547199	0.888606098423293	0.916548569147095	0.983105572858834	0.927372575733153	0.878352106736208	0.71232672409404	0.951053130155669	0.840964930124496	0.814479042607464	0.904069889099997	0.810481420441253	0.818936674921803	0.662853034334386	0.791866125910523	0.95517013244758	0.968711366947647	0.918591237232177	0.948300836791032	0.886698332660132	0.772889285427007	0.935280701965439	0.980606398518883	0.843229219939788	0.935763720938321	0.97762700335949	0.865299226020527	0.788541568289723	0.928939032794717	0.968931085723813	0.81084876049343	0.947886919609722	0.957749007136485
"SAMPLE-10"	0.845399305557152	0.779096654559733	0.971946871410804	0.834435269396985	0.974083321971987	0.935319283209354	0.928813806834418	0.252882776323496	0.944117537160712	0.97455701064136	0.979523107340715	0.987807804306934	0.92048632942813	0.939710858408571	0.0759153555306904	0.818768961574722	0.677312693960671	0.267597363114206	0.931813807419346	0.402334154023005	0.23387875017712	0.78895837926859	0.211949650735489	0.73285994683371	0.889730001085974	0.831942190936075	0.975065940169493	0.938205658171989	0.874246677799886	0.797519034868171	0.83209167017998	0.744659476913868	0.956880270530557	0.875440132574927	0.903336230963711	0.344597272890678	0.862783835207416	0.971393557262329	0.959347803048004	0.914356491229408	0.907114282869549	0.779318941930868	0.849081073099813	0.946739065280516	0.962113738178478	0.957826691097916	0.945253241948238	0.772225711580737	0.23756521036749	0.915079653917659	0.945220165889564	0.796509376377167	0.753850272683479	0.101473783867241	0.975913180309218	0.555169560777312	0.797499552800204	0.886797858692355	0.779103754411326	0.467400346496083	0.741350221390884	0.983090718051686	0.920792475264305	0.967987823282196	0.58216130508087	0.843941438111787	0.550329134093859	0.705606358539214	0.95090652354629	0.973479042758868	0.813017026703148	0.882031911221598	0.900914405800176	0.974022614263006	0.752686447268411	0.924318300880195	0.871383617558352	0.963806372037034	0.504869109422179	0.71244143397855
