"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.894904995312676	0.912388033391968	0.892329390835319	0.854260207738553	0.847622107634043	0.423123702382849	0.956676257708264	0.889459102810762	0.914825001246848	0.845585197391241	0.921254469273336	0.471329634357192	0.903473078272621	0.867551483645875	0.850566125674078	0.762751347046032	0.909062026896946	0.814223558538246	0.899102474142916	0.858553448159919	0.94081387917249	0.943998360690179	0.89665622845369	0.896770272012587	0.562715473196118	0.842466301351151	0.90982890970626	0.863899142643797	0.893886931631481	0.953739322599515	0.891869500879623	0.912974480659673	0.662791791148569	0.877953872804496	0.892173736447906	0.918099431389808	0.872014190408471	0.914323725671526	0.670667246514545	0.93524655009905	0.871552365928391	0.846080468062216	0.886525577455003	0.884848950459077	0.675599403672461	0.900436848663321	0.85185645731441	0.809774147156498	0.629099028434673	0.840292082715079	0.607786019420932	0.927649625790838	0.787813120324458	0.884239043685633	0.921378358547061	0.869865297837334	0.881578655380707	0.905619927145446	0.889369286814725	0.872929055694803	0.885488907123639	0.812865754038655	0.885139535994983	0.655808964248756	0.85830468432599	0.840523968000001	0.521201110710997	0.954566949663417	0.921462418018209	0.619095766399636	0.887060971330659	0.855438758716225	0.919198166902406	0.935302017410677	0.971660755758061	0.938001844272367	0.831180216160905	0.674400018845009	0.92792304001958	0.918201935356697
"SRR11292126"	0.906127442044854	0.924880553033625	0.774147016582875	0.812526611626799	0.773049224237454	0.801041321517543	0.768333582793084	0.743618491756922	0.857142180793264	0.840933128542863	0.932944880501698	0.76665998571257	0.814779310766141	0.849162321241376	0.870829495305484	0.798143802309261	0.88421202814061	0.845644282543035	0.885530419904804	0.761858415320271	0.784875883622041	0.797809814028215	0.493486240631959	0.787809170465145	0.820704559003027	0.73548875357589	0.729585489510069	0.931652544058623	0.860804685147536	0.821975644330146	0.788519757593916	0.830472249334527	0.667894061557476	0.846390544773633	0.802797286209488	0.679489885509387	0.826411036511109	0.821150678237824	0.856724237623012	0.697434461907777	0.854005246742601	0.781339961184228	0.868710189420726	0.898129366465404	0.768631670273012	0.689232813297527	0.897217297426143	0.7827667275433	0.830247660155358	0.81221349071538	0.721055063365296	0.820505531137713	0.950036597475587	0.900364010337502	0.819936462660268	0.878579198786243	0.881050639063697	0.77876552036032	0.849826480413435	0.847163121264012	0.82940550549089	0.806426211525927	0.792972913742479	0.698421304390565	0.780932569187722	0.894514579751271	0.826370572352783	0.861511905036094	0.777030350833609	0.821502828582639	0.720879876726084	0.909997968844723	0.806562267198325	0.766902301863495	0.856521370943779	0.82415486079975	0.838501717127659	0.850179077217495	0.677309870261005	0.875163143728779
"SRR11292127"	0.570347683069819	0.445375752709629	0.626894177957739	0.620610342438568	0.666273488237757	0.419720686758962	0.816947539789708	0.658611632139919	0.563076930186587	0.413055485600529	0.597454224551988	0.550777890077909	0.694227362116666	0.633605431563313	0.552899848212803	0.514514950104238	0.508686531401273	0.408765678357359	0.576763021040636	0.734687653513149	0.650802648660113	0.779809217931567	0.762866648684748	0.55971485792296	0.476737622788523	0.637490273133227	0.487438180510969	0.454213744605525	0.525156025028458	0.615243641178616	0.55242798149836	0.639673762315153	0.618725549768794	0.656417274151102	0.591536332982517	0.775117683976731	0.38715227737503	0.649365341458943	0.555217107644363	0.703137368479095	0.55431391681376	0.738224504742328	0.66083598810907	0.479152163938108	0.449261951660356	0.737848905541055	0.545261147738512	0.686805253164207	0.456253502919062	0.627388254811936	0.671660912500669	0.71703892639069	0.249206821744602	0.433903081031462	0.513680990480491	0.492238585332682	0.638634078009094	0.697422597466492	0.552735267265006	0.63401674388471	0.641037639686473	0.444604305374156	0.584290408249725	0.59368998414402	0.669238709410401	0.448782942852929	0.626268760567421	0.723818673384228	0.592464655716144	0.491761532161373	0.655561982988345	0.390993320691747	0.594894564715658	0.743168155482553	0.760536513148948	0.655414843860838	0.584144925482423	0.530584284198141	0.748257905474622	0.710146831764088
"SRR11292131"	0.969830624698528	0.960390175931248	0.924043961518787	0.946630957605852	0.939275400050818	0.869424645752899	0.919714419446673	0.930642710988018	0.965497485194141	0.941035362744836	0.971230060146502	0.909474119309639	0.903971870559691	0.949802605603245	0.930539260122494	0.873166603357333	0.977397749108419	0.958029527622103	0.901522515178232	0.961457396783791	0.952278877155785	0.977012528663521	0.924911183092398	0.916464400890469	0.868880354050796	0.869076826639159	0.910571703105833	0.971950957286493	0.888068573130698	0.898917805667689	0.819291714595067	0.865001044283771	0.914221288257924	0.918116648436	0.964192022324627	0.94327463876232	0.86124530352278	0.915112415251229	0.967624942108699	0.963491018755266	0.891981281840701	0.941247315550513	0.889041763777626	0.889948770429702	0.916195545240372	0.95998609235961	0.882556826675083	0.946443879249646	0.862425142487071	0.934043613189676	0.977936242273523	0.947793346492943	0.985742827781836	0.878859758284452	0.914153951762538	0.8976643848187	0.961272367225641	0.929784293411948	0.911062681684438	0.949423994720434	0.943034767679661	0.936738993116549	0.902442192013013	0.967423378762539	0.949925586056356	0.980438293681975	0.927059294855913	0.978108811678668	0.927315348333758	0.916889746298504	0.922838670327524	0.931157797051852	0.951211849674798	0.966273187841136	0.93749907427662	0.95313946556833	0.8950786732614	0.832893312076721	0.935619191977787	0.939319389867356
"SRR11292132"	0.0121764100522179	0.00448124498240564	0.0307715424340477	0.0142236418876569	0.0113290141469648	0.0182592347757387	0.00875724149124878	0.0200206470330356	0.0281203773809608	0.00873875361606829	0.00950076898502969	0.0310232179167087	0.0142755255890657	0.0091854160334618	0.0164859257736782	0.0197504638862484	0.00659070452636021	0.00870733251012866	0.0104449060950617	0.0275668099789616	0.0233609141791127	0.00692497011082052	0.0117329525084651	0.0205377565906366	0.0164768151155211	0.0159856003022847	0.00837174955526575	0.00836274889977705	0.00741546638186053	0.00986468075040772	0.00845941189537769	0.0137653667845206	0.0229241678402026	0.00842095171535773	0.0261059496638526	0.00671633414032525	0.0436278601386025	0.0131975708284159	0.0219168005675306	0.0163434843383807	0.0114565470070868	0.0210416616203199	0.0104728806603912	0.0116598086838772	0.0112657459632149	0.0398593210722349	0.0119249973205444	0.012285773605994	0.0147743909910627	0.0139296424549641	0.0146624447621162	0.0229955879257879	0.00498668469913682	0.0135759243410765	0.0333400538557906	0.0181369617991364	0.0183340294981727	0.0253736442423726	0.0055026499470161	0.0272826004624076	0.0134562525177186	0.0136924496285421	0.0121431438965688	0.00717355169891057	0.00980496669692266	0.0087194243273201	0.0138172605053615	0.0234912801252258	0.0247111789957513	0.0143173892606099	0.00954858504014194	0.0134928330338663	0.0165780939285349	0.00939451991894796	0.00725561642534993	0.0480853618606766	0.0173211097443604	0.0115483485089306	0.0171266179627528	0.00944427586289337
"SRR11292136"	0.0387984179895525	0.0308703152326319	0.0833301832790001	0.0566925647609451	0.0617096605451512	0.0560834074698191	0.0659164246521509	0.0765497970617436	0.0794952467676528	0.0500433253329389	0.0446444352153074	0.0851897996327853	0.0408994996975024	0.0352147802561729	0.0654540294604012	0.0342246395404852	0.039424183151824	0.063875666695405	0.03795868255674	0.0580199762491367	0.07271899189476	0.0397856008131435	0.0414323224846037	0.0616339272130192	0.0811216595745216	0.0771595556789609	0.050324990386335	0.0387702073421776	0.028723080096165	0.0397385977604861	0.0496063682485781	0.0629535772044835	0.0632486048134335	0.0508545109367525	0.103968768220331	0.034745840197906	0.070759198641619	0.0588893680676118	0.103115058808612	0.0515858990796159	0.0468088589007364	0.0526955911931362	0.0518223398585888	0.0609183312978889	0.0413149634214961	0.0699195764701541	0.0457810169046889	0.0554257634300176	0.0630402076842189	0.0704256136189703	0.0724500155459263	0.0741075931017833	0.055585952100658	0.0538315547426227	0.0905082471847551	0.108397288615475	0.0896614509214278	0.0551177710827966	0.0405076932161395	0.100430007751111	0.0306317124358994	0.0678794311241546	0.0821198245575178	0.065181188113992	0.0327876671687042	0.118300915505825	0.0510915781922162	0.0720257079561887	0.0658598148536039	0.0399064688387675	0.051161341088341	0.0914131902855062	0.0461528494165382	0.0425840040175802	0.0171190712462322	0.0931115237804293	0.0522535837609172	0.0447293683652927	0.0498571928026866	0.0897875862544149
"SRR11292137"	0.844947851343254	0.882340900515172	0.706639204306385	0.616673527623103	0.652430421840234	0.209114896161245	0.780912611261473	0.741613813019708	0.86839410786944	0.596340634440795	0.778664443862965	0.196394615862452	0.828398286434497	0.797949279780735	0.699683726223772	0.651568542365188	0.909763478453748	0.750286406845285	0.72331471391108	0.794956199670554	0.820417410254768	0.699114060193996	0.657001911435974	0.816666461510398	0.228946882604048	0.621791075326419	0.755216320552805	0.81414319718781	0.702300652465233	0.832793969718505	0.543082056100081	0.748408107931077	0.231479038079815	0.469405779269797	0.860729489811412	0.647245952339697	0.783775790680105	0.731135830852605	0.728107613529615	0.825774546243452	0.620279159452338	0.68117546219848	0.591502913066974	0.664051018415539	0.615745131118098	0.804739660641357	0.642315363010744	0.636650972141804	0.306844226882549	0.701171152039301	0.332198131945763	0.836588244176202	0.767001344226839	0.741502319808296	0.749814805046811	0.795380077388479	0.734020454893936	0.731061930657932	0.528157503056904	0.592094286843863	0.814013151577472	0.750155751348036	0.752595504064372	0.649420249568058	0.686430275849098	0.688873741858277	0.146162644550052	0.930344546281794	0.810664282784827	0.279105195929989	0.663191084578147	0.661548102601447	0.870308449053559	0.77958445983053	0.749843856703782	0.882792740186281	0.695252844802602	0.131797338491469	0.763306963189711	0.830696795601849
"SRR11292138"	0.0158482047519335	0.00290578513860282	0.0350081729812374	0.0183033553812098	0.0136829410109412	0.0241878325820411	0.00837469916975406	0.0192132646761787	0.0330916692962673	0.00893285733940527	0.00818265131874219	0.0393080416456458	0.0124245720507697	0.00983752170096797	0.0173085131809407	0.0162720445561934	0.00598326615417105	0.00821500904176299	0.00956259940010601	0.0321773747337853	0.0263232097656103	0.00703341801280308	0.0134484778772879	0.0233790298125723	0.0173150927761502	0.0219404015981163	0.00908839964216455	0.0121955605906485	0.00647850189215035	0.0109983390381436	0.00899995324256897	0.0160661261492297	0.0299889856953393	0.00860306772969658	0.031925860216583	0.00740664386311847	0.0506987017687552	0.0152543385097321	0.0255904943381375	0.0163371724168999	0.0111897231199588	0.0220359548861132	0.0125092335818506	0.0137218103154863	0.0133252792960426	0.0384054757892533	0.014061439295801	0.0162718861047385	0.0202499918670625	0.0166833698133521	0.0172329929619754	0.0252813244210682	0.00350633539977918	0.0128210982067677	0.0347029191911631	0.0209212309501313	0.0218460753316569	0.0309469091749224	0.00629910177397758	0.0303158462169429	0.0141905989698977	0.0172343656431378	0.0156626996148362	0.00912171829702121	0.0084311788303118	0.00813653507035573	0.0188778791265521	0.0235462623397924	0.0222162605547949	0.0156172449855545	0.0108203192062483	0.0164201553565218	0.0178028562405466	0.00971037453319608	0.00644361440786733	0.0494396456659057	0.0189599845852986	0.0115888942724428	0.0172521169058196	0.0109348711651031
"SRR11292140"	0.381823917105695	0.420117965897379	0.370312503893179	0.230026258822259	0.297403182638651	0.209956319168927	0.366302181397527	0.374247168477519	0.438667784433202	0.215370176724712	0.143874748162751	0.302700025525986	0.353195241879193	0.48332125366555	0.347383698034835	0.259029915090329	0.263378965758703	0.156945318217566	0.260778398405997	0.48312579169428	0.340884845477073	0.207129510745035	0.176007699027465	0.338737956448737	0.207572202179485	0.337828190229473	0.345960611212169	0.415461391446316	0.312719389545074	0.38860915981048	0.258048649003195	0.20701736018611	0.180111714110141	0.502218987502215	0.455217899208272	0.298345468393306	0.21679639725001	0.36393903773441	0.39645654448415	0.148122886917722	0.356221245171873	0.523620095743352	0.49963800606897	0.358085396440328	0.165294828462825	0.424758232670388	0.384040443934683	0.327735371166004	0.292959591346741	0.404777956089079	0.194897137690117	0.315320126151649	0.104146564694366	0.145482213396043	0.332674885609075	0.358445246639628	0.261145768613234	0.222057212807749	0.283715635451813	0.328654577561834	0.402112649646724	0.375554852540417	0.337412479489767	0.439996116086623	0.285658951097011	0.402523677869904	0.292245912622052	0.514365590552248	0.192876423941614	0.261400388037039	0.328152049499393	0.405750515283103	0.349021549450703	0.230335272012651	0.165657909838606	0.344355684851345	0.356610767063224	0.278753513269198	0.188526015500375	0.314724629586078
"SRR11292141"	0.891194807138343	0.965823098074356	0.91671515140304	0.740962428501879	0.835691011071168	0.677617829458384	0.876022447051427	0.912669918899422	0.872177171408885	0.624895544358273	0.924847172893075	0.898562066148929	0.877170520475739	0.924463766923042	0.932474579788693	0.800547719283871	0.910814899338681	0.657740914459466	0.78820494067853	0.918058059874288	0.954746818591887	0.898709937355932	0.8076662700272	0.891750549244719	0.859720907586952	0.902237691457989	0.936634896388993	0.928162738758918	0.93500794816255	0.969719277479993	0.796895512604791	0.85876624239836	0.876884984556133	0.797658877857019	0.90784544732634	0.887891320519712	0.759094390005482	0.822375506173863	0.908946373551844	0.908111738862323	0.853581851994611	0.890380693563313	0.89870909035265	0.837197942318385	0.719172831690743	0.96432723676832	0.829755936423559	0.887641670131989	0.827554759365727	0.90236686261534	0.801449671652416	0.774536491023932	0.647345203265124	0.890309348064877	0.867538754275668	0.888542810867353	0.938146561747239	0.929598855684926	0.817626825211471	0.881421568920249	0.927276930819062	0.836017291759303	0.863653461833938	0.950303537927083	0.848965304356065	0.927117956995627	0.89038440343877	0.947372453450355	0.931120449860672	0.813139173947951	0.890446300589501	0.789697109338706	0.977499847559347	0.938095525913361	0.942492951994471	0.891628698546503	0.851992973674124	0.907761141835529	0.840404624228719	0.930059801099017
