"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR5865065"	0.331360205432179	0.566000635188842	0.446611533599265	0.728407116264384	0.659210068574135	0.633230565435652	0.849626753774696	0.673161798931059	0.680439283226617	0.354096571182046	0.52612400482191	0.44375924637865	0.771478951065536	0.292317746924787	0.463074440508946	0.662474191307219	0.519955118133382	0.816471080012118	0.750571567982312	0.961787172564937	0.36547161307624	0.861375739533391	0.592524652342283	0.399254884038196	0.725065096898937	0.431152510534052	0.502065079255127	0.364955127229165	0.491376050738606	0.553657726719175	0.776822268971645	0.388426701341659	0.525265617488318	0.779638712077301	0.449909256433723	0.397124450313475	0.479688018735521	0.58230929900951	0.657758947615713	0.428304988508537	0.288981300574807	0.58989666429608	0.370345896604635	0.550121562824425	0.522536961171257	0.566717968106757	0.580336574799942	0.571722543660808	0.44460562057873	0.456242937812162	0.745752942025517	0.693211282376003	0.526063120726972	0.818544437042965	0.576449569507719	0.372716743244194	0.342911528226303	0.359345029974166	0.400285788750528	0.552493462218052	0.709687427703668	0.366678469043265	0.480676661590583	0.515603961556118	0.63405545348981	0.741830977924027	0.649208179210203	0.420354404036753	0.457172205693773	0.383079846676887	0.485051592108489	0.295712667769321	0.656613213341359	0.695800803903115	0.557278507976239	0.647145060854907	0.700461444211825	0.458739261583718	0.768658029011704	0.651796463490748
"SRR5865066"	0.0796391057796363	0.409753006519191	0.171808274044846	0.453552889595173	0.284996760274853	0.416527718089509	0.906686487747827	0.479568458923976	0.659074147665372	0.142831820262403	0.282450778482166	0.435128389941486	0.651725345018875	0.115642472706072	0.360078325629346	0.396879694091508	0.189995433500518	0.841484004622952	0.355395112256132	0.784048903333981	0.196463321654967	0.540287383858675	0.20126883001356	0.650892877823494	0.260031135282306	0.110373049913675	0.445701670062661	0.0946814667758611	0.19845814089901	0.275712031165724	0.838438220767472	0.173065402385181	0.188564623011695	0.616083609327019	0.262723482644426	0.125641046996305	0.191724759341167	0.32607453422651	0.394385214219275	0.261973005289259	0.121863745560933	0.371422566181898	0.397795870484192	0.349729631785366	0.433541936768425	0.473575968886107	0.280248764137719	0.400037564601969	0.260101127431943	0.219517072901859	0.459139318535667	0.381475220311931	0.301528490840462	0.661530687965025	0.536566658477474	0.441973977938874	0.215429694693398	0.149913783079902	0.368430253560156	0.601824798122987	0.540711308402805	0.147813315718134	0.469008384809245	0.180541423620504	0.426418442016747	0.721053687186899	0.525845347957622	0.559507548973725	0.247062542721898	0.218618530537353	0.253392996601892	0.187948503560786	0.479946879751607	0.493569496469162	0.252961622385565	0.39220603964603	0.511909617268114	0.156742149183781	0.477227086216471	0.520053634052731
"SRR5865067"	0.01679185173449	0.0981743778181007	0.0503055887652238	0.110233962184141	0.249731827856725	0.125386454170503	0.600335745878758	0.182775995996531	0.201842072755133	0.0801433060869813	0.123529086341274	0.138102591933659	0.278186354591823	0.0408832655458476	0.104467935074172	0.216936097455065	0.0560825640221923	0.519837310451492	0.19316978344051	0.346416851326001	0.102947011466993	0.158727787085323	0.0929906878567442	0.202415388586929	0.17593947697821	0.0358939571027782	0.0498683712613505	0.03151268374332	0.0819230410044637	0.212442449068153	0.461594431337986	0.0452599565435698	0.0651282376728556	0.149127922298354	0.0535361081373257	0.0284557819798874	0.0322891380504763	0.21128309426199	0.12087208495161	0.0701003405093389	0.0164775305410153	0.0973746230408843	0.0750598283698611	0.0592793989482421	0.136286751487573	0.178945985789952	0.218314521288651	0.167019683310998	0.0804261684466527	0.0519168735485587	0.207737990799944	0.192172586555759	0.225285463060192	0.389989811800315	0.132249221749431	0.121586893266139	0.0313467216116166	0.105780168121057	0.0834841549485893	0.179810182724674	0.152847037964043	0.0973443036979507	0.127936781631099	0.0913152890326034	0.217540710283059	0.338687964542599	0.180595177489874	0.118926846947618	0.208997897671197	0.0595961097719513	0.189031315161795	0.0490260336788058	0.0950688750507804	0.186277678053057	0.0284959791850206	0.19511878785098	0.138684542929102	0.0595592775921526	0.246344965417128	0.134868752556382
"SRR5865068"	0.425082184158363	0.622645378886439	0.348021227532312	0.641627010939516	0.326712346813843	0.468706259274824	0.715698387351193	0.773019129687351	0.740655731436122	0.334594954610362	0.460951305477846	0.384034315988774	0.697437951155577	0.176702144708075	0.403863827500753	0.752518287351763	0.596649166175998	0.857659452110093	0.644192690523656	0.920694296423867	0.207358202174193	0.842744020128247	0.360320741607412	0.342864901619286	0.535841971747086	0.276520843135884	0.527645513225137	0.402547697473569	0.334486410221893	0.3010936068207	0.65246273644492	0.363661160495146	0.486913663861345	0.77019457762439	0.559388945063564	0.352499635197377	0.421481393310817	0.498918157971307	0.57144321219531	0.553299315996906	0.356707628001569	0.527279148161682	0.306809025799006	0.678331082057118	0.358947619998081	0.649751767591977	0.46164425424792	0.40660994009017	0.559344675875274	0.354124821682556	0.665891761930752	0.568370827060271	0.302445009193361	0.806770809722947	0.552541587867423	0.306531497045478	0.424652442106198	0.204991508041757	0.260296559956131	0.518013688217733	0.724983726065215	0.195960203435399	0.614687175535418	0.489092957825078	0.690381626543703	0.761063091552771	0.612080309004632	0.268433847706149	0.255752788297618	0.277422266462188	0.290144156201596	0.251745590292557	0.619996635290314	0.683310979392968	0.447578799015953	0.461525700217233	0.682645455717629	0.442787627914416	0.715060100016237	0.698160463020961
"SRR5865069"	0.0797680779067949	0.208194878797487	0.17547111225282	0.459064868441576	0.540177840983578	0.396286557185675	0.804887202928396	0.529968295431238	0.480497860878926	0.176860491874737	0.42271779493467	0.365310258749453	0.468812838901264	0.20790590366979	0.276787131620002	0.467438726829188	0.211747238348465	0.621342883591098	0.401854887362039	0.675908064470874	0.366359272330106	0.568886704531404	0.30930169249978	0.418748599904633	0.308125988631899	0.2559885763338	0.178083573741974	0.138946486113762	0.322718153334952	0.663575477309769	0.625419702457923	0.211284255203705	0.227955957492979	0.483060981203339	0.162057687975333	0.149402143822504	0.102877708311026	0.369931941887014	0.366246351197301	0.159838378394447	0.102129726298817	0.225243600594905	0.246182573620376	0.367832260267029	0.429576261841677	0.27863530157245	0.423354376257065	0.373993815941686	0.297241292967514	0.251688857234622	0.438003686379889	0.370668179511917	0.492464443057906	0.676259363837894	0.292854538256397	0.280300621661253	0.148923098634321	0.44498792249405	0.319796128728449	0.412135167971874	0.452747005165699	0.422017406746709	0.24697663049424	0.249031728523114	0.336190284450763	0.46922373059145	0.528835716122583	0.36546937511411	0.557113165057372	0.248031582667152	0.579379738293879	0.24563931936548	0.330860617862469	0.374154740151681	0.245247096674934	0.468151712613759	0.383109841363826	0.271238379863712	0.340427453260444	0.397684727234266
"SRR5865070"	0.0824819031439619	0.344520183788686	0.148488812956856	0.172227135105359	0.188543848587701	0.185659181806224	0.601365853466609	0.313417726896583	0.390018357434206	0.0520805104343735	0.140457312429581	0.16039553257932	0.45356676785246	0.0334186654803394	0.109602101125361	0.463281376613242	0.135954083212384	0.599129726789697	0.254817635273666	0.532147674154089	0.1196106280061	0.442217043776951	0.0691591435340523	0.209562148704907	0.152370563685983	0.0467629714316695	0.193905099368179	0.0970331608224288	0.103353497117555	0.17499970812255	0.482137823305999	0.0950846296748299	0.0970597774248345	0.391810135793159	0.234585653012192	0.0951618574215378	0.139025030530957	0.247467752563715	0.247728271523359	0.292271138678047	0.0592594429495834	0.245938380875303	0.143958363667804	0.304992084540592	0.230750547737704	0.407101144026278	0.203292339664663	0.229767936431931	0.192350846953843	0.0989584402743664	0.369857555835499	0.295727011668158	0.15265466823301	0.449272377758671	0.279897849797261	0.20533943889921	0.11916814441499	0.080681974258748	0.156927664182024	0.240540646025342	0.249737768969843	0.0896685592271304	0.377221875333583	0.20188040377901	0.300540301800956	0.598276592367329	0.216689305609065	0.22980817681996	0.224658652130169	0.0881635238366251	0.208924011889588	0.0664097421156349	0.269307214072109	0.370823087194349	0.161440239000655	0.192966296515437	0.289104223289164	0.12137833630328	0.362036584698705	0.350889710290551
"SRR5865071"	0.395580414835149	0.408558078927798	0.454288502490784	0.692602793309516	0.341921596295174	0.574350907114046	0.841882775806917	0.701562133213591	0.618094350853427	0.418590044614784	0.626938140167401	0.673852154506188	0.533063180274971	0.61318215099043	0.488426417689239	0.656834359267017	0.525780878173314	0.4960125658517	0.573124515418606	0.619265628735628	0.561251308559976	0.52623706609086	0.68244795227713	0.508468792789337	0.53162897548659	0.618680258556671	0.448717838213597	0.591856247650956	0.501769149079942	0.57961095969814	0.76499053447729	0.621761912224275	0.718851066787363	0.590785878234803	0.507470981713875	0.569298089264697	0.279764545925564	0.62962582789417	0.571541870731463	0.496429931278702	0.577829111377675	0.478070984716111	0.595202743099208	0.609065855037364	0.734489487674505	0.427266517427732	0.591799195193286	0.426375274393934	0.566544077402922	0.602173589251469	0.47905116219895	0.536146624878119	0.375959214382989	0.66454107325191	0.4729931910696	0.623097985494257	0.579169697788279	0.370765528091159	0.665454964588892	0.820636757924835	0.606399737665496	0.489585494789367	0.492083521556429	0.632012797440752	0.591285759490636	0.543510028228575	0.643684527135588	0.56537912213982	0.505884198217759	0.517494890429359	0.567206826838171	0.672763200074335	0.531723254490704	0.591604026925683	0.589106231245362	0.539719232781718	0.608462336374927	0.611940675053355	0.585007235062738	0.506860463263709
"SRR5865072"	0.193941330239714	0.536813434653838	0.245865608395872	0.433293969055518	0.40685060422869	0.493998734064101	0.756460436485406	0.261528186849414	0.593638767641256	0.196340044396137	0.468105574633297	0.405094367581072	0.47329888273506	0.138925350162611	0.348495263940721	0.44684977363418	0.201402214590243	0.61936586481217	0.441734075067481	0.513205431064629	0.177460215300321	0.457106472152956	0.242170521997055	0.49337712716741	0.270091465289551	0.127919600527367	0.414879420918247	0.192563044850721	0.248288804970803	0.325649607804123	0.637333017983497	0.161203778113477	0.187726208292726	0.493098843976738	0.469867150210855	0.138733100015019	0.231432792027614	0.398243563305403	0.289566122888364	0.356774382276531	0.144339131228002	0.301523595996242	0.323257411413734	0.468112905942237	0.430025830894916	0.484810856827529	0.327701343994706	0.355258290585682	0.477538911110769	0.25443609359924	0.384942511327158	0.310502794192376	0.365997567313259	0.45268038452673	0.523192621797375	0.317461235409614	0.300949228204297	0.214540886633611	0.367463615248657	0.423986289171089	0.481221209750498	0.249476305341016	0.464899917083073	0.288960240685506	0.31478710884942	0.563336837898041	0.476442715919014	0.402170821373419	0.348684580314851	0.271655387814108	0.448587128025737	0.208321199479161	0.453487203954939	0.41909296556339	0.178751685627426	0.458880176569045	0.460135692845339	0.165913675825594	0.359963819145375	0.451622220660968
"SRR5865073"	0.0695641032716367	0.0989562457868516	0.129763942161211	0.219173488235703	0.174594846348884	0.0925871921168738	0.633733448687957	0.125345514339392	0.148708888016533	0.0978017679983538	0.101307420961375	0.199006074037946	0.616481457962985	0.0519871707155249	0.0601357547172801	0.191850154006032	0.0985724603688679	0.327481423834393	0.298679701356209	0.610554617879968	0.190313882635782	0.121624269688909	0.140661723452748	0.243124681584003	0.375966132255056	0.135717792553947	0.0510838992699589	0.0667714257091627	0.120445671654438	0.17574536001176	0.512752647734721	0.108818474632251	0.192869740123734	0.169977902837123	0.0614008851817925	0.0719014432222654	0.117096134603031	0.252954179889826	0.311566055857531	0.0758122325335212	0.0344021960687572	0.289432613954594	0.154649230453101	0.0849651553733185	0.250366003043008	0.093651987053496	0.194744305826164	0.226110206606488	0.0679066730094119	0.0762093141699625	0.18235336984006	0.425246712641524	0.110533347100761	0.454433349367066	0.116682402050942	0.302781744275032	0.0640830551721184	0.0589738689586677	0.197660314202256	0.26104479333736	0.186008112628298	0.0788160011516433	0.105004229178788	0.17660712887085	0.290294831510668	0.49845291132272	0.159663109156229	0.185087078781649	0.131317129615658	0.0737415964036136	0.134163525023385	0.0987808507646857	0.1103052644892	0.31865464813299	0.0925507110127997	0.19059302391481	0.298626047477112	0.103924371208442	0.576715130050955	0.135482068929248
"SRR5865074"	0.276559692970388	0.602822299783733	0.405848236307919	0.518619177330412	0.461874078500882	0.54816476648582	0.872146951960101	0.565922322634233	0.630848522689376	0.210306303217203	0.362158937939197	0.406589458491528	0.694017183934147	0.255003599002746	0.463975340763808	0.683269803044126	0.366215971821471	0.804389212572159	0.544228037697154	0.858770459192551	0.276257302725495	0.754398671134504	0.357571802813191	0.510945314631254	0.454609949521291	0.193858535591947	0.523267112411513	0.385777245601217	0.307229374743881	0.436056679649947	0.795748159458024	0.391576761201393	0.411937656081964	0.700891821539417	0.50182881669017	0.423910731425609	0.398230545045525	0.587278322864503	0.541957438127315	0.473406546899452	0.295101202878873	0.503901285824059	0.417742878266098	0.602302724355936	0.526264977572401	0.602026559421361	0.516603449302527	0.502957715315921	0.519094075623833	0.474837827916038	0.634585611985942	0.576506556756015	0.445893450030049	0.709433409107956	0.563135298610218	0.536495317356543	0.336071465299258	0.28788592799996	0.517102432911277	0.597612862507435	0.593133213297896	0.341194202605604	0.540989290958463	0.501919751554611	0.567473863963655	0.767706575580214	0.59278234871081	0.494289788403729	0.419574703569526	0.361162900259571	0.536300801941931	0.330691193282597	0.657104146796269	0.644126258795298	0.562571900540174	0.52976648546136	0.608562091302864	0.339863297564784	0.682340059150485	0.647830817149903
"SRR5865075"	0.0750405455898904	0.428867092672592	0.0885908910213169	0.326974061808415	0.450378250926306	0.424432174824358	0.798047522045274	0.46395938930367	0.480991628720594	0.0888229039123484	0.428386154157744	0.281912616420876	0.382632756122829	0.0286667419614139	0.234548245390549	0.576515709685185	0.195168079559233	0.760642586331495	0.492586568665186	0.649536599559354	0.0997206320104658	0.642343860615604	0.296698237806499	0.313886337801707	0.232701990898915	0.0466282869078261	0.243093887920867	0.0478921641846596	0.307986253238521	0.454723954539311	0.556760798885667	0.0547575231480682	0.0631646558310677	0.629149827474273	0.280061574940768	0.052193448554888	0.0998373403347687	0.273957989386602	0.261321557370889	0.248180690106038	0.0322020953198235	0.210959630616107	0.153906239808356	0.365146515303739	0.284872516681271	0.421491102394409	0.257207860130723	0.365980067979933	0.208808881825218	0.0991148937025761	0.475853981357294	0.288011440657051	0.439423776362527	0.606892172622051	0.365954395918375	0.183736976488529	0.082383669150282	0.231080721014961	0.184183720202917	0.334568237356145	0.41156286582519	0.186055148587495	0.356678422841042	0.228690214967536	0.254882372873971	0.504987820183198	0.414086598670743	0.230985204671015	0.391509790572314	0.141296593726472	0.438703728238095	0.0503223073094698	0.370306809630873	0.360514447831901	0.107290238657962	0.230481439587838	0.316901739567063	0.209676118366387	0.221010622152531	0.458454446031626
