"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.533686370843172	0.637095368754182	0.818026844703227	0.713911498528984	0.853623120451837	0.667822787659262	0.929367145796755	0.857735489724678	0.784508465785917	0.694234717262154	0.467856078248881	0.488027019168807	0.931169131589125	0.767344447891843	0.843569196472862	0.535591747750068	0.657238670742284	0.896802798999682	0.717752999874222	0.928165366698471	0.711781828637617	0.893933715870209	0.643596234106479	0.784896764798669	0.861370956384683	0.811410995846351	0.735101391260206	0.599681199512132	0.689561060419463	0.842761102527926	0.9610295903323	0.809821799940795	0.797482019933274	0.800448610387814	0.615405191222169	0.657177550769715	0.860426785758711	0.803911741012322	0.873666022796477	0.384078429827815	0.655220661820968	0.786129717723735	0.738618631131017	0.786657685406397	0.740293447736403	0.696152115161223	0.797748068046519	0.654291894137462	0.669574009799081	0.811300821135061	0.913917612636712	0.890783730867269	0.780995195457431	0.949739543287266	0.687676147715892	0.871780370729982	0.685744262754696	0.809566912826934	0.816590730411596	0.833692527955457	0.837980276145517	0.744368176132977	0.497105132045057	0.695430598321513	0.877638795591235	0.898120894737123	0.881519958086156	0.846307290188871	0.701923122870428	0.736994769275832	0.761982127414466	0.774516500792268	0.696545079448089	0.899693935086158	0.616677552513863	0.903123593871039	0.852922803422388	0.648000656991938	0.949872252729163	0.861427204464015
"SAMPLE-2"	0.151038061228484	0.225716143034964	0.328779946050856	0.114780559866539	0.707297680035304	0.100371810938359	0.401868764523739	0.300586339099643	0.19740311595675	0.215145010505796	0.0955616068371508	0.303927111513108	0.233422569056227	0.17481547140273	0.36787707065827	0.198665102842984	0.118593471325447	0.295898971400275	0.361178661365047	0.115332581124178	0.2974982516644	0.264875256373236	0.132397413627572	0.709996950085696	0.145389979846829	0.299329369234417	0.153671460587135	0.213581451675886	0.21901615975668	0.627130310952495	0.624010619970238	0.229392100486023	0.108237175285155	0.183463538543605	0.150539438691666	0.268398230182993	0.376581807059194	0.364579815123919	0.210362164870911	0.0761971686179422	0.0761018488805068	0.285515631994671	0.492702085867058	0.255310584231303	0.496798481312486	0.242269540800421	0.356611261624831	0.365379859245999	0.20528220584811	0.241045523985301	0.301559355475293	0.177484069799865	0.504332851246965	0.42974022971195	0.140723046751052	0.794482949483532	0.186418390745949	0.510977958744348	0.564294146396083	0.685588699148036	0.257854848467312	0.471830861831819	0.135661961590299	0.272611536074671	0.247966379690535	0.190737395235416	0.282654793473119	0.671953169769674	0.529104518712494	0.260208800217581	0.640688513905007	0.252417299733766	0.175159081026501	0.345096927420337	0.0887223469178598	0.325660661443614	0.21084379256667	0.164888989456234	0.227280033158272	0.340904480011579
"SAMPLE-3"	0.658188228532284	0.821464203287611	0.821641664411888	0.810935137347647	0.819661513644246	0.795206108846579	0.895295637457232	0.882844588525768	0.842024779419605	0.724956682165449	0.698447049436968	0.603041146345801	0.874653577057031	0.826352930164601	0.86904782207338	0.886135095070996	0.796498872713617	0.92603174888244	0.8170775855082	0.931134756408663	0.783440266261955	0.90903170501113	0.826588813628552	0.709366946064727	0.913495178551501	0.823733037625963	0.826011970719409	0.836485011227883	0.775664169413177	0.905105896568261	0.914370761977373	0.850139318834839	0.846253353791475	0.882182978938199	0.820141468908356	0.825325023372909	0.840065800013648	0.883272149363029	0.875414689518636	0.701704003385481	0.783561347940187	0.775196522338923	0.7212698209469	0.899397753362451	0.835101897969723	0.804216912019765	0.889723653732968	0.731412370020446	0.87775517020668	0.853398196679301	0.899383121997032	0.862899072663079	0.849327215307274	0.94748967417287	0.763259351009093	0.850261509894976	0.789494926998057	0.850604539369471	0.792761317419072	0.806684607290528	0.867466547692874	0.865662984364908	0.736816828071334	0.877917030102588	0.883675147439552	0.884271164003552	0.884509474968155	0.768414477717741	0.867151438827104	0.785797364928769	0.910155469184101	0.817594548601607	0.792632014043859	0.892620825800107	0.755594947737988	0.886606178800803	0.845477763334269	0.762734241431837	0.926065276879021	0.895575948981719
"SAMPLE-4"	0.28166105523922	0.700057800863995	0.693834461590249	0.648976955032314	0.823717812256789	0.731303715304807	0.934399013408478	0.879193626155741	0.803791601655619	0.407174730197697	0.636715064344172	0.642529235812768	0.55376608843674	0.749762641798019	0.851563308389822	0.914067322902862	0.822733806367708	0.897521213056599	0.838218349355254	0.481468950376645	0.669922665532802	0.843548925741017	0.590862741314355	0.863913392388335	0.350923918358115	0.690013446633166	0.83790910689681	0.799491728389955	0.628638470003532	0.939192977894931	0.931252723554269	0.760652734697347	0.553476002277376	0.906206570833192	0.908246724802428	0.706450273428628	0.418315028854881	0.827479709297198	0.667491884862241	0.754228334746727	0.649263974665073	0.565968840757597	0.860942530980395	0.846567966763509	0.897652727051336	0.777392179755105	0.813119910802923	0.785360033052458	0.888478326732474	0.867611806682681	0.744450116633745	0.643699089860636	0.908365938836706	0.880548605573554	0.684055352589353	0.838035238505377	0.742579327906771	0.867624239749041	0.843512342858222	0.933891166380255	0.848847732958584	0.911160741509639	0.738852198017518	0.888320778058849	0.658350715037671	0.644973909707408	0.885029137807568	0.850463376642964	0.928520464986245	0.782031602382094	0.967978819832612	0.744007739140989	0.744020696137191	0.791062360804582	0.635653444649845	0.754428856376687	0.693991732906728	0.814187793764139	0.604895371123578	0.911766706050987
"SAMPLE-5"	0.403317945644528	0.414340651298251	0.296597727989443	0.207378979672315	0.573758154849405	0.165406387248278	0.874263934279344	0.408110223692333	0.410260461693386	0.232801944995279	0.38038844684088	0.600891004420057	0.254734523168875	0.285577732077814	0.467187782047271	0.34306193009728	0.333574902243104	0.631242931752651	0.433175801911527	0.113078953283402	0.311006835524926	0.27079144872614	0.0806715302222634	0.762145646583116	0.103612179939999	0.355885191159307	0.407580025698625	0.284523466524094	0.219299067274885	0.755833827781973	0.875961623951876	0.337702278359798	0.131526086607478	0.456763507277762	0.412362283289224	0.280752421419534	0.299477619308565	0.398327238270548	0.239742285457262	0.228625300773823	0.154706667586066	0.332711667894562	0.606574916699167	0.399179589071106	0.560093130976714	0.385735382781918	0.391574126248402	0.458852055499875	0.418497498874698	0.396309645140852	0.289298256823093	0.242129798101242	0.625358948874591	0.580530132844851	0.335161681080029	0.634278070328071	0.228089833630917	0.631426012981252	0.554218017272624	0.914861162572402	0.473647464725023	0.548101267950403	0.288999927696441	0.409277496091179	0.325141402244774	0.239560900564769	0.512827424632869	0.649637167559914	0.618635189810503	0.32703567693266	0.702274994444302	0.255739157129905	0.338116176820965	0.438528240572022	0.103172426995684	0.368602192607924	0.296957563955626	0.325355910629823	0.260175645182428	0.548070255658836
"SAMPLE-6"	0.383142801580579	0.49506481834656	0.394883984639008	0.419312600122494	0.808080728823701	0.555090743925416	0.952465137004761	0.596148502319006	0.476019437702143	0.145528523048404	0.439352297994747	0.788651608659397	0.331232617674821	0.305912530060713	0.741389168365387	0.494786851908519	0.652826194911581	0.504766476003779	0.741511254377596	0.256561921373685	0.270320797755383	0.570370212009333	0.389881528989606	0.881447973044183	0.151442509589236	0.425238564286304	0.684072254462077	0.314816927041972	0.502405816759841	0.829395674039256	0.95914719557681	0.472388185663102	0.214686040999211	0.686302219710674	0.797872716076135	0.345371707401031	0.324078276021312	0.575906590134658	0.34192682297865	0.496087179849059	0.289097656348889	0.306911603769415	0.892961338805825	0.538328227011815	0.779915006999137	0.488628702189727	0.458891534951488	0.564319710422589	0.472541183244611	0.491673835450725	0.492689162052161	0.543219653561628	0.769218236429631	0.603096742900534	0.427218948553288	0.842077082639137	0.30077084152175	0.711707522318808	0.882969488138935	0.956728943964457	0.613682397403044	0.701419076846999	0.370173512067784	0.711258799839735	0.365192872274956	0.350601080734729	0.628758637990936	0.902049799365393	0.72621120228587	0.670135615868885	0.847243216890511	0.309476821459963	0.518240275872819	0.53370072893022	0.213580867400766	0.514671052420926	0.474913605198755	0.728068019454042	0.356374035368072	0.71881460116513
"SAMPLE-7"	0.385638819652745	0.711785194755567	0.876909098546794	0.708900461275634	0.90440081499289	0.7511775373224	0.7397317796814	0.907195416619423	0.854114787664	0.744123755146852	0.788016304451129	0.652815272140111	0.743176460937123	0.866307748755233	0.839466146536208	0.923552045862385	0.895852722268214	0.849837639127195	0.911545915784455	0.65106702674069	0.81547212551261	0.909655452135281	0.888873186953616	0.800512841476091	0.651572564470057	0.745347884231208	0.871084730755234	0.884511352796878	0.803681513543345	0.950641204457445	0.836934155821747	0.865392757533295	0.777940692052618	0.923219421974842	0.910275623910124	0.803726987439202	0.647648932058673	0.857904923972759	0.856517047387463	0.815625078240115	0.819462206625859	0.816108637305164	0.813674563074702	0.871756013824818	0.831825380355784	0.85507813163318	0.896747279376584	0.868420538172205	0.920815360374749	0.922273605359925	0.884758193478484	0.775263791553684	0.926887168112883	0.881518711726947	0.774257054717752	0.898617772226433	0.830536720474406	0.882278910885908	0.833359273609429	0.86115795132699	0.861552601826206	0.910256762462591	0.776976865095393	0.908953905245038	0.804513110291035	0.74187260707475	0.917902474439828	0.818137438200244	0.920036739346068	0.818754964490637	0.947429506248973	0.844438209223939	0.78298489019486	0.88537293163955	0.777998626200292	0.849069108658902	0.807721900092053	0.872898194425106	0.794797965897771	0.868712715443657
"SAMPLE-8"	0.140574252430407	0.265755328692484	0.406986896939096	0.311530080294326	0.577374483095693	0.249609658146061	0.281404390294081	0.588702705447834	0.536784190382311	0.26740697459135	0.378141813712662	0.327619510917216	0.38902449510018	0.303549596370582	0.474636185890627	0.491701987859616	0.567316923138113	0.733845135729932	0.608782317585412	0.242581811041746	0.417035413227006	0.547523896379054	0.494832914197157	0.514021450403749	0.201075118868492	0.272599297873647	0.394732326501295	0.263698676091215	0.45150669384434	0.711772499155423	0.44950604560522	0.366737285987228	0.223866655205869	0.634373897683828	0.472483698452764	0.218883812737313	0.254634823057833	0.400848124319575	0.424054191003124	0.288739447704279	0.202824090779048	0.437591195086921	0.443755329126684	0.42006842924377	0.350330009610707	0.435648602161521	0.522209649837037	0.476401914753995	0.395335562805097	0.429620167156081	0.513699614324082	0.370585511059492	0.521583398052272	0.57008631889274	0.343721340158434	0.653398486301457	0.227016323930568	0.542445497071078	0.43688295139047	0.567519162566048	0.539585672690961	0.440103084563579	0.265713738171475	0.441846988699441	0.422667168060122	0.306640793512484	0.611843415650724	0.468300464816293	0.539998197601301	0.36031656973149	0.529111732877626	0.264839421008236	0.333699187730837	0.550505412160648	0.177895621441913	0.491126365029149	0.393964594617695	0.539141476120191	0.338856295052007	0.513530355297408
"SAMPLE-9"	0.585388310729327	0.769474441742559	0.71377134477279	0.611140831267752	0.839094526726842	0.68658002877152	0.743608539722338	0.878253503861933	0.779369659970923	0.533145625411102	0.78107016797506	0.549873739729175	0.51904501658735	0.658165757974744	0.772604285193296	0.908886521932727	0.854748364290707	0.869055682562283	0.85145297850257	0.53627230062634	0.651291147703838	0.886624179447696	0.855476443601746	0.716002077462559	0.623526672763981	0.549392252619771	0.753275625945141	0.72665756943544	0.812005893943515	0.919853483496468	0.749789113357636	0.696451255653622	0.525390060843665	0.893948118266549	0.890350464430981	0.681057466572256	0.651479245851711	0.772789227979324	0.690434149524734	0.773642378672442	0.605707638096684	0.610574028124933	0.754992002016457	0.900630136756958	0.780607938162018	0.793817445828049	0.836016453451412	0.732468960144628	0.825910502203377	0.791045052618026	0.835409110522434	0.67664432833658	0.864968105386056	0.814326369034197	0.670753874186878	0.834224275498183	0.637025596671135	0.861250917561475	0.758533757616758	0.804327106145783	0.761864057021303	0.855131692354859	0.673942754848467	0.892926399343371	0.664625699656802	0.59407387578063	0.833731469108202	0.765990065146619	0.88791601514966	0.718192189189367	0.928166920856934	0.637268116913385	0.734411590806621	0.772916760389741	0.58444350289449	0.76887966840736	0.625383292844645	0.860639293479604	0.574058383435132	0.853623318158977
"SAMPLE-10"	0.539624111935375	0.555033635511607	0.69636046693215	0.790348631056268	0.847658566365223	0.626109987205318	0.956658050388758	0.924846639119484	0.726088878898084	0.669516694861089	0.684145525972443	0.806463060777384	0.637750436700915	0.827705281053789	0.63081939457468	0.834594971439608	0.770110249898867	0.666780753391634	0.871413622670913	0.841969023127843	0.773773704505335	0.816623702037887	0.764873429850966	0.787923022828876	0.732203818273115	0.862475847663613	0.624899339604395	0.903902056289061	0.786506316460653	0.932799071083714	0.947502984905287	0.839374219031813	0.805495875729329	0.760981920252094	0.776868429208196	0.884135340229869	0.512788408261274	0.836696868260494	0.797690801231849	0.681452190682466	0.787870076864463	0.664403879986132	0.835204033185041	0.847564097809212	0.915846201031623	0.647291832063314	0.850963290576753	0.808187590876364	0.858969106161434	0.846908869830742	0.758825834558686	0.752766947225147	0.894848587021968	0.901550449831557	0.553589974023349	0.895681068935645	0.856463058358954	0.895007650398372	0.874266854073638	0.967505598651689	0.777761481371046	0.929122838306528	0.665497316011308	0.921243923603255	0.826093073290309	0.694139724678557	0.877258540471119	0.827969717420453	0.929961739171707	0.790282962519106	0.957967332129328	0.886931245221791	0.779882254674168	0.788880768029284	0.856043108033268	0.743939486084251	0.765384342140738	0.892551003803537	0.741064132101252	0.773405826783109
