"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.601162372179445	0.60405480372101	0.615506222120251	0.739818170521456	0.529975449710068	0.686828205392567	0.856422409881734	0.890780806098437	0.796388438115337	0.697878130080086	0.648494529439166	0.520504689526557	0.868801430913923	0.578617356876232	0.771022281066612	0.585005497936312	0.565495124887872	0.857203054103001	0.616001265322554	0.918064386023076	0.497259444129386	0.855941055964393	0.74084183587478	0.514461474918744	0.80587711546292	0.516227604753572	0.742381099736305	0.548463118066258	0.74619949028021	0.621692453554315	0.862750617459622	0.612414606993425	0.695496434892418	0.8666646499695	0.624917151924324	0.580188856049524	0.593981655207922	0.689393291092896	0.849938238287035	0.55374539339074	0.694369605802811	0.824679360023357	0.59756490661945	0.797998918365506	0.503209481917514	0.639410908670691	0.667870309035323	0.669109924518558	0.572119609222361	0.632719624364096	0.851425932907795	0.868281098698111	0.668627460028305	0.894375382928812	0.706191458435791	0.521013574011246	0.475049572985921	0.616860386980028	0.604491158181421	0.699434732783819	0.76428902419977	0.495581680729718	0.545202236470908	0.566750417918043	0.856317924141763	0.848091060805881	0.799814485133231	0.52235000561845	0.430221414413639	0.602822001441473	0.460917765452491	0.57153162880346	0.72747389133924	0.85584646914636	0.666825179022701	0.798642963229458	0.780222864430059	0.753865420273129	0.914476286000112	0.795202758716486
"SRR11292126"	0.476857682089138	0.480750994342111	0.61995799442165	0.407531150190296	0.764067214560419	0.327406429930603	0.780534642429057	0.633908931371703	0.531258186973486	0.327846012516843	0.477202730731331	0.679569998372754	0.466321139722958	0.404873046679261	0.490028908245924	0.606430320660838	0.359071821057438	0.329104829747553	0.623592812581686	0.433729452291232	0.518940326479989	0.5334231699786	0.636664765093032	0.632713981300871	0.47743855766974	0.563503218366695	0.440593397843304	0.622326822372037	0.538376570869331	0.828383552127088	0.8385242923243	0.560306478807242	0.436854896899134	0.374300405510563	0.452868261168893	0.58188064072413	0.590258003323004	0.632695540291644	0.558741674026069	0.407980985363286	0.377866885421976	0.521154249062215	0.645308930796082	0.716823342850696	0.720073445054847	0.534560222798215	0.698938566262077	0.497636439615252	0.596561931375547	0.575727226109158	0.641641062221143	0.465640718438235	0.622218063983138	0.705916664120604	0.359870691488283	0.803611498292851	0.462456272754266	0.658387885240555	0.686453391834917	0.91379629669665	0.4537547033358	0.683477340608185	0.397504621479386	0.667128025739843	0.545906648330766	0.420613869833925	0.544730964280956	0.717166175430088	0.733531161655631	0.471688980443809	0.797161092959654	0.454050721853839	0.420577741213022	0.662496635295119	0.352761822478875	0.583288103169713	0.52465069991816	0.559440302706863	0.535981420273755	0.536201045281635
"SRR11292127"	0.499680262231449	0.637675961648931	0.557730338699583	0.713703477204571	0.62015136721848	0.677861073754366	0.526650518728088	0.790786289978106	0.818896920016898	0.589402377420696	0.638633656916043	0.455955115138116	0.552437760073468	0.570582357983706	0.686957817389073	0.572095635762257	0.611215334567942	0.798482806966572	0.548399715967791	0.720972124293338	0.573054845162721	0.880904086395385	0.605118277564705	0.521132913372395	0.417812629283136	0.554858554149195	0.718667284173757	0.382836776462022	0.678773307308801	0.676521906497156	0.602982014513264	0.572730376244581	0.490921774567422	0.854038259213022	0.544663529578463	0.531364778068716	0.539124480021864	0.504976507631481	0.644891161813867	0.462204647613347	0.52050578782685	0.671144984778255	0.508063762364645	0.724555544471654	0.551519135047488	0.689811648993143	0.612588897609267	0.599320679064297	0.569476212322327	0.564761292283965	0.8054449994341	0.523520026467992	0.657833948589994	0.749156745178706	0.72293694537125	0.429802822014625	0.361595543790188	0.681102380120132	0.525117990805944	0.565567955944265	0.761163525365933	0.54103267383737	0.570685726873816	0.423180987376874	0.593257114105665	0.527014388530356	0.77967252595551	0.614725485537755	0.618718387566091	0.523088338201635	0.551032547890924	0.536498775367469	0.726994114089977	0.706764630292711	0.653713778353445	0.733936383016254	0.614033683222162	0.618997418566747	0.486939891617912	0.823666073694323
"SRR11292131"	0.325094020949357	0.43512784182956	0.531350041231045	0.608207421711105	0.623705044052935	0.616486484085343	0.782870639074449	0.80355777894448	0.717811636246163	0.387030187820147	0.759129471088586	0.465986730014506	0.71658010308968	0.37902806511285	0.571638930694992	0.824533134615395	0.45783821604246	0.614869142997136	0.752473004122879	0.910211875186786	0.604119541509717	0.764825685156405	0.761661408220699	0.306605924862332	0.750944686761316	0.494436307432913	0.382133227634562	0.671298352514456	0.55820232593461	0.800943585308334	0.59634681644569	0.50871566666681	0.578437935075362	0.636583234863974	0.453217116164073	0.564193866052362	0.35332264104455	0.693251309315544	0.750026348597698	0.593266924375763	0.37850846559323	0.676007866862835	0.313779770574233	0.69729780159554	0.578024253346577	0.619260753236494	0.740563460427031	0.670728041183118	0.688845612799219	0.570855861788567	0.769654723262963	0.6694561864974	0.640167846273806	0.866351125446093	0.477909117489911	0.28404408958591	0.408120789178576	0.448886711277337	0.275256932807337	0.537266135832026	0.55145919261414	0.539672535350499	0.601332329324217	0.705276045314912	0.708691324282981	0.719436337700442	0.650810330065227	0.267848917114314	0.658817535846339	0.419332301639749	0.695011595145465	0.409665075853922	0.560492669245257	0.751309199447573	0.679587584730629	0.609255225808649	0.654715194874387	0.615438910779989	0.756479972783531	0.605494472902585
"SRR11292132"	0.0796728533616921	0.0744938762750407	0.082956930508191	0.0773075329772115	0.348102037725229	0.0656960369977733	0.802622105427539	0.228111130233479	0.174367533741959	0.10375826715118	0.269498763620709	0.523046070985407	0.113977434174701	0.104141912419036	0.195738212047691	0.132772908042453	0.0415122445110697	0.185508245401187	0.147157691813035	0.0490876311550293	0.218294597130789	0.0557377275028783	0.0787784776179709	0.559921115043884	0.0561351776097954	0.165541656686349	0.0627261293409354	0.0981513601179169	0.109321156663353	0.508498891984544	0.700161301612612	0.102132411213914	0.0601377171544032	0.0904709328196344	0.0609290706094155	0.103709931881087	0.0477528634664089	0.237610285270509	0.0966567100892644	0.0446588779607352	0.0317076294012689	0.126424137819724	0.26960046889561	0.117653929785022	0.394068837719251	0.116796328794284	0.26720458316994	0.242921065938844	0.141812122455002	0.112649443773793	0.0996098061669581	0.0825762648061458	0.360613954171346	0.336492778842261	0.0833156159305847	0.354778167320732	0.0982170473742536	0.34097135632879	0.284862841663602	0.782275191122685	0.129439571124765	0.323935910587572	0.10849839800113	0.129095665308398	0.165210829802049	0.119418934599869	0.200315747652027	0.396054547546499	0.463519852623613	0.131143434670048	0.497445208984838	0.166479916682563	0.0906848056115732	0.163799855562738	0.0454920328217358	0.181758812681077	0.104612481630317	0.0934417317977426	0.0923313012261191	0.148189033454505
"SRR11292136"	0.132677018047077	0.154469195521935	0.241253787352775	0.175345060503803	0.360787161162268	0.176188094667725	0.527402350276218	0.152126924073043	0.272885651453178	0.227422861476207	0.181081371656924	0.211814109289675	0.549133435763989	0.150431035291698	0.166271322297964	0.125785816635844	0.0861238682115523	0.232454102136418	0.250296682196873	0.522128195431187	0.337794914292293	0.128120851215014	0.121237290888048	0.243553593308838	0.396762094792807	0.220609802490714	0.114714758301046	0.132340401181643	0.181497702634311	0.363082791650338	0.492002150458158	0.174070972969428	0.205904309520348	0.112538570741527	0.0905774616307687	0.162334231103545	0.198183453638493	0.315295084830317	0.342899574751961	0.131187073304154	0.0748074560338007	0.398646281408409	0.163494843506602	0.140194857766528	0.255903825886924	0.226192501806741	0.326394204757216	0.34718103978615	0.146046926923858	0.165902975152956	0.347100978815114	0.439216272456073	0.287146936462112	0.456081094384635	0.221658308429155	0.174780572232084	0.106283660738158	0.209966255471401	0.148816644278204	0.241365998085481	0.131249211693273	0.192127608253054	0.192790569067143	0.218442962862192	0.380792588844978	0.480043811967453	0.246546555852126	0.195162538704244	0.27793400333585	0.150283788926837	0.240113079151649	0.168505854096382	0.200377140049207	0.375307885975235	0.179435197443027	0.398560287772695	0.288653908355742	0.143374734589825	0.5471910983194	0.115626342260736
"SRR11292137"	0.226246240713409	0.466316017427489	0.618057081688297	0.614725512289212	0.577696182482679	0.600907725212868	0.658823201015525	0.805157666217334	0.695021265147232	0.540030714771046	0.814330554058992	0.443056680015971	0.713496913390681	0.523109194589653	0.66128913444448	0.876768911721303	0.680343668370626	0.870322668970992	0.789661560134676	0.868301226229582	0.646011469303335	0.911416040985722	0.766309135846969	0.307922026993783	0.71125082877483	0.572655940424341	0.614636684981025	0.715295231369739	0.691023488107266	0.737145381761336	0.559707141907636	0.43702696879588	0.483978153967076	0.898375806051174	0.75885027248088	0.533570540810286	0.294768035490937	0.682257859745134	0.778184082873911	0.728772923925421	0.562256627100226	0.734579992571827	0.381492803739119	0.610284435291781	0.536359704510854	0.741965268100681	0.706970636570104	0.725995684435261	0.7611778615005	0.578837587411198	0.842705384838802	0.753930224072162	0.713556098242197	0.894354245569408	0.59551636923376	0.310741547580113	0.629783519425972	0.554176032080483	0.291882690861797	0.516242551571608	0.719925635166014	0.573464234591145	0.68055017665264	0.689051132440709	0.788314208334115	0.735593123299191	0.739983697924616	0.287508559550893	0.668843630692547	0.489803883417323	0.649611205812421	0.505453222833992	0.635997993636638	0.805151117067701	0.614978870327158	0.514633890104292	0.644270339478932	0.779296831793923	0.792682359013105	0.74887565338092
"SRR11292138"	0.101292974429017	0.0854786929467115	0.111570239659805	0.0901159202998661	0.363843666377954	0.0730283727621584	0.813051858503777	0.170784718570827	0.172372602069384	0.122465938707606	0.162050434809471	0.418081108369717	0.143580397332019	0.156777669012593	0.2062940177136	0.124023797027737	0.0498557198667318	0.199145368972173	0.161840723010364	0.0592204003081223	0.265475038343363	0.042734399375599	0.0415010305790457	0.589436771264882	0.0530044154016224	0.224972301380718	0.0780715090659838	0.142131270541696	0.0779116969656959	0.467344802842389	0.73791050445077	0.139676919659606	0.0855518020971573	0.0719380859797223	0.0724938221188324	0.145015304875301	0.0637138822747338	0.283632239219092	0.111848840093239	0.0545929717250285	0.0473518558707891	0.151205901346727	0.31525406930997	0.106431724435487	0.432978039705754	0.122153991607698	0.313686508112914	0.273106120187598	0.166773248971604	0.144897774733831	0.091232521894233	0.105892420187177	0.376566628011643	0.310135957435637	0.101054574188639	0.416911357348598	0.140993213307811	0.372457470369326	0.314493245673003	0.80286320139975	0.139200457744247	0.381114378014443	0.122289338164667	0.161261210629467	0.194996729461473	0.141175905058131	0.214372117494644	0.438162332517338	0.502694749180474	0.166491778323442	0.530861573572582	0.231857767018619	0.110063342171418	0.177375096249841	0.0599154385782819	0.219246489302569	0.130388631479084	0.0962160447111726	0.130169705875947	0.135014396890247
"SRR11292140"	0.5118696721637	0.58067398008369	0.578350192163413	0.409091689647802	0.435581072674297	0.354863609321159	0.617067110303699	0.540788262879366	0.70538516650812	0.566624042711616	0.530141922345967	0.354641586099673	0.760476880936653	0.578574988846259	0.629905633125984	0.456056591833665	0.511630473109962	0.847409685521721	0.396743062205786	0.624477828100831	0.610821378047334	0.491342082755475	0.468650529703402	0.492151001955076	0.663075439817952	0.576376054537028	0.63645946274	0.525922465349484	0.495764002315689	0.592761171411599	0.758133518305615	0.64099545298815	0.517376194305903	0.646566646042077	0.49674896734128	0.546144649253813	0.600827908342978	0.599355943262104	0.66057143644886	0.496617503430068	0.567287283735104	0.705642068079173	0.471001498863268	0.595137687320499	0.465440951301681	0.637866945620597	0.618944722259311	0.547020382572325	0.553264701733248	0.621986652176316	0.633738111885324	0.679216981637905	0.568423523497752	0.813205494039339	0.620822745772065	0.503487920389235	0.629319378595944	0.566837983573811	0.407198624672917	0.609546211230225	0.61984030931735	0.477697416046547	0.610156539469151	0.506345685612745	0.778656028874115	0.776530004021225	0.63744506603005	0.419634719175699	0.477743881447501	0.472656297953692	0.474398185654142	0.480117705683801	0.552822062640694	0.751820578928939	0.439315003108754	0.640866618830797	0.638347510089069	0.433401774040764	0.824872100408518	0.701967468546155
"SRR11292141"	0.235211898525826	0.144659776606591	0.181306587671558	0.516363482602074	0.454667634878141	0.253526699456768	0.611460558361626	0.773906166726096	0.593334651002082	0.260648153191036	0.211234348814719	0.25445824101608	0.629745530111609	0.178485466421604	0.468079325120412	0.313703147091848	0.221416707328073	0.599943134572477	0.52151805606375	0.930483727605635	0.385933786308295	0.621856668945229	0.448395639659605	0.26168779576332	0.611979680120683	0.389001098007527	0.185878934629768	0.233145106370182	0.316827036413178	0.424779249114305	0.569795936282446	0.296985220047355	0.475142820361296	0.333958841514487	0.200461963855378	0.288192111033895	0.234344302099361	0.428554373578561	0.47919925985809	0.171760925275469	0.212994583383052	0.380475678762289	0.237771827736522	0.432878976480486	0.298247099568236	0.314504145724331	0.450435009987503	0.346611458708307	0.193672902645116	0.178674491737804	0.55795850187837	0.520653644529948	0.331069723508223	0.850396441476955	0.182479437128131	0.233783287834204	0.258644302108668	0.244448132349768	0.211960318095095	0.381902442168761	0.474359100879467	0.19579108152967	0.310649359342836	0.316763424032868	0.742393699870847	0.706827329086872	0.439208735915732	0.231675205084182	0.249535186558826	0.306402327749021	0.22093780207142	0.275860516449707	0.311864022007043	0.531462766912567	0.296369080559213	0.444533714276388	0.511561961858936	0.413241739269731	0.653041852183839	0.529280552226995
