"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"ERR1624539"	0.0564460714470105	0.0950349687265066	0.166405791482572	0.10960304557801	0.0231043308256624	0.0533606762505595	0.0695667396471626	0.0460141700116307	0.139782003152409	0.0680341995574693	0.140090294133048	0.0393771853277025	0.0596887270517061	0.0572984483484164	0.0455386222985906	0.0711002808780794	0.0385044913719652	0.0411071057908509	0.036856948620196	0.0716984801109459	0.0293311491034544	0.0290002487690141	0.0588609329170858	0.080900964906712	0.05311454669479	0.015467447389886	0.109325834075016	0.172222954938466	0.0125027141106408	0.0380318300025594	0.0439604750698763	0.22496245415882	0.100875401123538	0.0308666462602235	0.0748228408544078	0.032880635562915	0.0880372676239323	0.0218974947849072	0.115502103681842	0.101086959190108	0.0142873409491079	0.139017804254225	0.0158385758057594	0.0523398021702044	0.118165366474008	0.260938955316617	0.0272390318488316	0.15293534135534	0.0495153619946433	0.019860090539634	0.0398653192856046	0.091900123344518	0.00837552441273687	0.131774677287913	0.032141172225134	0.0253921531555509	0.079826687871905	0.136763594526473	0.164304179668475	0.0698422421583043	0.13606135453696	0.0240881495759705	0.120658546025011	0.0810880522527092	0.148638226550474	0.0481332539309471	0.0321815895318174	0.0498556497039412	0.040553308689326	0.0559990766967736	0.117627100214138	0.0290920195249327	0.037402429306133	0.0184312403065074	0.0334399138021458	0.121100741973322	0.113526453162959	0.0229380725207918	0.0530798680086852	0.0708213029184802
"ERR1624542"	0.046274461044176	0.0352207592780255	0.0568155927427336	0.0539036164559133	0.0278454149336516	0.0551018241524383	0.032757174027124	0.0527882669522235	0.0950299763180476	0.0558996103995018	0.028982954038306	0.0530985036365121	0.048230870539718	0.0363257496408481	0.0421600311204297	0.0264824306892551	0.0325457567435169	0.0242446723703555	0.0531283861168349	0.016483658863138	0.0502286215006119	0.0377722527770365	0.0511258061411899	0.0446576364591074	0.0553074702439202	0.030484448225008	0.0786834720045304	0.0611297796344045	0.0168152079460486	0.0704717655964447	0.0520705426096637	0.110985227709269	0.120624707074566	0.0525291180420953	0.0721049177598164	0.0474322742590313	0.0368781532062459	0.025989484574715	0.0371160809074441	0.0878636896893321	0.0160027510538756	0.0523844035295157	0.0313989687959178	0.0275639181866243	0.0620561257338915	0.0492891551244028	0.0324991073796131	0.0871476028047005	0.0463436972174826	0.0200406666407489	0.0462580888070828	0.0498458546620587	0.00805423722769916	0.0596224362063709	0.0250211388468469	0.0484235585751995	0.051880593406361	0.0492179161681463	0.0609437235779031	0.0327209927920555	0.0667416537233955	0.0131026546174939	0.0687710599680243	0.0569971140409961	0.0568045848693807	0.0216440864973495	0.0451920242724835	0.0387771299665511	0.0306412398693394	0.0461190685554097	0.0801297804924036	0.0416313590350463	0.0423908495143413	0.0323285673180441	0.0425427661728163	0.0878577131280653	0.165390548603905	0.0530238200347482	0.0184501754069061	0.0545993900278123
"ERR1624545"	0.0779958002014957	0.0705737191616642	0.111058729337433	0.123814283387754	0.0628258407455866	0.089603041711289	0.17829491385503	0.215810978820186	0.24199500281022	0.523763388371081	0.0658300392909078	0.0374244706329741	0.167037741783522	0.019431889376743	0.0661630138032537	0.0692145114921886	0.0100002718458722	0.0632941620334822	0.133867582875735	0.0153223903250133	0.2084140852594	0.0941518458072829	0.0412768558672385	0.135273977891824	0.149128677290355	0.00285191268421039	0.0586428578364467	0.164517125554667	0.0399964421806655	0.0855829865689723	0.0585855715813321	0.31281455463618	0.176875915423727	0.0632654851616223	0.25829159426315	0.0233854387727463	0.0440794886620417	0.00336572415199281	0.0329242566918751	0.233873588657811	0.00065205804671402	0.138655164436721	0.0833243126190594	0.093139007626572	0.223838768743656	0.200260554260455	0.0104566575776267	0.129966623931418	0.0856591255341438	0.00200771434481256	0.145648663678841	0.107011354523034	0.000805469100138567	0.119349428493702	0.00331866524737314	0.16151505472054	0.259904872561151	0.117227481061946	0.267889338019404	0.16922448889129	0.377831808849691	0.00555148850624615	0.0879556967340635	0.172919729632946	0.211282804563923	0.00580403991464825	0.0187143596152191	0.0260153020324096	0.0198349376372068	0.0395438473961402	0.290076729202022	0.0508233339499693	0.0998282773947474	0.101430486907509	0.00902396061541256	0.26751694024625	0.643078355120166	0.114721033637731	0.0711758593511004	0.0984662447572973
"ERR1624547"	0.16107831878953	0.103227904535122	0.113714224495788	0.0844336408837793	0.139126194931258	0.119129055015076	0.128949712319908	0.0997535254248104	0.171354177228671	0.130199013066185	0.120634787914203	0.145682455002685	0.155674181264209	0.14120276477701	0.151148249284926	0.128214796752959	0.156044619064599	0.135382306066707	0.167940918833395	0.0989306694987798	0.148225435414198	0.151055364381239	0.172411895969244	0.146344841030293	0.147968730984558	0.118912278115311	0.165748729789754	0.14850915626209	0.135060939239918	0.16605585956815	0.113636226656617	0.19483623128823	0.175607694275918	0.115941518908619	0.119709726079422	0.174033465838461	0.141083727172186	0.187521482990562	0.126761660258044	0.204237268266086	0.141812952084885	0.128388725407714	0.142208564109392	0.109399910978542	0.126772288710834	0.122560495171246	0.194305276131494	0.175611630389886	0.155243913152159	0.151855586009119	0.112001472500025	0.128117138549375	0.116158144873199	0.135139603600342	0.14953743573427	0.192687225139559	0.120151447802196	0.138866118155507	0.16095954099118	0.0987787403987192	0.151869532590841	0.109057960316677	0.160268709837432	0.17225224662276	0.145404579875247	0.121579386672937	0.156873171848919	0.125675834059548	0.141943736004228	0.11169943398921	0.145225954688001	0.209906254450142	0.139827031360429	0.169724413927618	0.195104570572472	0.19018572135627	0.164222342155652	0.132749813615016	0.0598162614700909	0.142406202208942
"ERR1624549"	0.0526060166364714	0.105537180634785	0.175628282528638	0.1472443397659	0.0275706610395165	0.087645883624019	0.0926116644729644	0.0641052016717751	0.209993365803775	0.089880687514787	0.0890090768052484	0.0469666066949955	0.0790821293933678	0.074288816699484	0.0515898977360806	0.0589655972251825	0.0292732946827643	0.0619952187744664	0.0343550067944334	0.0380513360541671	0.0546525369416089	0.0270543236497261	0.0670038868416914	0.0954737004857228	0.0602384534119576	0.0304049249265852	0.208447209771856	0.207791033097488	0.0163987088957573	0.0657518143542438	0.087757945543746	0.267400758455041	0.148127352077249	0.0442832537502352	0.0700344741446017	0.0396662085840259	0.0535414107304383	0.0233952781997484	0.113608864007867	0.083738490591113	0.0159883072959726	0.134104777196327	0.0281868040161067	0.0488340927933202	0.210580266760654	0.316835102697377	0.0275975096162756	0.173679734924245	0.0525509154582258	0.021118216713426	0.0369534220577836	0.124634993328522	0.00739556004337091	0.11015647890579	0.0369805625765644	0.0282005396077661	0.11117539132314	0.0743871511671979	0.135545429244258	0.0800927935769018	0.178275206152024	0.0206261001810942	0.0953068384296155	0.0740952489753585	0.150543835661746	0.0497599158093617	0.0445382285739409	0.0720661574915523	0.0411055654624222	0.09099683878487	0.12617106920856	0.0382494645529284	0.0409757051643867	0.0259660534301307	0.0391290084736106	0.108692357355217	0.157770594062644	0.0410745665467179	0.0803431391918217	0.0758279319507323
"ERR1624550"	0.165660724004731	0.124768926836238	0.0727260430894718	0.235584909050995	0.19363365280545	0.325853648993095	0.207272828597821	0.232001600558104	0.371452741664343	0.292713760930806	0.103431647631754	0.215682585898814	0.186391803060054	0.215558580963028	0.220275944816325	0.156323990046499	0.151480231374013	0.101464149532539	0.159226418499519	0.0834529201663719	0.143002455260649	0.16935784973232	0.190181149006204	0.18177092347813	0.211667709212301	0.142967160969568	0.168242697648415	0.161500950979312	0.12097348982405	0.299131576578396	0.254367941513431	0.189430401265491	0.466261068569956	0.102065412711652	0.215310205650245	0.215934920400404	0.142092881568173	0.192704211609808	0.14531359462716	0.254878418177369	0.160464161278086	0.184570005297458	0.162781153658564	0.130712768100577	0.149263642374699	0.137895935084121	0.200185630540551	0.201333513118821	0.221495531408525	0.194165394623096	0.162620662962218	0.204535041427664	0.0954148787433872	0.146735571838869	0.16383164883261	0.177039521402438	0.186348370941143	0.169836806562339	0.130786304355719	0.159436970196302	0.137356547429182	0.111099934969104	0.199053728126944	0.162662836183959	0.189982339175652	0.0998099814046799	0.278068592174454	0.200657946550371	0.181162667536724	0.118868998402232	0.333505795600655	0.197312479384633	0.151337810344388	0.278885635591863	0.244010742267419	0.268783966076075	0.194564301838061	0.156986900154755	0.0768949915701349	0.137232686456443
"ERR1624552"	0.24811558675611	0.228529437157801	0.314648048272347	0.242944746713206	0.179742727756932	0.386400181638812	0.245117572227932	0.280599233572578	0.385246244416441	0.259575600073262	0.207979947832093	0.258598214611237	0.226575086041825	0.264956349328737	0.251702748915162	0.308653030257525	0.237343672337476	0.197809949350887	0.217724447798523	0.227086168590572	0.254044990103361	0.22812749781296	0.243119584650967	0.20263960095329	0.273135307083277	0.255417957820141	0.306718379715736	0.252797617735312	0.192075354057279	0.34015362530527	0.297808687467287	0.2605790959687	0.478552552671211	0.205914528266255	0.273532154838011	0.256112438002112	0.285029173626804	0.24438649260931	0.214353024451597	0.355467666007721	0.209041729702233	0.336531691886485	0.268971643947497	0.229651688580241	0.27122788198405	0.16482113962979	0.230445741881479	0.251243867990089	0.285981720869578	0.22907297875993	0.207129193760943	0.237801142721098	0.11274881960715	0.314851428148582	0.212250256882342	0.225250798111975	0.233101360727238	0.353714212544221	0.287193638685475	0.254838183574756	0.190709692369611	0.255611990802706	0.292832930224297	0.247291744172415	0.262445221641352	0.136872758398222	0.306384546125056	0.245277580806548	0.346414566640854	0.233865601450217	0.453980854886841	0.284291691941942	0.178191486063799	0.32746872791058	0.286530745248122	0.367930361923741	0.240433197216195	0.243845575806842	0.122502788110947	0.169733819885754
"ERR1624553"	0.0356526902710512	0.0199170528104149	0.0195729015537198	0.0120453097543008	0.022945124951866	0.0200839930846335	0.0182621051668358	0.0272988020707124	0.0318948641667117	0.0146247594707729	0.0161088345758378	0.024593305885806	0.0297137874633109	0.0144899962996773	0.0220241656894839	0.0173241995397895	0.0277748583370501	0.015662507343386	0.0390709453606676	0.0116200366231956	0.0226755195596884	0.0256554788616949	0.0269003116680822	0.0273656222484745	0.0309464566360554	0.0149546432487942	0.0184121568899526	0.0236723791373088	0.0132350252414831	0.0253245055157927	0.0181700034078626	0.0271374234423307	0.0504982000737978	0.035881800112373	0.0210831640130597	0.0301746696749475	0.0213107100913941	0.020079242778255	0.0186138711973216	0.0471657609686129	0.0144779290409822	0.0173299972524357	0.0143204639755566	0.0225556888109804	0.0182692537375046	0.0148426664637702	0.0163016094495746	0.0213263467994234	0.0259651160303292	0.0142349031004043	0.0274133020884559	0.0183853426353641	0.0141848858061168	0.0230668630028235	0.0147409910298646	0.0356454713699483	0.0278757025126056	0.0317395496556497	0.0185617608951405	0.0163822913890761	0.0330079134185728	0.0161811992282072	0.0225685228912492	0.0320620543292799	0.0313951777278845	0.0178757978511722	0.0209930293240786	0.0182633142919648	0.0195480184590926	0.0231289531664372	0.0190785478090088	0.0339610437191701	0.0328290901142381	0.0127130843745574	0.0271629015908937	0.0380416036093943	0.0475521193491437	0.0258421558312339	0.0180684624975376	0.0595339096994441
"ERR1624554"	0.0713235338391617	0.115578071866502	0.246165641950424	0.176576607327594	0.0646879111190814	0.0729289948388298	0.121553872322474	0.0936894993192528	0.166957305235062	0.184616176979502	0.088847329492335	0.0656116274043511	0.0835414532324165	0.0908424929041802	0.0485624840925876	0.0567608904669078	0.0437474240107041	0.0804636432350653	0.0763572662653952	0.035856029373424	0.104347460564868	0.0472465392105173	0.0867661526634072	0.113668781967797	0.074182822748342	0.0302402176877825	0.181235815107549	0.1804645142652	0.0277483588537332	0.0642044771549156	0.0906208511939675	0.374705316360087	0.122781318403632	0.118160725865138	0.154475583655206	0.0563987513730444	0.0616956567914517	0.025792285574884	0.136249115819098	0.116109098280238	0.0188568731375853	0.141223989478233	0.0354273921485305	0.050857025402905	0.187227371861767	0.284357389002874	0.0338041434004465	0.296125326210307	0.0483371761638273	0.0193631197695744	0.0720374311753	0.117731566025433	0.0115920627414706	0.124155155309599	0.051711166371112	0.0750150119924113	0.133741081151572	0.0901217323156948	0.139169850166916	0.0700278373166311	0.26701918480417	0.0241810793167909	0.1587407008024	0.0959827955754438	0.201516496880727	0.10204593335529	0.0416694892136039	0.0795668270369627	0.0415187819286029	0.124299730799987	0.113220631307868	0.0461359092458184	0.071142239719134	0.0309023155373115	0.040658587159791	0.131388566555314	0.418867942372177	0.0625346996190052	0.144479397105699	0.153661998754206
"ERR1624555"	0.0540833876797531	0.0281810517415481	0.0239347531132605	0.0390862964927435	0.0252725328044873	0.0496575481407666	0.023792525644298	0.070825623793044	0.0677174850968333	0.120937462294693	0.0271324946019764	0.0653398368806299	0.0628130566950303	0.0457957643044781	0.0373915580575145	0.0154072762833508	0.0517801791877283	0.0173145813000808	0.121558294669423	0.0122564490115828	0.0702283817511527	0.0833274335874536	0.0964373182486353	0.046547591085123	0.0895902898670037	0.0179943820143738	0.0413600179133599	0.0558624467783104	0.0226616198413011	0.0990513294882124	0.0509535635704492	0.137262206175108	0.0840556368709681	0.0922256999221796	0.178951841962645	0.0800592298170062	0.0509690893556869	0.0342185738732012	0.0384885124424247	0.161085855843975	0.0164761433574484	0.0522516218882952	0.0347203829839493	0.0302353089566192	0.0359475440825459	0.0415391878530539	0.0403714419224797	0.270819206202889	0.0521138775004118	0.0187989638987459	0.0798915435163713	0.0483017618181532	0.00765091413160974	0.0723090757326554	0.037330729417646	0.154438583000449	0.0649826945884957	0.0553384212794488	0.0645455175343023	0.0337777456499514	0.100045831456202	0.00830186247501808	0.145565445278231	0.0945156579293734	0.0581856291016428	0.0333956806512403	0.0510136254010453	0.0492417207004786	0.0305759219582162	0.0347643949482866	0.0966769973890054	0.0421606300746428	0.0725762693446632	0.0547673916874893	0.0537026209682013	0.140627791414505	0.515069211578601	0.0727629293082822	0.0158744858687787	0.0551873974642853
