"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.441358101350298	0.395776093191543	0.385734605942618	0.339311282663059	0.477210324722281	0.451219335829627	0.40823824097219	0.438667989235087	0.415013465257573	0.478954896149678	0.173429068556964	0.481173770799022	0.401681202439977	0.365158463323495	0.334096872460285	0.347383773308059	0.421834845087533	0.432300561603167	0.426279540175892	0.15690627068227	0.459774025319812	0.383454616827887	0.378471629713976	0.405758540905169	0.466671215253131	0.346667456162227	0.405824211624996	0.310905755774126	0.500166306723658	0.432794583016889	0.426414602715736	0.446414287153392	0.456273952771542	0.506278290457183	0.39425601854737	0.426003248436772	0.335252453943108	0.399081698913933	0.36574303804052	0.383799915965586	0.425916895973286	0.290096380710004	0.519786402132407	0.321514236336441	0.410208595332702	0.267978666745318	0.417627851028659	0.352249779959554	0.364447728073524	0.389231666559692	0.462242270681758	0.331433516487646	0.345796041780183	0.338170250066554	0.350026677190615	0.551875804678797	0.437789457691915	0.275053741213792	0.255029906512457	0.307715642367589	0.448515297698748	0.360481148068295	0.341993563280434	0.405364078837591	0.362814936424229	0.430199542846187	0.390797902567501	0.457464369889875	0.380954318162335	0.499619442723665	0.306487153862821	0.416636803712108	0.486263870693376	0.410112802910426	0.429628392791253	0.351098655999121	0.524377636050925	0.431232824910453	0.418306788412473	0.489258390363704
"SAMPLE-2"	0.0207762456631461	0.0146554210678653	0.0158169482514304	0.00562266248088713	0.0191688223207582	0.00919789581777928	0.0197654019343295	0.0114854310483186	0.0180259902954845	0.00683016158607576	0.0140331832080889	0.0132443431378501	0.0193989795065435	0.0074009054757392	0.0168360197972846	0.00885182506510917	0.0196901009670315	0.0159001922445583	0.022582841718305	0.00844954640251963	0.0179307411153592	0.0138514950228542	0.0149299519488869	0.0176865208791613	0.0165951308891389	0.0138645115177737	0.0147334942405457	0.0173500609321469	0.0118975173007023	0.0125917476611897	0.00870633745078423	0.0121611045013704	0.0271192784254576	0.0214861120672765	0.00698516481339913	0.0157108232237448	0.0140031185978066	0.01579451162703	0.0122020158157018	0.0253796380038363	0.011805080959018	0.0101507448081265	0.01352168186565	0.0162787889966852	0.0151389710404393	0.00876328683988556	0.0111016555573177	0.00676842549313178	0.0177342184146235	0.0122618120120217	0.0145259639562682	0.0109484039969066	0.0117365459984787	0.0152856866886534	0.0090217197505576	0.0167425839169224	0.0146315404666061	0.0203721009182338	0.0144351765883905	0.00964577706860078	0.0195501777245437	0.00822548773935811	0.00971661052132751	0.0211573532375275	0.0191717673836098	0.0114711201304025	0.0119431700575159	0.00956380583214667	0.00688342996817278	0.0185877430451028	0.00798842077010086	0.0318281751554855	0.020213747152272	0.00683396270218711	0.0191369309362011	0.0196359761998985	0.0132141988087831	0.0164283208707302	0.0109505662420366	0.0445284803244357
"SAMPLE-3"	0.61775841995766	0.67782224839943	0.701846573800855	0.431279070441924	0.66385897438288	0.640565684103939	0.635037101113385	0.567888742645463	0.551990160948361	0.560673142640015	0.393517676104666	0.596492824668927	0.565976150536292	0.516346295529696	0.477133241986252	0.563366065375791	0.663473361795276	0.66172426430493	0.529931243262058	0.409336966708242	0.596536256117358	0.533831354266214	0.523793272971863	0.536565704844619	0.659654306300936	0.514066840773022	0.609046827625863	0.521284221332792	0.718228024134462	0.547330685873859	0.552461722463943	0.590068864419635	0.574320128710994	0.639841162521409	0.468204222286596	0.530873354119135	0.648876468466505	0.587956550304542	0.604426688883356	0.545485066073353	0.646938075957701	0.525386232852748	0.742919737844445	0.586773722507816	0.635139262684011	0.465544494430007	0.557254052799897	0.426843731531027	0.568499033909276	0.591409626652572	0.605513056582656	0.476229227028695	0.53780780004223	0.628065704916136	0.502637400811751	0.64855786063929	0.611315042265384	0.555476615969089	0.468325518529934	0.558507324253675	0.596301199492395	0.572239200620976	0.478444801618285	0.620091263495184	0.533813695669622	0.611793612668252	0.532867456246514	0.650316914227715	0.539778341623123	0.717373900967669	0.48959662124585	0.557949566257286	0.639995152442374	0.56038483502037	0.598541724287092	0.512404454826567	0.506215352154303	0.544912923909702	0.622905924119468	0.622263064904329
"SAMPLE-4"	0.419389744877348	0.520855422019274	0.497732596694695	0.526049566089047	0.4591277515706	0.464407307440035	0.513395383554007	0.650888397713532	0.358453562232956	0.587897327814984	0.406224894934412	0.41298604405383	0.543378511233382	0.422158050247417	0.321298149103542	0.246804456102097	0.504898004947197	0.364343184897335	0.604857242405987	0.353366637483562	0.513512568073958	0.524234531948031	0.523405382055016	0.398063414885183	0.529442293947164	0.379905810190304	0.426688028684238	0.522589473322164	0.398025819025434	0.374377110781409	0.457649525859476	0.613188278072018	0.414996267762425	0.636450255526608	0.676073033058828	0.399507741713021	0.470440961644448	0.440391916621119	0.522429898342807	0.533116524454783	0.422651775039884	0.444648883099992	0.313930576588668	0.597751622967361	0.377743041242869	0.566983085922301	0.349496401440252	0.637259254007008	0.494912109695333	0.367344801147439	0.639753992651668	0.456520201462858	0.302030466346243	0.505975531821159	0.433937844115602	0.609151728046637	0.588102559454194	0.519020859760999	0.576520957021291	0.560118471341082	0.610358423104654	0.305039331539418	0.619430587537761	0.5200302540472	0.499999311640913	0.562120606579081	0.412281996861766	0.449111886634596	0.252189955987765	0.446845873498062	0.417062144254164	0.450015677057134	0.547096256355484	0.394221994679096	0.470234340633232	0.501769113046839	0.748004190810684	0.451346562544808	0.728082578151574	0.622776594644637
"SAMPLE-5"	0.0302423124006117	0.0362906180680454	0.0361118463246909	0.0583015666424075	0.0276964559443492	0.0156561128814615	0.0366285849362832	0.0364868049904916	0.0332350026323868	0.0517399282759041	0.041425046165991	0.0429940494229595	0.0398231005980939	0.022556377971587	0.03451244275024	0.0112109283358687	0.033963223400742	0.0323775564614993	0.0726455245549791	0.0117730273868282	0.0377255336311515	0.0301726825540796	0.0395737202257175	0.0420421101876826	0.0340206719517828	0.0121537563556772	0.0298935805013513	0.0481849991492934	0.018742905723132	0.020225720799719	0.0193943131134412	0.0663152590260906	0.0312055980963329	0.0586236714915593	0.094442667737656	0.0271456165256842	0.0277517350556573	0.0200827428380113	0.0403654958820547	0.0565991851283697	0.014252982377094	0.0295086396821868	0.0155084702046127	0.0290723586414978	0.0339695239733504	0.0722147099430637	0.0180338568914324	0.061297389256725	0.0238420307342981	0.0175190130700298	0.082337353814918	0.0384110164458557	0.0126510467441388	0.0378569589267282	0.0228077452771074	0.0524179876681965	0.0427560127230291	0.037888764135617	0.0590375584474548	0.0217545858153917	0.0891688457963439	0.00653803830237429	0.0739445250256795	0.0491537391124566	0.0626277892676506	0.0482982049047126	0.0156382605148236	0.0242904878619252	0.00688839742771188	0.0379001450274056	0.0187977189183459	0.0354031666101356	0.0501586610062732	0.0110417769792889	0.0247892433838394	0.0473115218257003	0.158622234892525	0.0267073173308346	0.0480073972027691	0.0990580537116186
"SAMPLE-6"	0.0485352562200149	0.0571750048946176	0.0677943287571134	0.134197254211719	0.0392045214983659	0.0693468705538682	0.100923242557239	0.0997060529214782	0.112437768870777	0.148650883880435	0.0395658106130869	0.0700367900464249	0.0599815154522782	0.0503501635552582	0.0511371598489003	0.0259152643352824	0.0391657499578036	0.0352720916559912	0.0757832843291063	0.0158103891635978	0.0717909255812918	0.0441512693398198	0.0586977568095274	0.0637349874266712	0.0651663230377209	0.0264624312266138	0.0724127042410729	0.0732484260316602	0.0249167424463454	0.0618016358901053	0.0689784496230094	0.140820319287907	0.137363408751236	0.080588902900627	0.151964306679641	0.0493143006854196	0.0380946584844528	0.0252702643183726	0.0589040737942473	0.0949911143720209	0.0191909320850422	0.065240211055088	0.0355736958122207	0.0404294847225661	0.0688964731355847	0.0929941104353666	0.028831550687535	0.114329815894276	0.0449429518219544	0.0221202724192374	0.0952975718429048	0.0722096961086567	0.0115382710792427	0.0625140046134943	0.0330132164290634	0.0648386556067667	0.0853392918737703	0.0606469102115159	0.0906867982860469	0.0460423436195565	0.109535367118069	0.0135297403573998	0.103093046291744	0.0611990804355821	0.101232129139214	0.0461882837165516	0.0420587715143459	0.0537867073430782	0.0221397062254743	0.0633272757426682	0.0783941189723603	0.0417366739416866	0.0616908873567486	0.0335445383103451	0.0405565940814164	0.0949694406128832	0.259157137865466	0.0522929328996362	0.0682255447022296	0.111998689200043
"SAMPLE-7"	0.527234761019827	0.497134157550417	0.474010020729941	0.317330306041719	0.522979990169923	0.608544941477499	0.535249303132946	0.593388279218086	0.451664942780053	0.529187476039387	0.305756305013173	0.498137942535183	0.441537088652976	0.377941905729901	0.459397261047575	0.38045253270261	0.541008421888541	0.405586165177489	0.479330591858589	0.251814415812168	0.516490059783044	0.471928555983125	0.413698723564109	0.537612737404477	0.594188091374099	0.379257971615018	0.390711192182071	0.314557353795797	0.579512388813056	0.56428603600914	0.495739284994698	0.428764337574518	0.584150436964471	0.601644868222627	0.460569603317623	0.571532150268131	0.478739765170949	0.426821504416713	0.39813193622699	0.496119138000607	0.476053206102691	0.371008794375402	0.633763824274919	0.464280474846193	0.399795740046983	0.214300288640836	0.541675741246613	0.334113105978273	0.455414211392784	0.417843985516783	0.557464476830687	0.387212408747074	0.450329200028756	0.465441113598964	0.348213826367324	0.609383363555502	0.52446095576753	0.446253340722965	0.405864758445911	0.435862987913117	0.430612431755355	0.410745101343551	0.374847653011567	0.475892949065332	0.399304285373762	0.423575222690389	0.450978913750303	0.534984944020805	0.454377777260548	0.559550913539419	0.435335304929841	0.415659234909384	0.547873976605814	0.491615023899111	0.475353689068841	0.448114823934575	0.539926674958561	0.54878063414701	0.503301410150571	0.541301080563655
"SAMPLE-8"	0.0503437161940075	0.0441741896984318	0.0471120662397822	0.0496096370541084	0.0312557667703676	0.0818399386491983	0.0709439357794214	0.100669800568295	0.0871157191658271	0.0421244215135743	0.021568409000907	0.0404885280726856	0.0389676666096679	0.0253340167856109	0.0357818829792559	0.042549110873653	0.0346417139304595	0.0184343066429549	0.039653359580207	0.0211145366874889	0.028762329678371	0.029550687357754	0.0278035978615076	0.0507904387174787	0.0499507949956467	0.0255623810796645	0.0287908899291433	0.0307190411897865	0.0171439603320235	0.0407293541898387	0.0509214218067595	0.0361163272288762	0.199092143757864	0.0470641079885233	0.0443370957167999	0.0366406595530484	0.0302100312819019	0.0204718319476517	0.0299365229759194	0.0643731044212119	0.0206823352459684	0.0369003460426532	0.0207669057608954	0.0478631550732186	0.0277842352020792	0.0189378362343282	0.028535813314961	0.0172516367788699	0.0410699229378848	0.0216002475395285	0.0547392007150097	0.0336995459579833	0.0222678173441947	0.0343185184066298	0.0173913477435521	0.0296384118392574	0.0595686447337133	0.0740131103426053	0.0311603810966667	0.0419974661085906	0.0341874199757198	0.0424722457113615	0.0300283086149413	0.0310966562244259	0.0643073565689237	0.0214451670258002	0.0374101698122766	0.0350817270685206	0.040513174260959	0.0395251911176016	0.0539803770794079	0.0363200099001268	0.0393069899256426	0.0206527437597742	0.0330816973630757	0.0596956418570591	0.0426352525925627	0.0313972624167313	0.0654363067340731	0.1077683419682
"SAMPLE-9"	0.0423290883967573	0.0466065816306364	0.0506727267366729	0.0789325781696263	0.0363394864005768	0.0999379181991232	0.092790668122944	0.124073096091743	0.113786083138542	0.049290047358999	0.0162928140960365	0.0468520328055536	0.042722020923248	0.0306723671399824	0.0415638679619951	0.0264570844358747	0.0301018070902672	0.0251310530349894	0.0420979320879762	0.0113762997097673	0.0420438253115744	0.0288155868876487	0.0282229632452949	0.0567235511712863	0.0504710474481272	0.0390206056659327	0.0465201799291372	0.0320326116774398	0.0208172108001199	0.0509323074404854	0.0743401638204605	0.0481662418903872	0.248333692758982	0.0629725193592173	0.0509021633847898	0.0379570025623101	0.0202309153519515	0.0209287277408476	0.0311912850036888	0.0561136377663007	0.0231182556381823	0.0353582026795666	0.0277574331569208	0.0412925566552521	0.0400685989971022	0.0225678213972873	0.0322110271562556	0.0183654215491178	0.0402888419439281	0.023033100826966	0.061988290756851	0.0413212511145783	0.0208466249699021	0.0288059574930236	0.0195885122420705	0.0333613485103458	0.0697378441493536	0.0482855406654148	0.0298355688861714	0.0395984322713748	0.0420835908678359	0.0242188996332158	0.0275040182333374	0.0283261357821114	0.0709753284498702	0.0251584948491456	0.0432387206683586	0.0415446614975349	0.0223532220630295	0.0558890090914843	0.0526184284148355	0.04172791686618	0.0447792713645267	0.0236799784679725	0.0355007187950819	0.0540347274467752	0.058420515421068	0.043824831232158	0.0900816755124456	0.139915483066877
"SAMPLE-10"	0.0554726376539423	0.0528231856388102	0.159330801634462	0.0185782365811621	0.0517553971508188	0.0214671232662917	0.0424492597990725	0.0453314308569305	0.0259038505069428	0.0276685309810897	0.083439158417462	0.0268235043593541	0.0323982356842381	0.0153175697852527	0.0387386417035477	0.0335810495237436	0.0444493919619606	0.0353733956076	0.0577643662243807	0.0454154137389932	0.0472600074947629	0.0295491114168498	0.0280322953659458	0.0639108270373931	0.0362281045735453	0.0213660551009655	0.0331633607017283	0.0377624613052047	0.0225746041105135	0.0224136384688244	0.0182491977867873	0.0420431112337128	0.0425515454107681	0.0954683688316698	0.0396012254075082	0.0417866567488424	0.0454532296728327	0.0175228865579068	0.0328661709459976	0.0629831410724023	0.015278277148317	0.0374280221672116	0.0207082292611894	0.0532717625867759	0.032607750224919	0.0225497663989194	0.0279412219587716	0.0213183951714845	0.0259878590066265	0.0137656816071784	0.0534144407357948	0.0279947945306085	0.0267369898684923	0.0566798968889493	0.0159707624923217	0.0398211150099101	0.0412993105477394	0.0960055275859111	0.103357509794011	0.0312610388618321	0.0546895975712453	0.0355378408509844	0.0387814990049367	0.0444072649057841	0.0602262383017457	0.0341037259079841	0.0140470002938432	0.0204829297163652	0.0278521458287314	0.0560283007229399	0.0217318337550175	0.0439935831958729	0.0391941625630577	0.00914997361978032	0.0214033499942824	0.0485605219301601	0.063527326089505	0.0425376870315851	0.0736247242050758	0.122398314265965
