"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.358845027034958	0.416159880849231	0.434431604547393	0.477864230188185	0.431375728389109	0.42834536529512	0.633477562889982	0.471524894725322	0.523703085537864	0.560319726983572	0.284546631101068	0.368558880272184	0.361419126793034	0.487318164189868	0.356584866452253	0.349399160829694	0.293291325838437	0.469302700843571	0.363223381979233	0.165355535639054	0.434278733395269	0.26891893876264	0.309137196076507	0.492490367335054	0.356707044284065	0.370869586512348	0.3910102637476	0.311762934948375	0.432801803406911	0.339353672093271	0.414733896035832	0.489012887870987	0.572000828754798	0.40606403502093	0.439602430887548	0.354098251376818	0.234520209416151	0.402029259959543	0.390047284091831	0.386062070948548	0.455016089433599	0.39552858782553	0.3567153696204	0.338084775035747	0.36349249936695	0.369129300569575	0.478503772396164	0.313577452127767	0.341160885115713	0.424843167570951	0.392439048826151	0.394177389503151	0.429863007766541	0.246639717406706	0.383698267134456	0.418004611988413	0.462014922326871	0.360284074921206	0.390004096141797	0.328787673368659	0.423199907879721	0.356672865331124	0.312353078177329	0.289299919823181	0.52503719376828	0.506613217809166	0.40398751503514	0.422582116823328	0.275796558526201	0.413650020800956	0.359677858284141	0.453287253876662	0.34503755550015	0.457113346476406	0.407857962041922	0.39175332194975	0.399116095814435	0.257466459437118	0.614914923534578	0.546445285721346
"SRR11292126"	0.50430809857452	0.665546343680218	0.642067137403537	0.630312545461406	0.565588592166667	0.645187956513776	0.628343520601739	0.54543129422691	0.662513470805785	0.555436633127144	0.527785989820229	0.48511485478822	0.529023975444712	0.604127328544125	0.492710817438373	0.497840736024833	0.538400922816173	0.617161975774285	0.408755488976089	0.476696509474357	0.425908292193818	0.430384270988172	0.493982567480987	0.527368076982831	0.551619429093523	0.407917827026593	0.628541287433939	0.599486806809271	0.5185418752521	0.476859563368531	0.563434030007573	0.668019297077293	0.623796023933038	0.428730279089131	0.496975043073747	0.431900934678969	0.57474167235866	0.506536583303213	0.663073534658107	0.512710912885482	0.557680178641549	0.620117406950866	0.496194952529234	0.545751641092117	0.635354859636316	0.670803546921389	0.448220248671289	0.524322373596764	0.513883774736897	0.521454855751975	0.497407574340136	0.571242819702359	0.407880878599404	0.584429315665378	0.527184740833932	0.474776750353095	0.603349686631138	0.563903518285458	0.581262715531513	0.582218452006034	0.599343798012252	0.406625343305704	0.529235462009335	0.53136749473513	0.643107382519304	0.607834952253137	0.496917621048003	0.621695875594687	0.371083529047813	0.603574859909439	0.58759094371198	0.471292826712096	0.502023466894002	0.48914789111508	0.525066999027871	0.537036784417687	0.425874050611892	0.377098432531112	0.655416194125476	0.563944188752898
"SRR11292127"	0.0554586770647128	0.0565282516269762	0.0901052909072237	0.0684217287224291	0.0328009624723472	0.0994218978401427	0.0791951136439929	0.131254542577907	0.094128029102369	0.0495640680769879	0.0242375807277233	0.0499773027702349	0.04081714198004	0.0271504981291764	0.0398738042306317	0.0508314397795265	0.0382363512688095	0.0239403336688596	0.0467013808933954	0.0234049993786711	0.0396266599193791	0.0317731152314122	0.0284625533664676	0.0445717650724734	0.0552062527442073	0.0364063191976485	0.040460275372532	0.0340864966187663	0.0193795633520375	0.0449702314810788	0.0625250637297059	0.041611953219036	0.229239687898766	0.0704416522892801	0.0611499949606458	0.0380140689886547	0.0343100853741233	0.020223059622825	0.0327661115496101	0.0705897951209904	0.0219641336341911	0.0461603521961616	0.0263830910361469	0.0577429800111166	0.0372352755838069	0.0183580899621158	0.0211610143707847	0.0169901172918503	0.0436902711492721	0.0206773555005112	0.073705431646585	0.037399488592119	0.017717037856633	0.043768586485389	0.0179936399441015	0.0321749289983333	0.0684255534065236	0.091915488702451	0.045154406361086	0.0501370934426335	0.0381805245150837	0.0526282538897185	0.0359195374090681	0.0333184270164374	0.0737965749021523	0.0226274901709304	0.0390556806870246	0.0386921950697588	0.0465816989437709	0.0573565293543581	0.0632911049571511	0.0426087290232793	0.0426452331619285	0.0214234855794345	0.0334800100857535	0.0654592230644724	0.0533365759241149	0.0412756062679362	0.0905987807991467	0.128980203574145
"SRR11292131"	0.55791271667912	0.623312565477397	0.646623186093717	0.540093872929182	0.56837426906794	0.598992289284012	0.699833802530651	0.586732034662711	0.534898698728967	0.677458818824096	0.558991128696416	0.555722600123652	0.499666139158145	0.503637503721175	0.561339776243976	0.59909193995054	0.571200268279969	0.555980928636427	0.488491669557076	0.423885657274005	0.516283930184865	0.466256303654437	0.470595813680423	0.650052779110872	0.57649462331418	0.367600632725806	0.499599399752006	0.481612495165795	0.609639475983347	0.509244563188372	0.507710950529192	0.585066259293353	0.557387820937306	0.540619552465081	0.560336656788612	0.575049203657512	0.579218246897581	0.476295222026507	0.577546245811762	0.516888511420218	0.531354045304284	0.518973076802442	0.597104471877829	0.545119745728222	0.52142390490911	0.500665273967633	0.580188999777558	0.45514746120966	0.479019606362485	0.505036291803814	0.603654752706807	0.5375759853854	0.584532111104127	0.55192043772859	0.461100307523641	0.565756814757228	0.584147337381217	0.564766678037304	0.622004336381531	0.532330060426542	0.560767985028509	0.584145780699307	0.528388389350711	0.528758929318261	0.564759180260048	0.588836141632411	0.450799789353561	0.586096786548328	0.569279401634038	0.596667528791926	0.488909544561326	0.455849330806264	0.553271669867508	0.497581859984193	0.493569034060979	0.499968779701134	0.518427889128919	0.474148018828336	0.655112867899481	0.597175972607869
"SRR11292132"	0.020551265434797	0.0144983943408425	0.010160808528889	0.0225155248809194	0.0202074835971426	0.0101619187676088	0.0209733584978164	0.0193629806851578	0.0183263361616345	0.0152336834515527	0.017010704994017	0.0316174298761784	0.0213974349761136	0.00836062538167333	0.0294883483500547	0.00869753985956435	0.0222426719168152	0.0136309960080617	0.0389472772348434	0.00683691746273245	0.0168547514372863	0.0168870451603086	0.0174707999708349	0.0184659997487805	0.0193566267147692	0.010799479484983	0.0109126650130415	0.0167116616789331	0.0121011968259488	0.0134949726157968	0.00971215166440953	0.0124645021757783	0.0281631454815469	0.0222336664079378	0.0317299418068207	0.0175947091879509	0.0147307858442563	0.0167668593847175	0.0131344932424377	0.0298154261802118	0.0124145928971277	0.0101905074930952	0.0121830014834213	0.0177816826878377	0.0119550630886263	0.0134369142005977	0.0108778856983468	0.0091224846858193	0.0186540167841123	0.0175190130700298	0.0503088925966919	0.0167958276815721	0.0100803702471217	0.0149289132994309	0.0102331580251519	0.0218600212031684	0.0169790167717244	0.0214640510694944	0.0179106306381761	0.0105361661622219	0.0215852678122938	0.00666453447213832	0.023930791454972	0.0230896597637432	0.0212370654968258	0.0136302568603513	0.0126953965775982	0.0108919641266373	0.00584988494873803	0.016011673559339	0.00873556504965834	0.0296978608306467	0.0272895655358774	0.0077531178904201	0.0204098783950596	0.0225570258458653	0.0275586739192308	0.0157773342994289	0.0127398097515373	0.0489917169815118
"SRR11292136"	0.0695156820537943	0.0464416285528705	0.0534915571768436	0.0117739739969766	0.0838248929785947	0.0243560780307844	0.0222631582606725	0.0210783996772123	0.0364726483838872	0.0120684064939895	0.0474001199342383	0.0527406532370122	0.0552021694984403	0.0193481576288033	0.0539036939406122	0.0356104067440601	0.0806786645168381	0.0521953348614166	0.0630774430519666	0.0375066578143559	0.0431533834552915	0.0453007207522549	0.0476143057428228	0.0447648917002587	0.0593383666812262	0.0436900833940614	0.0472892475469729	0.0539329754229642	0.0483522557495732	0.0416083359013276	0.0197455999334915	0.0291063366060748	0.0445543607472747	0.0521175574568896	0.0201501041777064	0.0462152160791362	0.078482741427635	0.0656250440172525	0.0369184573468683	0.0729303103935412	0.0466946607018202	0.0319698194257056	0.0612021600701524	0.0497834414587138	0.0540035283272817	0.0262627312753225	0.0516944414768715	0.0188772578851713	0.0649292098570385	0.0606219284728111	0.0484235499058155	0.0293694487304316	0.033479160844103	0.0730296398532538	0.0268464426119982	0.0522981680925763	0.0331930061798058	0.0652701794197232	0.0426396294634081	0.0299628092119381	0.0466979120843644	0.0288519271173401	0.0350686312313822	0.0876137560284112	0.0337363991262007	0.0285432503334423	0.0386666800439827	0.0309859213919569	0.0303814885135807	0.0605991687982645	0.0250461214944298	0.0898026587305551	0.0621611740976807	0.0244029119799536	0.069860000563388	0.0548751908633173	0.0289140641555268	0.0506558959164936	0.0131769722979498	0.0599898289511833
"SRR11292137"	0.285885489268375	0.394377603593196	0.538990529173073	0.240051888078444	0.339179968090248	0.264290944638944	0.411893076632022	0.378308845281399	0.298310586080037	0.349893488096724	0.291097010303057	0.245654577962624	0.268440778368564	0.314661465831158	0.225187776828082	0.215829745679821	0.289365277377574	0.414510276883757	0.372203343166389	0.160707340566537	0.421793453299577	0.232340160055061	0.238946942365914	0.389705387955843	0.304876725663635	0.303125571994295	0.266321772630599	0.2435143807451	0.375670104253231	0.216924601416801	0.24390519958929	0.317241813164365	0.37980810788707	0.511737393559843	0.394151315605171	0.246511570556849	0.261214641767126	0.301598453317199	0.294287667937522	0.390542248237777	0.329529954096784	0.367566485862305	0.286606948965376	0.349702140643644	0.285687177303042	0.231449791889823	0.404444429650953	0.224016276658627	0.265196267731128	0.305730742323146	0.366938636853446	0.238709457300446	0.293475097986854	0.295869241835099	0.256327931010382	0.393812382437359	0.365133565134686	0.446494164011332	0.375917555955313	0.277478683377639	0.358477956794341	0.246657237469716	0.271260827486008	0.281741072436578	0.436277001863823	0.424667833230364	0.245897470180613	0.287368741988846	0.164585950627731	0.409563760354883	0.263157935409029	0.408934800859305	0.280814402992972	0.28441651602657	0.29223609562207	0.359435281138455	0.397397205394966	0.228417731035134	0.56218717044536	0.485475899975896
"SRR11292138"	0.0184935369483164	0.0115294170224525	0.00770536935419378	0.0176374745258451	0.0174627162400034	0.00887495679199979	0.0162225521539286	0.0151099021369869	0.0165197585150341	0.0133781252579288	0.0157452407911842	0.0300937621977904	0.0198581848455544	0.00740381370792657	0.0290915624133587	0.00714157553199194	0.0211281943869174	0.0112623031488676	0.0367088372093468	0.00615750635971445	0.0156067382048626	0.0165127176848798	0.0172894425434022	0.0155177185710145	0.0184444490488309	0.010366171040726	0.0103377098193893	0.0155851795723347	0.0110392983658491	0.014265356329143	0.00838027040310366	0.0110211135454231	0.0250682167854715	0.018104866646655	0.0284500776758519	0.017081249648299	0.0146450212886041	0.0172346081607088	0.0109949990550935	0.029995880003179	0.011408774566454	0.00924851794797917	0.0126318839266284	0.015115488703908	0.0107771479043441	0.0113581210451451	0.0111182522203578	0.00903651928178365	0.0189467463665063	0.0175190130700298	0.0436706975434416	0.015174486218158	0.00793607249634694	0.0147378879837221	0.00938885996200273	0.0205575525574614	0.0137829486378972	0.0192661335053723	0.0167530521961104	0.00909672133467795	0.0179654036447393	0.00495756282087485	0.023292006381943	0.0233072933080773	0.0166118168564499	0.0102929851062781	0.0128936384997003	0.00956638446293507	0.00520702742272623	0.0131384134091167	0.00886120492134864	0.0289046563064409	0.0244056112473912	0.00827583318583509	0.0210241605692473	0.0225490228548872	0.0253981168445818	0.0154141347725197	0.00708480610875333	0.0351488598876357
"SRR11292140"	0.082720826589976	0.0618065099315378	0.0610139181320702	0.0390748239691405	0.04350575764039	0.0685724001372908	0.0319656374664903	0.0572243665889462	0.0937606810421934	0.0186715910210964	0.0298348703086805	0.053269161799212	0.0532438818374535	0.0242010019690215	0.0421789742401319	0.0522600809558646	0.0485573243743509	0.0233137044280416	0.0364447569805907	0.0298984094946448	0.0197490852689544	0.0304852340965563	0.0367853427768438	0.0562345958792927	0.0712872564922496	0.022185703557352	0.0511237455135483	0.055582748022861	0.0171252997981337	0.0471204242671686	0.0414550589614497	0.0681508981325975	0.141057629215689	0.0369073321398217	0.0314983029596887	0.0392760853948619	0.0584932962328857	0.0268587892280399	0.0468829694112105	0.0686542225358159	0.0238351219780312	0.0405639006025587	0.0252837998215019	0.0478440884455525	0.0536879411897185	0.0367226342925301	0.031117138930521	0.0240504969429939	0.0581560347046258	0.0279030453194974	0.0536101866465443	0.0426182689434092	0.0134808112750943	0.0623211347317437	0.0171831593730955	0.0304498804562819	0.0648841735085187	0.0716270019433461	0.0430854242535698	0.0456179444743348	0.0538551170319993	0.0329945135591284	0.0343947712765585	0.0604492449255372	0.0559823958225663	0.0238869079614785	0.0418791996482384	0.0466357284022536	0.0441344088890359	0.0548466694966558	0.0511270702532542	0.0312663866484739	0.0568203791927407	0.0168910730805537	0.0443461616280259	0.0635093641585624	0.0437789377500561	0.0315400351055783	0.035111765336983	0.0915397404449344
"SRR11292141"	0.49871156698444	0.556749184951099	0.60287995278687	0.620558058432395	0.590429683623755	0.6293800071789	0.82094132221164	0.637863559693664	0.604750339622388	0.828565257650876	0.400557948737173	0.544896671428759	0.520044010864116	0.658404784358349	0.498889751450522	0.544306941213217	0.520540952130172	0.690592538640935	0.560782172662429	0.358750667059215	0.723573913168361	0.528110588803018	0.526524729953444	0.56890443553578	0.509503923741521	0.567133909577203	0.571082407201711	0.472184228287705	0.715140673898406	0.537616287224193	0.63530144598265	0.581010437219556	0.627329975845005	0.635601102292604	0.604028185920155	0.557895566843263	0.417779166867509	0.575277785047077	0.560684230534003	0.520170784067226	0.62784407677766	0.551017489438509	0.670516659171491	0.503599686465187	0.551820245148599	0.503499640954634	0.569735986880152	0.566383576013595	0.46027508210165	0.561629389964515	0.542217321915626	0.52796889864954	0.561652628591752	0.43568176205748	0.63490265359373	0.664049042455019	0.582250862799032	0.47155500552634	0.458091876850726	0.500025845313177	0.585159592419323	0.610880232114174	0.544209626025053	0.453934093223221	0.639706487360173	0.676179848000903	0.539102414859144	0.595070214896965	0.532024980652908	0.611691061006036	0.531805895867945	0.65050590612689	0.52230323178687	0.681120013128449	0.557348667842114	0.520307930707488	0.600642225521484	0.54460979374283	0.73438810235335	0.627278328762605
