"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"ERR1624539"	0.194290874575337	0.195178026724991	0.266842694116943	0.112362204844524	0.212635885714586	0.151188960017432	0.240222740340041	0.191417548354945	0.118390622051452	0.222720584708904	0.264812441855129	0.246653397648455	0.193756101540696	0.275024403399866	0.188762486016858	0.254994664890208	0.158094913894996	0.160849195227871	0.111360930463089	0.341039155714185	0.136857914559339	0.137157037272631	0.117849901165424	0.201498127385381	0.247595095619524	0.20053171871514	0.186304675086622	0.144672431217258	0.376168957011883	0.220245765579516	0.136771500020201	0.228311480779386	0.200786388833328	0.351695966031911	0.268001078172698	0.240541961523962	0.312676478305662	0.148610138991776	0.229121864085621	0.153656401363571	0.228249674628852	0.0827815447391451	0.196743567014179	0.197272802183644	0.214632127306646	0.171622886532192	0.271470483979566	0.182436436447782	0.205410450589022	0.168927198649133	0.229590563776867	0.179341108610481	0.258858125356341	0.148514255417396	0.212615454658309	0.222018005088666	0.14703954769552	0.150383346254057	0.178327362748036	0.101635894295453	0.118567110635303	0.229936796268568	0.249320163582214	0.163068516850102	0.109493698395239	0.168329748160715	0.160046647940443	0.299530210235259	0.181658070099342	0.169850347258326	0.241194388505315	0.15958266939186	0.255833238748013	0.13587431588121	0.213369343618354	0.250847916304318	0.232050039437717	0.250720254468179	0.194009290667361	0.163703505253087
"ERR1624542"	0.68640874351928	0.655785448404333	0.670757123443386	0.468837537223737	0.628098301320896	0.67380401038709	0.64763707163664	0.637244611396148	0.524547716115047	0.573177335883366	0.654100597311959	0.730125479675157	0.625051255055273	0.714270139667025	0.771936786576717	0.599447640054713	0.680447227749542	0.691137716593303	0.413642833892794	0.793426798836317	0.628380445415812	0.480632863714213	0.248776954707	0.615972545556886	0.673208570646917	0.599759874379392	0.504985608543378	0.670112517639598	0.820696341334501	0.701930769192603	0.473488535171518	0.666978672566482	0.573939766864065	0.784459716816978	0.621623007127068	0.867929337716634	0.770159299552712	0.608804598721016	0.680002056878085	0.393856406827037	0.675046389345357	0.405311785917517	0.70514251819782	0.577835393955551	0.591932270246084	0.457210094292318	0.73810654933512	0.418028410495767	0.646607141262914	0.535307543610036	0.568254663369041	0.56028576501807	0.634507031015265	0.522707947083028	0.679858306056213	0.595746020884834	0.410475108831478	0.605142324800625	0.711318789970887	0.669352739247146	0.563828524679662	0.727141798917176	0.850390639944889	0.571553119146596	0.465067608811978	0.697293155076755	0.629212504651831	0.777434557647353	0.518394848643064	0.658678380140697	0.743966035165427	0.637315691630968	0.659015607473041	0.550101498711432	0.602382312014488	0.699342833096781	0.690729061042077	0.631200982990913	0.664383968815657	0.621121296884832
"ERR1624545"	0.909369660588392	0.945268053233955	0.877507365346046	0.883536379842186	0.901983246443405	0.982491351838336	0.913265465820959	0.941893375903529	0.856540359407967	0.910237784990113	0.85196670371772	0.922978454985104	0.928847206393832	0.907557289770641	0.967480843732017	0.919514446731253	0.93990669222238	0.96128730199735	0.949717519083275	0.913003059851303	0.982474647579958	0.666508287641236	0.424968849441255	0.942202894417698	0.902419300511422	0.914727122746458	0.92381440760319	0.963236703016491	0.870187371298508	0.962778854546224	0.887812212748241	0.899942042976341	0.941083495726565	0.849810116546312	0.868825858957846	0.942016505747893	0.889890278354757	0.917596146260734	0.9611961677108	0.84369934123998	0.953558223536573	0.832917681999014	0.944853923466722	0.931432991367227	0.936256028165786	0.699214233920769	0.88618400607398	0.604696048585974	0.937858414904465	0.851791308026337	0.877136324985305	0.934377771112964	0.936856183292299	0.919280446552984	0.854968652028003	0.894364807631301	0.672035110275282	0.956553379357962	0.894270604177755	0.883262750456175	0.898928722277455	0.963103579533809	0.976533542215751	0.935763528853769	0.962118593450561	0.949975626219947	0.953166706372913	0.943777798708152	0.7969849152373	0.829480682968852	0.950645636182264	0.981592731512235	0.765254629258959	0.800182252929717	0.908509910282947	0.942571889458993	0.947418959128412	0.905040043356328	0.943514752536954	0.95878599459875
"ERR1624547"	0.667096039468381	0.676076688682899	0.660716880854388	0.425019102539529	0.665526265887068	0.645064231348742	0.613937537208299	0.642863144688939	0.498721645186209	0.583716565703701	0.69107653923796	0.689103669400292	0.589958300288894	0.724531854215209	0.694822630132871	0.659005460543748	0.587341419723521	0.708071854878582	0.509475101750954	0.778407740387256	0.59460378493176	0.479356661329536	0.392041537369903	0.608544093244175	0.664206414509642	0.614207517813444	0.518917346406988	0.646886784842659	0.810546984583148	0.67760716402248	0.572461761120648	0.658169840959488	0.579086219437652	0.804015702483455	0.70038359545509	0.833226547431122	0.743008121506343	0.582122981610795	0.675622673665704	0.445401890193228	0.654149575928061	0.515163552621885	0.713937571005239	0.588402029112449	0.622760790951084	0.522400273748277	0.783830426179306	0.475636179920427	0.621676940918663	0.515680414307432	0.619793204846797	0.549534821337985	0.614064525372828	0.559634804488934	0.666097201207938	0.623239541809773	0.412657273308447	0.689322399967901	0.64005960179032	0.632882510361361	0.545609902519124	0.71737944377456	0.811029136839128	0.598503670906449	0.404243549923502	0.583261064941899	0.692382641570659	0.726160449278669	0.565511966646572	0.639983610816555	0.684913395137058	0.60014836656997	0.703507973582174	0.560169606164571	0.573676166780845	0.647042770569515	0.688293289986187	0.60684035845672	0.645251305935963	0.649312023717453
"ERR1624549"	0.142582506289169	0.106296544297939	0.187607793619587	0.0753210160911555	0.152037546460371	0.0692818205443139	0.14680930379839	0.103910680306398	0.0727030508567509	0.140015950486412	0.185989462142197	0.146859690433698	0.112183167940406	0.363901302312593	0.0998972174442053	0.171020933918859	0.0932461201373661	0.075375149736722	0.139923168438316	0.215030840463078	0.0611298664955434	0.107110757003082	0.0972116002097779	0.112096420332772	0.330238275471408	0.124548284656401	0.110645763473469	0.144127666352692	0.25676920674056	0.109951916858632	0.0823174131173974	0.13965663006506	0.109454760606796	0.241232295679009	0.190900677839077	0.117120930748296	0.202724991073924	0.127956427529405	0.130840133559108	0.110279230251337	0.125860120784513	0.0512052868560091	0.446030129422733	0.117610636881478	0.123868976587251	0.130885568272884	0.179750030090039	0.142333067729711	0.12857179896334	0.153881224172301	0.149950497683941	0.142736789062181	0.162765813927097	0.091511687759337	0.124251989026627	0.27495348153033	0.124320121407571	0.276303373030709	0.218814883960975	0.05400759706609	0.0925783944278789	0.122524072628764	0.110985879523315	0.0888791578740856	0.0552906095478796	0.12152679301272	0.106452978083289	0.173904924128665	0.120737224785767	0.118901403966751	0.126493544140795	0.0847569974696295	0.183292906959136	0.0862173246319489	0.131771607432747	0.139525031465188	0.137253362493609	0.164998564649189	0.132996127137901	0.284092603010836
"ERR1624550"	0.272375584742807	0.358929029664007	0.326770380438626	0.11039044477664	0.296383332964957	0.190671048326572	0.368987591737581	0.193673190517127	0.133933918741433	0.307005797464043	0.289881899927933	0.215731369780054	0.283570006115428	0.315987002961407	0.263333655619787	0.313245495129891	0.159753686211441	0.377850180527773	0.176163596584918	0.273725643622583	0.215801757184787	0.252985251273582	0.228221980447659	0.308725227519742	0.207110579316697	0.183495465076727	0.3151726235222	0.216553765700841	0.274458241488929	0.328172251676633	0.252177568425845	0.298723510956549	0.352899790125048	0.298393284708725	0.28526261012038	0.293186917631673	0.296138421621529	0.182849160370625	0.264805951443647	0.260540304637184	0.406139084407429	0.187390965464076	0.235453008421666	0.336860522251947	0.396195928845554	0.390731437240688	0.231454327675051	0.291426304104682	0.24914637177203	0.312360173128072	0.262003116050176	0.233628574539334	0.261823611149765	0.208678776998279	0.239792511715555	0.219791335178035	0.291627441877701	0.153097984823684	0.257957661410273	0.125505717340901	0.186976510670542	0.315623328080178	0.195173088044073	0.245013409946328	0.219353233288147	0.23780409106153	0.269410875717283	0.28146948500493	0.346892414167977	0.262071729235882	0.255848663303337	0.270177036413184	0.212456401503351	0.237628509517781	0.340675155806937	0.292454641668036	0.261673972231877	0.326362426640364	0.26017916554448	0.174369858467732
"ERR1624552"	0.703543094754412	0.724879504257282	0.687360516665167	0.811622211024927	0.711704426860777	0.752224019190786	0.640309177462171	0.741937759511565	0.777980401924616	0.706672381137952	0.705878524229364	0.687476365924809	0.717598829044853	0.646247546068391	0.720439919320906	0.706516209930243	0.75081118885272	0.676242430761509	0.845563365618142	0.632503653231899	0.790952895998698	0.754407858736617	0.814935537017498	0.689084327754124	0.741625602430275	0.768029701045845	0.717122130506616	0.732331588630779	0.631169119510372	0.664545536273141	0.751577005444609	0.665926002576635	0.715352580061543	0.646051728442974	0.720480348927522	0.682515078223387	0.660646331938358	0.775187227412071	0.733391304357384	0.775984384548849	0.656992660017692	0.797905410937655	0.732940452872177	0.739207076627988	0.659237974614712	0.705445398250083	0.721942359220443	0.732063044661876	0.692070753721883	0.686535795490359	0.718548484792982	0.746045014510823	0.696946102295261	0.801022337165473	0.719759583882631	0.770900610434503	0.717613848559341	0.865826471899535	0.668394976399687	0.737859990834449	0.74033297530932	0.675974019671078	0.69610526889414	0.729901606506261	0.744808229692592	0.723347740201278	0.750990263561139	0.632670066079283	0.702184464723679	0.701087853797866	0.700416126371828	0.735152212394755	0.67705511166059	0.683579235719628	0.686786381796609	0.687265506637874	0.706256234224564	0.671110943846663	0.714032617128343	0.820619700366936
"ERR1624553"	0.109576620215406	0.113340049313896	0.159349605217728	0.071155733052863	0.128689206087804	0.0866653733428745	0.167129695714571	0.127013621875974	0.0589918115347736	0.167624220123782	0.164680437673438	0.15588301109367	0.113958234211104	0.158251165789219	0.0782288491678285	0.204038693532009	0.0849500468286613	0.0932787293848277	0.0848579711693378	0.220959287892984	0.0664949219738248	0.0779038156560064	0.0864497802039462	0.145351981960293	0.135361661553001	0.127895334355294	0.156331687360749	0.116367493245647	0.224146429437547	0.15800308768845	0.0881051993655326	0.141649963833273	0.148097119014519	0.216545383191525	0.180924913003934	0.0619520437839981	0.187888443297003	0.0686880807838231	0.15176228527706	0.106897355190549	0.160615144977084	0.081512840461985	0.118578291298246	0.139425257075443	0.16700130115624	0.114487398247686	0.146935279719948	0.123308098271741	0.137667753019354	0.145421094150367	0.171062353314935	0.121793164867446	0.194760648248011	0.0872259742906549	0.125165441493346	0.127017066739983	0.111102292276685	0.0640612646073667	0.159799160704952	0.0545021043788159	0.0959193517480694	0.145681418887053	0.13699724484342	0.109801829260838	0.0756332117837905	0.112171675259433	0.0962800563383199	0.195031605819455	0.118198654202301	0.10629419536011	0.156273322226769	0.107025932337554	0.146098823185808	0.11470749069991	0.145589497747786	0.180464914832238	0.150837123736365	0.171975868978588	0.116708554335755	0.0758829438885404
"ERR1624554"	0.347541836674836	0.328294881542998	0.425040486399145	0.213315488232624	0.352099120272049	0.286633219420459	0.380548649744858	0.333323598492484	0.219144945305688	0.336255448183478	0.414337826690081	0.422647074723616	0.321937406152556	0.402752667644918	0.337560152974094	0.364579332568526	0.327745133300101	0.312962066318997	0.197085599663836	0.530309109811254	0.233364300650724	0.263033865328199	0.160713549503133	0.331116503440878	0.371165074699295	0.334648288705693	0.274100966910077	0.336046690388646	0.579090884928361	0.376803463833068	0.236112413601253	0.38442905488607	0.3039328535078	0.539499950333903	0.400099852801999	0.424614748602281	0.502809482220596	0.264083260398329	0.384356822871049	0.231410568163824	0.377113517229336	0.239037372105593	0.350786673360508	0.318004848266412	0.331459552439868	0.262358877070917	0.461760597400443	0.266262552376674	0.343173059224153	0.328685831488841	0.341942369535649	0.283281209634115	0.386990454581547	0.265599569152048	0.377071718807674	0.329468156917497	0.249528824785828	0.254551804101596	0.436970170717033	0.297936189152501	0.315271487034389	0.405137451462329	0.492700807468025	0.284794508604595	0.200135307728858	0.385184797253275	0.273496962809991	0.487580155609458	0.292752037080402	0.359408241637739	0.420684654943073	0.283484914086465	0.414594888317633	0.339833924650294	0.34303971996674	0.404759850274879	0.390224282947898	0.386225897513088	0.339638483018963	0.268603769137498
"ERR1624555"	0.245317713486999	0.235169011147895	0.325830562287948	0.183628041927763	0.264384817410293	0.205766048443678	0.279125389803062	0.227449576122313	0.17715380864566	0.251416034812495	0.31897217646924	0.3215529128649	0.233865325373072	0.341385122553417	0.263410525161121	0.280976993938088	0.224384800771807	0.220693106029129	0.166498110589874	0.402877001895924	0.166198598772316	0.180278380157905	0.144104654528551	0.256284066934592	0.313580200818159	0.250172223145487	0.21602901268155	0.242997309289225	0.453828627863849	0.294129319275205	0.171404709215695	0.276724494117373	0.220656939149674	0.421321065042138	0.313538650698902	0.33925236498848	0.379468148138942	0.207420449026141	0.287953351941131	0.178943062025186	0.264682725338659	0.173142168145351	0.31162910714268	0.233995084424098	0.23958989045744	0.203088043239786	0.342574230156979	0.214210470809233	0.26498075594917	0.289946291449179	0.259944276895276	0.211545335446481	0.291832093384205	0.198564648772324	0.263149234410097	0.277409853140804	0.196016217007752	0.228982938924802	0.338140789736111	0.21447705967265	0.224457210331553	0.277122545670396	0.315754563906887	0.193035506122898	0.128870393999273	0.23226907467581	0.217951207670391	0.354985426307369	0.216929120356648	0.250329257289628	0.28816432033897	0.203923433978376	0.383106036974159	0.241982243943185	0.250071851623371	0.288135456204378	0.276843329553481	0.292326136538754	0.239215972486277	0.223417860915792
