"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR5865065"	0.857948635676301	0.91911256359802	0.808183667222123	0.796232873947571	0.858653566834051	0.907114385764707	0.867141484754336	0.83319962027911	0.824557503862499	0.842746899695589	0.795190814325666	0.771660110972327	0.876237987966954	0.821033590264301	0.921582344443738	0.82899913473909	0.829693629919003	0.946675039664678	0.871890518256527	0.741680138023253	0.936274023242325	0.811106167359172	0.782265237450353	0.870399904626668	0.738700181272436	0.782055738070258	0.872105987087829	0.902097793879271	0.70194506754252	0.889717126413453	0.899639703360598	0.846732698698863	0.898729102126278	0.742508667314901	0.786949555856253	0.904492135646821	0.772143118974589	0.851504466853706	0.853754656953587	0.852547131895755	0.90919543387776	0.890913031307383	0.853286098147445	0.893662220970463	0.906236233394193	0.871077473217298	0.78555056854627	0.767120508408709	0.832682535493935	0.850350412948934	0.803588443232273	0.844526134115126	0.777815282288533	0.874144484325259	0.800006756201135	0.771907138641278	0.80834919536883	0.870937507753037	0.846395180521762	0.827041868235165	0.819808147872858	0.888203310454718	0.837869034332733	0.876467320037522	0.905338388050873	0.850391165641554	0.913771500173102	0.78854206025755	0.864058538330929	0.845887511584592	0.830445833898136	0.923671041390875	0.676576117080837	0.819813276318327	0.868312861632209	0.829936388530159	0.844846341342143	0.819058287490038	0.873198733675876	0.849309003820077
"SRR5865066"	0.410783277701864	0.613019955721193	0.438469175733656	0.320372002074478	0.492528223233743	0.554645969889983	0.529486527342662	0.432805826932148	0.283714743753103	0.53699427726223	0.428897955844658	0.364547775192331	0.479992484860167	0.470147352781926	0.523160454799271	0.595384803154928	0.32367052528657	0.65552630922618	0.584789420291732	0.393870309337109	0.594408966636899	0.318557840404269	0.372788409784238	0.560674450447421	0.347970306548867	0.386382477013204	0.611127240162972	0.59505344007679	0.327096135814745	0.58882559630282	0.536848343054801	0.447191781593591	0.615231858691774	0.380162757570754	0.493873765457526	0.387230608716791	0.375068875888014	0.342129639330436	0.537885222624188	0.487157811240343	0.634416201193577	0.505427821199579	0.533428421204418	0.58516418282156	0.663391544198681	0.49446877945589	0.374633869911974	0.371138854848018	0.463503618001181	0.559128962160824	0.484637056631921	0.479299175343954	0.497305010449558	0.447059647113054	0.33269355237202	0.404072849552795	0.414449126721335	0.434509876392793	0.526127334919757	0.288083474421013	0.412937224183797	0.564790741382282	0.383941971921314	0.513651928972804	0.549728269512638	0.478564800365744	0.594297028090299	0.428869381517807	0.484328425071152	0.383804162235597	0.429228190521649	0.626928722828776	0.290826755712997	0.408360788190163	0.513672531676678	0.485465736916547	0.494693010903293	0.491857330391653	0.470897141552441	0.433226912190163
"SRR5865067"	0.0590220334110006	0.0864577652370136	0.0885493115532573	0.0387451976824822	0.0846276670927598	0.051720546158514	0.105886131069253	0.0691486770078622	0.0317713801712363	0.121824295700741	0.101561144200065	0.0700973819255396	0.0701404362446207	0.106590949467938	0.0574549907111942	0.169197318103652	0.0374346775600285	0.0698433183822653	0.0842271488078017	0.104108439641193	0.0496182258714332	0.0520580469558932	0.107341837614359	0.0968281385259934	0.0752759281816063	0.0697644021637399	0.135597013701667	0.0907896516089093	0.0958318906409934	0.0952377571282674	0.0727361559019041	0.0797250399608123	0.108450273250674	0.112716464786987	0.13139081352654	0.0347122185854414	0.0861653072897247	0.0376454039984816	0.0853744221786608	0.0895147958927932	0.107294753864795	0.077102800982726	0.101287514933018	0.101300670338419	0.140576067510198	0.107486898006346	0.0734391716515398	0.103000109823962	0.0783514783496431	0.133466011839778	0.127113664382321	0.0804776421873199	0.11898415970332	0.0536465518296278	0.0617869710705616	0.0829528373428483	0.0981971579179415	0.0423837138905508	0.129549597777507	0.0334486868636403	0.0586364410663925	0.0799803888017705	0.0436420550166135	0.0727711482908353	0.045591184477647	0.0590236041583799	0.0799248304426865	0.0871878969808439	0.0934761310159119	0.0636576348679215	0.0700518652238979	0.0676446521559115	0.077806938808072	0.0776203316632582	0.0934850284399528	0.0977816876610167	0.083745096905288	0.106099787815815	0.064564613809986	0.0469813372467215
"SRR5865068"	0.881432349210883	0.911709518935802	0.746416842615674	0.785773343884192	0.855890567512584	0.946245888724316	0.891449107576331	0.899788571407353	0.839936103084885	0.864950706562519	0.790406703169484	0.825119017392622	0.901962537835559	0.864061768795819	0.958934549010418	0.845701200447244	0.881605017204919	0.945676820120268	0.832514292857575	0.794776394836971	0.960816367811606	0.757801313314053	0.749054854622184	0.876616974894813	0.76559534437062	0.81217946350935	0.890440008319405	0.936492899320107	0.746015698337678	0.910854667108331	0.901812260697594	0.879621351052295	0.907407654409384	0.775478216107699	0.753369852896015	0.91010291534025	0.787467671370108	0.88803284322726	0.843338053978431	0.846926346911637	0.910026344365664	0.896317041440532	0.891254289972644	0.892630571245737	0.92380840804231	0.841299582882824	0.792428670458556	0.716602135652226	0.867885860587699	0.813663933930791	0.851135465758902	0.881146440033037	0.784879510028592	0.873975813643246	0.834156576093076	0.750272667344083	0.759297410695627	0.863268881035103	0.867462724796661	0.856114625548716	0.75403167146175	0.893078407618444	0.89579028620836	0.899005526742849	0.928232077159519	0.865987311202432	0.93365696028002	0.824687226760512	0.843307621600161	0.849916875170347	0.870695535473369	0.944687252402016	0.665076325940304	0.79711399000992	0.879513197142512	0.86631348788	0.868485409878671	0.803166027820812	0.90705925997483	0.834679173502905
"SRR5865069"	0.112477859344866	0.186705908127029	0.315405943489744	0.206712801188557	0.221986243337872	0.0695320120818183	0.205137158756741	0.0988045237047698	0.150870073547754	0.201723257708182	0.253004310503708	0.0864024232374562	0.186000998566512	0.143361429850189	0.0865245333858381	0.167715265206905	0.106450350076259	0.11516976894676	0.209999646469126	0.109450241969227	0.100535792022222	0.300523763886472	0.36503980360709	0.149413641141378	0.152294335228505	0.161467494096513	0.18742941260181	0.10624825516326	0.134497663064784	0.098651074898031	0.230952924563315	0.18129207649594	0.197176929915007	0.151564933674941	0.254479785133541	0.0812299320372741	0.163034652331851	0.13659886184387	0.165100654941598	0.377784911150152	0.186191637842144	0.254325310429166	0.108670418543759	0.235685078060015	0.190972823414141	0.331640741968498	0.182763992620306	0.351543958948648	0.113991019998476	0.315843885635754	0.175774747253235	0.147363422074381	0.166204739883634	0.254709406866716	0.119186608682493	0.227181848830192	0.346395725602024	0.186801990620405	0.169377184915256	0.0667340332913822	0.190577469055002	0.13898982417366	0.0403673261163596	0.139792540773959	0.17076076816948	0.132790440005431	0.0855702918871945	0.108573595949721	0.282256516914634	0.162184083644745	0.0899837817948368	0.101553297704695	0.184486256841656	0.224518841557652	0.233334924180731	0.112799847383606	0.136866127409329	0.244378283786768	0.133175215303266	0.160603660178607
"SRR5865070"	0.296747940745636	0.352794850378197	0.247388836398051	0.226032504667389	0.315937314126181	0.406257000454172	0.352309324945001	0.400038122710118	0.216253159880263	0.40401066256633	0.320062966253173	0.330246372817828	0.324243443884877	0.365770297880485	0.395829492856638	0.484027581851953	0.269287492658792	0.348464908015412	0.381398653332474	0.365709168124647	0.40418496375593	0.190210923553576	0.331571285122679	0.368549260465865	0.305532687893343	0.333056863911237	0.448554386231909	0.456767225762061	0.318816956548447	0.404501113988703	0.329083196728478	0.320179067121321	0.401093180281718	0.352937716842036	0.366399123377972	0.232349652627305	0.298555530588896	0.258238900109581	0.347131551036596	0.31588603497211	0.367967191594917	0.375973977224979	0.420759421347859	0.369333057998861	0.448212788093212	0.295996235121298	0.301056445161439	0.272498844952204	0.353489748415706	0.338587055175558	0.436341027556814	0.371879805508245	0.382661306338567	0.284954064868681	0.297089627329233	0.301120798319012	0.265374606496298	0.288568430314756	0.405122964379467	0.267170403917324	0.246993711663938	0.341535371681981	0.335275995807145	0.360530587100662	0.300684362284054	0.286757335094996	0.436257357178681	0.335623832781052	0.293782159781079	0.272182099406687	0.348247110401029	0.401332868288205	0.261081813847309	0.277633181484209	0.32780661653179	0.388973578310894	0.362269962957649	0.312905783360481	0.334904867190192	0.271811097578071
"SRR5865071"	0.716043071776371	0.811174206961936	0.810125655427925	0.839382729449556	0.798614770704793	0.732753945030188	0.70628327587324	0.711121783318437	0.81632249177873	0.716042334415224	0.798271062718807	0.655340680326179	0.764313406395967	0.663639731943925	0.77632537674949	0.698153252977757	0.751373796651388	0.785510587132838	0.826095443276932	0.669489126738391	0.79707934917516	0.819394024029008	0.827607095674793	0.704673200975926	0.702387571834866	0.766099047149544	0.691871404899395	0.73853979226553	0.716310089782632	0.665785635777208	0.841206861168564	0.746544461239731	0.729111576739486	0.739345910525638	0.800417439297561	0.844040612563612	0.733556823586036	0.779361549818981	0.76870287156628	0.82567314699254	0.733881121713813	0.890363008287413	0.68012423938917	0.781085168062417	0.716250792035887	0.793603867540744	0.828674983766055	0.784689252266618	0.67133053727767	0.77915881773368	0.715935528327606	0.696641441919698	0.677111388026645	0.851346768447817	0.727576273074664	0.771546877520206	0.772920278352876	0.867561505646337	0.735300005223215	0.816689307593305	0.82172628577184	0.754339699397318	0.679803012162309	0.749288082549517	0.741221022911334	0.709167232659505	0.744644514820235	0.654263521362452	0.793574451813931	0.77932528469596	0.667020788267209	0.71160041578284	0.766496845495942	0.815988541944272	0.742549093329661	0.644608643535671	0.736406317065509	0.735738302777732	0.733444513026763	0.801318864144596
"SRR5865072"	0.213103968803841	0.311182626125931	0.350660714930901	0.273790330168454	0.353655978114049	0.259456961691038	0.325819532607785	0.270348504590446	0.25490584170825	0.34539009866445	0.359620984617293	0.18684147876165	0.330904773248832	0.327331921247452	0.27192974056746	0.328203303111903	0.237974918920699	0.239955730778443	0.449871225166222	0.214891248851339	0.332640317239739	0.289219309576788	0.422145545760929	0.272909770660337	0.309290621113603	0.311524672676639	0.341274798077315	0.322450485405087	0.225773328806781	0.224055741677868	0.375338222957181	0.312476841835448	0.33709073249415	0.254768112980102	0.371694385164627	0.173511747156486	0.243246109906165	0.298875671011426	0.297985576329217	0.500373513602102	0.30124980923646	0.507223641723802	0.350651422768504	0.365956337875193	0.358415500939675	0.361327834123804	0.31325684685287	0.362064986186195	0.245905700225911	0.398698183204624	0.344744984245893	0.317937331432418	0.287603788003744	0.422266622580542	0.198842977654933	0.376826557607856	0.352479900147836	0.4592788757562	0.308873770970612	0.206760144205291	0.310783702837485	0.264522657926829	0.124341808134393	0.291529456662191	0.312065439681877	0.223795442290936	0.255470830238074	0.2045866610123	0.342344927363371	0.232017629231014	0.185698733420932	0.281612302782344	0.277883641184728	0.340655979064936	0.342307232510058	0.218589464531551	0.278396322581828	0.327696391704113	0.289406856066534	0.370512825107944
"SRR5865073"	0.411111521913847	0.576283065363616	0.389435370045499	0.258460598665083	0.479934384200415	0.438135226595386	0.447489627571515	0.392568586453657	0.268317469976475	0.467895417458662	0.455518669807375	0.341829849714835	0.386570518870897	0.509169316915983	0.501347844774804	0.592863318475171	0.252258508519497	0.640358115862493	0.476546996046155	0.440811715177797	0.447523428374221	0.322813061921193	0.475903852889424	0.474937025515212	0.340765198504471	0.340838285949703	0.516192332544314	0.582096128503997	0.41740829128582	0.516493942020121	0.535395216601079	0.418527689588604	0.500531914120429	0.502976689912526	0.536206649017997	0.505493940222788	0.392543651753637	0.293397836047127	0.441378693083906	0.381475785069426	0.535748190916939	0.485715187666086	0.596633787467893	0.487776562820718	0.604527227850233	0.520359620317694	0.457932549224162	0.393165985265613	0.397444760570516	0.526195452751767	0.490289068661526	0.38156124173141	0.40295033108603	0.354780304020652	0.36706867711052	0.375979787824188	0.391090464224592	0.413917520319618	0.589054777531457	0.327076437126795	0.322147450791709	0.495593854542629	0.376323178706493	0.452515173032268	0.277966100305217	0.368436082444657	0.623381907318532	0.385699308146213	0.48412641232311	0.440827997563786	0.36789307797338	0.457076373965886	0.380829170149183	0.385758454863092	0.413197577293033	0.410416036887079	0.444831512045411	0.405225028721778	0.404016493638169	0.367372903145692
"SRR5865074"	0.732908315934061	0.838386859314828	0.683037464233294	0.791951471765359	0.796720469297711	0.910684497226019	0.786249633208964	0.848440624259197	0.78273410402022	0.807540037667916	0.745588748020785	0.703063298762077	0.829322775168645	0.740562648768996	0.893275287662796	0.805332798618717	0.798674705273889	0.853672795916369	0.869491362066087	0.673652738056161	0.932832628588795	0.65850620588337	0.762971610752641	0.79573568119173	0.691382481585329	0.796866545739904	0.839040413060227	0.887498684704557	0.619512226276848	0.809499990316628	0.871740869491192	0.787479138818815	0.842701067267861	0.667404790125548	0.756195499139517	0.751403427926259	0.657318128876668	0.813677872402043	0.802860760528087	0.848717946321034	0.811882456886331	0.903797829847112	0.810790625109467	0.835951416538252	0.857378339782939	0.730089601575507	0.757636695208661	0.66247368958996	0.776940078369831	0.765841599803086	0.812146881525721	0.820307224974037	0.741892298818021	0.865371311373957	0.6913233240401	0.732686705303543	0.67869628322004	0.871067065498495	0.767393678995343	0.770615704326026	0.720458591259435	0.808184948630181	0.759475504870816	0.843098171674602	0.871337608550993	0.781051449474034	0.870266390839621	0.689325471069204	0.75111420153492	0.708438160921034	0.737807676115702	0.890551947992208	0.63705809566369	0.735758045587029	0.790508993643611	0.745618166759635	0.801183890813891	0.72595764751105	0.823127838831671	0.806353726119641
