"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.83660152752848	0.897709044368806	0.843993329040594	0.727065337690461	0.861678047238154	0.891711658174652	0.820637623356449	0.822375761916315	0.759477212099635	0.799196318047443	0.835639210601837	0.798870250399723	0.835980123329603	0.855908545722968	0.91044897643777	0.82459614754908	0.822949705515162	0.919878995311517	0.864304948599556	0.837078766425602	0.903808039818843	0.731306646910411	0.628175077520056	0.83390497641296	0.813420352434694	0.805463698692501	0.785364772044523	0.894598378826736	0.842185000828782	0.861889288786781	0.847287363289974	0.834817319577611	0.83799292923349	0.848704840475147	0.846001008588641	0.940789986510601	0.835517054728213	0.831814244798417	0.873568901791079	0.773200528698148	0.874626827120589	0.855983439944087	0.892658563817089	0.845162717272387	0.853404360793226	0.771294012900287	0.881891571113286	0.685202044991498	0.814412020727745	0.816358843176607	0.786020835179057	0.797724336760161	0.796763700287359	0.847599143211019	0.790972402038412	0.823427670739745	0.696499970486637	0.915842209063005	0.862773707883164	0.862281263303177	0.843858889396443	0.894490713659405	0.894991637146952	0.839072956340684	0.801876533279193	0.825459734852287	0.890252951547105	0.837171149523202	0.801700049797395	0.827875730650232	0.828005563360969	0.881668667840954	0.793862495246586	0.815751732941795	0.813463739647967	0.805962123280235	0.859039130252602	0.812252692752704	0.852552669480098	0.89149338254945
"SRR11292126"	0.640173373422006	0.640775170596379	0.593350471662505	0.546464826677003	0.632622688583141	0.582009857351322	0.551399289255436	0.577251615658724	0.582905754514221	0.573067411263999	0.631151162927076	0.606149114538703	0.57274388263432	0.665181297555854	0.631845325173079	0.611440745498915	0.562457412269538	0.662366767644293	0.692998236608292	0.591749162470926	0.578617824408434	0.635982789792227	0.710664769468256	0.595540914996087	0.657881677509047	0.60034935574444	0.559947662014725	0.649562382234588	0.624360225984948	0.617177571835354	0.636672979397349	0.579830495810516	0.56536431912284	0.653804908261292	0.640364164335724	0.712216761692281	0.607459396211582	0.649848725529505	0.596075450741448	0.585802700577531	0.567639556143559	0.699511073999733	0.747587895350419	0.608439063758417	0.57623506631625	0.664706002740139	0.661577032079922	0.636898127768348	0.591178034430993	0.650245261513494	0.604157141317616	0.58242382576356	0.53193143703303	0.631748671326466	0.636572681492008	0.659881026894697	0.610615782167097	0.780922160117749	0.663353816727145	0.662088239857645	0.614812855719126	0.574077493722848	0.58817921640646	0.579922784211406	0.486177166605388	0.536050807449287	0.716825160542963	0.543049207555747	0.631901733742543	0.657622934379522	0.570843850891878	0.574369342253523	0.695342349921058	0.614401094742705	0.562418093860862	0.559803966058542	0.582052431883894	0.551187387167016	0.594508453857818	0.703418617696006
"SRR11292127"	0.49648812454497	0.590433488330433	0.64353359101225	0.43962507125057	0.561982645564502	0.54622568674312	0.592661989563658	0.463851271199685	0.41047011966413	0.527568222258576	0.544438000719343	0.474175137475207	0.580732883917638	0.547764132787731	0.575425676319282	0.481354287885582	0.531023082089873	0.562819133519752	0.541448174524407	0.518920445229445	0.58628349900143	0.46645541889283	0.261083005700357	0.5435259876256	0.532793421718336	0.495937942841992	0.49386866243788	0.522598451507746	0.530239938422561	0.549008694783422	0.471383758364459	0.555062957330022	0.578874284032143	0.498070452946744	0.520370645455118	0.581050229665484	0.566953669490791	0.516898430285584	0.611115188501228	0.541013239675168	0.633991193613171	0.498979704756596	0.530932787918788	0.588018349225117	0.556877340481324	0.463734728479804	0.532622917811513	0.42016498724464	0.510157157347222	0.553566565643983	0.446869427752114	0.514131379782331	0.553291888329429	0.567407892850078	0.43772605858239	0.552848413146736	0.454220509520073	0.590506427207803	0.522888245709304	0.443617347296448	0.599697763169176	0.618514716662395	0.52929903526922	0.495417662577672	0.587243260278177	0.616012340280082	0.441174876046102	0.575099181770868	0.498635822062774	0.465889644985956	0.535202459291334	0.601130413670924	0.43907231004037	0.541029237197919	0.592393016085426	0.533212018768373	0.558690538422785	0.603385450534126	0.558101949362742	0.602609925401208
"SRR11292131"	0.899757713544494	0.896059291812059	0.774684220420957	0.877146465106616	0.829662601812113	0.887211100392655	0.842223474662408	0.855080367215995	0.887752440469388	0.841806221859355	0.774707877654928	0.839522655060505	0.867104910757848	0.813796260579331	0.89569434320617	0.824431830589728	0.863024293051941	0.921659414179348	0.890891091843436	0.758546649811345	0.914684027323896	0.881131667152254	0.885891328549787	0.869084596046158	0.813073486663953	0.817752551404022	0.876416789053643	0.860402958652468	0.720853701856135	0.887782948810468	0.87974479648849	0.824439274386692	0.88481320739306	0.746264775149202	0.753125614227724	0.887012918216954	0.793503304343151	0.889457500032708	0.834043256584879	0.837179622003296	0.876314599227376	0.883852035906749	0.849352064044346	0.882697065315976	0.864224583051481	0.891955768864143	0.75242952702898	0.84131440136654	0.857169890347575	0.798699984927182	0.81683581731084	0.874039646661192	0.791042687957663	0.860414254694447	0.882006829869212	0.811546288654194	0.853834735201703	0.881653019910523	0.791199984735563	0.887050861872301	0.856762355278178	0.848980373570162	0.874369566888919	0.873925318289818	0.901528092279909	0.86113043202691	0.920580564547082	0.800331557834408	0.869404591529016	0.873601449755714	0.880224633857545	0.911243195745915	0.714056857390735	0.834073619078847	0.857849764337552	0.871472692041548	0.833362079345593	0.802110249262782	0.873690033178243	0.873894342145313
"SRR11292132"	0.0210991468852819	0.0246162969454007	0.0544991105721599	0.0207523764938241	0.0363307396393881	0.013991403901663	0.0437885326413485	0.025380238527809	0.0150712696526508	0.0494427879198331	0.0572591678078092	0.0337017070010519	0.0281175320960488	0.0457071648042314	0.0160724840855904	0.0620137636256313	0.0171141072559618	0.0149156264132578	0.0292569933828614	0.0552187271005406	0.0113810404348666	0.0272219570824733	0.0506020961783115	0.0358786373881875	0.0427416833130327	0.036325719065746	0.043101758200505	0.0241729421385955	0.0640473414359004	0.0317201142696422	0.0243892891904913	0.0356912082271424	0.0338649931380293	0.0654379724481935	0.0675053076579579	0.0122290757551939	0.0500830860969023	0.017012803761437	0.0359353179080678	0.0436971815878753	0.0331263617166498	0.0355268461636926	0.0333009065178956	0.0368518395772318	0.040796519399062	0.0433720573960752	0.0410572391922884	0.0602863621231469	0.0324428022311067	0.0694743261093805	0.0549466552800248	0.0300446413794944	0.0560987097180162	0.0254605771978445	0.0279351660874231	0.0458587985607467	0.0505859441231951	0.0183930432504325	0.0519253801951059	0.0155509849142022	0.0320827338142451	0.0262722894501837	0.0145053115996361	0.0228319102422253	0.0138487259434769	0.0213686881782227	0.0191582701734456	0.0411218912727578	0.0385699060264189	0.0263405104298781	0.0270540162135214	0.0172902080376842	0.0684696903111724	0.0445311392373134	0.0396105604135492	0.0376667561322656	0.0325668488115597	0.0534696862658607	0.023265568178516	0.0187816303830258
"SRR11292136"	0.153289042803356	0.177021886810304	0.206131019117091	0.088231449053759	0.181676206951504	0.119490040975923	0.204398901886861	0.146399565479646	0.0851727301997596	0.200337860178105	0.213109602727731	0.168930176776527	0.155263471836606	0.24227059993617	0.156151868998586	0.24402274560994	0.112513848287047	0.154137558661632	0.147607692055143	0.242052738367134	0.112018321800136	0.124460937013103	0.139212234809869	0.176748354548196	0.192292740818292	0.150300208138286	0.188073892333108	0.180752392507911	0.254073594873309	0.18563757956157	0.133357577933998	0.179888805780611	0.180543333118066	0.260889890254793	0.233051585796867	0.151598228887095	0.219931051830901	0.110840834283363	0.180137005873374	0.147954588525788	0.203897089584905	0.149740189174666	0.2337208309101	0.180955835428957	0.21523747397166	0.180913622078484	0.19457902040919	0.173145705745605	0.163990179852032	0.21550495867854	0.204839756217373	0.155451982089297	0.208975509172144	0.121155403625173	0.155171331610031	0.186158343801008	0.163816870761713	0.129645487390072	0.251201932644229	0.11829421861356	0.154417439560619	0.182370044100864	0.147879950678927	0.141722421257865	0.0930809901476198	0.151206240739487	0.155539199219267	0.209714368824372	0.172904518035069	0.158038361297701	0.17023979191496	0.137813909009443	0.186674552649421	0.17859815673344	0.182440386988617	0.195216070843777	0.181248235900583	0.206176465995856	0.154167498669566	0.137960631504313
"SRR11292137"	0.77842053470051	0.772329426667465	0.671456512935961	0.725424380326091	0.718307785683105	0.762980301183315	0.697769286634311	0.745297776831197	0.74998179212476	0.713825945554222	0.698315942225481	0.737988124900353	0.727531558635715	0.720441449253555	0.783856237924231	0.728590949672209	0.733262125073148	0.79082220028787	0.762835882516012	0.705066186711454	0.783350448197859	0.747567859350094	0.773642986180557	0.729238416576371	0.726964178805261	0.718939915669788	0.737764787992698	0.742422634772114	0.698772499250789	0.75543270390952	0.733856529686157	0.703557763825359	0.737655398167082	0.715808291372935	0.695792594184894	0.806855919971479	0.713506685448029	0.762222779519418	0.722017027762398	0.688343831196875	0.730222881303635	0.740520685386712	0.767186529203798	0.744924358177361	0.722614875675975	0.748571900252473	0.715540245930649	0.710542983579571	0.727708131211624	0.659967267651915	0.718960703275609	0.737863433323723	0.682800798759777	0.730789597201571	0.774999979411087	0.718977559259499	0.694575110160036	0.796841222334994	0.691267170538644	0.766233587384404	0.701362101847878	0.727131640236009	0.785448747228759	0.740382902478268	0.706383897771571	0.74746256267273	0.815146397022182	0.70126651593942	0.730632698367123	0.753541000928738	0.762957326339112	0.763644403288761	0.672779612914964	0.683969247292493	0.709186444747843	0.747294197363905	0.725362985267884	0.674935169802325	0.744281183702579	0.768121117811672
"SRR11292138"	0.0276298025654396	0.0336676532600725	0.068549691386023	0.0286113066982887	0.0515192645971538	0.0267372295459131	0.0662559517345858	0.0433676213027141	0.0234327882739975	0.0690817669808542	0.078357043313418	0.0417018872202908	0.046983527264643	0.0577638834936307	0.0322814778560724	0.0746890270547066	0.0303260326846296	0.0209147237517064	0.0337433175263161	0.0716911881703575	0.0234912237976614	0.0338955151176235	0.0599801380307823	0.0470629271360863	0.0504303624449616	0.054000680433151	0.0580167380963223	0.0381727681308606	0.0831173394590953	0.0426331998445843	0.0378623295771758	0.0575435398720921	0.0476674276740543	0.0835689212415109	0.0818707064009616	0.0185378413164474	0.0650444617786086	0.0280635568826259	0.0475459823610511	0.0699892228242276	0.0454005903298712	0.0662690504095761	0.0382548828780778	0.0518997322518766	0.0603781580312192	0.0517845116387606	0.0597175751824761	0.0701465840721583	0.0451028673605245	0.0853715902580232	0.0788011851650134	0.043308485230564	0.0691723146147748	0.0437458126100716	0.0368663014046639	0.0535481093447875	0.0595013299452692	0.0246910087941136	0.0664566492375665	0.0256980331930311	0.0400944958134571	0.0373554791514251	0.0213880138191825	0.0350908455836176	0.0245398430310762	0.0305233281184264	0.0257521593560699	0.0543230547248101	0.0499726524372551	0.0347172448753735	0.0364633415269169	0.027977905002898	0.0866532216092986	0.0644130840794315	0.0586631298631497	0.0487816003125885	0.0468907104793304	0.0691642630287311	0.0369750781803758	0.0223819355908688
"SRR11292140"	0.33124092613758	0.317135014820573	0.360251795672176	0.188951009620514	0.344351141429325	0.364091999392739	0.389954677029338	0.359919958016934	0.214786774091269	0.345241742175484	0.378009778154194	0.37865967488311	0.349755858521048	0.465694642113122	0.431995625241379	0.360721017788723	0.334010750489049	0.310005886877797	0.246650085689223	0.476889317871319	0.328185847795669	0.195277485900044	0.148195231504819	0.336271993943317	0.400862069079455	0.333060917678094	0.294541778533086	0.367410854983814	0.50370020571085	0.393363332669777	0.24675997311037	0.385457576182276	0.319666925814049	0.471060631423172	0.353647134282179	0.418072220555145	0.436617959339008	0.318470731111313	0.364714535370526	0.256408138570682	0.364652982619999	0.299227793295887	0.436495092469257	0.320964704318263	0.35818700601515	0.236920773950917	0.406556148396948	0.228864052484657	0.362195211345987	0.307330741219429	0.355521042932196	0.32430660978585	0.365221380716011	0.286551026063047	0.324461516173655	0.343287970516514	0.210931760007846	0.336662873700491	0.381139728157046	0.335316330048049	0.30172899638934	0.378165599415567	0.436894227690856	0.292468876812378	0.249346684586785	0.312157534974947	0.320629130715406	0.442496474471415	0.26417270503828	0.29033534479844	0.38443922560361	0.346278515957628	0.388626828103112	0.329253345659073	0.345469639088302	0.382118042101647	0.378712498405717	0.357708198853663	0.365780731544214	0.32330009726274
"SRR11292141"	0.544949377027266	0.664544734989809	0.562876721183006	0.257018896755106	0.573846206408001	0.455792822398606	0.583929855858296	0.409465977378058	0.329208126319407	0.512106351866208	0.542528311293742	0.418967446259655	0.519755368372042	0.580037548866975	0.604190543809932	0.539807299521139	0.380169515501472	0.727703548900098	0.401348882567399	0.50454889499227	0.49495388013544	0.52327967562431	0.463337059381258	0.54032619865848	0.412485596137548	0.379406181946637	0.514167663769138	0.570695155417927	0.521097947926687	0.577545263364254	0.547279720347569	0.547051656943526	0.579585516508894	0.568923131799966	0.542789705643045	0.70099712342305	0.533051161171145	0.424366571342014	0.503676790793667	0.466755715584773	0.651322642879109	0.445970808818466	0.584183034291216	0.576515251012141	0.640498166201535	0.648702343452609	0.529075678265818	0.500911658666669	0.464470594749725	0.606063449183076	0.476389644377494	0.431799758239915	0.432465695352151	0.455412749945385	0.484361891975681	0.437408889618422	0.524650034474218	0.448919218862965	0.63485013430518	0.364526145072996	0.391343563399795	0.593238222919501	0.46287475323383	0.498329248503762	0.405535025566787	0.518083104264492	0.600266324752445	0.493348446383315	0.60895416957782	0.585745473551118	0.47118149016603	0.518699600519463	0.454078861976	0.464850696608916	0.555525909955951	0.488517412237589	0.505936171781137	0.52809390704932	0.512034326455228	0.434236991905745
