"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"ERR1624539"	0.601548972552109	0.494680556790632	0.865921126340916	0.842121033659539	0.612945827337438	0.591371269379476	0.815663178376483	0.755066508973959	0.889682509347593	0.651500798792099	0.731375763858978	0.743967161047081	0.674392580490035	0.655316335070266	0.899625343885902	0.728547834514783	0.681108080112841	0.691855318908406	0.727384561975601	0.74636218728738	0.244031555036919	0.761181919668072	0.74398761332215	0.761313051771398	0.443969935654092	0.811966298408146	0.548422835935591	0.543264561617181	0.645203004456073	0.844729415360531	0.753378034856756	0.755563957373294	0.657108716383833	0.703705694103287	0.694527443425021	0.752180314874283	0.399888932404399	0.801655165520183	0.748273180609868	0.550356836265911	0.565547146889328	0.71188869058489	0.847466901956657	0.704137080056792	0.687583784323453	0.616889434990078	0.857779182538999	0.602707469178988	0.509432386823058	0.795441915293892	0.661919191428539	0.644904926336579	0.661919191428539	0.660245519098002	0.773584735715332	0.612741712851338	0.612741712851338	0.724068436959851	0.769101163959406	0.641599048708338	0.622483471882325	0.638244429670673	0.544235811770083	0.642600282705857	0.516564757706862	0.545356864474573	0.768688799536059	0.744183373617374	0.642067368394332	0.744967206300303	0.826292785670571	0.544235811770083	0.760319790496884	0.713120389210735	0.446164798311926	0.655154102101192	0.614398565036446	0.741181673303894	0.598819786446315	0.547718489522986
"ERR1624542"	0.518425442382125	0.625654626284386	0.506013063419544	0.485527611939171	0.596667160356825	0.464740876677775	0.665450117577698	0.619197773723954	0.520882509202806	0.564842012405838	0.510402396589572	0.703328033802266	0.65705037433417	0.574530531184615	0.607308221403598	0.620430816493008	0.613279611412246	0.480558790662335	0.703775947298379	0.717216573931012	0.193471518387192	0.627534318152862	0.516809428812911	0.611909948760776	0.310665765589016	0.590110540113867	0.559274893351454	0.415887107047835	0.478252159818076	0.527188462397391	0.635716138627883	0.565275207077253	0.622370299515893	0.532943383305838	0.598753116724603	0.655389305656565	0.344986756217811	0.6119521098164	0.62629996362164	0.603660811628619	0.552866008518812	0.637697962966012	0.711620225209011	0.772934055519297	0.645018982643275	0.621988919551901	0.591546608853499	0.584649772652847	0.573565525602912	0.662196968718242	0.618821661439282	0.278051294661523	0.618821661439282	0.616153715623785	0.673168382451243	0.5883233517696	0.5883233517696	0.607563542300839	0.610761293925094	0.609436922565802	0.526120662214486	0.620479083909478	0.418799466492709	0.531107225717179	0.530155299725203	0.387409897217179	0.400955118320248	0.64086954132184	0.515241108981156	0.591745341950317	0.614324978225367	0.418799466492709	0.62905302230521	0.640349225472116	0.368081489187196	0.552647944499593	0.551328329086426	0.681678427382694	0.409545693265901	0.36443850628135
"ERR1624545"	0.771352706334994	0.739369512672115	0.851199557913132	0.75010789953295	0.549133421124176	0.816527354188876	0.804941119595783	0.579774646517086	0.960582194762932	0.748386867300531	0.48729717452682	0.850061904311182	0.803918390345776	0.827391410172347	0.710997303239999	0.676819480689256	0.911889405617769	0.870823376317876	0.864090230593809	0.76780910615293	0.346370718205891	0.775476944113814	0.798003434391149	0.563561573200314	0.402283148183167	0.804843577581402	0.775677086146226	0.82953586296348	0.748433692440253	0.727759207932749	0.772558353661904	0.661007192839754	0.58596060133797	0.844660690902161	0.828793480648337	0.760080108836116	0.680873543208413	0.790502820510523	0.763070421798152	0.861397989685956	0.771288594233327	0.849021267969119	0.816647308332698	0.80404380526708	0.811986643029321	0.774390250960171	0.787414869213209	0.528133351414736	0.509432386823058	0.961626821405732	0.663013966592171	0.781071521260738	0.663013966592171	0.742967347033902	0.862651378742486	0.612741712851338	0.612741712851338	0.822736705933803	0.8331362546908	0.679427488612783	0.904991517542039	0.788089898144421	0.851114135619444	0.914532398139205	0.808474927290334	0.423987853508911	0.849634517865473	0.847675458104336	0.874484029358749	0.710158787164976	0.870136160142037	0.851114135619444	0.85529315014322	0.793996573638695	0.680751954499803	0.914510627769818	0.614398565036446	0.849104407015932	0.937956453870928	0.825090601507286
"ERR1624547"	0.672779748682163	0.5305657179488	0.69166557508406	0.762855973416369	0.606992320494908	0.67242270069261	0.839753927099039	0.710598286031535	0.773546855741503	0.786353849344288	0.455943570020424	0.721842632077886	0.720913084748812	0.757591168103522	0.829013645682023	0.676819480689256	0.717003944711755	0.699680444835086	0.675404185122737	0.688316852465523	0.290699223170506	0.854571822248053	0.7535665212603	0.711766943192611	0.447703007059837	0.852568639628563	0.702240966723759	0.740978088375294	0.656982747825179	0.727759207932749	0.79073364231924	0.752881451681439	0.707864775598212	0.761504604084649	0.661252736015061	0.73692920640657	0.622727776152346	0.820353538151407	0.724242152369061	0.707465290540584	0.7288591870093	0.733125680557398	0.865109591196403	0.657158179866304	0.780320850693021	0.722198989666792	0.824751798778388	0.602707469178988	0.509432386823058	0.810306002201082	0.662379129392196	0.652433254875883	0.662379129392196	0.764869233698001	0.787029658818654	0.612741712851338	0.612741712851338	0.673455175873772	0.866537802503633	0.665158252089653	0.677375980915629	0.745912384379642	0.593676544150339	0.700336169521957	0.808474927290334	0.732491996558002	0.757398619875135	0.777744911063846	0.684197701806721	0.740491144481388	0.892192076005136	0.593676544150339	0.770536578673856	0.700492517157849	0.625434199945599	0.703591452105475	0.614398565036446	0.736762450935084	0.746594417761191	0.682149698073273
"ERR1624549"	0.805250706884646	0.708037103920649	0.823115995481675	0.830511108393314	0.554265280272325	0.666759638954355	0.843446003100898	0.579774646517086	0.923932529661117	0.780007575457482	0.862995838498815	0.846970532835137	0.882273797476133	0.748011975297012	0.73671009464672	0.883948307021258	0.798069503565611	0.777716119744023	0.835977598180704	0.866139230650683	0.273325889365092	0.78776647726201	0.714586769341371	0.563561573200314	0.434466401453325	0.88130072208642	0.731913726599115	0.620994857997379	0.694902140439034	0.834343915492946	0.837012236104062	0.558214788246221	0.714356776478797	0.530554279536666	0.888722077551749	0.862628861025838	0.473022674116631	0.828558349524519	0.849958305704113	0.771158805004051	0.722539546546707	0.879316768586353	0.876331168077593	0.85205381374694	0.857396940261964	0.898716965683945	0.731618436497014	0.630671221496508	0.821611109377981	0.953627454310807	0.830333891693358	0.66219544428699	0.830333891693357	0.893529116316439	0.887260163006708	0.821474623208386	0.821474623208386	0.899399601813925	0.811008986752399	0.815929778725787	0.662482628622629	0.894295174832959	0.602728265902692	0.719411003095394	0.738694930177375	0.220448947788793	0.764293564808	0.861848443506418	0.65094706024236	0.76993732684165	0.89761997038732	0.602728265902692	0.842883169406217	0.848878255129778	0.494685033481855	0.729795792738393	0.808916987258921	0.889354410948058	0.858944797375619	0.643011895113912
"ERR1624550"	0.601950174418021	0.737590590265842	0.528921216473281	0.571878700144981	0.514713820681299	0.565212901028988	0.76974335264808	0.665395614863341	0.543562975168902	0.622146077695652	0.299036696334704	0.817712077876803	0.649940091281055	0.553197298503425	0.667381071882777	0.502510985012262	0.574358820401305	0.45812192990861	0.841651042469131	0.867506891138902	0.273899189456794	0.629952231180188	0.502114263741061	0.682108996380349	0.327888849141519	0.688106796007122	0.593835492254276	0.587368757982369	0.465216210442408	0.509514223983452	0.78831343763085	0.622677818470456	0.564150602723418	0.509764645421866	0.54032158174791	0.806769485283055	0.573676580175786	0.637423522499954	0.624158001930217	0.688919125105715	0.58288848968579	0.551553674280227	0.796712087623866	0.797055376465053	0.840189443794061	0.562945487091091	0.637083815815495	0.461376820849217	0.409765143281607	0.520708446301189	0.507920368960018	0.499485579721702	0.507920368960018	0.55267574676479	0.573789314181307	0.460244676160402	0.460244676160402	0.539594639881019	0.721332908698668	0.54130819347199	0.485210267882768	0.580773404682108	0.399332542068156	0.510451925130843	0.624566279804416	0.604703949849675	0.545542134464769	0.571633443981108	0.517738249274742	0.552485353933899	0.729320855626745	0.399332542068156	0.564075634765353	0.603891432626611	0.560211006136983	0.525012285968502	0.427696313497879	0.875417962719018	0.449946489024837	0.479511971264744
"ERR1624552"	0.856915666684098	0.831450969116267	0.627098997231668	0.75010789953295	0.433517807726985	0.724337207283913	0.854842067644091	0.705478390037155	0.772709207210153	0.805524750241731	0.582525625206483	0.87871985323905	0.84940174825876	0.755005816381289	0.866409569814805	0.755165419145351	0.762427811544112	0.72633741954559	0.883238633896981	0.890759762334243	0.296360814395019	0.827567595330533	0.814535549937208	0.706018315295689	0.436429917338756	0.86884502833121	0.755249132866163	0.79154138826917	0.658088512502321	0.727759207932749	0.864803302449883	0.451651182418317	0.417549804883151	0.379381187636979	0.786604150116911	0.853467956598924	0.694104146926859	0.825259763530968	0.787693867173164	0.810033029115052	0.767954095878249	0.797571061515868	0.851833340178026	0.826394693621491	0.910304628623846	0.798081274144672	0.827478017817701	0.477822854715714	0.640307328282943	0.862926224898263	0.73252123031432	0.670962236644351	0.732521230314319	0.835472735085792	0.83010003356104	0.699539867306031	0.699539867306031	0.796262601976269	0.831621779282944	0.741292150098435	0.626205838051169	0.809743784208163	0.600484023724751	0.712310684076742	0.808474927290334	0.407042163202347	0.68066720313257	0.819633837609163	0.675863075306067	0.761045156173233	0.902639924441574	0.600484023724751	0.794963041368141	0.802074531886497	0.69082087123833	0.716541724344849	0.694108425395669	0.903575663709347	0.792030671562659	0.671635226746486
"ERR1624553"	0.411894238557324	0.300395184273708	0.763192341409784	0.717572244556978	0.577464856097757	0.639577517061221	0.834818900175656	0.708703353227912	0.794294535270605	0.706706506510494	0.687358593470269	0.642736438529664	0.460852969500342	0.763929412285153	0.796156278108639	0.716233120749991	0.612085974013857	0.721270317545313	0.544903062838048	0.627228599230876	0.524476969610124	0.768045881846287	0.735575292132273	0.685494662008196	0.606190894965367	0.589872288564403	0.668362606767901	0.523869550745187	0.645203004456073	0.756546810449654	0.73835391715376	0.709799174456367	0.703345085000784	0.518281444661821	0.683708737118574	0.690618065795044	0.40571450738869	0.641760600915117	0.683442551835085	0.65084880705038	0.665543460495326	0.745700261979593	0.779854064835705	0.701809331339307	0.645736058474397	0.665712164776951	0.785481929507337	0.61157089654663	0.519061244792535	0.81812841288591	0.661653214755795	0.727095985733501	0.661653214755795	0.699078544803255	0.794178106551742	0.612741712851338	0.612741712851338	0.704090649544158	0.667683277321443	0.638923605354146	0.590862154770829	0.685071240454646	0.718484064805211	0.631647545421936	0.718905804638001	0.245078926270789	0.706731880693437	0.770598138269633	0.697309810017845	0.733530316567013	0.605631070203652	0.718484064805211	0.776028541484653	0.618111497574371	0.415673843793766	0.617995622295514	0.663297875988267	0.627355964667175	0.695578496060911	0.648932791552299
"ERR1624554"	0.557509531395652	0.508525093340995	0.891679563498158	0.819819922466156	0.637589814724645	0.701476132749286	0.887890598132723	0.61006610317365	0.910002208595518	0.683783311161886	0.595845366150423	0.77024157829117	0.688242581804493	0.748850276980915	0.752640166486557	0.719440922450061	0.693357968113703	0.804706027063021	0.755276104900862	0.764723063155116	0.56870044498467	0.826031467837945	0.71504530819937	0.563561573200314	0.631133491882198	0.852744145700077	0.71499446431303	0.635186803775795	0.624145999978264	0.826826234113963	0.739500805955559	0.667939088087899	0.541119819379151	0.754098728520737	0.697036469538013	0.725880177395777	0.582229770880745	0.820257598383373	0.728587849075726	0.727133707300124	0.719755017234646	0.760797583910862	0.791923447435346	0.831954756258859	0.716765407611246	0.615424654992624	0.721130298209674	0.615759962629845	0.521324162248054	0.799337743437342	0.662179469802513	0.740659688122205	0.662179469802513	0.687585442318689	0.777091950329291	0.612741712851338	0.612741712851338	0.723199265095188	0.763223949695885	0.651755042946918	0.680683880690194	0.640355088720208	0.685886116440271	0.714386640291629	0.724777043740354	0.50861707330953	0.846372960309326	0.751501292872136	0.710241340951128	0.713876917568689	0.870910248471602	0.685886116440271	0.762971493016441	0.757483926586139	0.622103637565004	0.707525078845893	0.674351231605135	0.748093057174029	0.763841532737286	0.761737113196304
"ERR1624555"	0.236606723843815	0.410092876572931	0.329850795692488	0.182312968785159	0.34192360523458	0.235615819893777	0.344224022762336	0.546878721344343	0.135104038830533	0.585988476818729	0.242455419316071	0.388770989751243	0.277000987450971	0.197105994203632	0.293792334824799	0.257474811537041	0.278639259269282	0.149343471393256	0.408327921568264	0.488191149350165	0.133206945997965	0.332290189315487	0.157484683578836	0.535445375666935	0.201122205097086	0.310048018956243	0.178043317170193	0.191914892459431	0.250930895296566	0.227152192975838	0.365214128991433	0.262285575379694	0.194441528467611	0.17920366702554	0.1954679004418	0.422719619249604	0.198864951671549	0.352714310759498	0.313191905465879	0.179986135897232	0.176585015273943	0.230773080101611	0.316222893203519	0.365399033127638	0.317019349564693	0.218682197182748	0.257044103753469	0.307262005675828	0.303939033680773	0.161075785350487	0.32820483517033	0.0677409327538329	0.32820483517033	0.286760693457616	0.269692396984022	0.294999695845145	0.294999695845145	0.195022935808889	0.302850315954999	0.341865500183108	0.200342275584203	0.221432100784028	0.160937230286798	0.21744499643661	0.167579629090906	0.242322535803135	0.267144530440885	0.25925135350269	0.262454657981359	0.302968170771297	0.30578270511929	0.160937230286798	0.281865680247312	0.288903837327039	0.200083695219319	0.240282262247051	0.238113495503675	0.38366253910807	0.0906332872059956	0.197181182894554
