"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR5865065"	0.851938097033486	0.858895566063663	0.860096713564259	0.813027643105416	0.780047736556194	0.820487738113229	0.859603354206444	0.720699477917389	0.868269272968653	0.694537422460528	0.841007922652808	0.848417038321978	0.735939534719279	0.63215091281709	0.918830838906206	0.872334701180578	0.786611465819117	0.773011544935651	0.875891571788793	0.880544784925879	0.753119022996405	0.893586416075614	0.888177997897477	0.721870436342944	0.578196987989877	0.620122682604684	0.508694864233102	0.549111007365649	0.843989356248589	0.795490453212198	0.857437267364032	0.862490142532093	0.855043066035723	0.862012739899544	0.80724789371321	0.848971931356397	0.856538628102282	0.650908927097426	0.760379356019612	0.543964203481835	0.465556988053503	0.774261774194793	0.854133058134342	0.866865155859619	0.876514381143343	0.811330348309615	0.90237564198442	0.756220469506094	0.634980545246035	0.761230558994515	0.694123891201762	0.843725665419861	0.694123891201767	0.64169743596992	0.866412531678862	0.633906701036874	0.633906701036867	0.801747963811778	0.834872347619459	0.743182692020258	0.818704356113044	0.824942334391986	0.790478821045375	0.797790093756352	0.406348453112347	0.848779598288495	0.610391100555055	0.79179708854254	0.802368238569257	0.851401362811213	0.60961937768755	0.790478821045374	0.753368665905254	0.743241210260609	0.876026191173484	0.804185854583702	0.652401215109986	0.882015076952665	0.649314316182894	0.776280374884502
"SRR5865066"	0.840879400906056	0.625632586078318	0.675505429554508	0.822134370425251	0.803798454299325	0.69869472868448	0.915636948983856	0.696659289024043	0.88821025275214	0.726453955838294	0.817982801598434	0.826044227314274	0.860123394995349	0.716159594072095	0.918086248263117	0.914630413511715	0.756111233134251	0.926498524546706	0.843726514124722	0.86177957948511	0.495070013279199	0.912729564969055	0.926463649323937	0.698214736742479	0.823768045913811	0.770712353783277	0.623333486475601	0.651078278887822	0.925837491891516	0.855668783986449	0.862468085218809	0.840080495204933	0.841721344991244	0.822369503878188	0.852551611803308	0.862357100903825	0.520813564043491	0.776431754523715	0.860955991969921	0.630497806523287	0.594120217848682	0.889593922865705	0.873881051210714	0.922543673765847	0.858365913369155	0.861391708439926	0.930170912570291	0.820286263578381	0.836251309774775	0.961355437166024	0.871102618172004	0.851766379719363	0.871102618172004	0.857590404700782	0.897147355918381	0.892625980759121	0.892625980759121	0.880954444196617	0.819320578668062	0.812430981711129	0.784043738063181	0.874945181813649	0.855957944089263	0.791709925055401	0.512375534591205	0.696423916428588	0.802520669604131	0.878425551283421	0.76501371313139	0.900854860442644	0.769806820967956	0.855957944089263	0.901747603106801	0.884970629178305	0.54527774342013	0.776454656279879	0.869826944171984	0.892204858254894	0.954770803277499	0.798672704930954
"SRR5865067"	0.691955633158195	0.581195049033434	0.72350575308793	0.804578653493441	0.791185637457195	0.713245798489322	0.901290108816321	0.626218624152331	0.83191723899053	0.71228338535332	0.874001856639606	0.706860904885317	0.707729635158474	0.73017906263335	0.755364354184388	0.864184843068228	0.679505290367099	0.833362877801961	0.673197984654223	0.751140886794725	0.471079470800274	0.798048252573642	0.894297769050534	0.621192639223715	0.704114139280062	0.742211124612047	0.622177772732075	0.723929168860187	0.84215869280918	0.841695312890799	0.7577452151529	0.830647097404881	0.872889434039253	0.784407185319935	0.79423206190058	0.764772452830595	0.484505634577183	0.760209560873702	0.803292005219236	0.593600935308357	0.610101189978966	0.852827552766105	0.826754256323508	0.690145842135064	0.707702600635443	0.820383193191042	0.823268666596841	0.805663254658823	0.75094163650624	0.902744084407071	0.818880904561062	0.784650880362702	0.818880904561062	0.818035968082096	0.867068943823118	0.829287862413077	0.829287862413077	0.827062706796844	0.791246772819032	0.787129011255519	0.701172168991198	0.837391918485017	0.762570643891735	0.691957440480343	0.627626341592359	0.610301963553014	0.769206705570306	0.848973623810869	0.715789592249704	0.85163543168533	0.746024217961831	0.762570643891735	0.860368294579549	0.795258353107055	0.483773152464783	0.680172228374193	0.798025221572991	0.767070113749699	0.863689791095962	0.730251646518995
"SRR5865068"	0.674729941841679	0.555113840533494	0.767987450757377	0.772394886277915	0.492711964761716	0.62491550736742	0.899230914850585	0.728056004334172	0.866842370336261	0.681164001412487	0.678584080335214	0.832898479720757	0.730374062504914	0.648511727265032	0.888021037041583	0.760343184965158	0.721476211975861	0.843365702627457	0.85255342941223	0.858831897108487	0.612287197040383	0.813037083385418	0.799852263705974	0.698611616939627	0.729920517130639	0.616685876681879	0.53262007876665	0.366085329050325	0.684713578712414	0.808256419545134	0.847758227761436	0.659627147480589	0.605587211400577	0.45724001701465	0.775663165730068	0.857205016234104	0.624348549834719	0.682597851869845	0.766408595058295	0.584614621354737	0.498993342601758	0.803120760316685	0.850746401602465	0.941075274458118	0.828207498562516	0.685585143383191	0.850050461243464	0.508007796193148	0.528350870724099	0.835816502728436	0.662319289008675	0.838403932793586	0.662319289008674	0.67937875318871	0.810549896847659	0.612741712851338	0.612741712851338	0.793625026135763	0.68893389685734	0.593214967186295	0.694966713436041	0.701073815170906	0.836745236891665	0.766319223280909	0.44853081167287	0.455018186655696	0.777257871420741	0.802217220033284	0.766645778963532	0.744378049696704	0.629236024957317	0.836745236891665	0.788782488092982	0.759042139408736	0.660589075149037	0.747050087293627	0.70744977501865	0.869168659633778	0.793793470377487	0.75614280411933
"SRR5865069"	0.675234337769961	0.357106603120627	0.380952451946453	0.695265910139681	0.725293954226029	0.347376608422109	0.650248369109034	0.66420052864515	0.591650425498709	0.516503131192968	0.772291398775747	0.482919897146216	0.684329406924321	0.489393851353897	0.732946972963951	0.751229076290104	0.52913579234646	0.545794463569325	0.523916716949753	0.488909749389001	0.337107741696052	0.643005690428319	0.728676329697715	0.656167659326311	0.755716032194866	0.556914933083604	0.418398305147934	0.547594156171896	0.751931776226902	0.69329931088761	0.545901560992325	0.720858879696814	0.740996261778262	0.606636882038886	0.595540935258815	0.54292331299969	0.234162084439238	0.632470328183621	0.641257226354875	0.389427308901375	0.420285467021252	0.654929640129312	0.648565982272076	0.587681068672436	0.471218648705645	0.662994645661385	0.683917389982407	0.73002248297844	0.738673560349119	0.671699482369016	0.737771169496136	0.664514598301565	0.737771169496136	0.649806437827316	0.677877822443016	0.775973138292541	0.775973138292541	0.636963334271439	0.693585650708695	0.618144924151612	0.595547497286096	0.679707696326538	0.644062475112211	0.587639077252482	0.375170126575636	0.709042010737182	0.660328557986943	0.625389040807101	0.534379420545195	0.753038380580679	0.555036748550525	0.644062475112211	0.690491725083994	0.644464846646729	0.255639052763105	0.577408410661869	0.728043126545467	0.492594070958602	0.574044029860568	0.6275356061012
"SRR5865070"	0.639701948801989	0.531994415010266	0.66687256147248	0.787381993275354	0.456446510619792	0.574175497498129	0.883007431246178	0.691790318263025	0.827296169974777	0.712512107287575	0.697584809285974	0.720944191492945	0.72534598152781	0.512223975230306	0.843759226666441	0.808680550580969	0.737822828731214	0.779542516992994	0.715366124120464	0.739876239846416	0.350813546526383	0.783449037832352	0.797911122505912	0.66729789046281	0.570467343611354	0.622186139682883	0.306482803935051	0.529591065790169	0.668806066085786	0.815386624762714	0.788743178305439	0.570789050328705	0.545139801612457	0.383324859433182	0.78312203913663	0.755108172680931	0.485164607263167	0.707734723995083	0.754917393874376	0.299612629046895	0.295236111709696	0.819672822703487	0.809458881269423	0.84080131053711	0.763582575379277	0.717898441741732	0.816011565871385	0.509895356105609	0.595478525124384	0.860305343067469	0.703472859795958	0.750797702728277	0.703472859795958	0.742003629767871	0.830148999580931	0.664429584020588	0.664429584020588	0.79973949873466	0.689272489056526	0.645936759782129	0.66931231838987	0.727389229614487	0.753097083024322	0.740828077348488	0.261956130260918	0.328859763847015	0.649398784516154	0.814035381841349	0.727141587233989	0.748064533280586	0.650438036120393	0.753097083024322	0.798994163310107	0.739768402044574	0.522814314354978	0.735043001519841	0.704620339571912	0.736480884846122	0.736971569985995	0.623323966945785
"SRR5865071"	0.925002103081668	0.852535399328641	0.853736398514431	0.827359980444715	0.828428644284703	0.84068598919737	0.828846324545838	0.630169381143723	0.913190360626853	0.744008973074904	0.823206593725155	0.77225100555472	0.911101187297551	0.793473078743915	0.793243568115196	0.877619526703475	0.875489677937391	0.808323762764192	0.814120855048663	0.733859306579677	0.637551030677688	0.785672170127911	0.896751602242979	0.626331064853944	0.714377130959117	0.866240191040778	0.70140195746144	0.817353666160434	0.877339036552559	0.826010696149101	0.723281670872757	0.837052156954253	0.852558656427311	0.923834503926113	0.870490590197778	0.701347866720986	0.853382747221892	0.841001511356575	0.833165248485079	0.753733412136866	0.703070922194209	0.900028885102399	0.81585872253392	0.704027895928984	0.755193655500673	0.874511846746333	0.827843218360866	0.83515086952099	0.805802605085989	0.963802349175897	0.846374956456489	0.834477861773277	0.846374956456489	0.862049226738854	0.907589816903963	0.859559179502599	0.859559179502599	0.88402319055866	0.860309419911889	0.839444858981399	0.904489876247109	0.882999176570699	0.868636435467075	0.890417593245736	0.705482049749427	0.908427499737173	0.846315704581709	0.906436436857502	0.850264963274607	0.863889720552613	0.889085577045223	0.868636435467075	0.897612293553458	0.828551058398737	0.868626352214995	0.886139511941689	0.833700929224051	0.776582973618925	0.907206860047902	0.814964661314133
"SRR5865072"	0.605269087840723	0.165847186853265	0.284455727734335	0.797319627367153	0.330500610049481	0.211984797636581	0.805558963898319	0.617131197538318	0.702634209538932	0.691778473980819	0.719977033391218	0.558183658535503	0.627500643545011	0.489489773250084	0.687631737325918	0.6451348575943	0.630283245520868	0.588498881507689	0.558942544911373	0.586157112314693	0.0902910608468749	0.711017505554616	0.649716660931836	0.597245234400089	0.490804135169922	0.761724589100058	0.358207872323254	0.489653418245595	0.542104584650527	0.795469707090744	0.610207115225558	0.520028106469852	0.405915822396906	0.264593312732909	0.606595409470668	0.583586869279678	0.126003171414531	0.757418693608509	0.61591070937976	0.343259839146131	0.360261644899747	0.66229245072812	0.760006006673656	0.54910202199112	0.560637681091018	0.581998904209814	0.616464521581825	0.35805164521834	0.454447721132969	0.653292677823916	0.567714889091648	0.644984644547202	0.567714889091648	0.604949613042575	0.669593913747233	0.518972950357476	0.518972950357476	0.630640108681158	0.747713186230327	0.407569890679656	0.545391255088829	0.59959269592802	0.572157530327943	0.637319105271628	0.40078807348134	0.410508833442346	0.657549052000727	0.612297678675752	0.551695206134177	0.614050452765766	0.786215596690154	0.572157530327943	0.654433102547662	0.593900326898395	0.13475684307676	0.639542368594626	0.539005064370306	0.574816202337457	0.55170195490677	0.58655342609265
"SRR5865073"	0.778201833915867	0.746913007679758	0.637432111838366	0.820325715706234	0.451826939319171	0.665991962163356	0.838887502639172	0.579774646517086	0.817869327780175	0.765860404815575	0.650778118072702	0.708401592826551	0.810653547038862	0.525032304444033	0.685736811238202	0.738664198136032	0.77463427401277	0.840251136136326	0.721227702058898	0.696651869488384	0.303712228278114	0.7959154609652	0.792742795937564	0.575986287085982	0.412218100658919	0.812174664261574	0.33236719840299	0.674778646229205	0.729662843029634	0.816300303625974	0.826336147846157	0.669213467245456	0.622133378199175	0.729873381865812	0.728501679810188	0.78201657671768	0.777436540240816	0.809868398397209	0.728522409490382	0.319630089128176	0.342704067599049	0.762669431623787	0.883146444088297	0.720511484118248	0.801080663862595	0.721524124164651	0.763486158530495	0.466892857036803	0.509432386823058	0.902536750078935	0.662241781561772	0.682804950532416	0.662241781561772	0.742884655672703	0.805842663145055	0.612741712851338	0.612741712851338	0.744711295624325	0.847070441965119	0.657147462170025	0.706821000780563	0.740151371391808	0.663252788732452	0.762745924778001	0.351006169999886	0.752450660478459	0.618791782478927	0.818793125111764	0.735506938563569	0.722474290482238	0.857713921111224	0.663252788732452	0.801653984097911	0.759060807292237	0.799436787187632	0.767463316169706	0.614398565036446	0.774257842940997	0.86981962729342	0.619259402658451
"SRR5865074"	0.817571417517535	0.849838476708089	0.80290355669552	0.791968310126295	0.794758180589244	0.792257237923637	0.896094685992412	0.749570077028681	0.847255273757021	0.748575102911119	0.764245280592586	0.858438851210619	0.844577500121148	0.639084538157048	0.914264787577524	0.84137866680339	0.744368586050103	0.84675233795207	0.888872381201414	0.89561339077828	0.640378512352289	0.834790797641651	0.888896502073239	0.747461381853689	0.727228673938773	0.718276640433246	0.523482861091568	0.626785773636099	0.815320822615013	0.822671158376171	0.876993614480424	0.846326344558961	0.843605986511736	0.821410367371066	0.821303210206846	0.882987033639898	0.799867354573126	0.743248350399681	0.818743024740745	0.567410489450508	0.498626007361839	0.846238685160209	0.874810881402905	0.910571776680921	0.875858185213851	0.786338687992847	0.897061991209801	0.784752936058256	0.724200795034641	0.896456019467103	0.799631131452056	0.808444493085715	0.799631131452056	0.796083445258213	0.861668636311246	0.803905511776284	0.803905511776284	0.846365564396735	0.768268713478911	0.788338921665508	0.764413447479954	0.802187980593944	0.804856348177159	0.759625120771986	0.385017283271021	0.810960734288816	0.695612716226111	0.862073268761492	0.769080923816237	0.854999549213951	0.715567653658907	0.804856348177159	0.852639717432184	0.840267188607597	0.825741475113373	0.749459855556596	0.796291414468861	0.905326579002118	0.831012925722328	0.693110783658972
