"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SAMPLE-1"	0.553635473831888	0.6740105701254	0.813016501536636	0.841624552033422	0.635362254230347	0.792894166819779	0.911305348217867	0.626873975230688	0.803415866925853	0.878855152242867	0.783810852015863	0.772249487443018	0.779368584236604	0.511796177712016	0.744282251501597	0.757848191626114	0.734645040465277	0.847885401090493	0.787627069297849	0.831730044594115	0.814174297910872	0.847011979139549	0.752089175102154	0.579388056819482	0.744523867749577	0.910066081709735	0.367987380534116	0.716728480838502	0.660193616531619	0.843808216413106	0.809446871758811	0.699639796536171	0.545234979411124	0.800551645440033	0.730394282706652	0.833631484427042	0.849659454867829	0.868783970318241	0.749595081769799	0.368230576436039	0.353910721106804	0.78478560577743	0.821534276132839	0.779889364596205	0.800709935577726	0.521694574019215	0.738379383239834	0.602707469178988	0.528051623881646	0.813546400203126	0.662730969365355	0.835071122102163	0.662730969365354	0.779842727686257	0.657297477521773	0.612741712851338	0.612741712851338	0.754385162369331	0.687564830292689	0.673104324958813	0.75053573230217	0.537216186263113	0.783998202201467	0.787198955688024	0.422770614677105	0.75472924555247	0.841732517563212	0.790336536527878	0.772751552941005	0.722748435885873	0.928742602699202	0.783998202201467	0.77280137439877	0.78128222576662	0.859251805566545	0.769187912525219	0.706079904719279	0.852860853027701	0.871532502919213	0.717392345831647
"SAMPLE-2"	0.400646348093466	0.301378795812149	0.529598253351248	0.645217220338002	0.439822995827748	0.456881480012919	0.687715442890742	0.535676803687122	0.555286252113825	0.871920635510054	0.46197472689587	0.303286151564314	0.382789008358562	0.359451805502182	0.416314714929241	0.46862846447934	0.537411391225902	0.430963731441005	0.224948261400897	0.343553913025434	0.414260786500063	0.461918970042946	0.40805742947947	0.494989373451602	0.426872312222895	0.651597026198301	0.220479289753381	0.426038586658664	0.417973613122394	0.624149662991624	0.414138480347386	0.453283352240535	0.345948053318023	0.406319057095904	0.438930478390588	0.407881165389376	0.389979426156277	0.648780823937614	0.440222414202184	0.174351098878155	0.236733271139689	0.524847243098076	0.501626070942735	0.27046312046726	0.308062444716292	0.447907962156457	0.405805400208641	0.435699525325351	0.399822591803538	0.477478697271082	0.477052465015716	0.507383699832026	0.477052465015716	0.583538981342927	0.544156621171616	0.432498351531668	0.432498351531668	0.443148670318633	0.61111841004153	0.478606650843473	0.530073255328956	0.463590834802995	0.495183911692999	0.562436984908086	0.325820056024124	0.348701271680555	0.577208284718401	0.524489070616289	0.564298530416684	0.479267189456225	0.692373327431636	0.495183911692999	0.532536124295891	0.426925414327652	0.392032938103637	0.565671146212942	0.437013024437301	0.299457175935028	0.4262267520162	0.564865901373467
"SAMPLE-3"	0.659322280775832	0.641985047393133	0.694404228887208	0.702275888107504	0.40532533336312	0.619133680490013	0.821449970269107	0.705994213864225	0.628622093203818	0.751490883875879	0.620851845298031	0.664209427411247	0.647707152080928	0.336439924602853	0.750657755252501	0.55655090807798	0.556265125022864	0.601119640512458	0.68443634878512	0.785138734343117	0.731470638160441	0.670194283247465	0.503507811210625	0.66912089364482	0.64409001218025	0.745583821827857	0.246710205899092	0.492846824240028	0.49014156805946	0.690209964602376	0.723224373388942	0.542628037996079	0.450171761934345	0.373245376070089	0.547435508760616	0.745467925500875	0.78672453946361	0.699771173619806	0.559564847614368	0.251441702296085	0.241101514106321	0.585797984577434	0.788294135746616	0.839834487324431	0.718773625507615	0.540768696637722	0.659455554873702	0.39497617001592	0.436896478085625	0.540598438068977	0.520866454984082	0.678583204837309	0.520866454984082	0.578703489602531	0.587273184980174	0.473295253673135	0.473295253673135	0.564729244742527	0.714801062955145	0.53335035467713	0.520231289564181	0.557470598848445	0.616122513890812	0.607011592827871	0.249429132704093	0.55209446152961	0.665759291052675	0.606048609448345	0.618823806347408	0.579495525994774	0.763805879121982	0.616122513890812	0.578506131957837	0.593983304757384	0.805634347107972	0.593243500487023	0.549062710773195	0.774587213978005	0.568903720832403	0.686200985451121
"SAMPLE-4"	0.175315447452518	0.0599398678564044	0.179051631731859	0.0988221539056068	0.28711283207738	0.060688393338294	0.356308338628007	0.589996901007428	0.251696940581055	0.521019825167045	0.167598943118682	0.256644494856159	0.168898297381041	0.173433526778327	0.219116362341835	0.176449741047861	0.251557338042053	0.229408777777882	0.278804065800527	0.327759322753603	0.146668964276569	0.13816307360279	0.104758220825677	0.517817278481497	0.462825193530733	0.0532711123684031	0.134753682703051	0.0587826089965369	0.213202054963395	0.142276856903165	0.236360602786797	0.236084672537023	0.256699013271029	0.127588591338234	0.194509962119564	0.277299562845015	0.0470080793569652	0.10525314719809	0.243168427547602	0.139160168329132	0.120581652452806	0.25557246969792	0.202431660012475	0.496712085765377	0.167140055055581	0.173180045576325	0.212770970500664	0.265050157628777	0.282312368773468	0.180352429232817	0.261914616976552	0.150200355910638	0.261914616976552	0.177607380807167	0.230545451772169	0.236010919012944	0.236010919012944	0.181150901233321	0.110713461078801	0.151762966624382	0.252927649072	0.164253152631292	0.445197794186251	0.289782626423088	0.0847116354709029	0.148063146630333	0.347934505159494	0.204269306906378	0.309443413303976	0.235344643763991	0.0422426544994315	0.445197794186251	0.245765824132167	0.205603593102477	0.0516432545653753	0.28632279938849	0.26475046460719	0.220179772417371	0.123786557740444	0.31014659407241
"SAMPLE-5"	0.326515600398722	0.073614768238439	0.171010265218081	0.184438552479302	0.72178560162538	0.120128048223772	0.191867975394154	0.663491904011127	0.360063992618331	0.592284120415162	0.358907090022077	0.0941085684586462	0.332448584512228	0.406863047853473	0.472581842951127	0.498772196246792	0.423135329857427	0.154744933916146	0.105146309730766	0.0800298750206533	0.122236364456763	0.204252189808909	0.33425521778383	0.676010544457522	0.582913574592299	0.0834709795094222	0.313273568113448	0.238655851778097	0.639278957733227	0.238866747660745	0.108493089489263	0.548731784882339	0.712221525381494	0.249711084542433	0.370118585972268	0.106474894505332	0.0337589475082559	0.173143224856174	0.343716501177204	0.277792601352053	0.313443930925636	0.514540214531177	0.125852359641846	0.279054802889595	0.0519458791543867	0.465846104958103	0.477919365009924	0.7487278198889	0.77333831079841	0.406688046194629	0.668528996430977	0.199167968733372	0.668528996430977	0.449329000248816	0.493422400604412	0.766305763770883	0.766305763770883	0.383006903527965	0.220874613173556	0.489308574110861	0.561298822509195	0.456951966643606	0.583464707673892	0.471075692183518	0.212265297432995	0.348535359804647	0.325926541380628	0.419021672482184	0.424688259372687	0.624144427344527	0.0569369759027014	0.583464707673892	0.514357202675507	0.317635066657081	0.0374367013805177	0.482237429121442	0.570629429458887	0.0501596020855762	0.123443066681011	0.295687678995259
"SAMPLE-6"	0.841214149189863	0.301880831997973	0.178522340787331	0.231210189140646	0.928354570948919	0.324422852942776	0.488582864512021	0.583634225130958	0.396196740012615	0.800384240443918	0.701408585369758	0.471481044900342	0.838863072802131	0.731480700591503	0.558103193062089	0.866026798566915	0.727173191623872	0.365232119537094	0.524505851346978	0.535111928004232	0.14259023356993	0.640116893357026	0.711517497870456	0.605647592503671	0.745647629324014	0.508852649864367	0.75134016347975	0.683507360274472	0.877149192007838	0.327374243070006	0.427161969273009	0.813912076553651	0.929732906058175	0.645281191567008	0.720312111667637	0.499152800810017	0.076472949801578	0.517875448152836	0.709010606395161	0.794130228166087	0.742979166131024	0.843290783299186	0.47010726246616	0.771236192714105	0.411222427935256	0.885823647551412	0.639791523789035	0.936702961177668	0.951215546653224	0.852033000583634	0.904856848074488	0.224306992011407	0.904856848074488	0.860133294773577	0.821746734867061	0.951924555806326	0.951924555806326	0.751429909798935	0.637968274939093	0.813412521839087	0.834226118349715	0.883119555504366	0.758121409765292	0.737059486820609	0.652545192167541	0.707886717957384	0.541896006612104	0.747070748963534	0.588558452109413	0.857248375340992	0.437110459567223	0.758121409765292	0.807187707177257	0.738640409202734	0.0781693797006748	0.741647274702555	0.861727017839544	0.497771282931056	0.531428743441857	0.562575029411091
"SAMPLE-7"	0.557255533756105	0.65177155738985	0.574275795141768	0.378008565703109	0.464498135544362	0.530217570114045	0.725380554662134	0.560302016179065	0.27498759836075	0.719384440847264	0.518612668821976	0.698642953697118	0.561333491778828	0.449558053099284	0.407913879547322	0.430624561388169	0.462720632131771	0.483443489944291	0.713860802291643	0.782939354214296	0.712213896423025	0.313068161777812	0.327114784260439	0.487854451675031	0.611586542055345	0.508066363721389	0.476650107643953	0.343472041383883	0.390595068753444	0.437690291366464	0.651420272155499	0.547867438038408	0.439107497932978	0.41541767323461	0.386167833902969	0.735208530122122	0.731465250806696	0.61736065861333	0.48054319868787	0.533820510109386	0.439799749377053	0.454109539850177	0.704141661774969	0.777474986525918	0.631837423583145	0.411260130442965	0.36692783315408	0.411259689518332	0.391447378631011	0.36992167005669	0.441301065509211	0.345629555900259	0.44130106550921	0.447454363560689	0.459624181639542	0.398240273846562	0.398240273846562	0.396619272708648	0.554608808781872	0.456442979280534	0.459205812338159	0.420208099338311	0.545253168026792	0.512076689503205	0.443994695176765	0.566873484811093	0.498929635839904	0.478292399771819	0.541276161637694	0.445362448698713	0.518285122141577	0.545253168026792	0.458587870721309	0.518276780890463	0.759259088389458	0.500607289905965	0.471799052843713	0.756150436750039	0.386306815053275	0.556510289380762
"SAMPLE-8"	0.741192398848925	0.597435768434221	0.826993028553811	0.70739419845441	0.628298569958293	0.79577394260031	0.894761603206127	0.627142915790706	0.576723683743068	0.887093874235641	0.844966839483675	0.832969414740632	0.720705924054793	0.757026698835999	0.717305968553879	0.753612589528728	0.726372155803616	0.73008592507991	0.816054210517954	0.854215802177166	0.797136771356235	0.71833406729447	0.74096750167097	0.573780557034179	0.751769675691385	0.901969586857967	0.732638151967459	0.743693552351974	0.645203004456073	0.781893263313006	0.824171312154869	0.784027909322116	0.714596396643078	0.75427286215033	0.669028138692914	0.846350257862494	0.740815135206493	0.903380175793451	0.729213622167435	0.779742967610895	0.734436975427745	0.764744722470316	0.888646254052942	0.915571638971222	0.824849514579184	0.732972542492461	0.681171181088498	0.6156391771502	0.52816014352823	0.809603948242131	0.662824962574384	0.614989267699268	0.662824962574384	0.78294929237721	0.7863906473996	0.612741712851338	0.612741712851338	0.70422250112754	0.87137100927314	0.675211308173266	0.738260302541169	0.756192440996191	0.775354446557882	0.777084728693341	0.808474927290334	0.538856126428807	0.862709205399849	0.764072780297992	0.76475133985178	0.716004422914473	0.922949258753562	0.775354446557882	0.770047748242085	0.718386035912626	0.748290525946361	0.758470328553967	0.706577099939567	0.883001938426121	0.797145182952567	0.848150542331371
"SAMPLE-9"	0.621183134080187	0.341472511504418	0.361063277861098	0.32348290866419	0.570253717887895	0.36468619567644	0.684738590912169	0.556141366220996	0.278212913117188	0.763166594581491	0.698376637719537	0.67534064899322	0.655032818074276	0.318949802378265	0.376041392248257	0.577269333513536	0.561052475173682	0.392921553463723	0.702189367865267	0.778470355176253	0.437756730497013	0.510832765945667	0.288914175201714	0.477653677045495	0.613209066280243	0.581821418030486	0.301052893261882	0.483656180724331	0.362389844286129	0.407862660929223	0.62120641761386	0.509096084832418	0.601509889125752	0.375633755860465	0.556457931774955	0.695334728181624	0.289925465706084	0.653690064906631	0.567158707986999	0.359075721801214	0.297779624916704	0.622027519618314	0.662593406521822	0.797960323880945	0.697430690153634	0.687155976993244	0.328151012074778	0.554403125955207	0.62560296241951	0.538944684919936	0.580341538446103	0.288657928362159	0.580341538446103	0.673931729798993	0.584445462153229	0.561915149308534	0.561915149308534	0.565407529336324	0.606596163786455	0.50708175140563	0.543427523155878	0.676191303519133	0.583092630477993	0.573438351489657	0.3193866683228	0.303859807141128	0.633371893768462	0.524647029009964	0.498510726696406	0.473698558633931	0.612837687608916	0.583092630477993	0.519055142660959	0.57342284578189	0.285359620938203	0.560290230835735	0.616923624439123	0.766798713109058	0.461895713529605	0.676199484220308
"SAMPLE-10"	0.76615521927811	0.301291265608528	0.847518841141132	0.629240846581633	0.593593439443357	0.81391205807691	0.788671013115263	0.796812362587228	0.867811543800055	0.875233911753211	0.512010839656124	0.486826647925023	0.686398287029647	0.827391410172347	0.916152630042482	0.700943470263142	0.898830390342365	0.807091561329929	0.388046710825589	0.286752405423546	0.848514143120024	0.771111888467036	0.755530950314653	0.773745767943736	0.73394850617011	0.727996732900218	0.679151788961261	0.761229537967052	0.645203004456073	0.649345426574651	0.485772733963502	0.759113445593156	0.744948349179318	0.785540737073	0.717999200848036	0.357901550147684	0.780311507590694	0.790502820510523	0.653830611017338	0.686507562056518	0.6984522015468	0.850935268830817	0.771451361623825	0.292776403988731	0.435336466332724	0.770750237165209	0.875170405791666	0.602707469178988	0.530238406710799	0.889653155232979	0.661802284984009	0.74562464992827	0.661802284984009	0.778525223640739	0.862651378742486	0.612741712851338	0.612741712851338	0.707141348997798	0.854468943822776	0.651936200775297	0.937990713795754	0.783744734564686	0.93758108842325	0.944103255074002	0.808474927290334	0.528580016106054	0.88492987265304	0.851541068569261	0.916934967531631	0.751790005947695	0.812972332425583	0.93758108842325	0.831472651142485	0.676866333789584	0.801823371769664	0.936610886117066	0.716005512446716	0.315507142856976	0.853954151578225	0.912698721545536
