"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-1"	0.747142857142857	0.686666666666667	0.67875	0.74	0.655	0.666	0.69	0.721666666666667	0.66	0.706666666666667
"SAMPLE-2"	0.25	0.17	0.21	0.22	0.256666666666667	0.2275	0.18	0.161666666666667	0.176666666666667	0.27
"SAMPLE-3"	0.761	0.716666666666667	0.785714285714286	0.763	0.734444444444444	0.771	0.75	0.751111111111111	0.804	0.705
"SAMPLE-4"	0.533333333333333	0.507	0.52	0.513333333333333	0.46	0.591	0.486666666666667	0.54	0.465714285714286	0.53
"SAMPLE-5"	0.463333333333333	0.488333333333333	0.48	0.55	0.421111111111111	0.488	0.435	0.386666666666667	0.43	0.54
"SAMPLE-6"	0.515	0.532222222222222	0.531	0.56	0.573333333333333	0.463333333333333	0.59	0.553333333333333	0.47625	0.481428571428571
"SAMPLE-7"	0.754285714285714	0.765555555555556	0.77	0.754444444444444	0.833333333333333	0.756666666666667	0.77125	0.78125	0.767142857142857	0.76
"SAMPLE-8"	0.5	0.46	0.48	0.5	0.494	0.5475	0.67	0.508333333333333	0.53	0.525
"SAMPLE-9"	0.50125	0.507777777777778	0.442222222222222	0.439	0.4525	0.472	0.49	0.456666666666667	0.42625	0.478333333333333
"SAMPLE-10"	0.695	0.7	0.69	0.6525	0.71	0.7625	0.635	0.6725	0.686666666666667	0.725
"SAMPLE-11"	0.736666666666667	0.703333333333333	0.74	0.738	0.688333333333333	0.74	0.68	0.773333333333333	0.72875	0.7625
"SAMPLE-12"	0.16	0.1	0.14	0.158888888888889	0.133333333333333	0.2	0.19	0.15	0.16	0.133333333333333
"SAMPLE-13"	0.832857142857143	0.776666666666667	0.772222222222222	0.85	0.745	0.755	0.785	0.756666666666667	0.75	0.812857142857143
"SAMPLE-14"	0.1025	0.1	0.094	0.1225	0.0777777777777778	0.0925	0.095	0.0875	0.12625	0.19
"SAMPLE-15"	0.371428571428571	0.352222222222222	0.394444444444444	0.44	0.36	0.41	0.41	0.39	0.396	0.413333333333333
"SAMPLE-16"	0.82	0.794285714285714	0.828571428571429	0.86	0.77	0.853	0.875	0.798	0.86	0.805
"SAMPLE-17"	0.788571428571429	0.726666666666667	0.756666666666667	0.76	0.745	0.74	0.765	0.783333333333333	0.795	0.771428571428571
"SAMPLE-18"	0.36375	0.318333333333333	0.368571428571429	0.39	0.37	0.347	0.325	0.343333333333333	0.28	0.328333333333333
"SAMPLE-19"	0.816666666666667	0.888333333333333	0.893333333333333	0.886666666666667	0.882222222222222	0.833333333333333	0.89	0.871666666666667	0.828	0.805
"SAMPLE-20"	0.62	0.674	0.584	0.716666666666667	0.55	0.645	0.635	0.71	0.62	0.62875
"SAMPLE-21"	0.442	0.405555555555556	0.446666666666667	0.431111111111111	0.446	0.366	0.445	0.441	0.418571428571429	0.352857142857143
