"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"ERR1624539"	0.425	0.507	0.49	0.521666666666667	0.513333333333333	0.4725	0.51	0.5025	0.5	0.455
"ERR1624542"	0.528333333333333	0.515	0.53	0.492	0.501666666666667	0.45	0.531666666666667	0.535	0.56	0.4975
"ERR1624545"	0.54	0.583333333333333	0.416666666666667	0.585	0.565	0.64	0.563333333333333	0.6425	0.485	0.585
"ERR1624547"	0.428	0.345714285714286	0.466666666666667	0.466666666666667	0.37	0.438	0.41375	0.475	0.48	0.3825
"ERR1624549"	0.52	0.508571428571429	0.44	0.386666666666667	0.515	0.52	0.63	0.51	0.47	0.565
"ERR1624550"	0.373333333333333	0.283333333333333	0.455	0.39	0.343	0.406666666666667	0.36	0.36	0.425	0.2925
"ERR1624552"	0.59	0.621666666666667	0.56	0.503333333333333	0.64	0.59	0.53	0.57	0.64	0.562
"ERR1624553"	0.428571428571429	0.486666666666667	0.31	0.38	0.3425	0.33	0.3425	0.31625	0.382	0.36
"ERR1624554"	0.493333333333333	0.556666666666667	0.603333333333333	0.531666666666667	0.543	0.583333333333333	0.48	0.575	0.53	0.515
"ERR1624555"	0.416666666666667	0.511	0.42	0.44	0.536666666666667	0.45	0.495	0.475	0.45	0.445
"ERR1624556"	0.66	0.64	0.71	0.703333333333333	0.766666666666667	0.711666666666667	0.675	0.675	0.675	0.705
"ERR1624559"	0.694285714285714	0.721428571428571	0.725	0.55	0.75	0.74	0.67	0.6725	0.67	0.69
"ERR1624560"	0.64	0.637142857142857	0.613333333333333	0.673333333333333	0.675	0.66	0.693333333333333	0.64375	0.57	0.64
"ERR1624562"	0.763333333333333	0.73	0.6875	0.69	0.68	0.75	0.69375	0.7325	0.734	0.67
"ERR1624564"	0.635	0.666666666666667	0.63	0.67625	0.6675	0.61	0.61	0.675	0.63	0.69
"ERR1624565"	0.478	0.445714285714286	0.44	0.41	0.425	0.41	0.4	0.41	0.441428571428571	0.4075
"ERR1624567"	0.48	0.565	0.513333333333333	0.544	0.491	0.523333333333333	0.47	0.4975	0.508571428571429	0.49
"ERR1624570"	0.465	0.473333333333333	0.475	0.42	0.479	0.43	0.506666666666667	0.48	0.59	0.545
"ERR1624536"	0.4	0.316666666666667	0.32	0.35	0.31375	0.353333333333333	0.2925	0.295	0.405714285714286	0.36
"ERR1624537"	0.49	0.454285714285714	0.428333333333333	0.452	0.443	0.432	0.44625	0.47875	0.524	0.46
"ERR1624538"	0.515	0.47	0.495	0.388	0.3375	0.39	0.375	0.335	0.49	0.3475
"ERR1624540"	0.468333333333333	0.531666666666667	0.4	0.43625	0.49	0.43	0.48	0.416666666666667	0.42	0.39
"ERR1624541"	0.388	0.33	0.375	0.281666666666667	0.21	0.285	0.34	0.27	0.33	0.261111111111111
"ERR1624543"	0.448333333333333	0.48	0.4675	0.47	0.4475	0.52	0.39125	0.5	0.387142857142857	0.385
"ERR1624544"	0.592857142857143	0.556666666666667	0.6275	0.58125	0.66	0.594	0.49	0.57125	0.562857142857143	0.505
"ERR1624546"	0.475	0.436666666666667	0.488333333333333	0.47	0.461666666666667	0.455	0.41	0.475	0.54	0.54
"ERR1624548"	0.438333333333333	0.376666666666667	0.45	0.36	0.375	0.386666666666667	0.32	0.44	0.385	0.325
"ERR1624551"	0.392	0.391428571428571	0.365	0.4225	0.41	0.361666666666667	0.44	0.35	0.4	0.34
"ERR1624557"	0.457142857142857	0.373333333333333	0.37	0.48	0.425	0.43	0.366666666666667	0.34	0.39	0.4675
"ERR1624558"	0.75	0.816666666666667	0.711666666666667	0.71	0.763	0.803333333333333	0.786666666666667	0.755	0.746666666666667	0.752222222222222
"ERR1624561"	0.522	0.561	0.5075	0.586666666666667	0.651666666666667	0.61	0.52125	0.605	0.455714285714286	0.571
"ERR1624563"	0.461428571428571	0.446666666666667	0.523333333333333	0.41625	0.51	0.476666666666667	0.603333333333333	0.473333333333333	0.545	0.4875
"ERR1624566"	0.315	0.411428571428571	0.38	0.34875	0.49	0.31375	0.33375	0.29875	0.306666666666667	0.34375
"ERR1624568"	0.43	0.453333333333333	0.39	0.47	0.4125	0.422	0.49	0.55	0.52	0.463333333333333
"ERR1624569"	0.46	0.443333333333333	0.43	0.393333333333333	0.4575	0.43	0.44	0.46	0.465	0.427
"ERR1624571"	0.506666666666667	0.543333333333333	0.473333333333333	0.535	0.58	0.501	0.571666666666667	0.563333333333333	0.576	0.51
"ERR1624572"	0.606666666666667	0.574285714285714	0.59	0.61125	0.586666666666667	0.65125	0.65	0.6675	0.59	0.615
"ERR1624573"	0.573333333333333	0.606666666666667	0.58	0.614	0.61	0.595	0.54	0.61	0.546	0.542222222222222
