"CV_rep1"	"CV_rep2"	"CV_rep3"	"CV_rep4"	"CV_rep5"	"CV_rep6"	"CV_rep7"	"CV_rep8"	"CV_rep9"	"CV_rep10"
"SAMPLE-1"	0.755	0.825	0.831111111111111	0.79	0.831666666666667	0.77	0.84	0.823333333333333	0.7975	0.85
"SAMPLE-2"	0.3225	0.25	0.227777777777778	0.266	0.25	0.275	0.26	0.22625	0.27125	0.295
"SAMPLE-3"	0.92	0.856	0.886	0.8275	0.85	0.86	0.87	0.846666666666667	0.861111111111111	0.81
"SAMPLE-4"	0.5225	0.595	0.546666666666667	0.615	0.5325	0.55	0.64	0.596666666666667	0.67	0.62
"SAMPLE-5"	0.424444444444444	0.46875	0.36	0.463333333333333	0.502	0.51	0.423333333333333	0.405	0.59	0.44
"SAMPLE-6"	0.535	0.62	0.54	0.5575	0.592	0.526666666666667	0.515	0.525	0.553333333333333	0.57
"SAMPLE-7"	0.803333333333333	0.794	0.858888888888889	0.7725	0.83625	0.813333333333333	0.815	0.823333333333333	0.765	0.83
"SAMPLE-8"	0.52	0.395	0.452222222222222	0.497777777777778	0.418	0.353333333333333	0.458571428571429	0.46125	0.414444444444444	0.46875
"SAMPLE-9"	0.626666666666667	0.585	0.62	0.55	0.62125	0.65	0.657142857142857	0.661	0.5775	0.603333333333333
"SAMPLE-10"	0.7125	0.695	0.716666666666667	0.6825	0.724	0.706666666666667	0.72	0.7525	0.694444444444444	0.676666666666667
"SAMPLE-11"	0.798333333333333	0.793333333333333	0.77625	0.79125	0.75	0.807	0.795	0.819	0.736666666666667	0.845
"SAMPLE-12"	0.145	0.153333333333333	0.142857142857143	0.203333333333333	0.11125	0.14	0.125	0.1475	0.171111111111111	0.14
"SAMPLE-13"	0.7125	0.813333333333333	0.726666666666667	0.76125	0.76	0.7875	0.75	0.8275	0.79	0.765
"SAMPLE-14"	0.165	0.25125	0.185714285714286	0.18	0.14875	0.1825	0.15	0.19	0.1525	0.17
"SAMPLE-15"	0.42	0.404	0.427142857142857	0.35	0.3975	0.4025	0.345714285714286	0.35	0.3825	0.443333333333333
"SAMPLE-16"	0.866666666666667	0.896666666666667	0.86625	0.795	0.851666666666667	0.893	0.883333333333333	0.865555555555556	0.83	0.87
"SAMPLE-17"	0.751428571428571	0.735	0.75	0.81	0.747	0.776666666666667	0.76	0.783333333333333	0.795555555555556	0.786666666666667
"SAMPLE-18"	0.417142857142857	0.4625	0.39875	0.368888888888889	0.436666666666667	0.436666666666667	0.35	0.39	0.402222222222222	0.4125
"SAMPLE-19"	0.81	0.826666666666667	0.87	0.7325	0.805	0.812	0.867142857142857	0.87	0.797777777777778	0.83125
"SAMPLE-20"	0.66875	0.6725	0.621428571428571	0.5525	0.642	0.689	0.645	0.64	0.65	0.635
"SAMPLE-21"	0.368888888888889	0.313333333333333	0.463333333333333	0.3425	0.47	0.4925	0.38	0.433333333333333	0.4275	0.44
"SAMPLE-22"	0.65	0.74	0.683333333333333	0.664	0.689	0.7025	0.704285714285714	0.635	0.68	0.72
"SAMPLE-23"	0.4575	0.478	0.483333333333333	0.39	0.423333333333333	0.57	0.45	0.436666666666667	0.5275	0.5125
"SAMPLE-24"	0.27	0.28	0.3	0.295	0.27625	0.266	0.247142857142857	0.3	0.325	0.30375
"SAMPLE-25"	0.42	0.49125	0.542857142857143	0.493333333333333	0.413333333333333	0.44	0.428333333333333	0.4725	0.455555555555556	0.46
"SAMPLE-26"	0.7225	0.763333333333333	0.7	0.8	0.745	0.675	0.77	0.738888888888889	0.75625	0.75
"SAMPLE-27"	0.693333333333333	0.7225	0.69375	0.69125	0.6725	0.703333333333333	0.742857142857143	0.704	0.731666666666667	0.76125
"SAMPLE-28"	0.54875	0.486	0.476	0.4425	0.445	0.53	0.541428571428571	0.5725	0.4725	0.49
"SAMPLE-29"	0.78	0.665	0.676	0.6925	0.7075	0.657	0.635	0.6875	0.6625	0.58
"SAMPLE-30"	0.2725	0.28	0.22	0.26	0.264	0.2625	0.29	0.26	0.27	0.243333333333333
"SAMPLE-31"	0.40125	0.406666666666667	0.425	0.31	0.35625	0.445	0.38	0.36	0.345	0.41375
"SAMPLE-32"	0.778571428571429	0.78125	0.753333333333333	0.7475	0.81	0.78	0.753333333333333	0.72	0.684444444444444	0.81
"SAMPLE-33"	0.193333333333333	0.2325	0.23	0.17125	0.181	0.2175	0.205	0.19	0.225	0.26
"SAMPLE-34"	0.301428571428571	0.25	0.354285714285714	0.2825	0.295	0.3025	0.285	0.36	0.295	0.34
"SAMPLE-35"	0.7225	0.6975	0.696666666666667	0.6975	0.744	0.773333333333333	0.756666666666667	0.708888888888889	0.722222222222222	0.8
"SAMPLE-36"	0.223333333333333	0.3175	0.36	0.3	0.2875	0.213333333333333	0.295	0.317	0.30375	0.28
"SAMPLE-37"	0.383333333333333	0.446666666666667	0.428571428571429	0.506666666666667	0.4325	0.389	0.395	0.396	0.42	0.46
"SAMPLE-38"	0.605	0.61	0.631	0.5625	0.52	0.62	0.57	0.6275	0.585	0.66375
"SAMPLE-39"	0.845	0.8525	0.863333333333333	0.7875	0.85	0.84	0.843333333333333	0.88	0.854444444444444	0.9
"SAMPLE-40"	0.195714285714286	0.15	0.321428571428571	0.165	0.22	0.1875	0.215	0.183333333333333	0.185	0.2
"SAMPLE-41"	0.235	0.2275	0.307142857142857	0.21	0.185	0.187	0.23	0.221	0.2	0.22
"SAMPLE-42"	0.695	0.6125	0.68	0.65	0.635	0.593	0.601428571428571	0.57	0.628888888888889	0.53625
"SAMPLE-43"	0.19	0.23	0.321428571428571	0.2	0.28	0.203333333333333	0.251666666666667	0.265	0.251111111111111	0.17
"SAMPLE-44"	0.7225	0.7025	0.692222222222222	0.68	0.678	0.726666666666667	0.66	0.721	0.735	0.633333333333333
"SAMPLE-45"	0.543333333333333	0.4875	0.52	0.46	0.5	0.5175	0.49	0.46	0.5225	0.49
"SAMPLE-46"	0.655	0.52	0.396666666666667	0.5375	0.492	0.55	0.526666666666667	0.48	0.553333333333333	0.49
"SAMPLE-47"	0.442222222222222	0.356	0.396666666666667	0.37625	0.37375	0.3775	0.353333333333333	0.377	0.358333333333333	0.37125
"SAMPLE-48"	0.593333333333333	0.566	0.568571428571429	0.5825	0.61375	0.543333333333333	0.628571428571429	0.557777777777778	0.52	0.63
"SAMPLE-49"	0.165555555555556	0.193333333333333	0.14	0.15	0.2075	0.183333333333333	0.16	0.123333333333333	0.183333333333333	0.18
"SAMPLE-50"	0.47	0.4575	0.527	0.514	0.498	0.506666666666667	0.528571428571429	0.503333333333333	0.543333333333333	0.4875
"SAMPLE-51"	0.835	0.8125	0.851	0.7825	0.8125	0.84	0.805	0.813333333333333	0.796666666666667	0.8325
"SAMPLE-52"	0.19875	0.2025	0.258571428571429	0.19	0.196	0.236666666666667	0.25	0.16	0.162222222222222	0.2075
"SAMPLE-53"	0.521428571428571	0.535	0.413333333333333	0.518333333333333	0.473333333333333	0.479	0.492857142857143	0.4625	0.45375	0.5275
"SAMPLE-54"	0.245	0.295	0.34	0.305	0.328	0.33	0.296666666666667	0.2375	0.328888888888889	0.3225
"SAMPLE-55"	0.265	0.256666666666667	0.26875	0.331111111111111	0.2375	0.3025	0.24	0.265	0.19	0.28
"SAMPLE-56"	0.8425	0.86	0.831428571428571	0.88	0.8325	0.8275	0.84	0.84	0.778333333333333	0.83375
"SAMPLE-57"	0.353333333333333	0.333333333333333	0.387142857142857	0.3725	0.315	0.32	0.365	0.378888888888889	0.38	0.433333333333333
"SAMPLE-58"	0.78	0.825	0.82125	0.832	0.8475	0.8725	0.838333333333333	0.78	0.855	0.84
"SAMPLE-59"	0.21	0.1975	0.203333333333333	0.2025	0.24	0.1925	0.255	0.213333333333333	0.216666666666667	0.28
"SAMPLE-60"	0.1	0.15875	0.18	0.1025	0.0925	0.09	0.135	0.128	0.116666666666667	0.0666666666666667
"SAMPLE-61"	0.61	0.66	0.69	0.668333333333333	0.6325	0.61	0.6	0.75	0.6075	0.57
"SRR11292125"	0.805714285714286	0.7425	0.822222222222222	0.831666666666667	0.771	0.787	0.775714285714286	0.826666666666667	0.73	0.713333333333333
"SRR11292126"	0.57375	0.55	0.56125	0.38	0.605	0.555	0.57	0.52	0.61	0.533333333333333
"SRR11292127"	0.5275	0.696666666666667	0.486666666666667	0.516	0.6	0.575	0.625	0.53	0.515	0.61
"SRR11292131"	0.86375	0.87	0.82625	0.87	0.846666666666667	0.865	0.8	0.94	0.885	0.9
